Item-id,Item Type ,Store_1,Store_2,Store_3,Store_4,Sales,Currency
86-681-9291,F,1,0,1,1,254.28,Dollar
66-998-5288,f,1,0,1,1,384.34,Euro
76-814-1418,F,0,0,1,1,441.36,Euro
24-840-9161,Drink,1,1,1,1,406.16,Dollar
58-448-3094,Food,0,0,0,1,369.39,Dollar
20-867-9056,Drink,1,1,0,1,275.06,Euro
07-575-7145,Drink,0,1,0,1,468.68,Dollar
22-476-9953,f,1,1,1,0,452.03,Dollar
27-162-5490,DR,0,0,1,0,377.54,Dollar
50-811-4050,F,1,1,1,1,368.33,Euro
40-971-5479,Food,0,1,0,1,454.11,Euro
05-636-0181,F,0,1,1,0,323.66,Euro
71-699-9000,f,1,1,0,0,473.46,Dollar
13-180-1768,DR,1,0,0,1,419.97,Euro
77-172-8784,f,0,0,0,1,396.26,Euro
42-934-6703,Drink,1,1,1,1,416.53,Euro
53-695-9458,f,0,1,1,0,281.77,Dollar
84-009-6497,F,1,1,1,0,358.08,Euro
57-617-6220,Food,1,0,0,1,384.16,Dollar
41-471-5352,Drink,0,1,1,0,334.22,Dollar
76-453-2938,Food,0,1,0,1,354.23,Euro
85-072-3335,Food,1,1,1,1,443.50,Dollar
88-075-0946,,1,0,0,1,490.64,Euro
64-335-7771,Drink,1,0,0,1,264.68,Dollar
55-195-3252,F,0,1,0,1,294.06,Dollar
52-231-2316,Food,1,1,0,1,381.62,Dollar
58-207-9570,Food,0,1,1,1,470.48,Euro
43-195-9877,Food,1,1,0,1,385.45,Dollar
43-858-0231,Food,1,0,0,1,297.75,Euro
56-142-1804,Food,0,0,1,0,434.18,Euro
85-256-4262,DR,1,0,0,0,,Dollar
52-330-0336,F,0,0,0,1,268.71,Euro
36-038-4072,Drink,1,1,1,0,376.23,Dollar
28-318-2097,F,1,0,0,0,411.27,Dollar
39-533-4994,Food,0,0,0,1,489.21,Euro
73-101-8725,Drink,1,0,1,0,464.30,Dollar
37-696-8518,Food,1,0,0,1,372.41,Euro
88-267-2281,f,0,1,1,0,337.09,Dollar
69-060-1950,F,1,0,0,0,433.03,Euro
66-559-1645,f,1,0,1,1,269.43,Euro
44-453-4936,,0,0,1,0,378.08,Dollar
39-339-7470,Food,1,0,1,1,263.08,Euro
94-471-7303,Drink,0,0,1,1,290.59,Euro
78-264-6055,F,0,0,1,1,276.64,Dollar
54-528-1143,Food,1,1,1,1,326.84,Dollar
23-970-5115,f,0,0,1,0,344.73,Dollar
64-651-8892,Food,0,1,1,0,448.58,Euro
39-503-0766,Food,0,0,0,0,328.41,Euro
22-505-1768,f,1,1,0,1,452.99,Dollar
77-937-9692,Drink,0,0,1,0,331.32,Dollar
60-980-2085,Food,0,1,0,1,335.24,Dollar
08-304-4070,Food,0,0,1,0,393.34,Dollar
91-753-0226,f,0,0,1,1,267.09,Euro
72-888-8516,DR,1,0,1,0,462.74,Euro
07-422-3916,f,1,1,0,0,417.60,Dollar
81-370-7928,F,0,0,1,0,348.73,Dollar
25-773-5826,f,0,1,0,1,279.12,Euro
79-945-4658,DR,1,0,1,1,452.37,Dollar
11-281-5491,F,0,1,0,1,260.37,Dollar
84-775-2886,f,0,1,0,0,425.50,Euro
27-273-3874,f,0,0,0,0,427.62,Dollar
58-083-3672,f,0,1,0,1,483.30,Euro
01-169-4003,,0,1,0,0,294.19,Dollar
02-873-0575,DR,0,1,1,0,318.47,Euro
26-985-3708,f,0,1,0,1,265.13,Euro
23-737-9968,Drink,1,0,0,1,409.57,Euro
28-035-5762,Drink,0,0,1,0,419.86,Euro
88-293-2517,DR,1,1,1,0,466.90,Dollar
34-268-7419,DR,1,0,0,0,358.32,Dollar
88-526-2273,DR,1,0,0,0,453.33,Dollar
49-108-1934,F,0,0,0,1,404.06,Euro
31-260-6858,f,0,0,0,1,489.44,Dollar
26-265-7949,Food,0,0,0,1,425.71,Dollar
51-577-3666,f,1,1,0,0,382.55,Dollar
73-705-6919,f,1,1,1,0,499.55,Dollar
35-575-3009,f,1,1,0,1,384.42,Dollar
78-550-2518,DR,1,1,1,0,385.33,Euro
56-866-1869,Food,1,1,1,0,365.54,Euro
04-555-3793,F,0,0,0,1,264.38,Euro
89-406-3162,f,0,0,0,0,377.49,Euro
28-896-4654,F,1,1,0,1,335.33,Euro
63-253-1327,Food,0,0,1,1,473.27,Euro
13-032-7733,Drink,1,0,1,1,419.01,Dollar
13-121-6244,Food,0,1,1,1,279.34,Dollar
48-405-3745,f,1,0,0,0,334.22,Euro
40-245-8604,f,1,1,1,1,260.26,Dollar
20-153-9339,DR,0,1,0,0,351.38,Euro
58-231-5742,Drink,1,0,1,1,407.98,Dollar
69-697-7676,f,0,1,0,1,467.38,Euro
46-520-4183,F,0,1,0,0,301.69,Dollar
44-673-3662,Food,1,1,1,1,317.57,Dollar
44-404-7948,F,0,0,0,1,426.65,Euro
74-943-5840,F,0,0,1,1,288.13,Dollar
79-337-8355,f,0,0,1,1,472.46,Euro
58-603-6021,F,0,0,0,1,354.30,Euro
02-537-2260,f,0,0,0,0,496.90,Dollar
32-949-5458,Food,1,1,0,1,293.43,Euro
08-365-1667,F,0,1,0,1,268.18,Euro
38-116-7407,DR,0,1,0,1,413.62,Euro
68-433-0641,F,0,1,1,1,392.98,Dollar
22-686-4982,Food,1,0,1,0,427.96,Dollar
26-158-2681,f,0,1,1,1,358.73,Euro
09-222-6196,Food,1,0,1,1,406.69,Dollar
22-419-4388,F,0,1,0,0,350.13,Dollar
78-218-0800,F,1,1,1,0,431.25,Dollar
40-036-2687,Drink,0,1,1,0,460.94,Euro
64-096-0364,F,1,1,0,0,281.68,Euro
63-979-8669,F,1,1,0,0,333.80,Dollar
21-307-6704,Food,0,0,1,1,276.28,Euro
72-018-8295,Food,1,0,0,1,396.47,Dollar
64-278-2075,Food,1,0,1,1,483.61,Euro
56-228-1507,Drink,0,1,1,0,271.35,Dollar
49-026-5183,,0,0,1,1,376.43,Dollar
79-073-1147,f,0,0,0,0,489.66,Dollar
07-451-3024,Food,0,0,0,0,428.69,Dollar
61-419-8544,Drink,0,1,1,0,470.59,Euro
45-783-1285,F,1,0,1,0,416.51,Dollar
24-643-6823,f,0,1,0,1,350.82,Dollar
48-702-4047,Food,1,0,0,1,280.66,Dollar
91-945-5581,Food,1,0,0,1,430.73,Euro
73-434-9663,,0,1,1,1,368.86,Euro
88-667-9075,DR,1,1,0,0,333.46,Dollar
21-746-5592,f,1,0,1,1,499.71,Dollar
22-235-7166,F,1,0,0,0,379.01,Euro
84-323-5346,f,1,1,1,0,314.68,Dollar
38-068-4031,DR,0,0,1,1,325.30,Euro
97-103-7451,Drink,0,1,1,1,415.39,Dollar
10-409-4866,DR,0,1,0,0,329.31,Dollar
03-194-1650,Food,1,0,0,1,266.54,Euro
53-319-2955,F,0,1,0,0,280.99,Euro
06-274-6395,DR,0,0,0,0,313.25,Dollar
64-395-6434,F,1,1,0,1,499.12,Euro
56-309-3247,DR,1,1,0,1,418.57,Dollar
03-428-7060,F,1,0,0,0,276.33,Euro
72-319-9378,F,1,0,0,1,311.38,Dollar
02-794-7975,F,1,0,0,1,310.38,Dollar
31-735-5436,DR,0,0,1,1,276.58,Dollar
00-631-2867,Drink,1,0,1,0,333.34,Dollar
29-133-8466,DR,0,0,0,1,479.44,Euro
23-710-1877,Drink,1,1,1,0,279.49,Euro
23-565-0482,f,1,1,1,1,253.18,Dollar
97-893-3064,F,1,1,1,0,263.80,Dollar
11-309-0086,F,1,0,0,1,250.29,Dollar
60-135-6884,Food,0,1,0,1,449.10,Euro
20-526-1535,f,1,0,1,0,440.65,Dollar
32-283-9640,DR,1,1,1,0,271.55,Dollar
51-989-3545,F,0,0,0,0,339.75,Dollar
66-626-4586,Drink,0,0,0,0,301.61,Euro
06-025-1763,F,0,1,1,1,425.19,Dollar
75-899-3917,DR,0,0,1,0,435.10,Euro
31-780-9185,Drink,1,0,1,1,278.31,Euro
28-321-8576,F,0,0,1,0,491.84,Dollar
91-419-8954,f,0,1,1,0,470.44,Dollar
25-629-9472,f,0,1,1,0,280.02,Euro
43-797-2521,f,1,1,0,0,446.56,Euro
23-125-6260,F,0,0,0,0,444.27,Euro
33-833-6537,F,0,1,1,1,402.48,Euro
38-831-1668,Food,1,0,1,0,320.28,Euro
77-506-1625,Food,0,1,0,0,291.29,Dollar
52-469-4085,DR,1,1,1,0,381.56,Dollar
62-541-4077,f,1,1,0,0,295.76,Euro
84-144-4212,Drink,0,0,0,1,399.80,Euro
65-099-1513,DR,1,1,1,1,326.89,Dollar
88-744-2656,DR,1,1,0,1,484.98,Dollar
19-510-6478,Drink,1,1,0,0,321.88,Dollar
80-000-4096,F,1,0,0,1,297.27,Euro
09-714-2894,Drink,1,0,1,1,344.06,Dollar
53-183-1810,f,1,0,1,0,264.08,Euro
44-750-1299,f,1,0,1,0,326.68,Dollar
36-360-8713,DR,0,1,0,1,326.39,Dollar
37-397-5263,DR,0,1,1,1,442.99,Euro
17-316-7568,F,0,1,1,0,424.72,Dollar
57-928-5839,F,0,0,1,0,418.19,Euro
55-293-8531,f,1,0,1,1,406.43,Dollar
00-220-1205,DR,0,0,0,0,382.03,Euro
47-993-7958,f,1,1,1,0,310.08,Dollar
30-887-1323,Drink,1,1,0,0,401.08,Euro
67-407-3736,DR,0,1,0,1,296.73,Dollar
22-568-9278,F,0,1,1,1,279.91,Dollar
12-474-0841,Food,0,0,0,0,422.71,Euro
16-745-4220,DR,0,1,0,0,260.46,Euro
00-615-7394,Food,1,0,1,1,,Dollar
83-137-2873,F,1,1,1,0,335.45,Euro
48-734-3906,f,1,0,1,0,328.84,Euro
31-501-6997,DR,1,0,0,0,392.72,Euro
69-119-2973,f,0,0,1,0,347.52,Euro
92-755-5366,f,0,0,0,0,447.70,Euro
64-149-3546,Drink,1,1,1,1,356.21,Dollar
31-332-3677,Food,0,1,1,1,366.22,Dollar
63-139-9883,Drink,1,1,1,1,288.19,Euro
98-235-3129,Food,1,0,1,1,377.19,Dollar
22-806-8745,DR,1,0,0,1,295.53,Euro
69-734-8993,Food,1,1,0,0,357.71,Dollar
99-735-1476,DR,1,1,0,0,255.84,Dollar
78-984-6953,F,1,1,1,0,335.77,Euro
50-067-1859,F,0,0,1,1,371.69,Dollar
95-657-6445,f,1,0,0,0,475.80,Dollar
11-898-7554,Food,0,0,1,1,264.05,Dollar
48-053-5339,Drink,1,1,0,0,314.37,Euro
79-197-4916,DR,0,0,1,0,477.13,Dollar
05-479-2436,F,0,1,0,1,448.47,Dollar
06-540-6182,Food,0,1,0,0,462.63,Euro
83-563-0629,F,0,0,0,0,294.59,Euro
10-601-9857,Food,1,0,0,1,359.77,Euro
75-961-3179,F,1,1,1,0,336.87,Dollar
89-744-4614,f,0,0,0,1,383.37,Dollar
74-513-9076,DR,0,0,1,1,420.35,Dollar
18-298-0919,F,0,0,1,0,284.59,Euro
71-996-3973,F,0,1,1,0,439.69,Euro
54-783-4389,Food,0,1,1,1,422.39,Euro
84-892-5697,F,0,1,1,0,301.12,Euro
16-266-5300,DR,0,1,0,0,457.01,Dollar
00-112-9099,Food,0,0,1,1,465.45,Dollar
13-470-7907,f,0,1,1,0,482.01,Euro
53-844-0846,DR,0,0,0,1,442.10,Euro
05-027-5540,F,1,1,0,0,460.47,Euro
89-097-6693,Food,1,1,1,0,474.48,Euro
88-195-0623,f,1,1,1,0,332.16,Euro
56-333-6731,f,1,1,0,0,,Dollar
31-466-4794,Food,0,1,1,1,371.64,Euro
77-690-9064,DR,0,1,1,0,342.95,Euro
38-441-8306,F,1,0,1,0,452.36,Dollar
91-422-3724,f,0,0,0,1,414.89,Euro
42-115-0024,Food,1,0,1,0,449.05,Euro
52-304-7197,DR,1,0,0,1,269.37,Euro
56-996-9341,F,0,1,0,1,410.31,Euro
05-533-5405,Food,0,1,1,1,309.78,Euro
78-605-5231,F,1,0,1,1,454.77,Dollar
89-994-0425,f,0,1,0,1,,Euro
88-896-3138,DR,1,0,1,0,444.89,Dollar
45-260-0001,Food,1,0,0,0,340.49,Dollar
85-966-9170,F,0,1,1,1,499.78,Euro
32-127-1212,Food,1,0,1,1,467.67,Dollar
84-120-1865,Drink,1,0,0,0,285.34,Euro
16-591-3552,Food,0,0,1,0,,Dollar
04-433-3519,Drink,1,1,0,1,253.73,Euro
83-063-4472,f,1,0,0,0,418.71,Dollar
64-966-0900,F,1,0,0,1,414.92,Dollar
40-712-4580,DR,0,0,0,0,489.26,Dollar
10-992-7474,Drink,1,1,1,0,488.06,Euro
31-587-6241,Food,0,1,1,0,421.14,Dollar
42-625-4628,f,1,0,1,1,404.14,Euro
55-662-1529,Drink,0,0,1,1,315.82,Euro
03-522-2029,Drink,1,1,1,0,468.75,Euro
06-158-7922,Drink,0,0,0,0,455.28,Dollar
57-132-8670,f,0,1,1,1,296.62,Euro
32-432-0781,F,0,0,1,0,442.39,Euro
49-871-0493,f,1,1,0,1,396.73,Euro
27-540-2924,f,1,0,0,0,298.22,Euro
43-481-3481,Food,0,0,1,0,468.65,Dollar
49-223-5734,DR,1,0,1,0,477.79,Euro
78-454-4897,Drink,1,0,0,1,444.72,Euro
84-127-0239,DR,0,0,1,1,466.69,Dollar
26-116-2450,DR,0,1,0,1,267.40,Dollar
26-898-1976,Food,1,1,1,1,456.12,Dollar
35-920-6861,Food,1,0,1,0,450.02,Euro
60-571-2370,DR,1,1,1,0,340.79,Dollar
06-058-4794,Food,1,1,0,1,465.07,Euro
31-143-9381,f,1,1,1,1,412.37,Euro
01-453-7274,Drink,1,0,1,0,275.52,Euro
10-792-8531,F,1,0,0,1,388.70,Euro
47-124-1111,F,0,1,1,0,338.38,Dollar
39-283-7516,f,0,1,0,0,464.59,Dollar
98-799-6606,DR,0,1,1,1,433.45,Euro
69-135-9122,f,1,1,0,1,463.05,Dollar
93-679-7550,DR,1,1,0,0,360.29,Euro
45-029-1787,Food,0,1,1,0,253.62,Dollar
03-289-3570,f,0,1,1,0,378.32,Dollar
09-743-8758,,0,1,0,0,420.44,Dollar
71-437-4195,DR,0,0,0,1,447.40,Dollar
67-066-5565,,1,0,1,0,266.73,Euro
91-364-1951,,1,0,0,0,459.04,Dollar
87-792-4072,DR,1,0,0,1,327.48,Dollar
95-951-2036,Food,1,0,1,1,342.67,Euro
62-800-5083,Food,1,0,0,1,338.98,Dollar
36-565-1137,Food,0,0,1,1,487.35,Dollar
53-420-3805,Food,1,0,1,0,252.10,Dollar
06-273-8164,Food,0,0,0,0,456.50,Dollar
82-604-0363,,0,1,1,0,278.44,Dollar
97-102-3364,f,1,1,1,0,484.27,Dollar
13-131-9107,f,1,0,1,1,294.24,Dollar
27-351-9782,F,0,0,1,1,414.38,Euro
68-008-8276,F,1,1,0,1,487.86,Dollar
45-462-4018,Food,0,1,0,1,283.71,Dollar
06-249-9245,DR,1,0,1,1,294.00,Euro
56-140-1401,Drink,1,1,1,0,289.14,Dollar
65-982-2489,Food,0,0,0,1,279.17,Dollar
83-296-8657,f,0,0,1,1,267.32,Dollar
51-757-1662,F,0,1,0,0,252.52,Euro
17-237-3794,Drink,0,0,0,0,,Euro
05-725-6979,f,1,1,1,0,351.96,Euro
47-325-0218,Drink,0,0,1,1,396.25,Euro
28-285-1570,Food,1,1,1,0,299.51,Dollar
99-456-2809,Drink,0,1,0,1,256.92,Euro
81-656-3755,F,0,1,0,0,331.04,Dollar
53-730-4180,Drink,1,1,0,0,330.25,Euro
18-969-3650,f,0,0,1,0,422.24,Dollar
01-327-9597,F,1,1,1,1,284.58,Dollar
57-347-1577,,0,0,1,0,396.64,Euro
01-814-8437,Food,0,1,1,0,334.65,Dollar
97-000-2821,Food,1,1,0,0,370.81,Euro
29-406-6634,F,0,0,1,1,447.84,Dollar
12-107-8645,f,0,0,0,0,403.79,Dollar
83-030-0016,f,1,0,1,1,432.83,Euro
44-546-4713,f,0,0,0,1,293.11,Euro
74-624-2449,Drink,0,0,1,0,454.23,Euro
92-799-3866,Drink,0,1,1,1,458.28,Euro
84-627-5318,Drink,1,1,0,1,498.95,Euro
97-052-8329,DR,1,0,0,1,315.40,Dollar
82-895-0755,DR,1,1,1,0,373.70,Dollar
17-968-3871,DR,0,0,0,1,463.82,Dollar
05-885-5056,Food,1,0,1,1,418.21,Dollar
51-155-1976,DR,0,0,1,1,306.46,Dollar
40-962-1312,f,1,0,1,1,434.70,Euro
35-520-5517,Drink,1,0,0,0,299.04,Euro
25-537-9196,f,1,0,0,1,382.67,Euro
32-686-4791,Food,1,1,0,1,337.68,Dollar
76-043-1718,f,1,1,0,1,289.43,Euro
52-534-8457,DR,1,0,0,1,352.37,Dollar
61-447-5994,f,0,1,0,0,499.02,Euro
57-773-3399,f,0,1,0,1,373.85,Euro
01-190-1180,Drink,1,0,1,0,276.73,Dollar
09-779-5038,Food,1,0,1,0,290.86,Dollar
55-655-4995,,1,1,1,1,384.66,Euro
43-394-1062,F,0,1,0,1,280.46,Euro
97-132-2211,f,0,0,0,0,289.62,Dollar
54-102-3530,Drink,1,0,0,0,296.91,Dollar
82-185-3684,Food,0,1,0,1,254.48,Euro
74-757-1710,f,1,1,0,0,497.20,Dollar
50-071-7810,,0,1,1,0,442.76,Euro
45-725-1812,DR,1,1,0,1,373.33,Dollar
52-300-3004,F,1,1,0,0,373.42,Dollar
80-094-8311,f,0,1,1,0,280.61,Dollar
68-309-7100,f,0,0,0,0,431.06,Dollar
58-856-7959,DR,1,0,1,1,333.91,Dollar
81-674-1811,Drink,1,0,0,1,322.57,Euro
77-059-8227,Food,0,1,1,0,437.76,Dollar
42-530-3364,F,1,1,1,0,356.59,Euro
19-771-8494,f,0,0,0,0,312.87,Euro
03-669-6668,f,1,0,1,1,265.27,Euro
42-980-9586,DR,0,1,1,0,309.48,Euro
63-267-6670,f,1,0,1,0,365.37,Dollar
96-933-3213,DR,1,1,0,1,336.48,Dollar
21-549-2327,Drink,1,0,0,0,474.16,Dollar
27-425-6503,f,0,0,1,1,427.88,Dollar
75-985-1213,,1,0,1,0,323.93,Euro
16-907-9565,DR,0,1,1,0,288.05,Dollar
15-821-3689,Drink,1,0,1,0,452.72,Dollar
65-669-3595,F,0,1,0,1,330.75,Euro
68-335-7184,,0,0,0,0,490.56,Dollar
06-108-2921,Drink,1,1,0,0,393.64,Dollar
84-726-5038,F,1,1,1,1,413.72,Dollar
44-459-6604,Food,1,1,1,1,336.59,Dollar
98-389-4913,Drink,1,0,0,0,470.56,Dollar
05-505-3161,F,1,0,1,0,351.96,Euro
60-472-3189,Drink,0,1,1,1,263.22,Dollar
56-568-1848,Drink,0,1,1,1,355.74,Euro
65-198-7875,Drink,1,0,0,0,329.04,Euro
62-957-9447,F,1,1,1,1,374.48,Euro
61-112-0342,Food,1,0,0,1,366.41,Dollar
44-209-0249,Food,0,0,1,0,295.12,Euro
08-259-3713,f,0,1,0,1,337.84,Dollar
21-424-6557,f,0,0,1,1,433.12,Euro
82-771-1466,f,0,1,0,0,326.95,Euro
27-371-1992,F,1,1,1,1,357.10,Dollar
31-257-2677,f,1,0,1,1,335.58,Euro
27-739-7388,DR,1,1,1,0,311.11,Dollar
95-562-7053,Drink,0,0,1,0,307.23,Dollar
96-487-8926,Food,1,0,0,0,414.19,Euro
96-382-8632,F,0,0,0,0,493.67,Dollar
63-458-3759,,1,0,0,0,309.02,Dollar
08-340-4850,DR,0,0,1,1,330.93,Dollar
47-725-7642,F,1,0,0,1,294.15,Dollar
45-735-5480,Drink,1,0,0,1,375.33,Dollar
24-411-9829,Food,0,0,0,1,259.20,Dollar
00-640-5829,DR,1,0,0,0,368.67,Dollar
44-941-5315,DR,1,1,1,0,419.31,Dollar
15-505-6948,Drink,0,0,0,1,276.20,Dollar
98-952-2025,Food,0,0,0,1,440.88,Dollar
24-402-1633,Drink,0,1,0,0,293.07,Dollar
54-282-1157,F,0,1,1,1,272.90,Dollar
82-555-6949,DR,1,0,1,1,258.09,Euro
41-512-9513,F,1,1,1,1,417.86,Dollar
44-985-0498,DR,1,0,1,0,347.19,Euro
27-729-2206,f,1,0,1,1,404.10,Dollar
88-212-5255,f,0,1,1,1,347.75,Euro
50-375-7197,f,1,1,1,1,430.87,Euro
83-219-9335,Drink,1,1,1,1,365.96,Dollar
26-233-7897,Food,1,0,0,0,471.62,Dollar
55-551-0296,DR,1,1,0,1,313.17,Dollar
34-347-9158,f,0,0,0,0,389.96,Euro
36-710-5797,Food,0,1,1,0,471.98,Dollar
86-224-2102,DR,0,0,1,1,269.27,Euro
10-214-3943,Drink,1,0,1,1,497.91,Euro
12-831-2949,Drink,0,1,1,1,275.49,Euro
99-625-7548,Drink,0,1,0,0,268.94,Dollar
23-911-3808,Drink,1,1,0,0,479.09,Euro
27-278-5971,Drink,0,1,0,1,331.84,Dollar
55-310-3174,DR,0,1,0,1,359.40,Euro
80-925-8468,Drink,0,1,1,0,314.69,Dollar
46-330-8837,DR,1,1,1,1,287.64,Euro
52-176-2285,F,0,1,1,0,485.02,Dollar
29-915-2145,F,0,1,0,1,492.60,Dollar
45-776-2205,f,0,1,1,1,269.77,Dollar
77-782-3417,DR,1,1,0,0,404.57,Euro
00-403-1881,DR,1,1,1,0,422.85,Euro
19-524-3666,Food,0,1,1,0,255.54,Euro
75-172-6176,F,1,1,1,1,266.01,Dollar
99-232-8673,f,1,1,0,0,440.29,Dollar
27-011-7863,f,0,0,1,0,341.43,Euro
07-271-0926,Food,0,1,0,0,354.41,Euro
01-717-3878,Food,1,0,1,0,467.65,Dollar
84-912-1090,f,1,1,1,1,299.31,Dollar
01-639-6045,Drink,1,1,0,1,260.24,Dollar
45-007-7016,DR,1,1,0,0,285.91,Euro
51-617-8511,Food,0,1,1,1,335.20,Dollar
61-286-1647,Drink,1,1,1,1,263.37,Dollar
75-978-0444,DR,0,1,0,1,254.09,Euro
42-923-5069,Drink,1,0,1,1,289.43,Euro
49-953-6897,f,1,0,0,1,314.61,Dollar
31-081-1934,Food,1,0,1,1,289.20,Dollar
13-663-8159,DR,0,1,1,1,316.55,Dollar
40-087-9360,F,1,0,1,0,471.95,Euro
12-582-8507,Drink,0,1,0,0,270.99,Dollar
93-152-8322,Food,0,0,0,0,307.99,Euro
45-079-0578,Drink,1,0,0,1,253.06,Euro
50-580-6435,f,0,0,1,0,385.40,Euro
24-795-3335,F,1,1,1,1,333.35,Euro
22-902-6041,DR,0,1,1,0,415.35,Euro
53-057-5868,DR,1,1,0,0,445.53,Dollar
36-985-4805,f,0,0,1,1,342.92,Euro
96-587-6293,F,0,1,1,1,259.51,Euro
19-065-6068,DR,1,1,1,0,419.09,Dollar
11-759-5523,f,0,1,1,0,469.60,Dollar
01-840-4552,f,0,1,0,1,486.92,Dollar
60-832-1637,Drink,1,1,1,0,250.87,Euro
80-812-4113,Food,0,0,1,1,408.41,Dollar
31-725-3662,Food,0,0,0,0,469.14,Euro
82-230-7541,DR,1,0,0,1,313.67,Dollar
25-819-7563,DR,0,0,0,1,277.31,Euro
71-221-2510,Drink,1,0,0,1,491.84,Euro
87-415-5017,DR,0,1,1,0,347.12,Dollar
17-992-6719,f,1,0,0,0,304.01,Euro
66-832-2247,DR,0,1,0,1,312.13,Dollar
35-374-8054,Food,0,1,1,1,252.16,Dollar
59-841-5677,F,1,0,0,0,412.23,Dollar
39-537-0694,Food,0,1,0,0,490.71,Euro
76-772-1730,,0,1,0,1,259.09,Euro
36-071-2644,f,1,0,0,0,419.38,Dollar
79-555-3854,Food,1,1,1,0,469.62,Dollar
45-470-4993,Drink,1,0,1,1,337.04,Euro
31-195-9343,Drink,0,0,0,0,460.56,Dollar
18-003-6494,DR,1,1,1,1,336.49,Euro
01-295-8599,f,0,0,1,1,394.66,Dollar
94-023-3019,F,0,1,1,0,411.49,Euro
77-166-8413,DR,1,1,0,1,251.53,Euro
94-580-7090,F,0,1,0,1,326.97,Dollar
11-610-6719,Drink,0,1,0,1,443.06,Euro
90-831-7425,F,0,1,0,0,302.81,Dollar
13-850-6831,,0,0,1,1,468.37,Euro
14-521-7682,F,1,1,0,0,340.65,Euro
65-991-4287,Food,0,0,1,1,415.46,Dollar
04-575-8587,F,0,0,0,0,426.28,Dollar
74-932-4334,f,1,0,1,0,328.24,Dollar
14-195-7262,f,1,0,1,0,437.45,Euro
56-077-6227,Drink,1,0,1,1,293.54,Euro
