Store_ID,City,Item1,Item2,Item3,Item4,Monthly_Sales,Currency
388055366-1,Capital City,0,2,0,0,25415.18,USD
701041856-X,Capital City,1,2,2,1,46132.61,USD
497536987-7,Zarqa,2,2,1,1,48903.97,USD
674148400-0,Zarqa,0,0,2,1,39606.39,USD
880055665-5,A'zarqa,1,1,1,0,26560.08,JOD
597618744-7,A'zarqa,1,1,1,2,31438.14,JOD
849244997-7,zaqra,1,0,2,0,22847.81,USD
528395959-7,A'zarqa,2,1,0,2,36791.86,JOD
432424334-4,Amman,1,2,0,0,40005.71,USD
154551835-1,Amman,2,2,0,0,49823.80,JOD
870528712-X,,2,2,0,2,28362.95,JOD
184597967-2,amman,2,2,0,0,18066.64,USD
289553363-6,amman,1,1,2,2,29973.95,JOD
109771190-0,zaqra,1,2,2,2,43006.10,JOD
139302612-5,Capital City,0,2,2,1,13685.77,JOD
813251719-9,Capital City,0,2,1,2,47353.72,USD
102591285-3,Capital City,0,1,0,2,20170.20,JOD
404913066-1,amman,1,0,1,0,24640.22,USD
054939645-4,Capital City,2,1,1,0,49462.41,JOD
203077359-X,Zarqa,2,0,0,2,30290.51,JOD
400510394-4,amman,1,0,1,2,40052.28,USD
592288798-X,,0,0,0,0,34669.81,JOD
290016736-1,Amman,2,2,1,2,14288.19,USD
646970978-8,Amman,1,2,0,1,24473.84,JOD
572347833-8,Capital City,0,0,1,1,27719.56,JOD
755922935-2,amman,1,2,0,1,31492.79,JOD
614536990-6,zaqra,1,1,2,1,28059.11,JOD
782230267-1,Amman,2,0,0,2,30328.12,USD
988191294-6,Zarqa,1,1,1,0,48544.96,USD
962491312-9,A'zarqa,1,0,1,2,13326.74,JOD
045423333-7,,1,1,0,0,15406.81,JOD
403725412-3,A'zarqa,2,1,1,0,32478.47,JOD
098439262-9,Capital City,2,2,0,1,19156.40,USD
370150095-9,,2,2,0,0,27110.48,USD
907380201-6,Zarqa,2,0,1,0,50416.01,JOD
233478232-7,,2,2,0,0,37994.30,USD
053623727-1,zaqra,1,0,1,0,40619.63,JOD
064182325-8,amman,0,0,1,0,31994.40,USD
417534807-7,amman,0,0,2,2,14246.69,USD
769911277-6,A'zarqa,2,2,0,2,13387.32,JOD
385583994-8,amman,0,0,0,2,25937.29,JOD
061800044-5,zaqra,0,1,2,0,21065.15,USD
387651992-6,Amman,2,1,1,1,35133.14,USD
035935477-7,A'zarqa,2,1,0,1,28947.84,USD
508908409-2,Zarqa,0,1,0,1,43768.07,USD
249008187-X,zaqra,0,1,1,2,40105.01,USD
440536476-1,A'zarqa,2,1,0,0,23372.54,JOD
692070813-2,zaqra,1,1,2,0,28948.16,JOD
594714683-5,amman,2,1,1,1,36006.09,JOD
039145235-5,zaqra,2,2,2,1,32974.73,USD
941501484-9,A'zarqa,1,0,0,1,35460.77,JOD
941547343-6,Zarqa,1,2,2,1,26953.58,USD
516364665-6,Zarqa,1,1,0,0,38170.63,JOD
810550802-8,amman,2,1,0,2,40979.41,JOD
191587152-2,Amman,1,2,2,1,21332.98,JOD
726162034-3,amman,2,2,2,0,40532.12,JOD
829952893-3,A'zarqa,1,2,1,0,46806.14,JOD
964888945-7,amman,1,1,1,0,24859.17,USD
955567513-9,A'zarqa,0,0,2,0,51148.80,USD
384481324-1,amman,2,2,1,2,27502.66,USD
507549305-X,Zarqa,2,2,0,1,45520.59,JOD
977616808-6,Capital City,2,1,2,2,26320.11,USD
604720202-0,zaqra,1,0,2,2,17239.63,JOD
913471423-5,Capital City,0,1,0,1,43091.66,JOD
487208536-1,Zarqa,2,2,1,0,27196.63,JOD
734290551-8,amman,2,2,1,2,29083.74,JOD
391230697-4,Capital City,2,1,1,1,30252.95,JOD
630231682-0,zaqra,0,0,0,0,23579.99,USD
695987601-X,Amman,0,2,2,2,37571.65,USD
315119344-7,Capital City,2,1,1,1,47554.66,JOD
075592972-1,zaqra,0,1,0,1,51204.53,USD
841694857-7,Amman,2,1,0,0,12996.43,USD
482352155-2,zaqra,2,0,1,1,37432.84,USD
969816491-X,zaqra,2,1,1,1,35952.04,JOD
695827934-4,zaqra,2,0,2,1,23579.76,JOD
289456869-X,Zarqa,2,2,2,0,21159.48,JOD
463221841-3,A'zarqa,0,1,0,2,33434.53,JOD
074865993-5,zaqra,1,2,1,2,42916.09,USD
436542880-2,amman,1,2,2,0,19012.75,USD
896465470-6,Capital City,0,0,1,0,17010.18,JOD
669885244-9,Zarqa,1,2,2,1,26392.44,USD
035756221-6,Capital City,1,0,0,1,36834.40,JOD
484108934-9,A'zarqa,1,2,2,1,51261.32,USD
566976980-5,A'zarqa,1,1,1,2,13075.90,JOD
398037393-2,Zarqa,2,2,1,2,46253.78,JOD
540586920-1,Zarqa,1,0,2,2,19553.34,JOD
342720782-X,zaqra,1,2,2,1,23688.00,USD
578803216-4,Capital City,2,2,1,0,21918.18,USD
801725744-9,amman,2,2,2,0,13494.09,JOD
681277257-7,A'zarqa,1,0,1,0,24770.82,USD
373172493-6,Zarqa,1,0,0,0,28682.00,JOD
706759453-7,zaqra,2,1,0,1,31966.15,USD
839874990-3,Zarqa,0,2,1,2,47474.63,JOD
192221630-5,zaqra,1,0,0,2,20267.95,JOD
892025231-9,A'zarqa,1,0,2,0,23665.88,USD
833078311-1,zaqra,0,2,0,1,39381.80,JOD
235706228-2,,1,2,0,1,33975.25,JOD
318044662-5,Zarqa,0,1,1,2,42615.16,JOD
153216638-9,Capital City,0,1,0,2,33229.32,USD
486793813-0,amman,0,1,0,2,50078.31,JOD
188685525-0,A'zarqa,0,1,2,1,25294.06,USD
110397081-X,Amman,2,2,2,2,23885.59,JOD
272621219-0,amman,2,2,1,0,41267.09,USD
515497253-8,Amman,1,1,0,1,32155.84,USD
735857216-5,amman,2,0,1,0,24064.96,USD
114315335-9,zaqra,2,2,1,1,50579.13,USD
178993891-0,Capital City,2,2,1,2,19525.17,USD
520931028-0,zaqra,1,2,1,0,49173.82,USD
207729512-0,amman,0,1,1,2,29271.14,USD
930840804-5,Amman,0,1,0,1,37743.06,USD
982375676-7,Amman,0,0,1,2,51791.69,JOD
826660912-8,Zarqa,0,2,1,2,27895.32,USD
190697341-5,Amman,0,0,1,0,14718.68,JOD
641468547-X,Zarqa,2,0,2,0,51546.24,JOD
597346244-7,Amman,0,1,0,0,47350.53,USD
583220415-8,Amman,2,1,2,0,42332.50,USD
544710656-7,Zarqa,1,2,1,2,20737.17,USD
543138212-8,Capital City,2,0,2,0,51302.57,JOD
307590632-8,Amman,0,1,0,1,20422.68,USD
963390828-0,zaqra,1,2,2,2,40966.14,USD
674691884-X,Amman,2,1,2,2,23264.95,JOD
626781329-0,A'zarqa,2,2,2,2,46703.46,JOD
589875970-0,A'zarqa,1,2,1,2,33069.94,USD
536404308-8,Amman,0,0,1,1,48504.43,USD
907421244-1,Capital City,1,2,1,0,50610.34,JOD
873813023-8,amman,2,1,1,2,34850.27,USD
438549593-9,Amman,1,0,1,0,50195.12,USD
123229455-1,A'zarqa,1,0,1,1,25741.22,JOD
168054271-0,amman,2,2,0,0,19620.62,JOD
343358846-5,Zarqa,2,2,1,2,27164.12,JOD
546896898-3,Capital City,1,1,2,0,22514.30,USD
559959094-1,Amman,2,0,0,1,45830.64,USD
565549206-7,A'zarqa,1,2,0,1,45568.20,JOD
699116102-0,Capital City,2,2,2,2,38391.81,USD
711158072-9,Capital City,2,0,0,0,21706.23,JOD
849916614-8,Amman,1,1,2,0,21913.88,JOD
933065452-5,Capital City,0,2,2,0,46021.88,USD
597162892-5,Amman,2,2,2,1,14694.36,JOD
571787754-4,Capital City,2,2,0,2,14017.56,JOD
143376041-X,zaqra,0,2,0,0,35900.85,USD
629883271-8,Zarqa,2,2,1,0,17492.97,USD
285808807-1,amman,2,1,2,2,39200.40,USD
978914306-0,amman,0,2,0,1,40822.51,USD
622653278-5,A'zarqa,1,2,0,1,31013.93,USD
999312059-6,Capital City,0,0,2,0,29109.12,USD
402160413-8,Capital City,0,1,2,2,32692.11,USD
008933161-3,Capital City,2,2,2,2,39650.25,JOD
795591722-7,amman,2,2,2,2,22482.64,USD
598650283-3,Zarqa,0,1,2,0,13127.67,USD
048838151-7,Zarqa,2,1,1,2,36077.38,JOD
016298579-7,Amman,2,0,0,2,17038.53,JOD
783110359-7,amman,2,0,0,2,38134.23,USD
304607730-0,,2,0,0,1,34133.57,JOD
635445100-1,A'zarqa,1,2,2,1,50347.99,USD
270050501-8,amman,1,1,2,0,33403.89,USD
803574485-2,amman,1,2,2,1,43020.21,JOD
718341840-5,Amman,0,2,0,2,48237.91,JOD
335034178-0,Capital City,2,1,2,2,38538.47,JOD
142155781-9,A'zarqa,1,2,1,0,28094.88,JOD
283664804-X,Zarqa,2,0,2,1,46440.99,JOD
959933879-0,Zarqa,1,2,2,2,14106.78,USD
533134096-2,zaqra,0,0,2,2,49609.30,JOD
891028138-3,Zarqa,2,1,1,1,36250.23,JOD
996047373-2,zaqra,0,2,1,2,46227.14,JOD
042724046-8,Amman,1,0,0,0,40542.62,JOD
944323540-4,Capital City,0,0,2,1,15895.27,JOD
712738272-7,amman,1,2,2,1,20441.63,JOD
694965359-X,Capital City,2,0,1,2,23651.62,JOD
327735597-7,Capital City,2,0,2,1,41772.18,JOD
135579026-3,Zarqa,0,2,0,2,17443.13,USD
095868207-0,Zarqa,0,0,0,1,29313.93,JOD
992473076-3,zaqra,0,0,2,2,44640.72,USD
664527791-1,Amman,0,0,0,0,20342.62,USD
017291694-1,Capital City,1,1,2,0,29756.35,USD
801174475-5,A'zarqa,0,2,1,0,49398.28,JOD
464294056-1,Zarqa,2,1,2,2,19728.54,USD
761802395-6,Zarqa,0,2,1,1,45151.68,USD
768426847-3,Capital City,1,2,0,0,41105.98,JOD
453996040-7,Amman,1,0,0,1,50281.10,JOD
550498690-7,Amman,0,1,2,1,41319.59,JOD
092087368-5,Capital City,1,2,0,1,12024.84,USD
848623677-0,amman,2,1,1,1,20901.14,USD
708999752-9,Capital City,0,0,0,2,24629.77,JOD
000389836-9,A'zarqa,1,1,2,2,18368.97,USD
314438015-6,zaqra,2,1,1,0,21121.38,USD
461534558-5,zaqra,1,0,2,2,39656.53,JOD
250421920-2,zaqra,1,1,1,0,24324.95,JOD
976604797-9,amman,2,0,1,0,12403.16,USD
554405692-7,amman,2,0,0,2,22124.44,JOD
254493727-0,Zarqa,2,2,1,0,23748.05,USD
303305484-6,Capital City,1,1,0,1,44963.13,USD
058109648-7,Capital City,2,1,0,0,28193.78,JOD
108237602-7,Capital City,2,1,1,2,36096.39,JOD
744788046-9,Capital City,1,1,1,1,26485.16,USD
714581778-0,Amman,0,1,0,0,42045.37,JOD
949342500-2,Capital City,0,1,0,2,24594.27,USD
031108505-9,zaqra,0,0,1,0,21448.71,JOD
691010658-X,zaqra,1,1,1,1,31081.92,USD
772763229-5,Capital City,2,1,2,2,16010.11,JOD
573224051-9,Capital City,2,2,0,2,24630.19,JOD
432707784-4,Zarqa,1,2,0,0,14645.18,JOD
257894350-8,Amman,2,0,1,1,41050.40,USD
957638475-3,A'zarqa,1,0,2,0,28726.38,JOD
434993601-7,Zarqa,1,1,2,0,26484.64,USD
814363187-7,amman,1,0,2,0,27528.78,JOD
676406924-7,Capital City,1,0,1,2,21043.42,USD
864403742-0,Capital City,1,2,2,2,28036.12,USD
504512013-1,A'zarqa,0,0,2,1,28959.56,USD
974428298-3,amman,2,1,1,0,31034.05,USD
819569375-X,Zarqa,1,0,2,2,12072.35,USD
178642081-3,amman,1,0,1,1,21828.45,JOD
206974396-9,zaqra,2,1,0,1,31268.47,JOD
463013214-7,zaqra,1,0,2,1,29539.33,JOD
551114335-9,Amman,1,0,1,1,36955.64,JOD
717121677-2,zaqra,2,2,2,0,20130.80,USD
599592111-8,Amman,0,2,2,2,30034.38,USD
248819980-X,zaqra,0,0,0,0,36632.51,USD
291144655-0,amman,2,0,2,0,45028.96,JOD
409577713-3,zaqra,2,1,2,0,46563.89,JOD
010736694-0,zaqra,1,0,2,0,33464.50,USD
847910688-3,Capital City,0,0,1,1,45032.07,USD
641534536-2,Capital City,1,0,1,0,33564.50,JOD
856664004-7,zaqra,0,2,2,1,37760.89,USD
049341914-4,Zarqa,1,1,2,0,51592.23,JOD
431153781-6,Capital City,0,2,0,2,47512.85,JOD
947737803-8,Zarqa,2,0,1,0,28735.18,JOD
340850341-9,Amman,0,0,1,2,52913.80,USD
249246621-3,amman,0,0,2,0,12407.17,USD
422182070-5,Zarqa,1,0,2,2,48894.04,USD
681559272-3,Zarqa,0,1,0,2,49632.46,JOD
706888545-4,zaqra,1,0,0,0,33322.86,USD
971980916-7,Capital City,1,2,1,2,33477.59,USD
312135216-4,amman,2,0,1,1,12864.52,USD
000779774-5,amman,2,1,0,0,47592.62,USD
614761270-0,Amman,1,0,2,2,23470.46,USD
865537924-7,Amman,0,0,1,2,37773.27,USD
167109861-7,Zarqa,0,0,2,0,41534.32,USD
325412364-6,Capital City,1,0,2,1,52797.94,JOD
539442154-4,Capital City,1,1,2,0,33625.65,USD
337203507-0,zaqra,0,2,1,2,34036.88,USD
637870901-7,Capital City,0,1,2,0,35508.94,JOD
440903570-3,Amman,2,0,2,0,37448.18,JOD
748324643-X,Capital City,0,0,1,1,15536.52,USD
258700097-1,zaqra,1,1,1,0,43439.88,USD
232600870-7,A'zarqa,2,0,0,1,32556.46,USD
119335512-5,A'zarqa,0,0,1,2,43251.64,USD
241056264-7,zaqra,1,0,2,0,22352.60,USD
943036696-3,A'zarqa,0,2,0,1,47825.01,USD
265130083-7,Amman,0,0,1,1,27001.14,USD
278125034-1,Amman,0,1,2,1,31232.91,USD
145708909-2,amman,0,0,2,2,20225.85,USD
888565079-1,Capital City,2,0,2,1,33660.52,USD
070222497-9,zaqra,2,1,2,1,20673.67,USD
660488196-2,zaqra,0,1,1,1,49059.52,JOD
159043961-9,zaqra,2,2,1,2,52865.90,USD
045952151-9,Amman,2,2,2,1,20767.54,USD
965380679-3,zaqra,1,1,2,1,33972.94,USD
694266643-2,,2,0,1,2,43145.34,JOD
236626962-5,amman,1,0,1,1,49954.52,JOD
744523094-7,Zarqa,0,2,0,1,34333.37,USD
748520179-4,Capital City,2,1,2,1,37450.55,JOD
387083740-3,Capital City,1,0,0,0,31951.40,USD
818561398-2,amman,2,2,2,2,32173.34,USD
681724795-0,amman,1,2,0,2,51772.51,USD
066261339-2,A'zarqa,1,1,2,0,38591.21,JOD
632151531-0,A'zarqa,1,1,0,1,34738.52,USD
227956440-8,Amman,0,2,2,0,22311.66,JOD
531554109-6,Capital City,0,0,1,2,20321.96,JOD
658099989-6,zaqra,2,2,2,2,50930.62,JOD
412506129-7,Amman,2,0,1,0,44460.87,USD
148590032-8,amman,1,0,2,0,41734.27,USD
738995201-6,zaqra,1,0,0,1,16119.56,USD
350603272-0,Zarqa,1,2,0,1,36661.01,USD
309158472-0,A'zarqa,2,1,1,1,47900.33,USD
135705851-9,Zarqa,1,0,2,2,41341.33,USD
341647353-1,Zarqa,2,1,1,0,22828.19,JOD
921095275-8,amman,2,1,2,0,35280.49,JOD
998035543-3,Capital City,2,0,2,0,50837.76,JOD
088848166-7,Zarqa,0,0,2,1,32795.35,USD
409273942-7,Capital City,0,1,1,0,34473.92,JOD
538105100-X,Capital City,0,1,0,2,48886.13,JOD
258446690-2,,2,0,0,2,42113.86,USD
243761777-9,zaqra,2,1,2,0,31897.16,JOD
874499209-2,A'zarqa,1,1,1,2,25760.23,USD
158828103-5,amman,0,1,2,2,52566.56,JOD
268675192-4,Zarqa,2,2,1,0,27884.83,JOD
107037019-3,Zarqa,0,2,0,1,24787.11,USD
837467592-6,Amman,1,0,0,0,37251.76,USD
293538002-9,Capital City,1,2,1,0,27012.22,JOD
982885407-4,amman,1,1,0,0,26500.39,JOD
746789211-X,amman,2,0,0,1,50244.58,USD
145204176-8,zaqra,0,2,1,1,51287.98,JOD
184589952-0,zaqra,0,0,2,2,44572.29,JOD
765381977-X,zaqra,2,0,2,0,43598.04,JOD
551893107-7,,2,1,1,1,43529.68,JOD
554962447-8,Amman,1,1,2,1,48123.72,USD
399703618-7,Zarqa,0,2,2,0,34510.90,JOD
797886516-9,Zarqa,0,1,2,1,26315.30,JOD
088246820-0,Amman,1,1,1,1,48967.19,JOD
430936281-8,Amman,2,1,2,0,37205.20,JOD
723180620-1,Amman,2,2,1,2,25676.23,JOD
966514222-4,A'zarqa,0,1,2,1,31734.81,USD
932495724-4,Amman,0,1,2,1,31441.17,JOD
456079574-6,Amman,0,0,2,0,38723.52,JOD
772655451-7,Amman,2,2,1,2,52329.10,USD
992591597-X,amman,1,0,1,2,46950.52,USD
729050344-9,Capital City,0,0,0,2,36727.79,USD
376591371-5,A'zarqa,1,2,0,0,42395.87,JOD
056155868-X,A'zarqa,2,2,1,2,42063.24,JOD
618623196-8,zaqra,0,0,1,2,20384.10,USD
370982425-7,zaqra,2,1,1,0,31476.11,USD
392930546-1,Zarqa,2,1,2,0,43596.36,USD
157729126-3,Capital City,1,2,0,1,32780.92,JOD
666814465-9,Amman,0,1,2,2,27239.47,USD
399608427-7,Zarqa,1,1,2,2,21920.45,JOD
263766185-2,zaqra,2,1,1,1,16793.68,USD
056719669-0,Amman,0,0,0,1,23549.94,USD
693425031-1,amman,0,2,0,0,38676.48,USD
116989789-4,zaqra,0,2,2,0,24970.10,USD
825832818-2,Amman,1,2,1,1,18241.26,JOD
042387519-1,Zarqa,1,0,1,0,34312.61,USD
176063845-5,amman,0,1,1,1,52389.07,JOD
193718375-0,Amman,1,1,2,0,40819.23,USD
299674948-0,Zarqa,2,2,2,2,23092.53,JOD
936768348-0,Capital City,2,2,2,0,49528.06,USD
221093718-3,Zarqa,1,0,1,0,47960.34,JOD
735466304-2,zaqra,0,2,2,0,44945.03,JOD
475879580-0,Zarqa,2,2,0,0,22862.48,JOD
231665861-X,Zarqa,0,0,2,1,32799.29,USD
597254962-X,zaqra,1,1,2,0,34862.15,USD
027807245-3,Capital City,1,2,2,1,34976.90,JOD
779183503-7,Zarqa,2,2,0,2,48471.73,JOD
947462713-4,amman,1,0,0,2,47211.34,USD
795444549-6,Zarqa,1,1,0,2,45991.27,JOD
416210120-5,amman,2,1,2,0,38686.05,USD
358670388-0,,2,0,2,1,29566.08,JOD
552130297-2,amman,1,2,1,0,34804.33,JOD
344985550-6,Zarqa,0,1,0,2,29293.01,JOD
283577239-1,Capital City,2,0,1,1,23849.31,USD
603688312-9,Capital City,1,2,1,1,30865.15,JOD
608902862-2,Capital City,0,1,0,2,20145.85,JOD
415036092-8,zaqra,0,1,0,2,31058.88,USD
394772299-0,Zarqa,2,1,2,2,42628.04,JOD
678069936-5,Zarqa,1,1,1,2,17691.13,USD
276679322-4,Capital City,1,1,2,1,18230.65,USD
284012651-6,Zarqa,2,1,2,0,19247.90,USD
784055928-X,Capital City,0,1,1,2,25180.35,USD
835628020-6,Capital City,2,1,0,2,32538.31,JOD
728534385-4,,0,1,1,1,47448.91,JOD
849052261-8,zaqra,1,2,1,0,22496.03,JOD
731565639-1,Amman,0,2,2,1,33913.22,USD
835918583-2,A'zarqa,2,2,2,2,12982.72,JOD
492166695-4,Amman,1,1,1,2,13082.14,USD
208145337-1,Zarqa,1,1,2,2,46980.05,USD
777815879-5,A'zarqa,1,2,1,1,19635.01,USD
555625624-1,amman,0,0,2,1,32088.73,JOD
509357951-3,amman,0,0,1,1,32439.10,JOD
814387983-6,Capital City,2,2,2,0,47134.04,JOD
428354879-0,Capital City,2,2,0,2,13660.76,USD
955110455-2,Amman,1,1,0,2,51916.17,USD
214876927-8,A'zarqa,0,1,2,1,32298.50,USD
491706575-5,Amman,2,0,0,1,32330.59,JOD
225830475-X,Amman,2,0,2,0,13477.12,JOD
036945642-4,A'zarqa,2,1,0,1,13274.61,JOD
031181843-9,Amman,2,2,0,1,46360.49,USD
542647637-3,Capital City,1,1,1,1,15622.13,USD
924311582-0,Capital City,1,1,2,2,42295.45,JOD
501290186-X,amman,2,0,0,1,38816.78,JOD
082761208-7,amman,0,1,1,1,30676.34,JOD
407120795-7,zaqra,2,2,2,2,43011.71,JOD
543954148-9,zaqra,0,0,1,1,26922.11,JOD
152526971-2,A'zarqa,2,0,2,0,22647.10,JOD
049900719-0,Zarqa,1,0,1,0,33759.85,JOD
147058913-3,A'zarqa,2,2,0,0,15231.33,USD
141886717-9,A'zarqa,2,2,1,2,24789.04,JOD
474929011-4,,1,0,0,0,18626.94,JOD
343607484-5,Capital City,0,1,1,1,12003.54,JOD
495750823-2,Capital City,2,0,0,0,50660.35,USD
559641686-X,A'zarqa,1,1,1,2,48734.59,JOD
655681251-X,A'zarqa,2,1,0,1,47940.48,USD
016827235-0,Amman,0,1,0,2,46330.93,USD
683135964-7,zaqra,1,2,1,0,21596.77,USD
588190146-0,Zarqa,0,1,0,0,18917.88,JOD
383737635-4,Zarqa,0,1,1,1,16287.81,JOD
441577078-9,Capital City,1,2,2,1,16121.32,USD
786512552-6,Capital City,2,1,0,2,21951.12,JOD
629461174-1,zaqra,1,0,0,1,47413.89,USD
237440084-0,,2,0,1,1,38764.91,USD
907607494-1,amman,1,0,2,1,46989.29,JOD
298546929-5,A'zarqa,0,1,2,2,24009.81,USD
273129055-2,A'zarqa,2,1,2,1,48912.03,USD
678632445-2,Zarqa,2,1,2,1,45942.65,USD
046874143-7,Capital City,1,1,1,2,34117.11,JOD
506402947-0,Zarqa,1,0,2,1,42542.11,USD
625582395-4,Zarqa,1,1,2,0,19382.09,USD
439066845-5,amman,0,2,0,1,52775.94,JOD
286554473-7,amman,1,0,1,1,46510.08,JOD
356182082-4,amman,0,2,1,2,19618.33,JOD
455650671-9,Capital City,0,2,2,1,12048.61,USD
881270822-6,,2,1,2,2,24815.44,JOD
489731608-1,zaqra,0,0,0,1,36479.44,JOD
966896679-1,Amman,2,1,2,1,49491.06,USD
883464614-2,amman,1,2,1,1,39995.84,JOD
585833115-7,amman,1,0,2,1,21543.26,USD
299837487-5,Capital City,1,0,2,1,48320.50,USD
191746827-X,A'zarqa,1,2,2,2,34152.09,USD
158304229-6,Zarqa,1,1,2,0,35502.14,USD
989466682-5,Capital City,2,1,1,2,14542.97,JOD
180253799-6,A'zarqa,1,0,2,2,33334.96,JOD
822165504-X,zaqra,1,2,1,1,12145.66,USD
362259135-8,Amman,0,0,1,1,40401.18,JOD
548516574-5,amman,1,2,0,1,14471.47,JOD
571924801-3,amman,1,1,0,0,12728.47,JOD
134925106-2,amman,0,2,2,0,42439.73,USD
993837329-1,Amman,2,0,2,0,26848.62,JOD
771251279-5,zaqra,0,2,2,0,41529.83,USD
570514084-3,Amman,2,1,2,1,43222.35,JOD
839993493-3,A'zarqa,0,1,2,2,34388.66,USD
719876683-8,zaqra,1,0,1,1,19017.10,JOD
018711665-2,zaqra,2,0,1,1,29023.02,JOD
744879309-8,amman,1,2,0,2,33740.95,USD
505374952-3,Capital City,1,1,1,0,45629.88,JOD
952307106-8,Amman,1,2,2,0,35169.99,USD
020674957-0,Zarqa,1,0,0,1,26043.44,JOD
717258581-X,Zarqa,1,1,0,0,15363.22,JOD
393485814-7,Amman,2,2,1,2,49867.97,JOD
685488712-7,Amman,2,0,2,2,50540.55,USD
297106037-3,A'zarqa,0,2,1,2,18147.36,USD
556879524-X,amman,0,0,2,2,29532.16,USD
232943916-4,Zarqa,0,1,1,2,24961.14,JOD
126608811-3,A'zarqa,2,0,0,1,37936.97,JOD
683450584-9,A'zarqa,0,1,2,2,48464.75,USD
439038659-X,Amman,0,1,2,1,18934.99,JOD
861191540-2,A'zarqa,0,2,1,1,16710.79,USD
063675378-6,Amman,1,2,0,1,19813.38,JOD
863039240-1,Capital City,1,1,2,0,50449.95,USD
069816405-9,A'zarqa,0,0,1,1,18890.86,USD
524087432-8,,0,2,2,0,37890.96,JOD
450999917-8,A'zarqa,0,2,0,1,24582.52,JOD
085677276-3,amman,2,2,1,0,27431.89,JOD
867999812-5,Amman,0,0,1,1,23918.98,USD
146818308-7,Amman,1,2,1,1,32893.53,USD
644491285-7,A'zarqa,0,1,1,0,50188.44,USD
588531014-9,Amman,1,0,1,1,49627.58,USD
411495654-9,amman,0,1,0,1,37710.31,JOD
651635482-0,,0,2,2,1,24566.28,JOD
973930357-9,Capital City,1,0,1,2,39867.02,JOD
695391852-7,Capital City,2,0,1,0,22106.51,JOD
940911577-9,Amman,0,1,0,2,52649.82,USD
459042066-X,,2,1,1,0,23235.95,USD
593779973-9,Zarqa,2,1,0,1,48884.76,USD
395770542-8,Capital City,0,0,1,2,39275.21,USD
584196323-6,amman,2,2,2,1,36413.37,USD
033657406-1,Zarqa,0,2,0,0,46131.05,USD
