StoreID,City,Item1,Item2,Item3,Item4,MonthlySales,Currency
861337325-9,Amman,2,1,1,0,46640.62,USD
760267929-6,Amman,0,2,2,1,17815.34,JOD
178077125-8,Amman,2,2,2,1,34075.35,USD
176939984-4,zaqra,0,2,0,1,24597.09,JOD
707790917-4,A'zarqa,1,2,0,2,45931.00,JOD
144908680-2,Amman,2,0,1,1,31823.10,JOD
790417828-1,zaqra,1,2,1,0,48573.62,USD
717315127-9,Amman,0,0,2,1,25257.28,USD
692131355-7,amman,2,2,1,0,50521.90,USD
494465916-4,A'zarqa,2,0,0,1,35841.08,USD
001019179-8,A'zarqa,2,1,2,1,13680.52,JOD
523006498-6,A'zarqa,2,2,2,0,50148.17,JOD
891477478-3,A'zarqa,0,1,2,2,13243.24,USD
278848596-4,Zarqa,0,2,2,0,31352.27,USD
858351901-3,Amman,2,2,2,0,20732.21,JOD
218019484-6,Zarqa,0,1,1,2,48658.59,JOD
162432781-8,Zarqa,0,0,0,2,46803.30,USD
522513798-9,amman,0,0,2,1,51670.26,USD
875207308-4,Capital City,0,1,0,1,37377.24,JOD
045589027-7,,2,0,0,1,24837.10,JOD
279059501-1,Amman,1,1,0,2,20543.96,USD
534715180-3,zaqra,2,0,1,2,42960.31,JOD
780082451-9,zaqra,2,1,1,1,27084.54,USD
681161282-7,A'zarqa,2,2,0,1,14675.22,JOD
902356091-4,A'zarqa,0,2,2,0,27725.03,JOD
529059518-X,zaqra,2,2,0,2,29290.15,JOD
704197022-1,Capital City,0,0,1,1,36825.38,USD
676386597-X,,1,2,0,0,45615.08,JOD
271952057-8,amman,2,1,0,1,22637.79,JOD
475027900-5,amman,2,2,2,2,12809.47,USD
570754411-9,,2,2,1,2,37696.54,USD
512466896-2,amman,2,1,0,1,27421.39,USD
736293691-5,Amman,2,0,1,2,39237.51,USD
886945147-X,Capital City,0,2,0,0,24596.21,JOD
362087668-1,amman,2,1,1,0,25311.96,JOD
901703499-8,zaqra,1,1,0,2,39046.42,USD
144152414-2,zaqra,0,0,1,0,48935.45,USD
518303228-9,Amman,2,2,1,2,28524.12,USD
624318480-3,Amman,2,2,1,1,43228.69,JOD
595034372-7,amman,1,2,2,2,14193.27,JOD
663743975-4,Zarqa,2,1,1,0,29114.76,USD
282789238-3,zaqra,2,2,1,1,51489.71,USD
506600506-4,A'zarqa,1,2,0,0,12034.13,JOD
812845795-0,A'zarqa,1,0,1,0,34139.99,USD
078006865-3,Amman,1,2,2,0,45144.88,JOD
645074217-8,Amman,1,0,2,1,27314.30,JOD
451842537-5,zaqra,1,0,2,0,28224.84,USD
013539391-4,Capital City,1,2,1,0,44054.53,JOD
112090108-1,Zarqa,1,1,1,2,24798.22,USD
633749736-8,zaqra,2,2,1,2,34149.43,JOD
373943538-0,Amman,0,2,1,0,23796.52,USD
600843026-3,Amman,2,1,2,2,19276.30,USD
475850600-0,zaqra,0,2,1,0,30663.82,JOD
291676702-9,A'zarqa,2,1,2,1,23526.45,JOD
127611821-X,Capital City,2,1,2,1,36783.21,USD
781960334-8,Amman,2,2,2,2,52628.18,USD
031714930-X,Amman,0,2,1,0,31765.63,USD
604869338-9,Capital City,2,1,1,1,16489.44,USD
411020095-4,,1,1,0,2,23320.39,USD
146978988-4,amman,0,0,1,0,36260.15,JOD
113038505-1,Amman,1,0,0,0,23358.64,USD
493556791-0,Capital City,2,2,2,2,22514.20,JOD
267254748-3,Amman,1,2,0,1,24448.15,USD
259229240-3,Capital City,1,2,1,0,40916.32,JOD
409104283-X,Capital City,2,1,0,2,25230.99,USD
479033837-1,zaqra,0,0,1,2,22598.98,USD
476689784-6,Amman,0,2,2,1,28092.58,USD
274228245-9,Amman,2,1,1,2,51696.63,JOD
966633778-9,Zarqa,2,2,2,0,21150.55,JOD
641506736-2,Zarqa,2,1,1,0,45886.91,USD
712828295-5,Zarqa,2,1,0,0,32175.44,USD
084969331-4,zaqra,1,2,0,2,37944.90,USD
548969151-4,Capital City,0,2,2,2,50612.30,USD
926978942-X,amman,0,1,2,2,21374.46,JOD
298934100-5,A'zarqa,2,0,1,1,49006.41,JOD
866363711-X,amman,2,1,2,1,33221.98,JOD
125025102-8,zaqra,0,2,0,1,19000.58,USD
866815369-2,Amman,0,0,2,0,23003.78,JOD
327492899-2,amman,1,0,2,2,26584.27,USD
663180553-8,amman,2,0,2,2,22316.96,JOD
971319212-5,amman,2,2,1,0,47058.67,JOD
758622269-X,amman,1,1,2,0,46189.58,USD
001675290-2,amman,1,0,1,2,52488.72,USD
930710972-9,amman,0,1,1,0,50245.11,JOD
846724820-3,A'zarqa,0,1,0,1,27970.34,JOD
260991705-8,,0,2,2,1,48198.31,JOD
542910369-1,zaqra,2,2,2,1,49183.69,USD
437563015-9,Capital City,2,2,0,0,27808.84,JOD
532163118-2,A'zarqa,1,1,0,0,18199.87,JOD
003259291-4,Capital City,2,0,1,1,34246.86,USD
465840239-4,Amman,2,2,1,2,52508.88,USD
080986646-3,Amman,1,2,2,2,18002.17,USD
610957027-3,amman,2,1,1,2,20281.87,USD
188367558-8,zaqra,0,2,0,0,12400.05,JOD
340217595-9,Amman,1,1,2,0,25056.41,JOD
293338879-0,Amman,1,2,2,1,15379.27,JOD
050837217-8,amman,2,0,0,0,16109.97,JOD
126887954-1,Zarqa,0,1,0,1,22615.19,JOD
013643216-6,amman,2,1,0,2,18466.52,USD
026399570-4,zaqra,0,1,1,2,12511.46,JOD
421823848-0,zaqra,1,2,1,0,31242.15,JOD
632655396-2,amman,2,0,0,0,39898.75,JOD
087851477-5,Zarqa,1,0,1,1,16292.87,JOD
173969256-X,Zarqa,1,0,1,1,32221.84,JOD
053265616-4,Amman,1,0,0,0,32130.02,USD
755793115-7,Amman,1,0,0,1,29517.08,USD
871491137-X,Amman,0,1,2,1,34384.02,USD
247072229-2,Zarqa,1,2,2,1,42615.16,USD
827124857-X,Zarqa,2,2,1,0,49038.22,JOD
629873505-4,amman,1,1,0,0,28500.13,JOD
819135810-7,Zarqa,1,0,2,1,46578.79,USD
689630929-6,amman,0,1,2,0,25559.62,JOD
179219658-X,Zarqa,1,2,1,0,24421.97,USD
441087961-8,Amman,0,2,1,0,41215.98,JOD
882704091-9,Zarqa,0,0,2,0,17257.46,USD
404288608-6,Amman,0,1,0,1,50873.50,JOD
085962451-X,Amman,2,0,1,0,14953.04,JOD
402957427-0,Amman,1,0,2,0,15393.98,JOD
779405653-5,Capital City,0,0,0,0,24004.37,USD
088301468-8,Amman,0,1,0,0,24181.94,USD
619950688-X,Amman,0,2,2,1,41529.57,JOD
934023159-7,zaqra,2,0,0,1,49203.83,JOD
268438706-0,A'zarqa,1,0,1,2,22811.53,USD
547739091-3,zaqra,0,0,1,1,29371.15,JOD
891964604-X,Amman,1,0,0,2,30870.67,JOD
636954410-8,Zarqa,1,0,2,0,16871.26,JOD
582731950-3,Zarqa,1,0,0,0,23850.36,JOD
208039426-6,Zarqa,1,2,2,1,35005.44,USD
603840711-1,A'zarqa,1,0,2,1,34937.24,USD
201602975-7,Capital City,2,2,0,0,12034.99,JOD
390185109-7,zaqra,1,2,0,0,50657.05,USD
128234766-7,amman,0,0,0,2,37137.42,USD
799241129-3,Zarqa,2,1,2,2,27415.27,USD
183972156-1,A'zarqa,2,2,0,1,52230.91,USD
534962306-0,zaqra,0,0,0,2,34848.63,JOD
066538469-6,Amman,0,1,1,1,47723.58,USD
732406486-8,amman,0,1,0,1,46395.61,USD
749008658-2,Zarqa,2,1,1,1,36920.44,JOD
348750730-7,Amman,1,0,2,2,48589.09,JOD
499582664-5,A'zarqa,2,0,1,0,32794.00,USD
030531029-1,Amman,2,1,0,2,32395.17,USD
114528667-4,A'zarqa,1,2,1,1,37702.62,JOD
721219954-0,Capital City,1,0,0,2,50370.55,JOD
548165056-8,Amman,2,2,1,2,45603.26,JOD
440255398-9,Capital City,2,0,2,2,18681.32,USD
487269865-7,Capital City,2,0,0,0,21111.63,USD
668994348-8,Zarqa,0,2,1,1,34174.09,JOD
022597367-7,amman,1,0,0,1,37407.82,USD
899068212-6,Amman,0,1,1,2,40097.17,USD
264240156-1,amman,0,0,1,2,50669.74,JOD
088174092-6,amman,1,2,2,2,31277.82,JOD
312366146-6,Zarqa,1,0,2,2,24389.28,JOD
613973992-6,Zarqa,0,2,2,0,43471.05,JOD
012940878-6,amman,1,2,1,2,46152.98,JOD
373002454-X,A'zarqa,2,0,1,2,43236.79,JOD
494317400-0,amman,2,2,1,2,24074.71,USD
015629338-2,Capital City,2,1,2,2,24458.81,JOD
425053099-X,amman,1,1,2,2,16369.47,JOD
324513720-6,Capital City,1,1,0,2,35498.76,USD
724998029-7,zaqra,2,1,1,2,30843.89,JOD
437896957-2,Zarqa,0,0,2,1,20150.33,USD
365575991-6,Amman,0,2,1,0,31022.72,USD
401980866-X,Amman,1,2,2,0,23331.32,USD
271250948-X,amman,1,1,0,1,31687.36,JOD
920276516-2,Amman,0,2,1,2,30775.49,USD
661100522-6,A'zarqa,2,2,0,0,41679.05,JOD
320793758-6,zaqra,0,1,2,1,47727.07,JOD
958547862-5,zaqra,0,1,2,0,30683.83,JOD
093203532-9,A'zarqa,0,1,2,1,19770.98,USD
185346621-2,amman,0,0,2,0,12611.86,USD
675645679-2,A'zarqa,2,2,2,2,36084.68,JOD
960160403-0,Capital City,1,0,1,0,23411.04,USD
493212492-9,Amman,2,0,0,2,44502.01,JOD
255419949-3,amman,0,1,0,0,14085.27,USD
144844310-5,Zarqa,2,1,0,1,19526.78,USD
115792850-1,,0,0,0,2,43820.93,USD
443379871-1,A'zarqa,2,1,1,1,23682.48,JOD
006595031-3,Amman,2,0,2,2,31571.31,USD
652205449-3,amman,0,0,0,1,48559.21,JOD
835834330-2,Amman,0,1,1,1,41425.66,USD
606650197-6,zaqra,1,1,1,1,47571.68,JOD
739147068-6,Amman,0,1,1,2,33541.09,JOD
038312944-3,Capital City,2,0,1,0,29901.13,JOD
061355466-3,zaqra,0,2,2,1,46820.82,JOD
220147362-5,A'zarqa,2,1,0,2,15503.40,USD
479248020-5,zaqra,0,1,1,1,30252.42,JOD
325083205-7,Zarqa,0,2,0,1,19257.92,USD
562663199-2,Zarqa,2,2,2,0,43167.30,JOD
467750363-X,Amman,0,1,2,1,34242.25,USD
811830194-X,Amman,2,2,1,2,47651.95,USD
487059789-6,amman,0,1,2,1,15005.18,USD
434633686-8,A'zarqa,1,1,1,0,34360.18,JOD
625804494-8,Capital City,2,2,2,1,44150.01,JOD
153915903-5,,0,0,0,2,36501.80,JOD
031598592-5,Zarqa,0,1,0,2,47485.45,USD
107423468-5,amman,1,1,1,1,26552.99,JOD
206901045-7,Amman,2,0,1,1,50789.17,USD
124917352-3,Capital City,1,1,2,2,52345.46,USD
900553519-9,zaqra,2,1,2,0,41418.10,USD
938770316-9,Amman,1,0,0,1,34768.58,JOD
076387197-4,A'zarqa,1,0,1,1,14474.62,USD
759739243-5,A'zarqa,1,0,0,1,36425.74,JOD
733846807-9,amman,0,1,0,2,45305.74,USD
034847221-8,zaqra,0,2,0,0,30437.09,JOD
910497622-3,Zarqa,1,2,0,0,42684.53,JOD
738221918-6,zaqra,1,0,0,0,36441.55,USD
747303603-3,Amman,1,0,1,1,30073.54,USD
199054903-9,Capital City,0,2,0,2,50156.30,USD
728938099-1,A'zarqa,0,0,1,0,30285.49,JOD
006340576-8,A'zarqa,2,2,2,2,19264.99,JOD
866690651-0,Capital City,2,1,2,1,26219.91,JOD
575493427-0,Capital City,2,0,1,1,40858.91,JOD
579493205-8,A'zarqa,2,2,2,1,29363.95,JOD
121698821-8,amman,2,0,1,0,34411.63,USD
182005009-2,Zarqa,2,2,2,0,50314.57,USD
619291703-5,Zarqa,0,2,0,2,40256.36,JOD
286194823-X,amman,2,1,0,2,40701.19,USD
877601751-6,zaqra,0,2,2,2,23202.59,JOD
116668230-7,Capital City,2,1,1,2,35649.50,USD
026218161-4,amman,1,1,0,1,30440.15,JOD
543845399-3,Zarqa,2,2,1,1,39952.34,JOD
099486369-1,Capital City,0,0,2,0,18066.99,JOD
882264330-5,amman,0,2,0,2,30338.06,USD
915032362-8,amman,2,2,2,1,36312.25,JOD
545454139-7,zaqra,1,0,2,0,43851.76,USD
751124284-7,A'zarqa,0,0,0,2,47132.61,USD
957798195-X,Amman,2,1,1,2,29316.58,JOD
442978851-0,amman,2,1,1,0,45039.38,JOD
242416464-9,Capital City,1,0,0,2,29247.11,USD
830196598-3,zaqra,2,2,1,1,39163.42,JOD
030555459-X,amman,2,0,0,2,41393.71,JOD
609992691-7,Zarqa,1,2,0,1,39428.17,JOD
867672122-X,Capital City,1,0,1,1,50680.13,USD
182509776-3,zaqra,1,1,2,1,13930.85,JOD
276781839-5,Zarqa,0,0,2,1,14278.20,JOD
634190103-8,A'zarqa,1,2,1,0,13830.56,JOD
705772948-0,Zarqa,1,1,2,0,42346.98,USD
462768848-2,Zarqa,2,2,0,2,13647.45,USD
522792679-4,zaqra,1,1,2,2,23284.13,JOD
543889574-0,Capital City,2,2,1,0,41318.81,JOD
194186717-0,Zarqa,0,2,1,2,28809.75,USD
134983888-8,zaqra,1,2,0,1,46181.54,JOD
007240268-7,Capital City,2,1,0,2,26461.45,JOD
488326739-3,Amman,1,1,1,1,24998.46,JOD
903584164-6,amman,2,0,1,2,34897.61,JOD
489924654-4,zaqra,1,0,1,0,28761.58,USD
265961716-3,Zarqa,2,2,0,2,41449.04,JOD
780179130-4,Amman,0,2,2,2,26719.63,USD
736761730-3,Amman,1,0,2,2,40611.03,USD
567851875-5,amman,1,0,0,2,51808.23,JOD
056425350-2,Capital City,2,1,1,2,29261.45,USD
286486718-4,zaqra,2,1,0,0,22040.51,JOD
040204511-4,Capital City,0,2,0,0,21759.58,USD
511467050-6,zaqra,0,2,2,2,45646.59,JOD
241368870-6,,1,1,1,2,39613.72,JOD
918084072-8,Capital City,1,2,2,0,33979.63,JOD
910888503-6,Zarqa,0,2,0,0,42617.60,USD
