Company,Country,Department-1,Department-2,Department-3,Department-4,Salary,Currency
351497443-8,,0,1,,1,1025.47,Euro
555680232-7,jod,2,0,1,2,1377.13,euro
502393276-1,Kuwait,1,1,0,2,909.68,euro
109302768-1,Jordan,1,1,2,2,1101.97,usd
517766184-9,Kuwait,2,1,1,0,761.25,JOD
601247654-X,egypt,2,1,0,1,1213.11,euro
333395963-1,Egypt,0,1,2,0,795.42,JOD
754427763-1,egypt,2,1,1,1,733.45,JOD
343098893-4,Jordan,1,1,2,1,924.87,JOD
882460775-6,JOD,2,1,1,0,896.55,usd
312274027-3,jod,0,1,1,2,726.00,euro
518964294-1,,1,1,,1,1265.63,Euro
744680423-8,Kuwait,2,1,0,0,1224.07,$
444313613-4,jod,2,1,0,0,887.01,usd
062324574-4,jod,1,2,0,2,1118.67,Euro
381398826-0,Egypt,2,0,0,1,1419.54,JOD
621566207-0,jod,1,2,2,2,1154.79,USD
543074074-8,Jordan,2,0,0,2,1093.64,JOD
552204630-9,JOD,0,1,1,0,747.46,USD
401943603-7,Egypt,1,0,0,0,663.57,$
186447106-9,Egypt,2,0,0,0,685.78,usd
460558436-6,Kuwait,0,0,0,2,1442.64,Euro
693251807-4,Jordan,2,2,1,2,1193.00,euro
932349069-5,Jordan,0,0,1,1,1144.92,euro
859212481-6,Jordan,2,1,2,1,1226.40,usd
054487575-3,JOD,2,1,1,1,1423.18,JOD
058854998-3,egypt,1,1,1,1,1370.97,euro
040141315-2,jod,2,1,2,2,926.08,JOD
771037260-0,Kuwait,2,1,0,0,1012.99,euro
812366718-3,Kuwait,1,0,0,1,986.19,$
181479711-4,Kuwait,0,0,2,0,640.96,usd
661708754-2,jod,2,2,0,1,1359.06,USD
452053680-4,jod,1,0,0,1,1193.44,USD
027713095-6,JOD,2,2,1,1,1065.21,euro
579072715-8,Kuwait,2,2,0,1,1440.12,euro
519583700-7,egypt,1,1,0,0,1013.00,USD
413975343-9,jod,0,1,0,1,960.63,USD
698428338-8,Kuwait,2,1,1,2,1218.54,$
109940570-X,JOD,2,2,1,1,1365.99,JOD
840392148-9,JOD,1,2,0,2,1404.22,JOD
592492133-6,JOD,0,1,1,0,1295.73,JOD
675292598-4,Jordan,0,2,0,2,1360.83,$
346733530-6,JOD,1,2,2,2,757.43,Euro
975460767-2,Egypt,1,1,2,1,1142.14,usd
574597891-0,Kuwait,0,1,1,1,1174.46,usd
005728375-3,Kuwait,2,0,2,1,662.59,$
912465792-1,Kuwait,1,0,1,1,868.83,usd
265984268-X,,0,0,,1,896.76,Euro
283434473-6,jod,1,1,2,0,1429.68,JOD
214077016-1,Kuwait,0,1,1,2,906.82,Euro
079067906-X,jod,2,0,1,1,1191.37,$
635824416-7,Jordan,2,2,1,1,1109.56,JOD
111069924-7,egypt,0,2,2,2,692.74,usd
668215760-6,JOD,1,1,0,2,1363.90,$
245310741-0,JOD,0,0,0,1,1458.18,$
615657427-1,JOD,0,2,0,1,864.17,euro
591633489-3,jod,0,1,1,1,1465.50,JOD
906411047-6,egypt,2,0,2,2,1266.81,$
319369138-0,egypt,0,1,1,1,1338.75,euro
419184883-6,jod,0,0,0,1,1210.65,euro
515279844-1,egypt,0,0,1,1,646.90,$
377605449-2,Jordan,0,1,2,1,1145.99,JOD
931148682-5,JOD,0,2,0,0,1193.30,JOD
688267127-3,Kuwait,1,0,2,1,801.92,Euro
625965645-9,jod,0,1,0,0,997.19,JOD
522883545-8,egypt,2,0,1,1,694.00,USD
502941995-0,egypt,2,2,0,1,983.98,JOD
943239409-3,JOD,0,1,2,2,783.68,$
952749102-9,Jordan,2,0,1,2,741.86,euro
762106533-8,Egypt,2,2,2,1,889.49,USD
645762224-0,Kuwait,1,2,0,2,1199.25,euro
430043814-5,egypt,0,2,2,2,1015.09,usd
571945662-7,jod,1,0,2,1,953.38,USD
435485881-9,JOD,1,2,2,0,805.21,$
916250126-7,Egypt,1,0,0,1,885.73,usd
241892508-0,Jordan,2,2,0,0,637.92,euro
324346064-6,Egypt,0,1,2,1,903.59,euro
412387765-6,jod,1,2,2,0,1426.69,USD
334927749-7,Kuwait,0,2,2,1,636.41,JOD
415405172-5,Egypt,2,1,0,2,1110.48,USD
759489284-4,Jordan,1,2,2,0,1465.44,JOD
828060507-X,egypt,2,1,2,2,918.83,USD
150489449-9,Kuwait,1,2,2,0,1370.18,euro
612309363-0,egypt,2,1,1,1,1170.04,Euro
518044763-1,egypt,2,1,1,2,1461.57,usd
807188114-7,Egypt,0,1,2,1,875.78,$
512732093-2,jod,1,0,1,1,1475.13,JOD
361576514-1,jod,2,2,0,1,1338.57,Euro
153947518-2,egypt,2,0,1,2,1095.24,usd
318832691-2,JOD,2,2,2,1,1264.81,Euro
671421126-0,,0,2,,1,753.79,$
573657948-0,Kuwait,0,1,0,2,1420.49,USD
972327276-8,jod,2,2,0,1,912.82,JOD
374868481-9,JOD,1,2,2,1,756.51,$
243794218-1,Kuwait,0,1,2,0,1013.33,JOD
948896015-9,jod,2,1,0,2,698.56,usd
387098565-8,egypt,0,1,2,1,1072.32,JOD
707871154-8,Kuwait,1,1,0,1,1453.44,$
942018460-9,JOD,1,2,2,0,1279.29,usd
909147535-8,Egypt,0,0,2,2,1287.17,USD
161571082-5,Kuwait,1,0,1,0,713.68,$
815385893-9,egypt,1,0,1,2,1030.68,euro
362687153-3,jod,2,0,1,0,1123.74,JOD
823225534-X,Kuwait,2,1,0,2,854.94,euro
753357009-X,Egypt,0,2,0,0,953.23,JOD
025828638-5,jod,1,1,0,1,852.51,USD
637143953-7,Egypt,2,2,0,0,918.75,USD
285195052-5,Egypt,2,2,2,1,1166.75,$
713965626-6,Jordan,0,1,1,0,1093.91,JOD
765960158-X,Kuwait,1,2,0,2,985.60,USD
160815223-5,Kuwait,0,1,2,1,809.00,USD
689264657-3,egypt,2,0,0,1,939.63,usd
490840619-7,Jordan,1,1,2,1,851.52,euro
858378439-6,egypt,1,2,0,1,1381.16,$
215963749-1,egypt,0,1,2,0,954.96,usd
154159305-7,JOD,2,1,1,1,1350.71,USD
083595429-3,Egypt,1,1,2,2,822.83,$
297275364-X,Kuwait,0,2,0,2,934.89,USD
335246983-0,jod,1,0,2,1,1243.14,euro
062787265-4,egypt,2,1,0,2,1274.36,JOD
059835059-4,Egypt,0,2,1,1,828.55,Euro
343563907-5,jod,0,1,0,0,1278.52,Euro
331370189-2,jod,1,0,1,2,1135.22,Euro
679494148-1,jod,1,1,0,0,1198.26,USD
038765705-3,jod,0,0,2,0,1318.71,euro
845982980-4,Jordan,0,1,1,2,1247.73,usd
633462913-1,Jordan,0,0,0,1,1403.66,$
275524894-7,Egypt,2,1,1,0,1254.99,JOD
165128837-2,Egypt,2,1,1,0,1324.90,usd
423701568-8,Kuwait,1,1,0,1,1110.05,Euro
691756715-9,,1,0,,2,1103.89,usd
719497727-3,Kuwait,1,0,2,2,1436.03,JOD
169417301-1,JOD,0,0,2,2,601.55,euro
728407169-9,Kuwait,0,2,2,2,1475.33,euro
847712836-7,JOD,0,1,1,2,691.61,Euro
143760764-0,jod,0,0,1,1,1393.31,USD
211398720-1,JOD,2,1,0,2,695.82,euro
063188856-X,Egypt,2,2,2,2,1441.37,euro
765482412-2,jod,1,0,2,0,869.84,$
884668058-8,Kuwait,0,2,2,1,1150.06,Euro
089559087-5,Egypt,0,0,0,1,1443.29,JOD
103474744-4,egypt,0,2,1,2,1018.32,$
442367270-7,Jordan,1,2,0,1,1143.40,Euro
523722173-4,Kuwait,0,0,1,2,1451.52,usd
984532411-8,Kuwait,0,0,0,1,1155.55,$
613966108-0,Kuwait,1,1,0,2,732.22,USD
237269800-1,Egypt,1,2,0,2,671.11,JOD
814494890-4,Kuwait,2,0,2,1,1260.05,usd
271188983-1,Egypt,2,0,1,1,752.60,euro
746164928-0,jod,2,2,1,1,687.70,usd
065356383-3,Jordan,0,1,0,1,930.20,USD
984893055-8,Kuwait,1,0,2,1,978.89,usd
538628299-9,Kuwait,2,1,1,2,658.01,usd
016205872-1,Kuwait,1,1,1,2,1263.24,JOD
964576550-1,egypt,2,2,0,2,1400.41,Euro
739259507-5,Jordan,1,2,1,1,1443.52,usd
235596597-8,Jordan,2,2,1,2,1371.93,$
378439896-0,Egypt,2,1,0,2,878.81,$
290192166-3,JOD,0,1,0,1,955.22,$
794813417-4,Egypt,0,1,1,0,1278.40,USD
779505392-0,Egypt,0,0,1,1,1391.54,USD
977084462-4,egypt,0,0,2,1,1492.39,Euro
587793678-6,Egypt,1,0,0,1,1307.73,USD
481289916-8,Egypt,0,0,1,1,1007.92,usd
185679279-X,Kuwait,1,0,0,2,838.85,Euro
960691343-0,Jordan,2,0,2,0,688.04,$
043261353-6,JOD,0,0,0,2,1158.80,USD
879818990-5,Jordan,1,2,2,1,1164.89,JOD
099485469-2,Kuwait,0,1,2,0,1061.02,JOD
310163638-8,JOD,0,0,1,1,1074.58,USD
217331506-4,egypt,2,1,0,0,742.67,JOD
430003916-X,Kuwait,0,2,1,2,1484.89,USD
728157246-8,jod,1,0,1,0,1067.71,JOD
452707853-4,jod,1,0,1,0,1372.73,JOD
513293423-4,Kuwait,2,1,0,0,1049.20,usd
913327662-5,Jordan,1,0,0,0,836.86,Euro
059176621-3,jod,2,1,0,0,1010.35,JOD
147023673-7,JOD,2,2,2,0,1223.65,Euro
863250140-2,Jordan,1,0,0,2,916.60,euro
691201349-X,Kuwait,1,0,1,0,940.26,Euro
251487501-3,Jordan,1,1,1,0,1458.25,$
062093671-1,Kuwait,1,1,2,2,1079.89,USD
689786208-8,jod,0,1,0,2,968.21,JOD
788051776-6,Jordan,1,2,2,1,1012.16,$
648162757-5,Kuwait,2,0,2,1,611.26,euro
931988486-2,jod,2,0,1,1,1051.10,USD
392484958-7,Egypt,0,1,0,1,820.15,Euro
552614009-1,jod,2,2,0,0,686.68,JOD
891505338-9,egypt,1,2,1,2,1019.69,USD
389070412-3,Kuwait,1,2,2,0,1117.43,euro
349157505-2,Jordan,2,1,0,0,1400.69,JOD
746433401-9,Egypt,0,2,0,2,737.42,euro
844604690-3,Jordan,1,0,0,1,1447.51,euro
850240986-7,Kuwait,1,1,0,2,1435.25,JOD
550922160-7,Egypt,2,0,2,1,609.05,JOD
668866597-2,jod,2,1,0,0,673.07,USD
376537384-2,Jordan,0,1,2,1,658.34,Euro
886080216-4,Jordan,2,2,1,1,1000.96,$
781913329-5,jod,1,2,0,1,960.08,JOD
026645350-3,JOD,0,2,0,2,1435.35,Euro
959037291-0,jod,2,2,2,0,1440.23,Euro
073918689-2,Jordan,2,0,0,1,1268.66,USD
993480715-7,Jordan,2,2,2,1,647.92,USD
688398689-8,egypt,1,1,0,1,1355.97,$
222304764-5,jod,2,2,0,2,1067.11,$
879297762-6,Kuwait,2,2,2,1,1232.10,Euro
672672514-0,JOD,2,0,2,0,1130.24,Euro
562411709-4,Kuwait,0,1,2,1,1386.71,euro
685526640-1,egypt,1,2,1,2,1394.39,$
399132280-3,Egypt,0,1,1,0,1310.38,Euro
292223656-0,egypt,1,1,0,2,1065.32,Euro
356738719-7,Kuwait,0,2,0,2,601.52,USD
696499436-X,JOD,1,0,1,2,1494.20,euro
622557499-9,Egypt,2,2,2,0,1255.52,usd
509117732-9,egypt,2,0,2,1,669.42,usd
345876706-1,Egypt,2,2,0,0,1306.05,usd
096005301-8,egypt,2,2,2,0,1010.67,Euro
388716109-2,Jordan,2,1,2,0,1024.86,USD
797022800-3,JOD,1,0,2,1,874.11,JOD
004450731-3,Egypt,2,1,0,1,1009.15,$
785950842-7,jod,1,0,0,2,657.71,Euro
271388237-0,Jordan,1,2,1,0,1210.20,USD
520893001-3,Kuwait,2,2,0,1,874.72,USD
899256758-8,Kuwait,0,0,1,0,722.97,usd
550492531-2,egypt,2,0,2,1,1361.52,USD
650703287-5,,1,1,,0,969.88,Euro
253730537-X,jod,2,1,2,2,1137.23,Euro
611478907-5,jod,0,1,0,1,1091.31,Euro
107121979-0,jod,2,0,0,0,1202.37,$
735727009-2,jod,1,2,1,0,1453.75,JOD
390959485-9,jod,0,0,0,0,1018.44,USD
855676671-4,Jordan,0,2,2,1,1295.06,$
991043738-4,Egypt,2,2,2,2,659.62,USD
305882776-8,,0,1,,2,1117.13,usd
199617464-9,JOD,2,1,0,1,1067.00,USD
513199713-5,Kuwait,1,0,1,1,1456.14,USD
667225673-3,Egypt,2,2,1,2,1187.13,usd
207204163-5,Jordan,2,0,0,2,750.72,USD
494546065-5,egypt,1,0,1,1,1405.56,JOD
314582288-8,Jordan,2,2,2,2,1354.22,Euro
057879459-4,JOD,2,0,0,2,1027.18,JOD
887768281-7,JOD,1,2,1,1,817.07,Euro
382007063-X,Jordan,2,2,2,2,1212.50,USD
856768666-0,egypt,0,2,0,1,742.40,usd
825529833-9,Egypt,0,0,0,0,1007.67,USD
529509092-2,jod,0,2,2,0,1121.47,$
878706570-3,JOD,0,1,1,0,679.72,euro
513923708-3,JOD,0,0,2,1,788.12,$
939014012-9,egypt,1,1,2,2,978.04,$
611018268-0,,2,1,,1,706.13,$
781824598-7,JOD,1,1,0,2,1211.88,euro
357758908-6,Kuwait,2,2,2,2,710.06,Euro
495197975-6,Kuwait,1,0,1,0,1075.78,JOD
823076713-0,Kuwait,0,2,2,2,1224.88,$
116245625-6,JOD,2,0,0,1,1338.89,euro
598904223-X,JOD,0,0,0,2,1281.45,$
432220013-3,Jordan,2,0,1,2,682.28,USD
008391875-2,Kuwait,1,2,1,0,738.80,USD
316120659-2,Jordan,0,0,1,0,1408.91,euro
101196581-X,Jordan,0,1,0,1,720.36,JOD
748621823-2,Kuwait,2,0,0,2,1068.97,usd
193553660-5,Kuwait,2,2,1,0,695.92,USD
159957619-8,jod,2,0,0,1,673.82,$
662944211-3,Egypt,0,1,2,0,795.54,euro
744869431-6,JOD,2,1,0,0,948.24,usd
293997642-2,Egypt,2,1,2,0,906.20,$
916042361-7,Egypt,1,0,0,2,746.20,euro
677571879-9,Kuwait,2,1,1,0,985.28,euro
594817778-5,Jordan,2,1,0,0,705.74,USD
612727550-4,jod,2,1,1,0,753.07,JOD
921270011-X,Kuwait,1,1,0,2,833.72,$
987278450-7,JOD,1,0,2,0,857.62,USD
308314212-9,Egypt,1,2,1,1,697.65,JOD
856110751-0,egypt,2,2,2,0,659.30,JOD
404226912-5,egypt,0,0,0,0,1247.70,JOD
812254129-1,jod,2,0,1,0,1221.34,usd
841099373-2,egypt,0,0,1,2,920.84,JOD
229241774-X,JOD,2,1,0,1,715.27,usd
592697824-6,JOD,2,1,2,0,1396.50,JOD
143890513-0,JOD,1,1,1,2,945.50,usd
755554781-3,egypt,0,1,0,0,983.42,USD
012696824-1,Kuwait,0,1,1,1,1359.53,usd
725041240-X,Jordan,2,2,0,1,1338.76,euro
243479422-X,Kuwait,0,0,2,2,1400.48,$
899322557-5,Kuwait,2,0,1,2,1240.92,euro
595590728-9,Egypt,0,0,1,0,745.82,USD
151070263-6,egypt,0,0,0,0,767.83,usd
718861676-0,JOD,2,0,0,2,727.31,usd
638597443-X,Egypt,2,1,1,2,1352.46,euro
869964536-8,Kuwait,2,1,2,1,892.25,USD
366323284-0,Kuwait,1,2,1,0,1300.64,JOD
565646894-1,Kuwait,2,1,1,2,862.29,USD
777975864-8,JOD,2,2,1,0,622.97,USD
974441728-5,Egypt,0,0,1,1,1429.10,Euro
162928413-0,Jordan,0,1,1,0,1389.86,usd
585745693-2,egypt,2,0,1,1,1471.67,USD
148360611-2,Jordan,1,1,0,2,709.96,JOD
072726880-5,Jordan,0,2,2,2,621.87,$
190148649-4,JOD,0,2,1,1,908.75,euro
218839983-8,jod,1,2,0,0,1245.43,euro
282519337-2,Kuwait,2,2,0,2,1160.16,USD
374246118-4,Egypt,0,1,2,1,1181.04,Euro
568063420-1,jod,2,2,2,1,753.49,$
402710681-4,jod,1,0,2,2,934.33,USD
274059329-5,JOD,0,0,1,1,790.77,JOD
259789988-8,JOD,2,0,2,1,1244.10,JOD
362611999-8,Jordan,0,2,2,1,831.75,$
100619186-0,jod,2,1,2,0,1029.24,usd
796519888-6,Jordan,1,2,1,2,1111.29,usd
457123836-3,Egypt,1,1,1,1,692.31,$
577234226-6,egypt,0,1,0,2,1082.79,USD
237266429-8,Egypt,2,2,1,2,693.37,Euro
982428571-7,Kuwait,1,2,0,1,1025.77,$
958171958-X,egypt,1,0,0,2,1410.26,$
579209947-2,jod,0,2,1,1,992.89,JOD
159639272-X,Egypt,1,0,1,0,1352.51,USD
511208635-1,Kuwait,1,0,1,0,1126.49,JOD
528433313-6,Egypt,1,1,0,1,1403.39,euro
902028865-2,Jordan,2,2,0,1,1125.11,Euro
620630145-1,egypt,1,1,0,2,1039.58,USD
454276960-7,Jordan,1,0,2,2,1090.67,USD
360455410-1,Jordan,2,1,1,0,748.98,usd
463886655-7,,1,2,,2,1250.38,usd
266879910-4,jod,2,1,1,2,1228.28,USD
919658188-3,Egypt,2,1,2,2,1462.49,USD
852619461-5,jod,2,0,2,1,676.11,USD
474977194-5,egypt,2,0,2,0,1351.82,Euro
158451190-7,Jordan,2,2,0,2,1345.90,USD
935756501-9,Kuwait,0,0,1,1,1003.23,$
275744136-1,Jordan,0,0,0,0,1462.04,euro
533446630-4,jod,2,2,0,2,784.93,usd
906820200-6,jod,2,1,0,2,738.26,euro
357241162-9,Jordan,2,0,1,2,1466.04,Euro
451782205-2,Jordan,1,0,0,0,829.13,$
923341187-7,JOD,1,0,2,0,709.82,USD
976381877-X,Jordan,1,0,2,0,1397.45,Euro
722667600-1,JOD,0,2,1,2,1230.44,$
628336536-1,Egypt,2,2,1,1,1468.53,Euro
216041178-7,Kuwait,1,2,0,0,662.80,USD
579444932-2,Kuwait,2,0,0,1,1315.48,JOD
932587500-4,egypt,0,1,0,1,978.81,USD
268089411-1,egypt,2,1,0,1,1420.20,euro
127675079-X,egypt,2,1,1,1,601.77,USD
234192061-6,Kuwait,1,2,0,0,729.43,JOD
017778724-4,egypt,0,1,0,0,1424.17,$
507947002-X,egypt,1,2,1,2,1434.09,Euro
963007548-2,jod,2,0,0,0,1071.17,$
194987628-4,JOD,2,2,0,1,855.13,euro
933719927-0,jod,0,1,0,0,652.91,euro
062427311-3,egypt,1,1,2,0,1336.77,JOD
139210939-6,JOD,1,2,1,1,807.18,Euro
182737177-3,Kuwait,1,0,2,0,1199.45,Euro
939607775-5,Egypt,2,2,1,1,1266.63,euro
291058296-5,jod,2,2,2,0,799.34,usd
202296718-6,JOD,1,0,0,2,640.45,usd
466666421-1,jod,0,2,2,2,692.44,euro
001759244-5,Egypt,2,1,1,2,601.66,Euro
461057700-3,Egypt,2,0,2,2,1492.51,euro
852264123-4,Egypt,2,2,1,2,1348.81,USD
532275650-7,egypt,0,1,1,0,1442.65,JOD
948107162-6,Kuwait,0,1,2,1,1380.01,USD
802877953-0,Kuwait,2,0,0,2,875.69,euro
577655700-3,Egypt,2,0,2,0,1439.28,$
386920606-3,egypt,1,0,1,1,1060.24,JOD
772754010-2,Kuwait,1,0,0,2,1313.76,$
054535540-0,Egypt,1,2,0,1,1187.33,$
567822968-0,egypt,2,2,0,2,871.69,Euro
977537213-5,Egypt,1,1,0,0,1322.70,$
529267557-1,JOD,0,0,0,0,1299.51,usd
259979602-4,Egypt,0,2,0,1,666.91,$
402797010-1,Jordan,2,1,1,0,1411.59,euro
053851039-0,JOD,1,0,0,2,911.43,USD
082047327-8,Kuwait,0,0,2,2,1108.85,Euro
802960452-1,egypt,1,0,0,0,1194.41,$
247187524-6,egypt,2,1,2,2,1274.96,Euro
264249236-2,Kuwait,2,2,0,2,1408.22,$
340185121-7,jod,0,0,2,2,1101.82,USD
040964536-2,jod,0,0,0,0,728.91,Euro
185164497-0,JOD,1,1,2,1,1494.11,JOD
409039321-3,Jordan,0,0,2,1,1138.69,Euro
088868843-1,jod,2,2,1,0,705.22,Euro
857256382-2,jod,0,0,1,1,1268.32,Euro
943850399-4,egypt,2,1,0,2,825.46,JOD
677632348-8,Kuwait,1,0,2,0,1480.91,$
545840201-4,egypt,0,2,0,2,932.30,usd
723675730-6,egypt,1,1,0,1,718.85,USD
385040228-2,jod,0,0,2,1,888.79,usd
879409502-7,Kuwait,2,1,2,1,709.69,$
459230477-2,egypt,2,1,1,1,654.79,Euro
839728884-8,jod,0,0,2,1,1282.56,Euro
158300366-5,Kuwait,1,1,2,0,1288.14,Euro
186855688-3,jod,2,0,2,2,995.69,euro
941681954-9,Egypt,0,2,2,0,670.15,usd
100117739-8,egypt,2,0,1,1,1343.32,USD
612316567-4,Kuwait,2,2,1,0,1085.89,Euro
337124321-4,Kuwait,1,0,0,0,614.16,USD
342864146-9,JOD,0,1,1,0,1317.63,JOD
599919514-4,Egypt,1,0,1,1,1030.26,Euro
549928252-8,JOD,0,0,1,1,1376.94,$
508471273-7,JOD,0,1,2,2,1451.52,$
983026662-1,egypt,1,2,1,0,974.83,JOD
347785953-7,jod,2,0,1,1,1210.76,JOD
600730103-6,JOD,0,1,1,2,1405.14,Euro
239262165-9,Jordan,1,2,0,2,1044.16,usd
902781991-2,JOD,0,0,1,0,648.08,Euro
901795508-2,jod,1,1,0,2,1245.65,$
111295173-3,Kuwait,0,2,0,2,1360.69,$
955225301-2,egypt,1,0,2,1,838.04,USD
701424019-6,egypt,2,0,0,1,964.91,usd
293684382-0,jod,2,2,0,2,1203.49,JOD
