Author_ID,Book_ISSN,Place_of_Publication,Year_of_Publication,TotalSales
6963,87-277-7423,Tokyo,Himsworth, 9085.52
46213,12-123-6746,New York,Shepcutt, 4180.60
3641,95-026-0714,London,Forrest, 1630.47
63468,63-422-3980,NY,Bury, 2418.36
513,21-492-6868,Tokyo,Terris, 5175.11
63468,88-584-4031,NY,Richardot, 8127.38
6963,42-087-1256,NY,Knewstubb, 5038.39
46213,36-594-9480,NY,Simonutti, 2713.86
3641,37-646-0737,Tokyo,Maruska, 3835.66
513,52-136-3428,NY,Alesio, 7835.44
63468,29-720-7272,New York,Bligh,
963,52-202-8942,Tokyo,Lochet, 8385.67
253,92-076-2762,toKyo,Porteous, 4134.82
255,78-541-7694,London,Beckwith, 6743.33
55,87-320-6182,Paris,Kantor, 5911.00
458,01-019-4967,london,Fant,
63468,25-751-9080,Paris,Hannaway, 6956.43
3542,15-585-5905,london,Terlinden, 3468.63
3546,70-228-9634,london,Castanho, 4187.57
253,44-598-1975,london,Walentynowicz, 7473.73
3546,54-340-0627,NY,McMeyler, 1444.05
458,07-120-6351,London,Boshers, 2416.16
3546,90-334-8235,London,Huthart, 9332.67
35465,28-255-6051,Tokyo,Magovern, 8757.49
464,27-913-9761,london,Willmont, 9190.71
35465,17-244-5891,toKyo,Sedgeman, 5358.03
464,34-291-9472,New York,Yuille, 4288.46
1336,77-546-1424,London,Adamowicz, 9035.67
513,36-637-9117,Tokyo,Geertje,
6963,16-154-9245,NY,Nehlsen, 7641.46
55,23-469-5114,NY,Stickens, 6158.84
253,81-135-1117,NY,Reynoldson, 6742.40
1336,38-968-8969,toKyo,Sawers, 8432.24
3542,51-533-6693,New York,Brandom, 1083.07
2554,77-252-3916,NY,Fosh, 1158.38
55,06-869-6721,Paris,Gaskell, 1532.17
253,06-100-9651,Paris,Noakes, 9438.67
464,64-755-3579,london,Thebeau, 9567.52
3641,46-914-9096,London,Arzu, 2164.12
464,48-322-1115,Paris,Dyshart, 6851.30
55,96-978-3134,London,Custy, 4999.50
68545,32-437-6676,New York,Paddick, 3229.96
255,41-765-2099,toKyo,Tembridge, 4087.54
3566,37-137-6691,London,Harsnipe, 8812.64
253,02-661-3711,NY,Girk, 3405.07
68545,36-262-1760,London,Hars, 1867.46
253,21-213-4800,New York,Clifforth, 9510.51
1235,29-377-5040,London,Cottham, 5009.90
458,62-244-4071,Tokyo,Derrell, 2046.57
3566,78-800-0514,London,Fairfull, 8241.11
1336,18-385-7118,New York,D'Aguanno, 9943.95
3566,34-015-0489,,Beaudry, 7454.51
1235,73-092-5025,Paris,MacNeil, 8372.99
3641,91-358-9178,toKyo,Boustead, 986.38
68545,23-419-2335,,Mogey, 3014.95
46213,39-544-4208,Paris,Lowfill, 6101.86
963,84-139-0438,london,Portis, 1911.22
63468,71-786-7121,NY,Lapsley, 4205.28
513,84-445-8517,toKyo,Dreinan, 9869.95
35465,42-108-8991,London,Getten, 5942.53
68545,40-563-2637,london,Giraldez, 1013.05
46213,62-496-1660,toKyo,Mayell, 3614.91
3546,96-993-9806,NY,Ebbings, 1676.66
55,61-633-3850,Paris,Grasner, 1576.74
2554,95-470-1057,Tokyo,Braidley, 4543.50
1336,65-379-2610,toKyo,Pacheco,
3566,48-769-0948,london,Maddocks, 8028.11
3641,27-459-5227,New York,Millichip, 8991.50
35465,10-140-6147,New York,Schimmang,
3546,91-716-3678,toKyo,Doggart, 7351.22
63468,01-505-6476,NY,Reddell, 1567.64
2554,76-660-0049,NY,Sworder, 2481.99
3546,24-825-5777,Paris,Faraker, 3768.08
55,30-961-4155,London,Bonnar, 5655.11
1336,73-124-9015,London,Suggitt, 4859.87
3542,24-139-0400,toKyo,Mann, 717.30
255,67-613-4106,Paris,By, 959.36
2554,48-498-8720,Tokyo,Ick, 2630.74
1235,40-679-2713,New York,Stonall, 2958.24
6963,35-908-9069,Tokyo,Mallatratt, 3020.34
2554,93-566-1001,,Cattach, 9571.10
3542,08-510-0866,toKyo,Densie, 6835.23
3566,62-676-8791,Paris,Well, 3464.21
55,91-467-0022,London,Fearon, 4034.06
3641,75-611-7280,New York,Harnor, 8744.51
3542,39-697-2987,Tokyo,Albasiny, 4014.14
3641,48-448-3493,london,Tournie, 7795.61
68545,64-575-0086,toKyo,Quinnet, 934.42
63468,97-978-6725,london,Lerego, 1378.12
464,29-438-9566,New York,Orris, 4411.70
55,49-492-8470,Tokyo,Crain, 8807.31
55,02-403-5226,London,Hiddsley, 8782.06
1336,74-163-0939,london,Chasmer, 5423.52
255,89-701-9655,NY,Eskrick, 4307.62
1336,20-819-1648,London,Orridge, 1583.31
55,28-076-6394,toKyo,Wildman, 8011.64
68545,74-546-4228,london,Markovic, 2378.29
3641,29-427-3532,Paris,Schuck, 1856.99
963,89-537-8253,london,Tizzard, 2333.13
1336,44-195-3533,Tokyo,Marien, 4289.68
963,17-040-2896,NY,Gritton, 9415.31
3641,42-627-4635,Tokyo,Raund, 8769.89
63468,71-614-5557,New York,Symper, 6535.57
513,97-050-9986,London,Tonner, 9432.03
3546,32-055-1112,London,Windless, 8695.07
35465,12-509-7338,london,Mohun, 1895.11
255,58-544-8645,london,Bridle, 1209.12
1336,28-830-4975,Paris,Moline, 2511.76
464,00-509-9561,NY,Wynes, 8301.28
3641,45-030-8757,New York,Meakin,
3566,91-834-9086,toKyo,Bilam, 4090.94
3566,62-828-8515,toKyo,Grayne, 6823.14
3641,50-525-8269,toKyo,Dennehy, 5840.15
6963,83-051-3826,New York,Boodle, 9203.24
255,90-433-1111,Tokyo,Gever, 3855.49
3542,42-637-0464,toKyo,Grise, 9264.43
458,54-937-6292,NY,Longland, 4618.87
2554,74-239-0758,New York,McCawley, 8388.40
2554,91-071-6864,London,Aspin, 4381.10
1336,76-462-8105,toKyo,Clendennen, 9584.58
6963,30-434-7949,toKyo,Scogin, 6024.62
35465,19-620-6544,,Hakking, 8503.79
3566,31-598-2440,Paris,Cathie, 5575.70
2554,49-611-3582,Paris,Pleven, 1254.63
55,51-626-1779,Paris,Jardin, 4121.45
255,74-864-4215,New York,MacAlister, 4405.74
63468,86-422-2385,toKyo,Ponsford, 900.38
3641,18-123-1449,NY,Cardenas, 8524.73
513,73-992-6698,Paris,Quartley, 8766.11
255,72-640-9934,toKyo,Kirman, 6524.09
2554,63-256-6016,NY,Berkowitz, 4853.29
963,90-450-7448,london,Whiston, 4148.99
1235,84-465-7365,london,Balazin, 1162.02
35465,08-947-6063,Tokyo,Woodyeare, 7193.27
63468,04-806-5149,Paris,Hunt, 2131.14
458,18-272-3691,London,Plan, 2120.07
1235,53-416-3873,Tokyo,Wakley, 9531.05
3546,42-259-5391,Tokyo,Glandfield, 1860.16
3546,14-931-8390,New York,Proughten, 1756.68
63468,19-207-5941,Paris,Mynard, 5085.80
6963,26-058-3972,Paris,Llywarch, 4406.92
458,20-505-6885,New York,Nerger, 2266.95
3546,84-151-9825,toKyo,Tottle, 739.71
55,72-711-1492,london,Deme, 5661.12
458,46-292-6164,toKyo,McGeaney, 2500.59
1235,32-955-7056,toKyo,Andrich, 4159.81
458,54-301-5822,toKyo,Girardet, 6517.46
253,14-681-0225,Paris,Goly, 5295.34
35465,23-715-0387,New York,Bothram, 7104.89
3641,21-707-8433,NY,Mancktelow, 1406.51
35465,72-423-3079,NY,Dagleas, 3980.52
68545,52-766-4070,London,Bassilashvili, 4725.84
3542,84-174-8228,Tokyo,Dowles, 4993.34
1235,85-309-4139,New York,Newvell, 1876.31
6963,28-305-0600,toKyo,Cockland, 1588.88
963,54-518-6268,Tokyo,Jurasek, 1732.68
35465,54-247-1174,New York,Maciunas, 4826.92
46213,61-605-7208,Tokyo,Keasley, 1542.83
68545,28-435-1015,NY,Gallant, 6284.76
1336,16-757-2737,London,Showen, 8160.73
513,30-840-8682,toKyo,M'Chirrie, 7267.35
253,54-961-6671,toKyo,McFee, 8877.81
3566,61-998-7023,New York,Colchett, 2370.52
3546,14-418-4690,New York,Saiger, 5156.94
35465,80-228-0427,london,Stratten, 6117.88
3641,86-705-6455,Tokyo,Brockman, 6465.76
6963,83-814-1008,london,Woodgate, 6092.97
3641,98-440-7262,Paris,Waddington, 6184.81
3566,41-923-9454,toKyo,Guilder, 9133.78
3542,12-420-8128,London,MacGauhy, 9302.43
3546,99-680-5275,toKyo,Kubicki, 5804.66
55,34-687-4264,Paris,Bacup, 7362.10
458,38-845-4005,toKyo,Trythall, 8614.60
6963,27-594-4270,Tokyo,Purvis, 2143.54
63468,46-911-2484,London,Wattins, 8598.20
6963,13-325-8449,london,McClaurie, 2208.26
1336,06-988-1221,toKyo,von Hagt, 1711.78
1336,14-342-4205,,Andrusyak, 8307.20
6963,12-583-5816,london,Ranken, 1059.73
1235,77-456-6903,toKyo,Cousins, 3929.65
35465,25-742-9047,london,Readshall, 3542.05
464,92-306-1457,london,Phuprate, 7827.65
255,59-517-4142,Tokyo,O'Dee, 5794.32
253,42-674-4157,london,Clayton, 7039.71
3641,96-980-1761,Tokyo,Emsley, 8963.18
3542,02-988-9696,toKyo,Agerskow, 3411.55
3542,98-001-6387,London,Lickess, 1382.52
513,65-208-8474,New York,Orae, 8497.90
35465,17-012-1250,Tokyo,Armsden, 4685.08
963,62-031-0676,london,Calway,
3542,75-779-6197,Tokyo,Van Schafflaer, 2784.56
1235,55-464-7329,NY,Kisby, 8270.05
46213,63-644-8629,Paris,Garden, 8089.24
464,62-556-2128,New York,Newgrosh, 6628.19
1336,44-598-3732,toKyo,McQuilty, 4420.35
1235,03-465-5162,Paris,Stockwell, 6452.64
46213,62-930-5050,New York,Hofler, 4918.91
3566,39-911-9196,London,Durram, 1118.62
3542,39-247-3442,Tokyo,Pau, 2740.02
1336,89-588-1146,Paris,Jahndel, 6707.07
35465,73-410-4747,london,Cestard, 6315.26
1336,79-684-7771,toKyo,Renol, 1940.01
963,03-305-2685,london,McClenaghan, 9189.53
55,51-422-2595,London,Ambrodi, 3985.16
2554,59-160-6827,New York,Bauld, 6650.88
464,99-828-8357,NY,Cuming, 1743.01
3546,34-137-6396,toKyo,Jodlowski, 4101.76
963,21-906-8811,NY,Filippello, 2139.88
55,74-978-2574,london,Jewiss, 3805.84
68545,64-972-1688,toKyo,Brant, 5875.78
3566,16-220-8237,New York,Cowlam, 1999.37
464,37-045-9092,london,O'Fallowne, 6805.38
513,24-214-4372,london,Heckney, 8702.43
1235,81-046-2369,toKyo,Durgan, 6029.29
68545,16-185-5155,New York,Hinchon, 5862.06
253,23-593-6792,,MacShirie, 5324.44
2554,79-646-6316,New York,O'Feeney, 4854.18
3546,74-682-9874,toKyo,Yurasov, 6149.34
1235,50-572-7081,London,Lawfull, 5080.20
3542,78-040-7910,toKyo,O'Shiel, 9977.47
513,55-472-2781,toKyo,Stollsteiner, 6423.13
68545,52-053-7538,toKyo,Grindell, 3166.98
3542,57-306-9639,New York,Tallon, 4173.92
35465,59-166-4336,toKyo,Gimblett, 9534.27
2554,55-170-8755,Paris,Misson,
3641,76-542-5426,london,Tedridge, 9989.38
3546,39-329-0227,London,Mawman, 8523.80
3542,36-419-8362,Paris,Hrynczyk, 2367.87
68545,07-200-6730,NY,Battams, 5105.51
55,76-891-0489,london,Gaiter, 2992.74
3566,46-540-5374,London,Pegg, 3944.11
513,15-203-4136,NY,Carwithan, 5716.59
253,97-916-6283,Tokyo,Bertomieu, 5059.28
253,03-641-4657,NY,Boynes, 8080.96
3542,74-800-2819,,Wilcockes, 9707.87
464,69-610-2892,London,Philipsohn, 7113.00
2554,14-121-8585,london,Maus, 3881.44
63468,30-462-1183,Paris,Cosgrive, 7016.10
253,00-341-3823,New York,Lashmore, 9412.66
458,01-957-9892,toKyo,Gozard, 5608.90
255,36-158-9243,New York,Sommerlin, 3999.08
253,31-230-2526,New York,Harvett, 7255.33
1235,13-079-9618,New York,Bowlesworth, 7248.49
963,31-619-8555,NY,Billie, 9684.21
3542,23-172-0523,Paris,Perkis, 3653.95
513,34-254-1049,Paris,Farleigh, 4173.37
3542,06-682-3575,Tokyo,Cabrera, 8140.96
3546,25-041-1693,toKyo,Garza, 9854.47
3566,57-555-4643,NY,Samudio, 1844.79
253,03-303-9852,london,McHardy, 5081.49
253,41-705-6178,Paris,Zapatero, 7161.45
63468,30-676-2729,New York,Lidstone, 7282.68
3566,26-852-4008,Paris,Shoebrook, 8639.95
6963,26-581-4718,london,Warham, 2917.98
513,06-695-4426,London,Twittey, 2025.38
963,70-025-0867,Tokyo,Comberbeach, 3388.70
6963,04-804-4367,Paris,Harrigan, 2942.05
255,81-515-9602,toKyo,Kearn, 8835.12
464,99-096-2112,london,Giroldi, 1692.97
458,35-224-7884,toKyo,Kwietek, 8545.39
1235,02-363-9589,london,Pendlington, 3464.51
6963,13-204-0227,Paris,Strong, 7465.43
46213,33-050-7927,Tokyo,Bloor, 4371.60
458,44-519-2108,toKyo,Durston, 6360.38
963,45-453-3947,london,Hechlin, 7270.62
68545,97-537-2502,london,Shewen, 8678.19
2554,00-591-7976,New York,Dalgarno, 8369.12
3566,80-102-9772,Tokyo,Debell, 2732.60
1235,50-992-4081,Tokyo,Krollman, 7721.01
3566,54-421-3256,NY,Assinder, 3292.12
963,12-982-7812,New York,Vaines, 9315.97
1336,81-956-0585,Paris,Vargas, 9753.34
464,00-691-2787,Tokyo,Vallender, 9029.78
1235,54-699-6489,New York,Brogini, 3368.53
253,11-180-6996,toKyo,Haycock, 6830.21
3542,57-543-1661,Tokyo,Sewart, 4921.07
3542,71-568-4453,london,Lorens, 4261.26
3542,38-641-2394,Paris,Glading, 2838.30
3546,58-192-8442,New York,Credland, 8796.16
253,64-805-9055,Paris,Mannion, 737.91
513,67-658-7723,Paris,Sanzio,
3641,62-253-5232,London,Smurfitt, 3020.91
253,19-109-8334,london,Lowthorpe, 4473.73
35465,40-330-2737,London,Polycote, 6822.41
458,98-632-0400,New York,Moens, 1961.99
46213,04-451-9059,london,Roadnight, 9549.14
55,65-236-9760,toKyo,Larby, 1570.11
3546,76-973-9979,New York,Blakiston, 2163.83
3566,48-686-3038,New York,Muspratt, 3039.89
6963,12-540-1417,Paris,Depka, 8907.13
35465,12-863-9534,NY,Shrimplin, 3275.72
3546,48-567-2989,Paris,Segrott, 5411.36
3641,03-979-4414,Tokyo,Shackle, 1124.20
6963,81-840-3022,london,Calf, 8695.11
68545,84-623-4646,Paris,Ganning, 4671.50
464,99-904-6093,NY,Hodges, 4998.28
68545,50-399-4717,london,Aleixo, 933.69
464,92-129-1780,london,Salmon, 5156.97
513,93-834-6834,New York,Girardin, 2769.87
55,81-480-8724,Paris,Mayberry, 9733.24
458,11-339-7221,New York,Croucher, 6468.76
253,26-748-9412,New York,Druce, 5597.18
63468,96-347-1044,London,Tombling, 1722.58
35465,87-858-4541,London,Hollows, 4478.55
3546,06-745-0683,London,Michie, 2812.81
1235,47-463-2543,toKyo,Bruggen, 3918.97
2554,67-679-9266,london,Baniard, 8701.90
1336,57-790-5716,NY,Solway, 5613.14
513,21-319-9925,london,Balthasar, 1827.90
1235,32-672-8160,london,Steketee, 7991.71
63468,76-184-0137,London,Cartmell, 1274.89
3542,76-360-4263,London,Goodredge, 9333.57
3566,42-316-0429,Paris,Kinnie, 5047.73
464,31-410-8754,london,Whaplington, 1095.32
963,78-754-3896,Paris,Ortiga, 9545.77
1235,67-881-8292,NY,Habbijam, 649.53
68545,93-353-7867,london,Spadoni, 7431.48
963,54-757-4120,London,Haddock, 8958.76
255,10-297-6437,Paris,Privett, 1048.70
2554,47-766-9288,New York,Petraitis, 1520.70
68545,93-224-0507,London,Tavner, 9792.04
963,17-855-9263,London,Longridge, 2518.85
3542,82-731-3519,New York,Rhead, 3056.77
1336,08-183-6441,Paris,Ioselev, 8542.03
35465,30-996-6554,NY,Worrell, 8380.64
68545,50-855-2573,london,Porter, 8994.62
1336,45-383-1542,NY,Hub, 5347.86
68545,28-443-0417,NY,Philipard, 8817.68
6963,25-844-0574,London,Reyburn, 3647.49
35465,02-278-2296,toKyo,Bartolomeu, 8193.87
1235,23-232-7123,New York,Cuberley, 7653.96
68545,41-379-4851,New York,Hessle, 5541.05
6963,82-042-8267,New York,Drysdale, 5940.44
35465,05-737-5515,NY,Robjents, 9387.98
513,07-941-0862,Paris,Benninck, 4084.90
1235,60-135-1670,london,Merryweather, 3418.28
255,08-026-1886,London,Mounch, 3654.16
1235,24-037-7157,toKyo,Jeandot, 3709.42
458,99-891-7910,Paris,O' Cloney, 9971.29
68545,16-814-2439,Paris,Greally,
3546,02-947-9651,london,Goodhay, 7885.54
2554,85-115-6525,Paris,Arthurs, 8812.76
253,79-444-6115,London,Ranfield, 2820.76
55,64-366-3121,Tokyo,Benterman, 1241.01
2554,53-012-3886,London,Slimings, 8395.31
35465,08-829-7656,london,Edison, 9165.66
68545,06-226-2502,New York,Dyka, 2174.75
55,07-344-2097,London,Caurah, 7593.38
1235,46-484-3281,NY,Basso, 7270.65
963,41-338-1122,toKyo,Coltherd, 2601.22
255,24-309-9467,Paris,Whittlesee, 4245.55
3542,27-308-6445,,Suermeiers, 8021.61
513,92-779-0334,London,Scramage,
253,90-539-1586,New York,Foulser, 2021.67
458,12-473-0960,london,Ruddick, 4801.74
513,28-425-2404,Paris,Donett, 9407.63
3546,01-780-6734,toKyo,Whittles, 7404.43
255,93-903-2668,toKyo,Pettigree, 9630.92
1235,37-623-3882,london,Rivers, 731.44
3641,12-789-5306,london,Tesoe, 1630.02
1336,38-138-2873,toKyo,Souley, 9706.99
464,63-832-3874,Tokyo,Hanny, 3260.19
55,13-794-9002,Tokyo,Juggings, 4831.57
464,36-719-9267,New York,Corpes, 9887.65
68545,87-418-3963,Paris,Gaenor, 678.92
68545,80-403-8735,toKyo,Drowsfield, 8146.67
35465,34-046-0491,Paris,Full, 8398.38
3542,86-344-6152,New York,Kleinhaus, 1103.18
3641,12-774-6620,toKyo,Krauss, 8400.27
6963,86-326-5296,Tokyo,Vernau, 3115.50
63468,36-144-6442,Tokyo,Benford, 7430.39
3542,36-793-8605,Tokyo,Rousel, 6530.24
46213,53-656-6181,toKyo,Lodford, 1086.20
6963,27-162-6807,london,Trouncer, 2851.08
3546,25-914-1538,Paris,Labrum, 7233.03
63468,38-240-3680,London,Lantuffe, 5399.96
35465,00-415-9416,london,Oland, 9574.58
3546,81-848-9684,london,Bachelor, 8600.09
1336,15-173-6530,New York,Ferronet, 2579.74
458,89-678-1616,NY,Tilly,
35465,07-196-6541,London,Emloch, 4873.81
63468,70-757-7161,toKyo,MacPaike, 6030.14
513,93-266-2334,London,Klemke, 6542.18
3546,84-175-9725,New York,Joontjes, 1805.57
253,23-556-8086,london,Olivella, 2604.01
3566,44-547-9629,New York,Brassill, 9989.02
3542,57-820-8315,Tokyo,Croley, 1259.31
1336,73-744-6507,london,Kornousek, 6133.41
63468,06-727-0515,NY,Bodle, 7991.66
2554,14-327-8262,london,Drews, 7317.54
1235,34-927-6945,Tokyo,O'Kielt, 1612.23
253,81-370-0789,London,Toms, 1939.59
1235,25-890-8182,New York,Raison, 4405.72
1235,56-130-4080,Tokyo,Connealy, 1849.77
63468,42-520-7065,NY,Goldthorp, 1102.06
3546,52-219-0833,london,Strudwick, 6487.59
253,58-909-2126,Tokyo,Stute, 2469.67
63468,92-344-3947,Paris,Jowle, 1219.47
3542,37-871-4983,New York,Fearnyough, 4363.23
63468,75-821-7489,london,Berkeley,
68545,62-361-4273,New York,Gerritzen, 8074.98
3542,62-194-1793,toKyo,Blaycock, 2838.56
2554,58-612-3259,New York,Fairchild, 8558.14
2554,21-778-9147,toKyo,Andrzejak, 2156.95
3641,55-078-8127,NY,Jahner, 1091.33
3546,03-560-6454,New York,Elleton, 4871.97
6963,19-774-6342,Paris,Glazyer,
1336,13-974-2516,NY,Cuffin, 3960.31
68545,69-534-7549,London,Spottiswood, 7481.19
3542,52-468-3886,London,Bonsale, 9102.02
35465,51-213-8747,toKyo,Wilsone, 8370.73
68545,42-805-8984,toKyo,Borel, 7127.17
513,91-515-2373,london,Shelf, 7288.51
68545,43-543-1284,london,Monshall, 9410.96
35465,36-530-6989,london,Tattershall, 8499.07
3546,79-176-4036,toKyo,Redshaw, 9932.56
255,09-940-9913,London,Hackworthy, 3431.33
68545,63-467-9813,london,Antonowicz, 4318.66
513,38-600-0727,Paris,Rosenfield, 4616.04
35465,15-128-2492,New York,Enrdigo, 1275.13
458,64-873-0374,NY,Kender, 9417.36
464,45-219-2182,NY,De Gregoli, 6960.96
6963,03-220-1325,toKyo,Dike,
963,05-966-2056,toKyo,Orrow, 9595.90
963,90-694-3212,NY,Burbridge, 9796.29
3542,31-240-3865,Tokyo,Teresa, 7503.06
3542,71-079-5281,Tokyo,Halpin, 8642.52
458,48-530-8732,Tokyo,Goaks, 9771.80
1336,13-332-5706,london,Skettles, 6194.41
63468,28-272-9298,London,Oakwood, 1605.96
68545,44-752-9301,Paris,Segrott, 7443.08
3566,25-083-0765,toKyo,Mensler, 6124.54
68545,70-341-2255,toKyo,Costell, 5405.28
2554,38-233-5645,Paris,Astle, 8502.76
46213,43-845-1877,London,Cornewall, 6818.73
253,00-038-3763,london,Moulsdale, 9755.75
253,03-827-9907,london,Eastam, 9109.08
6963,36-599-8188,NY,Vel,
55,68-942-1723,london,Feldharker, 9668.40
464,81-013-7670,New York,Rainy, 2538.85
3566,41-051-4418,New York,Probet, 6443.21
1235,29-337-6986,Tokyo,Sliman, 904.32
464,60-089-0097,toKyo,Heber, 4877.51
55,04-280-0779,toKyo,Vossing, 3808.32
63468,39-610-5461,NY,Scoular, 6469.21
963,44-883-0721,Paris,Batterham, 3484.22
255,90-061-6407,toKyo,Fairhurst, 8005.44
68545,37-391-1337,London,Lanfer, 1434.83
46213,99-046-0800,London,Guerry, 3507.08
3641,81-899-1366,New York,Arpe, 9953.89
46213,32-953-2997,London,Garritley, 1257.34
458,66-703-8689,NY,Rumford,
1235,21-707-5180,toKyo,Houldey, 4581.42
513,67-388-1846,New York,Suche, 1078.14
3542,91-471-7643,Paris,Leadbetter, 3098.57
63468,52-101-8236,toKyo,Garratty, 3594.43
458,01-705-2464,NY,Champniss, 8226.42
6963,29-826-6576,New York,Dunstone, 1318.08
464,15-063-4308,Paris,Portlock, 9257.18
458,01-951-9630,Paris,Najera, 903.74
3546,47-630-8819,London,Vasyatkin, 7796.12
253,16-794-8073,Tokyo,Breacher, 736.98
68545,44-788-2150,New York,Mantz,
6963,02-954-4026,Paris,Birney, 4661.82
68545,14-518-2043,Paris,Dell Casa, 6596.28
3566,68-415-4028,Tokyo,Shillitto, 8610.01
35465,18-886-2117,toKyo,Gerger, 5899.39
63468,49-741-1020,toKyo,Filoniere, 1084.32
464,51-818-1743,,Gossington, 9540.64
6963,13-770-6832,toKyo,Pitkaithly, 8475.01
3546,57-334-2569,New York,Foat,
3542,43-672-7679,london,Burns, 8025.34
46213,65-568-9542,New York,Brand-Hardy, 3444.71
253,44-751-5580,Paris,Hards,
3641,92-172-8281,Tokyo,Feron, 5745.79
3546,86-039-6728,Tokyo,Heintze, 7100.83
6963,83-556-0044,london,Granville, 6171.94
513,31-935-2215,Paris,Ritchman, 5532.09
3566,69-407-5557,London,Neasham, 7901.31
255,32-049-6132,NY,Spottiswood, 621.66
1336,65-611-4938,New York,Mashal, 6425.04
3546,29-492-5021,Tokyo,Martelet, 7358.07
3542,50-748-0690,NY,Eallis, 9920.46
1336,58-411-2100,toKyo,Sheed, 5633.89
1336,69-157-2393,Paris,Cumbes, 5564.65
464,11-412-3201,NY,Wakes, 2018.75
55,87-047-6025,london,Mounfield, 4496.70
35465,66-007-4809,toKyo,Stagg, 3784.17
6963,70-581-5738,Paris,Willars, 5140.43
2554,21-892-3483,Tokyo,Bleue, 7551.48
2554,41-688-2151,london,Birrane, 9448.66
1235,53-301-4454,toKyo,Degoy, 3681.86
68545,73-967-3540,New York,Henworth, 1450.38
458,86-445-7993,London,Guerry, 7957.33
3641,47-570-3144,Tokyo,Petrie, 1745.98
55,66-178-0084,Paris,O'Heagertie, 3958.69
55,43-930-0533,Paris,Kuban, 8474.18
464,77-929-5171,london,De Meis, 6177.14
458,50-812-2071,Paris,MacKim, 8332.12
3542,26-884-0611,London,Plail, 5750.99
6963,79-681-5109,London,Harmond, 8432.99
6963,32-490-9250,New York,Norcott, 4239.20
253,70-113-3785,london,Traynor, 2975.93
253,83-629-6377,london,Ruse, 2812.73
513,89-076-3021,NY,Dulany, 3794.69
458,43-531-5296,Tokyo,McDavitt, 1870.78
