Company,Country,Department_1,Department_2,Department_3,Department_4,Salary,Currency
433001485-8,Egypt,0,0,2,0,1462.98,USD
913658777-X,Egypt,2,1,2,2,1326.48,$
467663560-5,Kuwait,2,2,1,2,782.79,USD
982139085-4,jod,1,2,2,0,689.09,usd
028153820-4,Kuwait,1,2,1,1,1264.07,Euro
471883190-3,JOD,2,2,2,0,807.48,$
280411213-6,Egypt,1,2,2,2,1225.45,USD
770179530-8,,1,0,,1,1334.68,euro
057949470-5,egypt,0,2,1,1,1121.27,$
345903423-8,JOD,2,2,2,1,1175.55,USD
991940315-6,Egypt,1,2,2,0,1070.55,Euro
928071778-2,egypt,0,0,0,1,1130.45,USD
033592355-0,jod,0,0,1,1,640.69,USD
684688527-7,JOD,0,0,2,0,1483.86,JOD
235698448-8,JOD,1,2,0,0,768.91,Euro
751330542-0,Jordan,0,2,1,1,881.42,USD
393358014-5,JOD,1,0,2,1,826.81,usd
931127863-7,JOD,0,1,1,1,646.85,USD
344809108-1,JOD,0,1,2,0,1386.15,usd
953290926-5,Egypt,2,1,0,1,1282.02,Euro
195906645-5,egypt,2,1,2,0,1466.11,JOD
544353828-4,JOD,1,2,0,2,1218.35,USD
247767115-4,egypt,2,2,1,2,1413.30,usd
486125413-2,Kuwait,1,1,0,1,613.30,euro
855965007-5,Egypt,0,2,2,2,786.74,USD
796584524-5,egypt,2,2,0,1,1204.86,$
031072102-4,egypt,2,1,2,1,818.62,USD
879817568-8,Kuwait,2,2,1,1,1352.57,USD
704886982-8,egypt,2,0,0,2,934.82,JOD
774054618-6,egypt,0,1,2,2,986.02,euro
275517508-7,egypt,2,2,1,0,1029.48,euro
232151875-8,Egypt,2,0,0,0,1181.92,euro
057461305-6,Egypt,2,1,2,2,1283.84,Euro
988637573-6,Jordan,1,1,0,0,1192.91,usd
468639854-1,Kuwait,0,1,0,2,656.10,JOD
654448669-8,jod,0,1,2,0,1221.62,JOD
594752189-X,egypt,1,1,1,0,996.35,USD
544293577-8,,1,2,,0,859.53,USD
226310220-5,egypt,0,0,2,2,1329.97,JOD
006985984-1,Jordan,2,0,0,2,1410.46,euro
136687448-X,JOD,0,2,2,2,926.65,USD
071647156-6,JOD,2,0,2,1,1162.97,$
824870860-8,Kuwait,1,0,2,1,659.18,euro
060596651-6,Kuwait,1,2,2,1,1016.74,$
927359366-6,Jordan,2,1,2,1,1448.38,euro
888627330-4,Jordan,0,1,2,0,797.78,USD
489853500-3,JOD,2,2,1,2,1324.30,euro
143699227-3,egypt,0,0,1,2,1158.66,USD
580927436-6,JOD,2,1,2,1,823.91,JOD
732053452-5,JOD,2,2,0,2,1181.48,euro
654772772-6,egypt,1,1,0,0,650.23,Euro
992341771-9,egypt,1,0,0,0,702.83,Euro
829994986-6,JOD,2,2,0,0,1381.81,usd
557744474-8,Kuwait,1,1,0,1,624.43,USD
292836124-3,Kuwait,1,0,1,2,958.83,usd
500813329-2,egypt,0,2,2,1,622.84,usd
565340865-4,egypt,2,0,0,2,1034.18,$
524819916-6,egypt,1,2,0,0,715.12,Euro
402207733-6,Kuwait,2,0,2,0,1280.38,$
837406616-4,JOD,1,0,0,2,785.72,$
584373653-9,Egypt,1,2,2,2,673.48,JOD
964619044-8,JOD,0,0,1,1,1405.82,USD
755708345-8,jod,1,2,0,0,1210.66,Euro
826148070-4,jod,2,2,0,2,1075.23,$
135164712-1,Jordan,0,0,2,1,935.03,euro
733176679-1,Egypt,2,1,2,1,776.81,Euro
528919258-1,Jordan,0,1,1,0,680.44,usd
710622182-1,JOD,0,0,0,2,1086.05,JOD
130870222-1,Egypt,1,2,2,2,696.08,euro
653112900-X,Kuwait,1,0,0,2,1320.73,euro
787402302-1,Jordan,2,0,0,1,845.59,USD
253554466-0,Kuwait,1,2,0,0,1053.07,$
459337977-6,egypt,0,0,1,2,864.67,Euro
652728260-5,Egypt,2,1,1,2,650.50,JOD
418792272-5,Kuwait,2,2,0,1,808.11,JOD
113851129-3,Jordan,0,2,1,1,683.78,usd
281949513-3,Egypt,0,0,2,2,1128.30,USD
053382665-9,Kuwait,2,2,1,1,929.47,USD
829931224-8,Kuwait,2,1,0,2,1262.13,$
587800533-6,JOD,0,0,1,2,710.86,USD
028916009-X,Jordan,0,2,2,1,1119.59,JOD
494688632-X,Kuwait,0,1,1,0,787.98,usd
093116663-2,JOD,2,2,1,0,877.24,$
264424442-0,Egypt,1,0,1,1,1288.98,Euro
996292789-7,Kuwait,0,0,1,2,891.69,Euro
656083627-4,egypt,2,0,0,1,994.26,$
024862150-5,Kuwait,0,2,2,1,618.06,Euro
545846793-0,jod,1,0,1,0,1154.15,$
299110312-4,Jordan,1,0,1,2,902.28,USD
621642982-5,JOD,1,1,2,1,993.38,usd
461325198-2,Jordan,2,0,1,1,870.48,$
267945269-0,Kuwait,0,0,2,1,1364.51,Euro
810285078-7,jod,2,0,1,2,834.69,usd
618107473-2,egypt,0,1,2,2,725.17,euro
423764670-X,egypt,0,2,2,1,1282.75,Euro
401728912-6,jod,0,1,2,1,1201.16,JOD
515007684-8,Egypt,0,0,0,1,864.35,USD
768994311-X,Kuwait,0,2,2,1,733.30,USD
014743498-X,Egypt,2,1,0,1,964.41,JOD
743457504-2,egypt,1,0,1,2,837.12,usd
364746625-5,JOD,1,0,0,1,709.25,euro
174680966-3,Jordan,2,2,1,2,708.38,JOD
962176701-6,Kuwait,0,0,2,2,674.42,euro
470145440-0,Kuwait,1,0,1,2,1118.23,usd
240965832-6,Jordan,0,1,1,0,1442.46,usd
162867843-7,Jordan,1,0,0,0,1159.84,euro
087548332-1,Egypt,2,0,0,0,628.78,Euro
890307228-6,Kuwait,0,2,2,2,1167.02,USD
932539644-0,JOD,0,0,0,2,1335.40,USD
642328123-8,Jordan,1,2,1,2,820.13,USD
609058602-1,egypt,1,2,0,1,1344.05,USD
561367279-2,Egypt,1,2,0,0,1043.06,$
296710052-8,JOD,0,1,2,1,872.65,USD
192843184-4,jod,1,1,0,0,1007.23,Euro
914377233-1,Jordan,1,1,1,1,1350.12,usd
384434308-3,Egypt,2,1,0,2,1074.87,USD
494668376-3,Jordan,1,1,0,0,772.43,Euro
678559692-0,jod,1,2,0,2,660.75,Euro
745494159-1,JOD,1,1,0,2,708.82,USD
950434874-2,jod,2,2,1,1,1345.49,usd
551444392-2,Jordan,1,2,2,0,1162.96,usd
945950586-4,egypt,2,1,0,0,1311.34,usd
090781019-5,Egypt,1,0,2,2,1486.69,usd
762645243-7,Egypt,2,2,1,2,961.13,USD
868512199-X,Egypt,2,2,1,0,1210.84,usd
465390928-8,Jordan,2,1,2,0,689.63,USD
817120621-2,Kuwait,0,0,1,1,1181.33,$
710808778-2,Egypt,1,2,1,2,607.10,JOD
639606908-3,egypt,0,2,2,2,1390.44,JOD
253417577-7,JOD,2,2,1,0,633.12,JOD
665334209-3,egypt,0,0,1,2,747.98,Euro
619615830-9,egypt,0,0,1,0,871.81,usd
873178480-1,JOD,2,2,2,0,1481.73,usd
313649727-9,Kuwait,0,2,1,2,1095.47,USD
427078977-8,Kuwait,0,2,2,2,1000.79,$
251651354-2,jod,1,2,2,0,653.93,USD
280644105-6,Kuwait,0,2,1,1,761.80,euro
901558992-5,jod,1,0,0,0,1475.38,usd
029204171-3,Egypt,1,0,2,0,981.86,Euro
334461171-2,Egypt,0,2,0,2,944.35,Euro
745477895-X,JOD,2,2,2,1,1220.80,euro
054674952-6,Jordan,1,2,2,1,682.83,euro
002187609-6,Egypt,1,2,0,0,656.38,euro
948882548-0,Egypt,1,1,1,2,1235.40,USD
025013965-0,Kuwait,1,1,1,0,1081.37,euro
272692541-3,egypt,1,0,0,0,713.57,usd
697906153-4,JOD,0,0,2,0,1484.41,$
904766484-1,Jordan,2,0,0,2,743.52,JOD
801972761-2,Jordan,1,0,0,2,620.48,euro
659606543-X,egypt,0,1,2,2,765.77,JOD
762940112-4,jod,0,1,2,0,621.91,Euro
780651761-8,JOD,0,0,2,0,1173.96,$
606649577-1,Kuwait,0,0,1,2,647.80,$
391656562-1,Jordan,1,2,1,0,1411.09,JOD
360337367-7,egypt,2,0,2,1,820.31,euro
327912678-9,egypt,1,0,2,2,937.79,euro
780470902-1,jod,0,0,0,1,1119.09,euro
273443474-1,JOD,0,2,2,2,782.13,Euro
120014324-8,Kuwait,0,2,1,1,698.90,USD
963909608-3,Egypt,0,1,1,1,1442.46,USD
942406230-3,JOD,0,1,0,2,773.25,Euro
259579354-3,Jordan,0,0,1,2,1148.58,usd
803464295-9,Kuwait,2,1,2,2,1176.51,JOD
022832640-0,Egypt,1,0,0,2,1257.05,usd
873275013-7,egypt,1,0,2,0,1152.71,euro
217111651-X,Egypt,1,0,0,1,1005.16,$
464696597-6,Kuwait,0,0,2,0,801.85,$
317152619-0,Egypt,2,1,1,2,1413.56,usd
201027227-7,JOD,2,1,2,1,1235.59,Euro
462053593-1,jod,0,2,1,1,1152.15,Euro
488853417-9,Jordan,1,1,1,0,1201.39,$
761023738-8,egypt,2,2,1,0,818.14,euro
512509666-0,egypt,1,1,2,2,1117.53,usd
970033375-2,JOD,2,0,0,2,1344.49,Euro
110437821-3,Egypt,0,1,2,1,1412.75,JOD
321149097-3,Kuwait,1,0,2,2,1458.24,usd
536921889-7,egypt,0,2,1,1,888.88,USD
341304477-X,Jordan,2,0,1,0,887.68,USD
333630632-9,egypt,0,0,2,1,706.87,USD
840752569-3,Egypt,0,2,2,0,1388.56,USD
422587113-4,Kuwait,2,0,0,0,1498.17,USD
772734107-X,Kuwait,1,0,0,2,1305.67,Euro
802682444-X,Jordan,0,2,1,0,987.59,usd
652349349-0,egypt,1,1,1,2,1065.50,usd
160017011-0,egypt,1,2,1,2,1074.00,euro
242336705-8,JOD,2,2,0,1,1401.09,usd
828323690-3,JOD,2,2,2,0,1275.14,USD
888406989-0,JOD,1,2,1,1,1173.28,$
715906728-2,JOD,2,0,2,0,1205.19,JOD
041294278-X,Kuwait,2,0,1,2,795.10,Euro
095609130-X,jod,1,1,2,2,1390.98,$
114438018-9,egypt,0,1,0,1,1099.91,$
510536922-X,Egypt,0,2,2,2,1061.73,euro
395244054-X,jod,2,0,1,2,673.74,$
060237334-4,Jordan,1,0,0,0,1329.68,euro
174596653-6,JOD,1,1,2,0,1250.99,JOD
968581880-0,JOD,2,2,0,0,1251.47,usd
446609511-6,Kuwait,2,2,2,2,782.27,JOD
638459963-5,JOD,2,1,2,2,996.51,JOD
127847874-4,egypt,0,1,1,1,1196.25,$
168825045-X,Jordan,2,1,2,0,1149.94,$
192843428-2,Jordan,1,1,0,0,1084.99,euro
501353126-8,Egypt,2,0,2,2,1407.26,euro
285756002-8,jod,1,0,1,1,1019.53,euro
564696016-9,Egypt,0,0,0,0,717.19,Euro
444487830-4,jod,2,2,0,1,1479.09,$
843126611-2,JOD,1,2,1,0,1285.29,Euro
478665099-4,Jordan,1,1,0,0,1150.94,Euro
706152718-8,jod,1,1,2,2,689.04,$
085024579-6,Jordan,0,1,2,0,925.97,usd
244055698-X,jod,2,2,2,1,1039.87,Euro
670516650-9,Egypt,0,1,1,2,1354.22,JOD
435638921-2,JOD,1,0,0,2,1287.67,$
679387841-7,JOD,1,2,2,0,1360.89,euro
736912041-4,Egypt,2,1,0,1,770.99,euro
653870305-4,Kuwait,0,0,0,2,1435.83,$
650251766-8,Jordan,2,2,0,2,708.25,JOD
908388253-5,egypt,0,2,1,0,923.20,Euro
322455809-1,jod,2,2,2,1,927.17,$
172829275-1,jod,0,1,0,1,1067.58,JOD
482214391-0,Kuwait,1,2,0,1,941.25,USD
350397438-5,jod,2,1,1,0,1390.54,USD
938101264-4,jod,2,0,1,1,1424.84,$
272421579-6,Jordan,2,1,1,0,1421.26,USD
459590146-1,jod,2,0,2,0,1347.04,Euro
763897140-X,Jordan,1,2,0,0,1494.04,euro
816988963-4,Kuwait,2,2,1,0,1449.54,Euro
677015613-X,JOD,0,0,1,2,861.17,USD
605233296-4,Egypt,2,0,2,2,769.42,JOD
601657035-4,Kuwait,1,1,1,0,973.59,$
312548050-7,egypt,0,1,1,2,1078.96,JOD
853551222-5,Kuwait,0,1,1,2,1492.24,JOD
833358541-8,JOD,1,2,1,0,1143.92,JOD
719461289-5,Egypt,1,1,0,1,1381.70,JOD
363296141-7,jod,0,2,0,2,1153.24,$
662955436-1,JOD,0,0,2,0,1274.98,usd
160486297-1,egypt,2,0,1,0,688.42,euro
595479170-8,egypt,2,2,0,2,922.26,euro
003307384-8,Kuwait,2,2,2,1,925.13,USD
380208216-8,Egypt,0,1,0,1,1188.30,$
167318353-0,Egypt,1,0,2,2,995.34,JOD
119056816-0,Kuwait,1,1,2,0,1335.57,JOD
700787166-6,Egypt,1,0,1,1,1417.80,JOD
322368098-5,Egypt,1,0,0,2,1152.94,JOD
295778367-3,JOD,2,1,1,2,1092.40,Euro
172885466-0,Kuwait,2,1,0,2,914.28,$
850905650-1,JOD,1,1,1,1,1233.10,euro
906205815-9,egypt,1,1,1,1,624.10,JOD
548935459-3,JOD,1,2,2,1,1345.74,USD
855418060-7,jod,1,0,1,1,904.49,usd
027443370-2,JOD,2,0,2,1,1133.25,usd
300069955-4,egypt,1,2,2,0,926.86,USD
302617531-5,Kuwait,2,1,2,0,1298.44,JOD
979035395-2,,1,1,,2,741.27,JOD
330909447-2,egypt,1,2,1,2,1210.65,$
428853846-7,Kuwait,0,1,2,2,1477.56,usd
301281681-X,JOD,0,2,0,2,1002.12,usd
227319961-9,Egypt,1,2,1,1,1221.05,JOD
316546855-9,JOD,0,1,0,0,606.88,euro
006747838-7,Kuwait,1,2,1,1,1050.86,$
142009652-4,Jordan,0,0,1,2,1271.95,USD
982276633-5,egypt,1,2,1,0,1225.16,USD
198503320-8,Jordan,1,1,0,2,829.44,euro
324480374-1,egypt,0,1,2,1,1345.55,euro
578103284-3,Jordan,0,0,1,2,1072.95,USD
038799821-7,Egypt,0,2,1,1,858.97,usd
442230046-6,JOD,0,1,2,0,636.14,Euro
418514705-8,Kuwait,1,0,0,2,746.04,USD
184050764-0,Kuwait,0,2,2,1,1498.77,USD
671670673-9,egypt,1,0,2,2,1156.80,euro
460152390-7,Kuwait,1,2,0,0,934.27,$
464344455-X,jod,2,1,0,0,1137.27,USD
797584541-8,jod,2,1,0,1,1137.12,Euro
209781265-1,Jordan,1,1,2,0,1351.18,Euro
627983403-4,egypt,0,1,0,0,1191.41,JOD
834303131-8,Egypt,1,0,2,2,1477.18,euro
680855066-2,Kuwait,0,0,1,0,851.68,euro
108105761-0,Jordan,2,2,0,0,1321.27,USD
882311585-X,JOD,1,1,1,0,1118.07,usd
412632034-2,Egypt,1,0,2,2,1145.40,Euro
655232327-1,,2,1,,1,1203.97,euro
999782877-1,Egypt,0,2,0,2,953.96,euro
508338577-5,Jordan,1,2,0,1,856.16,USD
588222567-1,jod,1,0,0,1,813.98,usd
490779246-8,egypt,1,1,0,2,1280.03,euro
044667089-8,JOD,1,1,2,1,965.61,euro
527640385-6,JOD,2,2,1,1,1288.58,JOD
511346304-3,,0,1,,2,871.91,euro
938399902-0,Egypt,2,1,0,1,1090.61,usd
967547702-4,jod,0,2,1,1,804.74,USD
947518923-8,jod,1,0,2,1,1486.83,JOD
629280871-8,jod,0,2,2,0,1483.27,USD
572104373-3,Jordan,0,2,0,0,1302.40,euro
835051364-0,JOD,1,2,2,1,1107.18,euro
446500193-2,JOD,2,0,0,1,1328.59,JOD
037484171-3,Egypt,0,0,1,2,1302.59,JOD
121050403-0,JOD,0,1,2,0,892.47,JOD
221313931-8,JOD,2,2,2,2,781.25,JOD
726669298-9,Egypt,2,0,2,0,709.58,USD
995032798-9,jod,1,0,0,0,1291.02,usd
541058463-5,Kuwait,1,2,1,1,678.43,Euro
412164311-9,Jordan,1,1,2,1,1415.34,euro
325338371-7,Egypt,2,0,2,1,780.75,euro
422001732-1,Kuwait,1,1,1,2,1101.82,euro
216154853-0,Jordan,0,0,0,0,834.63,USD
721586172-4,Jordan,0,1,0,0,761.61,euro
714898277-4,Egypt,2,2,1,1,1354.32,$
060327808-6,Jordan,2,1,1,2,887.63,Euro
845279293-X,Jordan,2,1,0,1,974.33,euro
295837053-4,egypt,0,1,2,2,805.05,usd
791322133-X,Kuwait,1,1,0,2,1160.87,euro
871032249-3,Egypt,1,1,0,0,1494.88,JOD
044672396-7,egypt,2,2,2,1,1114.46,JOD
418981204-8,JOD,1,1,2,1,1469.00,Euro
189708963-5,JOD,0,2,2,1,1416.15,$
098900674-3,jod,0,0,1,0,1090.85,$
680891600-4,Egypt,0,2,2,0,918.60,$
519032341-2,JOD,0,0,2,1,656.66,$
834395481-5,Egypt,1,2,2,2,836.35,$
835717163-X,egypt,1,2,2,0,1138.33,$
238930947-X,Jordan,2,0,2,1,1179.97,USD
246731119-8,JOD,0,0,0,0,638.21,JOD
774208379-5,Egypt,1,1,1,2,1444.50,USD
400773827-0,Egypt,2,2,1,1,759.61,Euro
581621001-7,jod,0,0,1,2,1261.81,$
666824856-X,Kuwait,1,1,2,0,989.92,Euro
863179602-6,Kuwait,2,2,1,1,1131.45,usd
292225103-9,Jordan,0,0,2,1,1205.48,euro
948189456-8,Egypt,1,2,0,0,833.97,JOD
569157061-7,egypt,1,2,0,1,772.28,USD
805465788-9,jod,1,1,2,0,850.34,JOD
318084669-0,egypt,1,2,1,1,980.06,$
188741189-5,egypt,2,2,1,2,829.37,USD
843575350-6,egypt,2,2,1,1,1447.44,euro
218983791-X,Kuwait,1,1,0,2,703.95,$
387147394-4,,2,1,,1,1281.77,JOD
296666102-X,egypt,2,2,1,1,806.87,USD
424537301-6,jod,2,0,0,1,1058.45,usd
993478868-3,Jordan,0,0,1,0,1026.01,$
938059331-7,JOD,1,0,1,2,882.14,USD
461289225-9,Egypt,1,1,1,2,1129.77,JOD
784158564-0,JOD,1,1,1,1,1133.41,Euro
785708312-7,jod,2,2,0,1,659.33,usd
420319605-1,JOD,1,1,0,0,899.39,JOD
930323107-4,Kuwait,0,1,1,0,1060.17,USD
070010529-8,Jordan,0,0,2,1,1122.15,usd
337107931-7,egypt,2,0,2,1,1411.77,euro
997560780-2,JOD,0,2,1,2,1254.61,euro
027953928-2,Jordan,0,2,1,0,1333.96,$
113134469-3,Kuwait,2,0,1,1,1240.63,JOD
177216447-X,Egypt,2,2,2,1,918.41,usd
184301237-5,egypt,2,2,0,1,1347.81,USD
909248763-5,JOD,2,2,2,2,1321.14,USD
802324793-X,egypt,2,0,0,2,1303.12,euro
991824792-4,Kuwait,2,2,2,0,1424.98,euro
928885689-7,jod,0,2,0,1,1010.17,$
230546349-9,JOD,2,2,1,0,1048.45,Euro
395932317-4,jod,0,0,2,0,1217.41,usd
713401257-3,egypt,1,1,1,1,1405.39,usd
565848678-5,jod,2,2,2,0,790.10,USD
252032521-6,Jordan,1,0,1,0,1301.73,USD
491557329-X,Egypt,2,0,1,1,1102.85,Euro
080579844-7,egypt,0,0,0,1,1407.74,JOD
325773801-3,JOD,0,0,1,0,1224.35,usd
471896857-7,jod,2,0,1,0,1027.72,USD
086395735-8,JOD,0,0,2,0,1276.18,Euro
183266888-6,Jordan,0,2,1,1,1338.34,usd
954535907-2,JOD,1,1,2,2,1109.00,$
090449970-7,JOD,1,1,2,0,729.14,usd
051488886-5,JOD,2,0,2,1,903.88,JOD
712530896-1,egypt,0,1,0,1,927.74,Euro
609646133-6,Jordan,2,2,0,1,1196.79,USD
719404294-0,Egypt,2,1,0,0,1149.99,$
740600952-6,JOD,2,2,0,2,1072.52,USD
009486911-1,egypt,0,0,0,0,1403.57,USD
216241932-7,JOD,0,2,2,0,1029.58,Euro
623092594-X,Jordan,1,0,2,2,909.35,JOD
209297700-8,jod,1,1,1,1,1047.62,euro
500293088-3,egypt,1,1,2,0,1346.90,euro
008714956-7,Jordan,0,2,0,0,1309.15,usd
464906120-2,egypt,1,0,2,2,678.26,JOD
593322231-3,Egypt,2,1,0,0,898.32,USD
691432812-9,,2,0,,2,1322.03,$
730422542-4,egypt,0,0,1,1,1304.26,usd
747084338-8,Egypt,0,0,0,2,610.61,JOD
844408108-6,Kuwait,0,2,2,1,748.71,euro
024669673-7,Kuwait,0,0,2,1,944.45,Euro
952815820-X,jod,2,2,0,1,892.84,euro
901792083-1,jod,2,1,1,1,710.14,usd
915722698-9,Kuwait,2,0,1,2,1120.25,Euro
295995134-4,jod,0,1,0,2,1179.25,JOD
596691393-5,Jordan,1,1,1,2,976.70,USD
358463089-4,Egypt,0,1,0,2,1492.90,Euro
751311727-6,jod,2,1,1,0,1276.05,JOD
191767270-5,Egypt,0,2,2,0,1283.08,JOD
198738757-0,,2,2,,0,1205.50,Euro
599177572-9,Egypt,2,2,1,0,791.78,JOD
202556247-0,jod,1,0,0,0,1010.75,euro
169835241-7,Jordan,2,0,1,2,663.02,JOD
288493061-2,JOD,2,2,0,1,899.95,$
207123369-7,Kuwait,0,0,0,0,750.69,USD
239551439-X,egypt,0,1,1,0,630.25,Euro
879692461-6,jod,0,1,2,2,776.30,JOD
993978064-8,jod,1,1,2,0,759.16,euro
059930209-7,JOD,0,1,0,0,1344.49,JOD
351071723-6,,0,0,,1,1091.39,$
000106840-7,Kuwait,1,1,0,2,1460.68,Euro
523873810-2,jod,2,0,1,1,727.71,euro
244167038-7,JOD,2,0,1,2,721.56,USD
550270680-X,Kuwait,0,2,2,1,817.48,USD
704349199-1,JOD,2,1,1,2,1446.48,JOD
675325052-2,Jordan,1,2,1,2,801.35,Euro
367659003-1,egypt,2,0,0,0,683.32,USD
274838274-9,Egypt,1,2,0,2,1123.66,USD
603818014-1,Egypt,2,0,2,1,602.46,USD
332047709-9,JOD,1,2,1,2,1230.83,Euro
274912176-0,Jordan,2,0,0,2,828.52,euro
857015945-5,JOD,2,1,2,1,1035.60,usd
134673017-2,Jordan,0,0,0,1,731.13,usd
797369298-3,Egypt,0,1,0,1,681.54,Euro
156034400-8,Kuwait,2,0,2,2,852.76,JOD
279995116-3,Egypt,2,1,1,1,1161.72,USD
066955454-5,Egypt,1,0,2,2,1123.11,euro
943405413-3,JOD,2,2,2,1,1099.94,euro
292372540-9,JOD,1,0,2,2,1322.38,USD
046669164-5,egypt,1,0,0,0,820.45,$
225474870-X,Egypt,1,2,1,0,1153.15,USD
044265315-8,Egypt,2,2,1,2,1322.32,euro
507247732-0,jod,0,0,0,0,1317.33,JOD
983707574-0,JOD,2,0,0,0,787.82,euro
388853677-4,JOD,1,1,1,0,1451.64,USD
145171474-2,Jordan,0,1,1,1,786.06,usd
338189517-6,jod,0,2,2,1,933.82,$
291773306-3,jod,1,2,1,2,1284.78,JOD
698598676-5,egypt,2,1,0,0,1402.57,JOD
349467437-X,JOD,0,0,1,2,1349.62,JOD
357549061-9,egypt,1,1,2,0,1038.15,Euro
013290333-4,egypt,2,2,0,2,823.01,USD
