Item_id,Item Type ,Store1,Store2,Store3,Store4,Sales,Currency
51-324-3812,Food,0,0,0,0,332.78,Dollar
15-086-4626,Food,1,0,1,0,437.00,Dollar
10-772-5003,Drink,1,0,1,0,260.24,Dollar
34-732-3690,f,1,1,0,0,480.66,Dollar
09-601-9556,F,1,0,1,1,422.19,Dollar
75-315-8436,f,0,0,0,1,321.93,Dollar
07-875-4251,DR,1,0,1,0,436.92,Dollar
93-451-3883,f,0,1,1,1,486.21,Euro
49-035-9815,F,0,0,1,1,392.36,Euro
39-375-4164,DR,0,0,1,1,460.81,Euro
45-047-8454,F,0,1,1,1,440.30,Dollar
42-862-0884,,1,0,1,1,381.10,Dollar
76-073-0994,f,1,0,0,1,420.16,Dollar
97-752-7415,DR,0,0,0,0,390.70,Euro
06-199-8454,Drink,1,1,0,1,319.54,Dollar
20-176-7555,DR,0,0,0,1,313.55,Dollar
21-599-2946,F,0,0,1,1,253.43,Euro
17-057-0960,f,1,0,1,0,337.54,Euro
24-332-6895,F,0,0,1,0,301.93,Dollar
24-411-6498,Food,0,1,0,0,257.39,Dollar
12-107-6860,,1,1,1,0,377.81,Euro
81-744-9764,Food,0,0,0,1,415.10,Dollar
10-566-5112,f,0,1,1,1,290.08,Euro
91-867-0193,Drink,1,1,0,0,497.81,Euro
65-783-4599,f,0,1,1,0,447.16,Dollar
87-364-4428,DR,0,0,1,1,382.03,Euro
70-834-0305,Drink,1,0,1,1,272.72,Dollar
94-734-5308,DR,1,1,1,1,444.32,Dollar
76-207-2018,DR,1,0,0,0,359.60,Euro
59-093-6491,DR,1,0,0,0,274.15,Dollar
30-713-5145,F,1,0,0,0,279.91,Dollar
39-269-8883,,1,1,1,1,293.83,Dollar
90-714-6877,Food,1,0,1,0,313.06,Dollar
26-072-0954,F,0,1,1,0,493.26,Dollar
23-837-0010,DR,0,1,0,1,291.14,Dollar
08-150-5755,F,0,0,0,0,284.36,Euro
88-218-6332,Drink,1,1,0,1,496.89,Dollar
85-571-3667,F,0,1,0,0,407.17,Dollar
40-070-9354,Food,1,0,1,1,,Dollar
71-030-2598,Food,1,0,0,0,363.39,Dollar
08-191-7770,DR,0,0,1,0,299.63,Dollar
26-538-0971,Food,1,1,0,0,356.09,Euro
54-425-7273,f,1,1,1,1,278.85,Dollar
41-833-3744,Drink,1,0,1,0,397.73,Euro
17-567-7813,DR,0,1,1,0,449.15,Euro
21-042-9414,Food,1,0,1,1,305.79,Dollar
63-856-5329,f,0,1,0,1,480.58,Dollar
37-223-7247,Food,1,0,0,0,453.21,Euro
26-813-6983,Food,0,1,0,0,363.71,Euro
03-200-2076,F,0,1,0,0,406.56,Dollar
13-090-6193,DR,1,0,0,0,432.76,Dollar
48-460-8843,Drink,0,0,0,1,258.68,Euro
54-909-0702,DR,1,1,1,0,447.57,Euro
05-549-9842,Drink,1,1,1,1,441.05,Euro
43-931-9170,DR,1,1,1,1,273.40,Dollar
39-038-9015,,1,1,0,1,344.22,Dollar
69-530-0944,Food,1,0,0,0,366.57,Euro
64-892-6654,Drink,0,1,1,0,497.32,Euro
80-963-8348,DR,1,0,0,0,402.49,Euro
81-295-5996,f,1,0,1,0,344.91,Euro
04-471-8824,F,0,1,1,1,340.99,Dollar
00-096-8317,f,0,0,0,1,301.10,Euro
18-438-3618,f,1,1,1,0,285.46,Dollar
86-547-6691,DR,1,0,0,0,375.85,Euro
12-601-8955,Food,1,1,0,0,267.03,Dollar
57-639-5721,Drink,0,0,0,0,345.55,Euro
50-528-4349,DR,0,0,0,1,442.47,Euro
01-182-8468,F,1,1,1,0,452.58,Euro
33-994-8461,Drink,0,0,1,0,373.83,Dollar
19-678-2138,f,1,0,1,0,359.27,Dollar
12-271-8740,f,1,0,1,1,297.23,Dollar
59-083-0213,Food,0,0,0,1,278.87,Euro
29-130-5267,Food,0,0,0,1,405.48,Euro
66-793-2167,Food,0,1,1,0,499.04,Dollar
16-631-7295,Food,0,1,1,0,,Dollar
20-310-3681,,1,0,1,0,287.63,Euro
35-449-6234,,0,1,0,1,280.05,Dollar
39-422-9363,f,1,0,0,0,258.48,Dollar
79-387-5240,Food,1,1,1,1,388.83,Dollar
34-047-6745,F,1,1,1,1,306.27,Dollar
91-427-8872,Food,1,0,1,0,295.31,Euro
76-874-0377,F,1,1,1,1,335.40,Euro
32-660-0165,Food,0,1,0,0,393.75,Euro
07-298-4112,Food,1,0,1,0,422.42,Dollar
00-589-5364,DR,1,0,0,1,372.24,Euro
85-424-3175,Drink,1,1,1,1,290.71,Euro
93-947-5916,F,1,1,0,1,459.09,Euro
85-830-3505,Food,1,1,0,0,261.06,Dollar
94-146-4324,Drink,0,1,0,0,357.88,Dollar
33-262-9031,Drink,1,1,0,1,350.97,Dollar
25-005-3710,f,0,0,0,1,275.28,Dollar
60-796-1828,Food,0,0,0,0,326.49,Dollar
77-973-8430,F,1,1,0,1,295.04,Dollar
09-123-4738,Drink,0,1,0,1,407.84,Dollar
17-878-9200,Food,0,0,1,0,307.76,Euro
90-306-2788,f,1,1,0,1,326.20,Dollar
91-737-6561,Drink,0,0,1,0,406.96,Euro
76-949-1349,F,0,0,1,1,389.07,Dollar
52-388-2764,Food,1,0,1,0,477.71,Dollar
12-239-9176,f,1,1,1,1,424.83,Dollar
01-065-9077,F,1,1,0,1,277.26,Dollar
56-571-4450,,1,1,1,0,283.61,Euro
44-817-1777,f,1,1,1,1,252.31,Euro
47-814-4033,Drink,0,1,0,1,437.66,Dollar
23-663-1511,DR,0,0,1,1,318.90,Dollar
08-987-3974,Drink,1,1,0,0,474.95,Euro
90-699-9619,DR,1,0,1,0,307.87,Dollar
67-621-1561,DR,1,0,1,0,403.05,Dollar
47-367-4819,F,0,0,1,0,438.07,Euro
66-025-0890,f,0,1,1,1,483.97,Euro
60-569-3695,DR,1,0,0,0,345.80,Euro
34-883-5289,Food,0,0,1,0,427.03,Dollar
34-384-7913,DR,0,0,0,0,315.63,Euro
10-853-8188,Food,1,0,0,0,299.22,Euro
67-389-0566,Drink,0,0,0,1,436.45,Dollar
61-707-2691,f,0,1,1,0,430.61,Euro
38-721-3568,DR,1,1,1,1,296.64,Dollar
85-114-0924,DR,0,0,1,0,431.61,Dollar
30-896-3981,F,0,0,0,1,484.15,Euro
87-599-5115,Drink,0,0,1,1,,Euro
33-394-6207,Food,1,1,0,1,341.33,Euro
20-812-8689,f,1,0,1,0,474.63,Dollar
48-488-8352,Drink,1,0,0,1,475.96,Euro
86-322-4676,F,0,1,1,0,348.62,Dollar
57-337-5326,F,0,0,1,0,313.81,Euro
94-131-8648,F,1,1,1,0,,Dollar
95-275-3718,Food,0,0,1,1,434.86,Dollar
76-586-9112,Drink,1,0,1,0,270.53,Euro
34-183-2287,Drink,0,1,0,0,423.32,Euro
36-865-3846,DR,0,1,0,0,387.39,Dollar
75-310-3839,DR,0,0,0,1,483.18,Dollar
57-023-5159,Drink,1,1,1,0,287.86,Euro
55-365-7820,Drink,0,1,0,0,259.38,Euro
91-286-9426,DR,0,0,0,0,499.79,Dollar
37-137-4854,DR,0,1,1,1,347.99,Euro
88-585-2721,DR,1,0,0,1,420.81,Dollar
16-798-3422,Drink,0,1,1,1,471.98,Dollar
40-804-7907,F,0,1,1,1,314.39,Dollar
42-056-2315,Drink,1,0,0,0,412.24,Dollar
06-968-3081,Food,0,0,0,0,472.03,Euro
46-238-6169,f,0,0,1,0,394.90,Euro
10-054-6078,DR,1,0,1,0,382.47,Euro
96-044-0495,Food,1,0,1,0,392.70,Dollar
91-146-7293,DR,0,1,1,1,380.06,Dollar
81-293-6177,Food,0,1,1,1,328.33,Dollar
47-286-1649,f,0,0,0,0,254.59,Dollar
19-601-3186,Drink,0,0,0,1,493.62,Dollar
44-928-9339,f,0,1,0,0,288.16,Dollar
08-806-1189,f,1,0,1,0,321.09,Dollar
51-750-8560,F,0,1,1,0,440.55,Dollar
23-012-5693,F,0,0,1,1,449.68,Dollar
95-479-9643,f,1,1,1,0,269.05,Dollar
48-513-8715,F,0,1,0,0,302.49,Euro
40-467-1900,Drink,0,1,1,1,353.22,Euro
76-249-1876,Drink,0,1,1,1,298.72,Dollar
26-373-4112,Drink,0,0,1,0,303.61,Dollar
51-040-7134,f,0,1,1,0,414.57,Euro
93-164-6601,F,0,1,0,1,429.91,Dollar
22-695-3002,Drink,1,0,0,1,424.43,Dollar
63-559-2807,f,0,1,1,0,470.85,Euro
30-703-5002,,1,0,1,1,379.62,Euro
14-044-1755,f,1,1,0,0,309.01,Dollar
68-198-3011,f,1,0,0,1,274.27,Dollar
18-344-5200,DR,1,1,0,0,320.39,Dollar
95-041-0608,DR,0,0,1,0,453.90,Dollar
13-204-9626,Food,1,0,1,1,379.04,Dollar
55-546-8445,F,1,0,1,1,317.01,Dollar
00-858-2690,F,0,0,0,1,455.39,Dollar
83-665-2791,DR,1,0,1,1,305.48,Dollar
50-081-6599,DR,0,0,1,0,312.69,Euro
39-172-7181,Food,0,0,1,1,,Euro
75-591-8830,Drink,1,1,1,1,291.91,Dollar
59-100-6578,DR,1,1,0,0,350.03,Euro
81-151-9985,f,0,1,1,0,365.15,Euro
32-556-4982,DR,0,1,0,1,482.73,Euro
58-575-5776,DR,1,0,1,0,455.22,Euro
10-003-0085,F,0,0,0,0,295.66,Euro
60-069-8447,DR,0,1,0,1,,Dollar
85-960-5151,Drink,1,1,0,0,387.86,Dollar
18-891-5093,f,0,0,0,1,321.66,Euro
07-116-9421,DR,1,1,0,0,309.93,Euro
23-114-6348,Food,1,0,1,1,321.20,Euro
14-854-3720,f,1,1,1,0,318.59,Dollar
88-591-8872,Drink,0,0,1,1,397.76,Euro
17-015-3743,f,0,1,0,1,472.11,Dollar
12-185-9786,DR,0,1,1,0,494.58,Dollar
05-196-7941,Food,0,1,1,1,431.09,Euro
16-610-9982,DR,0,0,0,1,408.56,Dollar
78-188-1495,F,0,1,0,0,361.82,Dollar
15-469-7270,Drink,1,0,1,0,414.78,Dollar
50-888-4519,F,1,0,0,0,308.77,Dollar
21-648-6449,f,0,1,1,0,347.96,Dollar
68-056-8489,Drink,0,1,1,1,312.87,Euro
61-618-9509,F,0,0,0,1,313.81,Dollar
04-410-1518,f,0,0,0,1,371.11,Dollar
55-006-4030,Drink,1,0,1,1,489.46,Euro
75-617-0683,Drink,0,1,0,0,256.42,Dollar
90-651-5671,DR,0,0,1,0,333.47,Euro
83-817-9906,Drink,0,1,1,0,435.52,Euro
06-064-6687,f,1,1,0,0,402.08,Dollar
41-348-8566,F,1,0,0,0,260.75,Dollar
08-046-2661,Drink,1,1,0,0,315.54,Euro
39-067-5947,Food,0,1,1,0,342.19,Dollar
98-684-1691,Drink,0,0,1,1,422.66,Dollar
65-587-3664,f,0,1,0,0,356.56,Dollar
25-945-0279,Food,1,0,1,0,357.64,Dollar
03-367-1764,,0,1,1,1,385.93,Dollar
23-991-0081,f,0,1,0,1,407.08,Dollar
81-516-5386,F,0,0,1,0,354.75,Euro
61-664-2978,F,1,1,0,0,,Euro
13-403-9086,f,0,0,1,1,333.79,Euro
15-261-7299,f,0,1,1,0,319.93,Dollar
24-477-2650,DR,1,0,1,1,358.14,Euro
17-062-0237,Food,0,0,0,1,455.72,Dollar
63-417-2876,F,1,1,1,0,274.36,Dollar
78-027-3302,Food,1,0,1,0,379.53,Euro
14-631-3750,Food,0,0,0,0,258.19,Dollar
64-289-8803,Drink,1,0,1,0,437.71,Euro
09-669-7137,Drink,1,1,1,0,459.96,Euro
08-602-2627,Food,0,0,0,0,362.35,Dollar
99-796-4555,Food,1,0,1,0,300.28,Euro
85-202-7781,DR,0,1,1,1,320.18,Dollar
21-907-2381,F,1,1,1,1,324.42,Euro
65-251-0497,f,0,1,1,0,415.12,Dollar
31-392-4290,f,1,0,0,1,350.65,Dollar
22-902-4805,f,0,0,1,1,386.85,Euro
51-650-6483,Drink,1,0,0,1,,Euro
76-324-6707,Drink,1,0,1,0,476.84,Dollar
95-355-6286,,1,1,1,0,408.56,Euro
02-287-0344,f,0,0,1,0,256.19,Euro
39-338-8368,Food,0,0,0,1,424.27,Dollar
32-501-2785,F,0,1,0,1,252.81,Euro
27-152-1421,F,1,1,1,1,430.98,Dollar
96-835-6311,Food,0,0,0,1,255.92,Dollar
93-152-0981,F,1,0,0,0,287.45,Dollar
41-909-9335,Food,0,1,1,0,386.13,Dollar
88-205-5473,F,0,0,0,0,,Dollar
07-346-3799,Food,0,0,0,0,338.25,Dollar
40-821-6342,F,0,0,1,1,302.63,Dollar
07-007-2143,F,1,0,0,1,319.63,Euro
08-946-3448,Food,1,1,0,0,480.66,Euro
86-835-1574,Drink,1,1,1,1,388.41,Euro
28-038-3845,Drink,0,1,0,1,372.51,Dollar
68-451-0175,F,0,0,1,1,475.27,Dollar
03-721-7942,Drink,0,0,0,1,433.58,Euro
90-234-0199,Drink,0,1,0,1,384.61,Euro
15-248-6437,f,1,1,0,1,333.15,Dollar
09-164-2755,,0,0,0,0,458.72,Euro
06-426-7714,Drink,0,1,0,0,320.73,Dollar
99-397-2013,Food,1,1,1,0,457.78,Dollar
20-389-9580,DR,0,1,0,0,386.56,Euro
06-868-1927,F,0,1,1,0,455.70,Dollar
22-601-0495,Food,1,0,1,0,372.97,Dollar
11-309-1993,F,1,0,0,0,478.96,Dollar
89-971-3216,Drink,1,0,1,0,263.60,Euro
02-721-4061,F,1,0,0,0,253.88,Euro
93-717-4602,DR,0,1,0,1,433.37,Dollar
33-243-9326,Food,1,1,1,1,499.79,Dollar
18-026-2501,DR,0,0,0,1,428.59,Euro
64-630-6634,Drink,0,1,1,1,416.80,Dollar
30-019-7643,DR,0,0,1,0,312.55,Euro
70-254-0784,Drink,0,1,1,1,411.51,Euro
13-161-8004,f,1,1,0,1,495.59,Dollar
42-135-9904,f,0,0,0,1,479.67,Euro
12-685-9969,,0,1,1,0,482.36,Dollar
38-957-5385,Food,0,1,0,0,375.56,Euro
22-243-8496,Food,1,1,0,0,323.87,Dollar
87-799-8268,Drink,0,1,0,0,311.77,Dollar
63-284-7515,F,1,1,0,0,340.22,Euro
67-799-5520,Food,1,0,0,0,258.00,Euro
11-176-7102,F,0,1,1,0,269.84,Euro
73-780-8525,f,0,1,1,0,267.48,Dollar
35-510-3007,Drink,1,1,1,0,296.81,Dollar
46-679-6783,f,0,1,0,0,275.23,Dollar
20-983-7665,f,1,0,0,1,420.34,Euro
57-275-5957,DR,0,0,1,1,250.09,Euro
38-310-8476,DR,1,0,1,1,354.06,Dollar
01-927-3939,DR,0,0,1,1,315.27,Dollar
59-721-4579,DR,0,1,1,1,438.64,Dollar
19-975-1725,f,0,1,1,1,254.94,Euro
05-147-6882,DR,1,0,1,0,283.44,Euro
45-460-2478,F,0,1,0,1,281.29,Dollar
53-079-2112,Food,0,0,1,0,271.14,Dollar
58-583-6765,f,0,0,0,0,300.97,Euro
13-403-1787,DR,1,1,0,1,365.59,Euro
05-179-8761,f,0,1,0,1,282.28,Dollar
50-509-2309,Food,1,1,0,0,318.84,Euro
84-488-6525,Food,1,0,0,1,289.07,Dollar
50-225-7348,DR,1,1,1,0,488.76,Euro
72-440-4773,Drink,1,0,0,1,486.40,Dollar
32-643-2893,f,0,0,0,1,455.16,Euro
98-777-0003,F,1,0,1,0,354.22,Dollar
61-410-2599,DR,0,0,1,1,415.89,Euro
41-461-4661,F,1,0,1,0,302.57,Dollar
62-020-9335,Food,0,1,0,0,328.38,Euro
22-664-3150,Food,1,1,0,1,319.87,Dollar
46-377-4408,DR,1,0,1,1,390.76,Dollar
74-221-3402,Food,1,0,1,1,373.08,Dollar
07-390-8374,Food,1,1,0,1,317.07,Dollar
51-216-5238,Food,1,0,0,0,261.36,Euro
74-263-6554,DR,0,1,1,0,478.85,Dollar
69-465-6474,DR,1,1,1,1,428.60,Dollar
80-908-8830,Drink,1,1,0,1,254.46,Euro
63-847-3805,Drink,0,0,1,0,451.57,Dollar
27-892-4087,DR,0,1,1,0,356.72,Dollar
58-017-9591,DR,1,1,1,0,372.84,Dollar
20-045-9358,Drink,1,1,0,0,446.19,Dollar
44-095-9798,Food,1,1,0,1,313.82,Euro
71-081-0958,Drink,0,0,0,0,353.01,Euro
15-791-5646,Drink,1,0,1,0,462.84,Dollar
51-122-4370,,1,0,1,0,465.81,Euro
97-071-9265,Drink,1,1,0,1,494.74,Euro
95-327-3946,Food,0,1,0,1,287.84,Euro
69-100-3976,DR,0,1,0,1,496.79,Euro
23-614-0033,Drink,0,1,1,1,253.73,Euro
48-592-0370,F,1,0,1,0,387.49,Euro
68-463-6529,Food,1,1,1,0,470.66,Dollar
30-663-4414,Drink,1,1,1,1,364.92,Dollar
95-213-9269,Drink,1,0,0,0,317.63,Dollar
38-346-7417,f,1,1,1,0,425.20,Euro
95-529-9871,Food,1,0,0,1,484.01,Euro
25-486-4333,Drink,1,0,1,1,337.69,Euro
94-055-8717,Drink,0,0,0,0,339.11,Dollar
77-610-2759,f,1,0,1,1,,Dollar
02-277-3281,,1,0,0,1,358.29,Dollar
87-426-9370,Drink,0,1,1,1,385.18,Dollar
35-352-3828,F,0,1,0,1,355.82,Dollar
75-572-8030,f,0,1,1,1,253.30,Euro
99-685-9132,Food,0,0,0,1,475.90,Euro
71-128-7398,Drink,0,1,0,1,272.79,Euro
67-692-0055,Drink,0,1,0,1,306.97,Dollar
90-495-8448,DR,1,1,1,0,331.70,Euro
80-871-7776,f,1,0,0,1,274.76,Euro
89-499-3986,Food,1,1,1,0,474.31,Dollar
13-155-0164,f,1,1,1,1,287.19,Dollar
29-914-1514,f,1,0,0,0,463.68,Dollar
17-278-4466,Drink,0,0,1,0,282.13,Dollar
53-309-9217,f,1,0,0,1,347.51,Euro
41-311-6631,f,1,0,0,0,384.13,Euro
31-213-4815,DR,0,0,1,0,443.25,Euro
46-478-5222,Food,1,1,1,1,362.64,Dollar
96-301-2786,Drink,1,0,0,1,385.18,Euro
09-618-0355,F,0,0,1,0,421.71,Euro
93-585-6345,DR,0,1,0,1,378.71,Dollar
90-495-9317,Food,1,0,0,0,359.29,Euro
63-907-6556,F,0,0,0,0,495.01,Dollar
40-119-6447,F,0,0,1,1,490.62,Dollar
35-728-8029,Drink,0,1,0,0,405.85,Dollar
33-637-7277,f,0,0,1,1,345.00,Euro
48-180-6390,DR,0,0,1,0,461.18,Dollar
40-443-4252,F,1,1,1,0,499.64,Dollar
66-407-5688,F,1,1,0,1,258.85,Euro
81-896-3795,f,1,1,1,1,364.98,Dollar
68-611-4074,DR,1,1,0,0,406.46,Dollar
16-285-6050,DR,0,1,1,1,411.60,Dollar
83-950-0673,Food,0,0,1,0,479.15,Dollar
47-227-3557,Food,0,1,1,1,374.07,Dollar
54-112-1477,Food,0,0,0,1,488.70,Dollar
31-270-7680,,1,1,1,1,254.47,Euro
