Project_ID,Programming Language,Employee_1,Employee_2,Employee_3,Employee_4,Award,Currency
645455980-7,Python,0,0,2,1,429.04,JOD
195607927-0,Python,1,1,2,0,105.86,USD
855275606-4,java,1,1,0,1,224.94,USD
820899078-7,JAVA,2,0,1,2,263.50,Euro
076072498-9,C++,0,1,1,1,295.10,USD
701099245-2,PYTHON,0,0,0,2,388.28,JOD
425870542-X,JAVA,1,1,1,1,145.04,Euro
577407962-7,JAVA,0,,2,1,230.31,JOD
917245256-0,Python,1,0,0,2,104.45,USD
311025592-8,JAVA,2,2,1,1,309.58,USD
178706580-4,PYTHON,0,1,0,2,102.39,JOD
747517826-9,R,0,0,2,0,169.00,USD
996381851-X,C++,1,1,1,0,291.17,USD
510108303-8,R,0,0,0,2,374.98,Euro
207139459-3,C++,1,0,0,0,399.03,JOD
462096867-6,Python,1,1,1,2,439.38,JOD
263500425-0,Python,0,2,1,2,117.93,JOD
348274233-2,java,2,2,2,0,242.02,Euro
098803506-5,C++,1,1,2,2,418.21,USD
656753742-6,c++,1,0,2,0,425.93,USD
873697714-4,JAVA,0,2,1,0,166.35,USD
591471031-6,PYTHON,2,1,1,0,190.04,USD
220464381-5,C++,2,2,1,1,207.51,JOD
300928218-4,JAVA,1,2,0,2,367.94,JOD
790487064-9,C++,1,1,1,2,290.29,USD
745185503-1,PYTHON,0,2,1,1,137.41,Euro
056946620-2,C++,0,2,2,1,255.52,USD
104888075-3,R,0,2,0,2,493.19,Euro
315693264-7,Python,2,1,2,2,291.94,Euro
458571530-4,JAVA,2,2,0,0,107.48,JOD
209361225-9,Python,1,1,1,1,443.72,Euro
809776369-9,R,1,0,1,0,125.80,JOD
835718763-3,R,0,1,1,2,143.92,JOD
512661583-1,C++,0,1,2,2,186.35,USD
180207851-7,,2,2,0,0,178.55,JOD
200360691-2,c++,0,2,0,0,479.03,JOD
899484772-3,JAVA,1,2,1,1,113.06,USD
738753667-8,c++,0,1,2,0,402.13,Euro
517376879-7,R,0,2,2,1,243.47,Euro
903883558-2,PYTHON,0,2,0,0,260.55,Euro
854627202-6,c++,0,1,1,0,166.77,JOD
044951639-3,,1,0,1,1,354.88,JOD
558225730-6,C++,1,2,2,1,480.76,Euro
082623594-8,JAVA,0,,0,0,420.65,JOD
001944924-0,Python,1,0,1,0,472.13,JOD
600934109-4,java,1,1,1,2,215.15,USD
337067502-1,java,0,2,0,0,146.56,Euro
457310358-9,PYTHON,2,1,2,0,151.36,Euro
573357890-4,JAVA,1,0,0,2,120.33,USD
977105321-3,c++,2,1,1,0,409.78,Euro
404547664-4,PYTHON,2,1,0,1,261.47,Euro
991509352-7,c++,1,2,0,0,257.04,USD
218977533-7,C++,1,1,0,1,187.54,USD
438620981-6,C++,0,2,1,1,282.08,USD
603743761-0,JAVA,0,1,0,2,494.03,JOD
990810233-8,,0,2,0,1,205.02,USD
652702197-6,java,0,0,0,2,181.47,USD
454445807-2,PYTHON,0,1,1,1,484.61,JOD
376182731-8,Python,2,0,2,1,111.52,Euro
133532660-X,java,2,,0,0,296.42,Euro
148506679-4,Python,1,1,0,2,396.50,JOD
825337679-0,c++,1,0,1,1,400.29,JOD
212354664-X,JAVA,0,2,2,0,281.67,USD
943826618-6,Python,2,1,1,2,492.87,USD
823985661-6,JAVA,1,0,0,0,323.41,JOD
866280019-X,C++,0,2,0,1,277.27,Euro
408162294-9,C++,0,1,1,0,135.30,USD
758304143-0,c++,2,1,1,2,164.34,USD
202392437-5,c++,2,1,2,1,295.64,USD
881762045-9,PYTHON,1,0,2,2,137.22,JOD
517293208-9,C++,2,0,1,0,234.77,Euro
449448348-6,PYTHON,1,2,2,1,163.91,Euro
819650606-6,Python,0,0,0,1,227.80,Euro
138089692-4,C++,2,2,0,1,380.43,Euro
813659193-8,R,2,1,1,1,124.77,Euro
701207574-0,PYTHON,1,0,2,2,426.21,USD
028259023-4,JAVA,0,2,1,0,398.99,JOD
280740622-X,java,0,2,0,0,240.83,USD
719754968-X,java,2,,1,1,245.91,Euro
032628624-1,java,0,0,0,2,197.95,JOD
218307753-0,C++,0,0,0,1,380.60,Euro
039358269-8,R,1,2,1,1,159.15,JOD
912213392-5,PYTHON,1,1,1,0,141.09,USD
501814034-8,R,2,0,0,1,419.26,JOD
115600098-X,PYTHON,2,2,0,2,105.88,USD
149827402-1,C++,0,1,0,0,415.57,JOD
418041088-5,java,0,1,2,1,479.22,USD
738071288-8,c++,0,2,1,0,300.88,JOD
974271361-8,JAVA,1,0,1,1,281.43,Euro
262343625-8,C++,1,2,2,1,228.19,Euro
946320401-6,java,2,1,1,1,255.10,JOD
433350037-0,Python,2,2,2,1,316.43,Euro
480752759-2,PYTHON,0,0,2,2,191.62,JOD
086525459-1,c++,0,1,1,2,495.45,Euro
076017492-X,Python,0,1,2,2,450.66,USD
256812356-7,Python,1,0,1,2,181.01,Euro
377229757-9,c++,0,1,2,2,371.22,JOD
876786794-4,Python,2,0,1,0,299.88,JOD
058096875-8,JAVA,2,0,2,2,492.31,Euro
685626011-3,C++,0,1,1,2,279.52,JOD
774734496-1,R,0,2,2,1,335.97,USD
305132431-0,Python,0,2,1,0,259.55,USD
577343824-0,JAVA,0,0,0,1,373.04,JOD
521234594-4,R,1,2,2,1,374.47,Euro
154135370-6,Python,0,1,1,2,450.70,JOD
032149525-X,Python,2,2,1,2,316.70,Euro
588641479-7,c++,1,1,1,2,281.72,JOD
251670982-X,R,1,2,2,1,320.85,USD
807581960-8,Python,1,0,2,2,460.83,Euro
502516850-3,Python,2,0,2,1,193.02,JOD
389578418-4,c++,2,0,2,0,455.45,USD
206045955-9,Python,0,1,1,1,169.29,Euro
601261201-X,Python,1,1,1,0,295.92,USD
378763193-3,JAVA,2,1,0,2,234.21,USD
674185599-8,PYTHON,2,0,2,1,232.53,Euro
087239550-2,Python,2,2,0,0,421.94,JOD
885000378-1,JAVA,1,0,0,1,169.03,JOD
947333887-2,JAVA,0,2,1,1,163.26,USD
109565124-2,R,1,1,1,0,402.25,JOD
671681279-2,c++,1,1,1,1,366.86,Euro
405831129-0,JAVA,0,1,0,2,468.50,JOD
123496344-2,c++,2,1,0,0,384.52,JOD
725772923-9,PYTHON,1,1,2,1,182.74,USD
045429916-8,PYTHON,1,2,2,2,296.94,JOD
242598635-9,C++,1,0,0,0,392.52,USD
500568421-2,R,0,1,0,1,352.71,Euro
860720230-8,Python,2,0,1,1,319.27,Euro
106934961-5,C++,2,0,0,1,224.28,JOD
755731970-2,c++,2,2,1,2,333.67,JOD
020485752-X,JAVA,1,2,1,0,404.73,USD
304501202-7,c++,0,1,1,2,190.13,Euro
428636177-2,PYTHON,0,2,0,0,260.76,Euro
899466320-7,c++,0,0,0,0,150.76,Euro
993118783-2,R,2,1,1,0,107.90,USD
713133110-4,Python,2,1,0,1,351.16,USD
764281640-5,PYTHON,0,2,0,2,288.09,Euro
423084106-X,JAVA,0,1,2,1,197.77,USD
597658313-X,JAVA,0,1,1,2,441.14,JOD
664807980-0,Python,2,1,1,0,275.10,USD
717854021-4,R,1,0,0,1,400.55,JOD
783625254-X,C++,0,1,0,0,306.53,JOD
331608355-3,C++,1,2,1,2,282.47,Euro
477863881-6,Python,0,,2,2,373.81,Euro
085917849-8,Python,2,2,2,0,126.05,JOD
467286292-5,java,1,1,1,0,262.24,USD
912379480-1,R,1,2,2,2,163.40,USD
630602982-6,JAVA,2,2,1,1,445.11,USD
145613812-X,JAVA,2,1,2,1,122.77,USD
083129553-8,java,1,0,2,1,378.22,USD
516905584-6,C++,2,1,1,0,265.58,USD
696727421-X,Python,1,1,1,1,134.10,USD
144459478-8,c++,1,0,2,2,396.25,JOD
524963421-4,C++,2,0,0,0,489.01,JOD
096982700-8,R,1,1,1,1,442.85,USD
552907302-6,c++,1,0,1,0,157.98,Euro
272644261-7,Python,0,1,1,0,339.28,USD
484779355-2,R,0,1,2,2,456.21,USD
973487293-1,PYTHON,0,2,1,0,193.77,JOD
828501340-5,,0,1,1,1,237.71,Euro
953479464-3,R,0,0,2,1,369.94,Euro
052909913-6,PYTHON,0,1,1,2,265.80,JOD
940045514-3,Python,1,2,1,1,402.05,USD
136895872-9,C++,0,0,0,2,106.34,USD
749611596-7,java,1,2,0,0,335.62,USD
837223319-5,Python,1,0,2,1,332.27,JOD
208741198-0,Python,1,2,0,2,337.33,Euro
006190897-5,java,0,0,2,0,273.35,JOD
360473750-8,c++,1,0,0,2,275.81,Euro
253169890-6,Python,0,1,2,0,284.91,USD
638179716-9,java,1,2,0,1,403.23,JOD
952308392-9,C++,0,0,2,1,179.46,Euro
807114786-9,PYTHON,0,1,2,0,322.54,Euro
051181346-5,C++,0,0,2,0,214.33,Euro
389829620-2,,1,1,1,2,313.03,Euro
908425483-X,C++,1,0,2,0,272.75,JOD
695525436-7,c++,0,2,2,0,111.11,Euro
259169951-8,c++,0,2,2,2,462.94,JOD
448860065-4,C++,0,0,1,1,295.47,USD
156118989-8,C++,1,0,1,2,470.17,USD
882359231-3,c++,0,2,0,2,293.00,USD
326891584-1,C++,2,2,0,0,167.32,USD
851619642-9,JAVA,1,2,2,0,282.43,JOD
551475977-6,C++,1,2,1,1,488.56,USD
357620631-0,java,1,0,0,1,117.88,Euro
572527125-0,C++,0,1,1,0,286.79,USD
283957898-0,R,0,,2,0,103.69,JOD
423410346-2,JAVA,0,,2,1,319.65,USD
998714899-9,JAVA,1,2,1,2,134.21,USD
384336062-6,Python,1,0,1,2,237.77,USD
180175764-X,java,2,0,2,2,237.57,Euro
777672604-4,Python,2,2,0,0,253.44,USD
538458753-9,JAVA,2,2,2,1,185.22,USD
382780391-8,R,0,1,2,2,104.47,JOD
416106939-1,R,2,2,0,1,473.28,Euro
888118882-1,R,0,0,1,0,419.54,JOD
370867857-5,R,2,0,1,0,293.28,Euro
943694701-1,c++,2,2,1,2,445.83,JOD
207690506-5,PYTHON,2,0,1,2,467.72,USD
787884636-7,C++,1,1,1,1,153.43,Euro
064990881-3,JAVA,1,2,0,1,324.18,Euro
290140370-0,PYTHON,1,2,2,2,136.20,USD
069881509-2,Python,1,1,0,2,230.94,USD
903625474-4,Python,1,0,0,1,266.21,JOD
707442332-7,C++,2,2,0,0,359.82,USD
181012832-3,PYTHON,2,2,2,0,250.82,JOD
593541237-3,C++,0,2,0,0,127.83,Euro
106003735-1,PYTHON,0,0,1,1,125.25,Euro
260108569-X,java,1,2,2,1,352.10,USD
822803285-4,C++,2,0,2,2,487.42,JOD
211805414-9,JAVA,1,0,2,0,113.68,Euro
136148233-8,java,2,2,0,1,108.80,USD
666864423-6,c++,0,0,2,2,311.15,USD
528908024-4,Python,2,1,0,2,128.36,USD
911239309-6,PYTHON,2,1,0,2,313.18,Euro
372066749-9,Python,0,0,1,2,247.44,Euro
052304805-X,PYTHON,0,0,0,2,115.19,Euro
391654458-6,R,1,2,1,2,153.95,Euro
355076262-3,PYTHON,1,0,1,0,248.61,USD
760748012-9,C++,1,0,0,1,123.91,Euro
475964517-9,PYTHON,2,0,2,2,464.66,JOD
896587988-4,C++,0,0,0,2,381.01,USD
024051678-8,Python,1,0,1,0,147.55,JOD
067453248-1,JAVA,0,2,1,0,408.41,Euro
849740703-2,R,0,0,2,1,107.35,USD
382841715-9,c++,0,1,1,0,392.06,USD
225526974-0,C++,1,2,0,2,184.55,USD
303151246-4,R,1,1,2,2,263.63,Euro
334803991-6,C++,0,0,2,2,230.81,USD
872660339-X,JAVA,2,2,0,1,101.78,Euro
477074929-5,Python,1,0,1,0,302.14,Euro
009943644-2,java,0,0,2,2,353.16,Euro
782388499-2,PYTHON,2,2,2,2,224.59,Euro
141128726-6,java,2,2,0,0,486.19,JOD
655791753-6,JAVA,1,0,1,0,310.70,JOD
392112098-5,c++,2,2,0,1,219.12,Euro
768854657-5,C++,2,0,1,1,116.39,JOD
515910039-3,C++,1,0,2,2,237.96,Euro
891401769-9,JAVA,0,1,1,2,405.91,Euro
585820212-8,c++,2,2,1,2,263.42,USD
314581560-1,C++,0,1,2,1,178.05,JOD
007211799-0,JAVA,2,1,0,1,422.56,Euro
469903294-X,java,0,2,0,1,387.81,JOD
241536198-4,JAVA,0,0,1,2,184.79,Euro
694995844-7,C++,1,2,1,2,181.67,JOD
285124510-4,java,0,0,2,2,140.36,JOD
015015013-X,java,2,1,0,2,497.98,Euro
926481168-0,c++,0,0,2,2,103.53,JOD
804730639-1,c++,2,2,1,0,143.23,JOD
398322724-4,java,1,1,0,1,406.16,USD
652869355-2,JAVA,2,0,1,0,192.68,USD
095522692-9,PYTHON,1,2,0,2,119.09,USD
281239515-X,java,0,2,0,2,107.11,Euro
907673963-3,java,1,2,1,2,296.24,Euro
944665773-3,R,0,0,2,0,122.39,JOD
717418042-6,Python,0,2,0,0,486.65,Euro
890535502-1,R,2,2,2,2,230.45,JOD
991917762-8,c++,0,1,2,1,481.92,USD
922393872-4,c++,1,1,0,1,157.15,USD
274535615-1,PYTHON,0,1,2,2,105.99,USD
403856604-8,java,2,1,2,1,347.89,Euro
366799041-3,JAVA,2,0,2,2,427.50,Euro
549579849-X,c++,2,0,2,1,493.19,USD
010767229-4,java,1,2,0,1,336.24,Euro
700589422-7,c++,1,0,1,2,311.08,Euro
930712376-4,c++,1,1,2,0,104.63,JOD
164574337-3,java,2,0,2,2,296.43,Euro
078345374-4,C++,1,1,1,2,442.97,JOD
310103578-3,Python,0,1,2,1,199.36,USD
443960924-4,Python,1,2,0,1,485.35,USD
736915734-2,R,0,2,0,0,335.26,JOD
230196822-7,PYTHON,1,1,0,1,214.91,Euro
578923438-0,R,0,1,1,1,256.68,USD
712346586-5,C++,1,1,2,0,142.59,USD
036597964-3,PYTHON,2,1,1,0,191.80,JOD
295761405-7,,0,1,2,0,402.77,USD
302747917-2,C++,2,0,1,2,300.54,JOD
677830297-6,c++,0,1,1,2,326.02,JOD
590070783-0,Python,0,2,0,0,391.42,Euro
081577887-2,C++,0,2,2,1,159.37,USD
880481541-8,Python,1,0,0,2,319.26,USD
481244711-9,c++,0,,1,1,453.43,Euro
465322516-8,java,2,2,1,2,489.55,USD
819821761-4,c++,0,1,2,1,178.69,JOD
539029714-8,JAVA,2,1,1,2,462.13,Euro
725925461-0,Python,1,2,0,2,309.35,Euro
487217387-2,PYTHON,1,0,2,1,146.16,USD
490412823-0,Python,1,0,0,0,218.68,JOD
179566737-0,Python,2,0,1,2,315.72,Euro
084546603-8,java,1,1,1,0,193.26,JOD
234738557-7,c++,1,1,0,2,197.82,Euro
442872733-X,Python,0,1,1,0,228.27,USD
730864258-5,Python,0,1,2,0,119.04,Euro
812181454-5,PYTHON,1,2,1,0,167.96,Euro
370195369-4,R,1,1,1,0,483.84,Euro
440871725-8,PYTHON,2,1,0,0,289.41,JOD
421873209-4,c++,1,1,0,0,135.63,Euro
882544581-4,C++,2,0,1,2,133.98,Euro
693904651-8,R,0,0,2,0,334.70,JOD
079646003-5,C++,1,0,1,2,240.77,Euro
895649776-1,Python,0,1,1,2,361.51,Euro
023843704-3,PYTHON,0,,0,2,434.91,Euro
746392557-9,R,2,1,1,2,200.18,USD
874192810-5,,0,2,2,1,380.24,Euro
290362717-7,java,2,2,2,2,101.81,Euro
430337192-0,PYTHON,0,1,2,0,124.36,JOD
786588891-0,C++,1,2,1,2,100.79,USD
145789946-9,PYTHON,0,1,1,2,140.85,USD
597692877-3,JAVA,0,0,2,1,134.97,USD
508993195-X,java,2,2,0,0,377.07,Euro
704054384-2,C++,2,0,0,1,129.41,Euro
905774844-4,PYTHON,1,2,2,2,461.90,USD
140778359-9,JAVA,2,1,2,1,146.63,Euro
726618974-8,PYTHON,1,1,1,2,110.52,Euro
702393695-5,JAVA,1,1,2,2,367.24,Euro
843017580-6,JAVA,0,2,0,1,378.87,USD
259779531-4,C++,0,2,2,2,217.30,Euro
402458118-X,C++,0,1,2,0,478.13,JOD
326178101-7,c++,1,0,1,1,290.46,Euro
412164638-X,JAVA,1,2,0,0,180.47,JOD
048407794-5,PYTHON,2,2,2,1,185.62,JOD
530078490-7,Python,1,1,2,2,405.83,JOD
330147393-8,JAVA,0,1,1,0,221.42,JOD
600014701-5,R,2,1,1,2,148.54,JOD
421840541-7,c++,0,0,0,1,358.47,JOD
662059567-7,PYTHON,2,0,2,2,466.36,JOD
797120250-4,Python,1,0,2,0,152.77,Euro
177771688-8,C++,2,2,2,2,180.36,USD
839383519-4,C++,2,2,0,1,335.95,Euro
976358960-6,JAVA,0,2,0,0,322.96,USD
006942193-5,C++,2,2,2,2,473.03,USD
221259322-8,Python,2,0,0,1,122.24,Euro
369162446-4,PYTHON,1,1,1,0,441.25,USD
849646011-8,java,1,1,2,2,336.21,JOD
360889677-5,java,0,1,1,1,324.21,USD
632001962-X,java,1,2,0,0,112.67,Euro
938642791-5,C++,1,2,0,0,208.01,Euro
681547737-1,PYTHON,0,1,1,0,247.82,Euro
490849368-5,C++,0,1,1,0,265.21,Euro
647872930-3,java,2,2,2,0,340.68,JOD
208913529-8,c++,0,2,0,1,141.58,Euro
361715553-7,R,1,1,1,2,249.72,JOD
719918389-5,C++,2,0,2,0,190.74,Euro
545396438-3,c++,2,0,2,0,402.34,USD
840870038-3,PYTHON,1,2,1,0,269.28,USD
484302919-X,c++,0,0,1,0,333.49,USD
151385615-4,java,0,2,0,0,111.49,JOD
873483588-1,JAVA,0,0,0,1,327.21,Euro
844679230-3,JAVA,2,,0,1,171.20,JOD
952703954-1,C++,0,0,0,1,137.88,USD
433100745-6,JAVA,1,0,1,1,416.35,JOD
027961287-7,java,2,2,1,0,278.66,JOD
367527149-8,Python,0,2,0,1,352.25,JOD
667563378-3,Python,1,1,1,0,107.89,JOD
454482502-4,JAVA,2,1,2,1,470.81,Euro
458221137-2,Python,2,2,1,1,291.53,USD
934062280-4,PYTHON,2,1,0,1,202.36,USD
985164078-6,c++,1,2,2,2,220.14,USD
628636324-6,PYTHON,0,1,1,0,401.03,Euro
718950192-4,C++,0,2,1,1,443.87,Euro
384264250-4,c++,0,2,2,0,110.36,JOD
622358964-6,c++,2,1,0,1,359.87,USD
128957139-2,R,1,0,0,2,435.51,USD
936623247-7,C++,1,0,2,2,401.60,Euro
819296663-1,R,0,1,0,0,353.35,USD
536550439-9,C++,2,1,2,1,369.22,JOD
790353097-6,PYTHON,2,2,0,1,418.39,Euro
034745248-5,C++,2,1,1,1,260.35,JOD
073036008-3,JAVA,2,2,1,0,380.53,USD
088269587-8,R,0,0,2,1,489.96,Euro
266410846-8,java,1,2,2,1,343.97,USD
199966105-2,c++,1,0,1,1,206.24,USD
997346897-X,JAVA,1,1,1,0,262.80,Euro
428396305-4,R,0,0,1,0,317.77,USD
201350491-8,JAVA,1,2,2,1,408.96,USD
653824463-7,Python,1,2,0,1,226.70,JOD
898397724-8,PYTHON,0,2,0,2,230.20,JOD
109431747-0,JAVA,0,1,0,1,218.25,JOD
624734558-5,C++,2,0,0,0,183.66,USD
009295469-3,java,2,1,2,2,269.15,JOD
576714234-3,C++,2,,1,1,303.11,USD
963946293-4,R,1,2,0,2,481.12,USD
093943008-8,C++,0,1,2,0,271.42,Euro
236339557-3,PYTHON,1,0,0,2,123.70,Euro
613567962-7,c++,1,0,0,2,487.87,JOD
970242782-7,JAVA,0,1,0,2,252.25,JOD
992296109-1,JAVA,2,1,1,0,138.59,JOD
710053496-8,C++,2,2,0,2,454.78,JOD
901574386-X,c++,0,1,2,2,200.65,Euro
463153553-9,PYTHON,2,2,0,2,371.85,Euro
148463343-1,JAVA,0,2,2,1,464.93,Euro
754423966-7,PYTHON,0,1,2,1,178.24,JOD
819360363-X,JAVA,2,1,0,0,198.98,Euro
666237152-1,R,0,0,0,2,242.04,JOD
223790369-7,R,2,1,1,0,174.11,USD
530125816-8,,0,0,0,0,367.45,USD
273904226-4,c++,0,1,0,1,189.98,JOD
988809292-8,PYTHON,1,1,0,0,450.16,JOD
682737159-X,java,2,2,0,2,390.47,USD
544030754-0,java,1,0,1,2,413.61,USD
864839780-4,java,0,2,2,1,373.25,USD
230837910-3,PYTHON,0,0,2,1,373.79,Euro
217813199-9,JAVA,1,1,2,1,379.86,JOD
925358655-9,JAVA,1,0,2,1,247.19,USD
421989130-7,c++,1,,1,1,182.60,USD
718148887-2,,1,2,1,2,371.88,JOD
339982165-4,JAVA,1,2,1,0,393.11,Euro
413335163-0,JAVA,1,0,1,1,331.82,JOD
300038833-8,R,1,0,0,1,333.59,Euro
835329560-1,java,1,2,1,1,397.06,JOD
064322320-7,C++,2,2,0,2,341.01,Euro
963337668-8,c++,2,0,2,0,475.66,Euro
922389114-0,c++,0,2,0,1,315.75,JOD
368579273-3,C++,2,2,1,0,291.93,JOD
850769523-X,C++,1,0,2,2,381.47,USD
361750304-7,Python,1,0,1,0,157.57,JOD
702904553-X,java,0,1,1,0,347.74,USD
660564461-1,c++,1,0,0,0,472.79,JOD
099937092-8,JAVA,1,2,2,2,136.27,Euro
532648131-6,java,1,1,0,0,239.55,Euro
054242327-8,JAVA,1,1,1,2,300.83,Euro
283047444-9,Python,0,2,1,1,249.57,Euro
494291764-6,c++,1,1,1,1,384.06,JOD
510150291-X,R,2,2,2,2,387.27,Euro
874752276-3,JAVA,1,2,2,0,206.82,JOD
235761483-8,Python,1,1,2,1,349.65,JOD
073698404-6,C++,0,1,0,1,396.55,USD
057745090-5,C++,1,1,2,0,480.92,USD
675898472-9,java,1,0,0,0,436.68,USD
439984821-9,Python,0,0,1,0,311.57,JOD
675319388-X,Python,1,1,1,0,315.22,Euro
903466555-0,C++,0,2,2,1,234.74,JOD
084121854-4,PYTHON,2,1,2,2,434.47,Euro
634387063-6,R,2,2,1,0,175.82,Euro
440526577-1,c++,2,0,2,1,302.63,JOD
617123662-4,R,1,0,2,0,354.90,USD
113670594-5,java,2,1,1,0,263.80,USD
822408373-X,Python,1,0,2,1,391.02,USD
958278263-3,Python,1,1,1,0,115.97,Euro
463544820-7,Python,0,,1,0,249.04,Euro
925934359-3,c++,2,0,0,0,306.25,JOD
884308145-4,R,2,,0,2,363.40,Euro
376468418-6,PYTHON,2,2,2,1,273.93,JOD
313429431-1,java,1,,0,1,458.83,Euro
456602624-8,java,0,2,2,0,404.00,JOD
476764469-0,R,1,0,2,0,355.98,JOD
719095461-9,R,0,0,1,0,434.80,USD
662583420-3,Python,0,1,0,0,383.63,JOD
057260399-1,Python,1,2,1,2,197.75,JOD
122580996-7,Python,0,0,1,2,430.23,JOD
530368027-4,java,0,0,1,0,380.85,USD
846171914-X,c++,2,1,0,2,440.58,JOD
331345427-5,JAVA,2,1,0,2,452.19,USD
146484518-2,PYTHON,1,0,0,2,273.65,Euro
430793034-7,PYTHON,1,0,1,0,460.28,Euro
735935882-5,PYTHON,0,1,2,1,170.64,USD
905067736-3,c++,0,1,2,2,398.28,USD
264009366-5,c++,0,0,1,1,299.28,Euro
064849244-3,PYTHON,0,0,1,0,106.35,USD
926876808-9,c++,1,,2,1,380.26,Euro
522870897-9,JAVA,0,1,0,1,381.57,Euro
579042572-0,JAVA,1,1,0,2,154.11,Euro
712188345-7,PYTHON,1,2,0,1,302.92,JOD
557473859-7,PYTHON,0,1,0,1,225.50,JOD
427186037-9,R,0,0,1,0,236.65,Euro
387102908-4,java,1,0,1,2,391.38,Euro
609737719-3,C++,1,2,0,2,247.37,Euro
309649599-8,JAVA,2,2,1,0,443.93,Euro
108507613-X,JAVA,1,1,0,1,269.71,Euro
565346872-X,java,2,0,1,2,221.97,Euro
599697607-2,java,1,2,1,1,341.18,USD
828871772-1,C++,1,1,1,0,401.38,USD
757927219-9,PYTHON,1,1,0,1,357.49,Euro
976411248-X,R,1,0,0,1,393.69,JOD
677815712-7,C++,1,1,2,0,147.66,JOD
894305612-5,C++,0,1,1,0,307.96,Euro
538110256-9,C++,1,1,0,1,363.58,Euro
880477288-3,JAVA,2,1,2,0,206.48,Euro
498839778-5,java,2,0,0,1,124.95,USD
939210027-2,Python,1,0,0,1,412.60,JOD
240213167-5,JAVA,1,0,2,0,395.17,Euro
186886003-5,java,2,,2,1,357.57,JOD
200110902-4,java,1,1,2,1,252.08,USD
835520376-3,C++,1,,1,2,291.48,Euro
671206788-X,java,0,0,2,0,405.62,USD
683663429-8,Python,1,0,0,1,385.08,USD
493631713-6,JAVA,1,2,1,1,123.24,JOD
371479862-5,java,0,1,0,0,356.89,JOD
353678207-8,Python,2,0,0,0,324.09,JOD
029944067-2,PYTHON,0,0,0,2,121.37,Euro
221300978-3,C++,1,2,0,2,452.70,Euro
867078477-7,JAVA,1,1,2,2,378.29,JOD
756200024-7,Python,1,2,2,2,154.33,Euro
836735751-5,R,1,0,0,0,264.09,USD
187761920-5,C++,0,1,1,1,438.34,USD
974975376-3,Python,0,1,2,1,498.16,Euro
773236720-0,PYTHON,1,1,1,1,246.91,JOD
207024352-4,C++,2,1,1,0,325.90,USD
413517751-4,C++,1,0,2,0,302.52,Euro
081341340-0,JAVA,1,2,2,2,476.30,Euro
972883081-5,java,0,2,1,1,211.34,Euro
634714218-X,java,1,2,2,0,326.37,USD
317837154-0,java,0,0,1,1,213.46,Euro
230247063-X,java,1,0,1,2,362.92,JOD
459467591-3,c++,0,1,0,2,114.61,Euro
934235274-X,PYTHON,0,2,1,0,247.33,USD
