Author_ID,Book_ISSN,Place_of_Publication,Year_of_Publication,TotalSales
46213,34-348-6870,Tokyo,Nevitt, 4396.87
6963,89-433-7251,Tokyo,Moppett, 9547.32
6963,49-988-7106,New York,Giannazzo, 8339.44
2554,06-572-0196,london,Paute, 3342.89
458,60-902-7708,New York,Muncaster, 5353.48
253,91-259-0299,london,Willmont, 5514.98
513,66-010-0037,London,Kipling, 9382.58
35465,61-989-1176,NY,Roze, 7547.87
6963,14-429-7632,New York,Dunge, 8556.60
68545,51-079-7239,toKyo,O'Doohaine, 8085.18
963,05-610-1923,Tokyo,MacRinn, 2843.69
46213,95-733-5847,London,Spur, 4766.66
3542,58-321-4181,Paris,McGifford, 9848.82
1235,85-191-1959,london,Dewhirst, 9017.85
1235,96-835-2296,London,Spadari, 4449.99
255,70-668-6210,,Somes, 8165.19
3546,18-264-8036,Paris,Radeliffe, 1311.28
3542,48-850-8581,toKyo,Weepers, 5899.73
3542,45-967-0595,london,Goozee, 3403.21
3566,63-792-9049,Paris,Dufer, 9914.34
63468,39-751-2878,London,Vassman, 3151.49
255,37-828-2024,london,Pawel, 9774.70
46213,69-823-5931,Paris,Crilly, 3242.81
3546,95-577-1946,london,Chisolm, 6749.26
68545,77-416-3920,NY,Fanthom, 5571.76
255,14-865-5212,Tokyo,Halliburton, 2845.16
3641,88-453-7685,Tokyo,Wilcocke, 5325.85
458,00-965-0958,toKyo,Hainning, 9334.85
6963,12-119-6761,Paris,Hawick, 5504.01
963,78-447-3854,NY,Scates, 6823.23
1336,40-012-4486,Paris,Curcher, 7997.93
255,46-852-5946,NY,Goldhill, 1778.37
2554,28-033-1990,Tokyo,Jarrel, 9429.61
253,32-033-5089,toKyo,Testo, 5144.66
55,23-840-6703,London,Rebeiro, 4557.33
253,86-061-8434,NY,Joul, 5476.64
35465,14-029-3285,Tokyo,Ownsworth, 928.86
255,62-909-3038,London,Logsdale, 913.09
253,23-472-6755,Tokyo,Hulse, 9969.76
3641,57-828-0234,Tokyo,St. Quentin, 3130.93
63468,82-575-0632,Paris,Rubinsztein, 8124.74
1336,24-718-1386,Paris,Spendley, 7276.59
963,71-736-8656,london,Andriveau, 9396.99
1336,30-586-2682,london,Softley, 8078.52
3542,29-584-6756,toKyo,Brownsmith, 5069.94
55,92-129-8788,Tokyo,Smout, 6519.40
1336,41-982-8011,London,Murrhaupt, 2930.68
3566,09-625-3994,New York,Ferdinand, 6037.50
2554,05-628-0322,Tokyo,Piercy, 9059.26
1336,73-700-7577,Paris,Benezet, 8365.27
513,90-945-2418,Paris,Roomes, 6229.91
35465,39-784-8668,london,Healks, 2111.37
255,88-608-9462,NY,Matysiak,
3542,69-999-0823,toKyo,Seckom, 8507.02
253,17-967-5603,London,Clubb, 9027.81
1235,86-949-0677,New York,Coate, 3214.90
1235,83-275-3161,Paris,Stoate, 5302.50
68545,56-646-7954,toKyo,Caltera, 6820.39
68545,27-281-8035,London,Duncanson, 9082.37
35465,15-932-5436,New York,Hardingham, 1487.88
963,22-875-6374,London,Scherer, 4588.60
3641,22-112-8128,London,Sutterfield, 7114.05
1235,39-177-6244,toKyo,Tyler, 8213.43
1336,27-044-7982,toKyo,Belleny, 1747.87
963,91-248-9001,London,McGaugie, 6850.52
464,94-452-8459,Tokyo,Ceney, 3492.77
255,85-269-6322,London,Woodes,
963,76-738-9736,New York,Noor, 8083.97
253,84-450-9864,london,Shepherdson, 8640.97
3566,07-378-2531,london,Matzaitis, 6687.98
253,73-143-1721,Paris,Bassick, 8713.52
2554,45-918-1970,NY,Tezure, 9344.94
2554,33-052-0847,Tokyo,Joddens, 745.94
253,78-362-0036,London,Raspel, 6202.44
2554,33-647-1590,Paris,Gogerty, 2235.57
3542,72-876-1362,london,Lednor, 3428.49
2554,24-610-8606,London,Matthewman, 8878.50
963,39-537-4855,London,Le Prevost, 1558.09
63468,58-584-3546,New York,Crotty, 2219.49
255,16-220-4978,NY,Breache, 6888.25
253,75-291-0413,toKyo,Geockle, 8145.70
1336,19-636-4183,New York,Sheather, 1732.65
3641,03-115-5972,London,Gann, 8228.41
35465,03-304-6307,london,Redholes, 1091.29
253,85-022-2815,Tokyo,Hamner, 1328.30
1336,95-936-1749,New York,Hartus, 2659.26
3641,58-284-3761,New York,Heinsh, 4203.72
1336,14-727-6955,toKyo,Whiteside, 7556.89
63468,55-974-9241,toKyo,Rumbelow, 6450.26
35465,63-349-9261,toKyo,Yakovl, 5709.79
35465,12-412-6299,London,Scollan, 6051.81
513,14-629-9250,Tokyo,Bon, 8858.90
3546,98-186-3196,New York,Crysell, 9478.54
3542,41-118-1161,New York,Weekley, 4383.31
458,12-806-6163,Paris,Caughey, 2985.31
253,16-107-3567,Paris,Fergie, 3000.58
464,87-642-7808,London,Reinhard, 1662.98
513,01-315-7096,london,Hauxwell, 6741.11
6963,23-859-7392,London,Freen, 6722.61
46213,70-775-6414,london,Francescoccio, 6832.87
2554,06-400-8156,NY,Trenbay, 8633.20
513,07-537-6959,London,Zanni, 1245.87
3566,18-309-8432,toKyo,Stoodale, 2612.07
63468,01-040-9500,London,Bakster, 1294.70
68545,54-476-4465,New York,Drewery, 4863.06
464,57-622-0879,New York,Saipy, 4206.11
68545,06-702-7441,NY,Gallyon, 3173.66
3542,80-001-5513,london,Stienham, 2038.72
35465,88-783-4994,New York,Flement, 9804.65
3641,92-106-8506,London,Jamrowicz, 8624.50
3546,72-236-9045,NY,MacRury, 9498.61
1336,75-166-4443,london,Aiskovitch, 8510.55
253,83-916-8693,NY,Spoors, 1055.12
46213,61-173-9048,NY,McCorley, 5459.74
253,86-836-9894,london,McNamara, 5411.84
3546,56-109-3949,Paris,Iowarch, 3965.65
513,62-104-1389,london,Jones, 8294.49
3546,39-718-0166,london,Jenkerson, 5840.34
253,22-037-5456,Tokyo,Tetley, 2486.79
458,85-122-9311,toKyo,Cottee, 5107.68
3566,57-878-0442,NY,Mease, 5615.54
3641,69-612-3049,New York,Tibalt, 3314.44
458,53-141-3725,Paris,Sheeran, 6502.92
46213,45-091-0458,london,Richards, 4269.63
513,36-387-1192,Tokyo,Rhelton, 6946.56
63468,59-835-0363,London,Shambrooke, 3893.86
63468,24-615-8599,New York,Banton, 8222.98
35465,40-436-5486,toKyo,Askem, 8985.68
3542,41-776-5681,London,Over, 1961.37
35465,79-514-4880,Paris,Flawn, 1914.47
68545,64-708-0352,london,Agglione, 1423.04
2554,97-154-8830,london,Castletine, 6096.70
68545,15-981-6848,New York,Learmonth, 9331.08
68545,56-078-4329,Paris,Mealing, 7430.85
513,41-353-7242,New York,Chaffin, 9513.15
3542,84-936-9189,London,Dollin, 9017.61
2554,39-556-0371,london,Cheetham, 4658.17
1336,53-591-2649,NY,Fedorchenko, 2651.85
55,54-002-3896,London,Hatcher, 6605.96
963,10-252-3243,New York,Waiton, 9364.78
46213,06-016-1192,London,Aronstein, 1043.85
63468,52-608-8098,New York,Limpricht, 877.43
55,18-993-7252,london,Lambkin, 6142.77
255,37-953-8519,Paris,Benning, 9217.15
3566,34-846-1986,New York,Banton, 4036.69
6963,95-088-9039,toKyo,Boate, 6290.71
3542,49-646-5619,Paris,Derr, 7350.60
35465,91-838-1976,toKyo,Tal, 3245.56
68545,06-285-3059,london,Wittier, 7080.29
3566,39-317-2556,toKyo,Ilewicz, 7983.70
963,14-167-1069,Tokyo,Riba, 4655.50
464,59-945-3682,toKyo,Lefeuvre, 7794.85
3566,18-384-1829,Tokyo,Alves, 4945.59
35465,19-588-9955,Paris,Duffus, 679.04
55,19-860-7616,toKyo,Peever, 7001.49
253,96-747-4209,london,Dwyr, 4591.81
458,31-674-8586,NY,Mosco, 1481.14
63468,02-591-2339,toKyo,Yanshinov, 2510.03
46213,58-685-9586,toKyo,Dagworthy, 7401.16
68545,88-001-3996,Paris,Piscotti, 2113.31
46213,98-223-0664,toKyo,Lanegran, 8891.74
255,69-389-5968,New York,MacGuffie, 4353.29
35465,70-572-1743,New York,Wreight, 2110.52
3546,74-406-7222,NY,Puddephatt, 8662.41
68545,87-786-3666,toKyo,Gagan, 8527.31
46213,02-968-4068,New York,Liggins, 5375.70
1235,39-858-2752,Tokyo,Baser, 5117.60
3641,70-903-1982,London,Ioselevich, 2163.35
3546,70-262-9359,london,Stroud, 7937.05
68545,18-776-6551,london,Knolles-Green, 6933.01
464,92-522-4263,Tokyo,Burdass, 8282.39
6963,50-899-4195,Paris,Bachman, 4073.72
3641,89-778-7136,Tokyo,Meckiff, 2710.04
464,78-449-2575,London,Emett, 9614.31
458,48-533-9685,london,O'Shevlin, 2210.42
1235,38-595-4103,New York,Allchorne, 2928.06
3542,30-305-0306,toKyo,Gimbrett, 9755.22
63468,66-949-4568,toKyo,Eddisforth, 3710.04
3542,96-286-0891,New York,Witton, 2586.69
68545,71-774-1152,London,Mothersdale, 8110.23
963,65-964-1643,toKyo,McAvin, 7848.51
35465,65-770-4914,Tokyo,Wollers,
3546,60-086-3448,toKyo,Sannes, 2872.10
253,73-410-4598,London,Le Fleming, 6114.92
3542,73-435-4156,NY,Menzies, 3898.02
55,66-511-2714,New York,Rex, 6499.84
63468,91-171-2630,london,Tumini, 6459.89
1235,45-027-2078,NY,Knock, 2747.19
46213,82-186-5133,Paris,Chillcot, 3249.32
963,45-384-7040,toKyo,Kollatsch, 2171.20
963,16-070-2638,Paris,Pember, 6452.00
2554,40-017-2297,london,Snowsill, 5833.20
464,70-504-4506,NY,Southworth, 9648.72
63468,12-572-5933,London,Furby, 4337.82
255,65-500-6739,Paris,Whimp, 5696.56
464,80-127-6540,london,Alexsandrov, 8079.93
1235,99-536-0071,london,Ogers, 3176.00
1336,86-183-7730,NY,Titcomb, 4255.02
253,47-304-1824,Tokyo,Stanney, 2298.21
253,30-429-7259,NY,Impey, 9142.10
1336,50-296-8976,NY,Tinmouth, 9327.37
6963,25-095-4505,,Lewry, 2987.99
464,49-303-7859,New York,Shepstone, 2477.52
46213,26-411-8607,NY,Sell, 9294.72
1235,40-561-9444,london,Gramer, 5734.85
1336,44-584-2898,NY,Pavluk, 7301.33
46213,28-060-6347,Tokyo,Freathy, 7572.24
6963,85-394-6187,Tokyo,Amerighi, 5888.35
3542,83-859-5265,london,Dumbarton,
6963,86-483-5213,New York,Chantrell,
2554,58-372-2553,Paris,Edworthye, 8756.26
46213,27-105-5551,NY,Linfield, 3647.73
3546,21-727-7820,NY,Kingsley, 3661.20
3546,96-373-0923,Tokyo,Yakebovitch, 3178.87
63468,44-804-0608,Tokyo,Binstead, 4411.10
458,71-817-8111,Paris,Ommundsen, 4655.13
63468,22-715-9615,NY,Bosworth, 5988.74
6963,34-848-5482,Tokyo,Bowshire, 2930.80
458,08-958-4661,Tokyo,Grigson, 7838.26
3641,19-621-1176,london,Nassy, 1060.60
55,85-313-9100,NY,Tidbold, 5377.69
2554,18-419-9600,NY,Aikman, 5240.86
253,13-862-8771,NY,Vanne, 6379.16
63468,34-564-6622,New York,Ellif, 2889.47
3566,60-932-9480,London,Hankey, 9446.57
3641,16-042-5366,Paris,Cansfield, 9270.55
458,33-784-9675,toKyo,Stubbings,
2554,15-423-2681,London,Niblett, 641.03
68545,45-020-5903,Paris,Gilham, 7557.09
255,87-251-8601,New York,Gaggen, 7206.01
458,96-787-0501,London,MacCarroll, 7980.21
458,95-035-7795,New York,Letty, 886.49
3566,40-791-9612,Paris,Albrooke, 4353.49
2554,75-730-8184,toKyo,Whewell, 9961.25
253,03-747-8162,toKyo,Bovis, 4015.68
253,22-655-9936,New York,Jee, 5193.12
464,57-992-4463,Tokyo,Fawcus, 4958.71
2554,73-970-5242,New York,Nickols, 2134.96
1235,88-910-3491,Tokyo,Turney, 1302.12
458,83-045-3409,New York,Folli, 6300.59
46213,80-733-0786,London,Masse, 2423.40
68545,63-744-3958,london,Truder, 4530.70
63468,00-898-6482,New York,Gatman, 8808.85
3566,35-744-8298,New York,Klempke, 7347.77
55,03-025-7078,London,Devonport, 5454.77
458,62-976-5224,NY,Kienlein, 5354.35
513,86-694-6030,Paris,Checklin, 1093.57
3641,49-767-8257,Paris,Gontier, 8062.03
68545,60-173-0795,New York,Mant, 9657.40
6963,77-090-7574,NY,Martonfi, 3886.55
68545,23-667-8398,toKyo,Cunniff, 2081.09
458,65-614-5852,NY,Smerdon, 6418.72
255,18-095-7623,Tokyo,Sancroft, 6580.71
63468,01-198-4900,Tokyo,Wetherby, 3427.77
963,00-875-3741,Paris,Whieldon, 4198.82
63468,00-169-0694,London,Thring, 6548.48
2554,32-044-8445,toKyo,Ephson, 9098.46
6963,95-642-3143,Tokyo,Springell, 4124.88
63468,08-228-0762,New York,MacGibbon, 6447.76
458,53-550-3152,toKyo,Dunbavin, 6263.10
3542,20-525-7213,toKyo,Sallery, 3504.22
1235,94-417-3624,,Jellyman, 9085.27
55,34-659-9394,Tokyo,Tokell, 3470.96
35465,71-106-8328,toKyo,Nicholl, 6503.30
253,30-736-6741,Tokyo,Bradden, 3426.41
3566,80-104-5204,NY,Spadari, 7157.45
513,98-120-1454,New York,Riggert, 3440.23
46213,71-835-6377,NY,Metheringham, 4537.30
1235,89-188-2565,New York,Zanetto, 3476.97
35465,89-522-3188,Paris,Challiss, 3538.99
3566,29-640-9919,NY,Goburn, 7501.03
1235,03-774-8422,London,Pixton, 6214.16
464,58-831-7200,london,Fiddiman, 8218.66
2554,73-897-6128,london,Allen, 2025.19
1336,54-973-8154,NY,McKeighan, 6732.48
3566,32-423-2619,london,Ovize, 1894.22
2554,31-422-8233,London,McKinty, 4977.34
55,43-805-8839,NY,Tiesman, 5527.77
63468,75-162-8019,London,Calkin, 885.15
963,91-869-8708,toKyo,Pirie, 9137.87
1336,21-396-8804,,Blandford, 6020.39
255,38-359-8351,Paris,Leagas, 1072.25
253,26-788-2088,NY,Reville, 2259.00
963,75-485-8798,Tokyo,Houtby, 2800.43
68545,44-878-2202,Paris,Beake, 7714.13
253,20-562-3851,NY,Purchon, 1968.73
464,63-322-2190,Tokyo,Haet, 3836.72
3542,63-736-3696,NY,Janauschek, 4420.06
63468,19-382-3387,New York,Lavin, 9935.35
464,10-600-6661,NY,Rainard, 9265.38
513,59-667-9300,Paris,Kenwell, 8645.79
255,41-828-5463,NY,Treadgear, 7280.72
68545,24-129-8239,Paris,Gidden, 8435.47
35465,33-075-4651,london,Churchman, 3429.50
68545,06-007-2651,toKyo,Ackers, 4766.51
68545,93-033-2469,Paris,Banks,
2554,33-740-3656,Paris,McAndrew, 2686.97
6963,86-145-8957,NY,Morsey, 3583.56
963,05-844-8279,toKyo,Trillo, 4709.49
3641,81-679-8549,Tokyo,Maxwell, 7313.40
2554,24-480-7313,London,Sterry, 7998.23
55,54-893-4429,London,Wilmut, 5231.67
464,37-699-3611,Tokyo,Cottesford, 4983.29
3546,69-284-2522,toKyo,Toderi, 4078.60
458,17-065-9264,Paris,Hargerie, 4424.04
63468,54-428-6341,london,Tolhurst, 3313.47
253,09-554-3130,Paris,Dunn, 2729.43
6963,40-556-0671,Tokyo,McConachie, 3726.49
46213,69-345-0261,Paris,Bavridge, 9836.04
46213,89-692-8525,Tokyo,Vasishchev, 8247.66
1235,92-796-1550,NY,McConnal, 5105.97
68545,68-600-5779,toKyo,Estabrook, 3575.80
3641,76-130-6138,Paris,Wilsee, 9706.06
35465,71-034-5032,Paris,Bridgeman, 1442.37
3546,19-943-1380,New York,Nowlan, 2658.49
3542,29-896-9509,toKyo,Tolworthie, 1314.32
3546,43-113-3817,Tokyo,Scandrite, 7339.66
2554,39-028-6956,New York,Indgs, 1780.74
963,22-036-9479,Paris,Roderigo, 2659.63
55,40-478-3910,London,Donaway, 8450.26
1336,74-790-1865,Tokyo,Burriss, 4142.96
464,21-197-5525,Paris,Howle, 1948.24
963,74-556-0193,New York,Bembrick, 2927.57
35465,44-799-6257,New York,Ruger, 7265.10
68545,45-822-6041,Tokyo,Jenicek, 1407.26
253,00-324-4385,NY,Fitzsymon, 2101.42
63468,44-668-5151,london,Didball, 3352.42
253,79-356-7820,London,Thurston, 2414.19
464,09-427-2311,New York,Bardey, 9021.47
3546,10-833-4947,toKyo,Lightbown, 8166.90
3542,30-086-0648,New York,Bartel, 7953.03
1336,16-201-1583,London,Follows, 4266.34
963,95-058-2313,NY,Vereker, 6742.84
513,40-376-6077,Tokyo,Mokes, 9443.84
3542,85-936-1455,Tokyo,Corder, 8837.35
963,35-769-7332,Paris,Matura, 8857.15
3542,45-918-4562,toKyo,Tolworthie, 6395.71
55,46-622-5083,NY,Hodcroft, 7485.38
55,62-343-9646,london,Dillistone, 7008.12
255,66-282-9199,Tokyo,Petch, 1824.33
513,59-362-0472,New York,Elvy, 654.93
458,26-868-5711,London,Lancaster, 3263.78
46213,00-654-3052,London,Cherryman,
35465,88-601-2646,,Webber, 5926.46
253,61-061-5845,New York,Niece, 4076.20
255,00-761-8298,Tokyo,Duck, 4316.51
253,01-920-2575,london,Caghan, 649.70
255,63-990-4821,Tokyo,Jako, 817.84
513,95-682-4103,Paris,Dybald, 2840.88
35465,76-229-5353,Tokyo,Bennit, 8991.06
464,03-338-7082,toKyo,Skakunas, 9202.41
1235,81-852-6157,Paris,Phidgin, 8789.68
2554,44-659-5465,Paris,Kidd, 9872.69
63468,46-884-3378,Paris,Jindrich, 6980.01
1235,28-762-2099,Tokyo,Dryburgh, 2650.27
55,20-258-2813,,Walsh, 8803.62
513,03-164-3053,NY,Burhill, 5833.91
253,36-435-7080,Paris,Abrahim, 6493.86
255,86-034-4944,toKyo,Lunge, 4442.94
513,37-671-2050,london,O'Longain, 3542.88
6963,11-072-3113,NY,Vineall, 8293.96
2554,30-443-3938,london,Masi, 4787.26
253,22-190-4142,Paris,Hedge, 3861.88
6963,37-995-8487,toKyo,Grute, 7612.43
2554,40-249-4602,Paris,Bowker, 8264.21
46213,25-236-0240,NY,Blackley, 863.13
1235,48-657-8116,Tokyo,Foro, 4991.19
513,26-285-5150,Paris,Jowitt, 935.94
2554,20-320-7983,toKyo,Logesdale, 5908.62
3542,23-612-6928,Tokyo,Wainscoat, 6516.72
2554,91-021-0572,london,McDermot, 6605.94
963,01-450-5571,Tokyo,Jaycox, 5311.44
68545,59-821-5127,London,Benasik, 9635.06
46213,62-711-7473,toKyo,Dines, 9496.73
6963,79-155-9909,New York,Pahl, 7592.17
3641,37-235-9573,NY,Poulsen, 8246.53
63468,24-175-3625,london,Clipson, 3367.76
2554,51-975-6179,toKyo,Peto, 872.06
2554,05-765-1029,toKyo,Chalke, 3053.76
513,10-404-9296,London,Sedgmond, 9738.04
55,14-885-4039,Tokyo,Montez, 4222.28
3641,32-085-9298,NY,Joyson, 4522.51
46213,77-326-3599,Paris,Phipard-Shears, 9921.41
3546,96-963-7488,NY,McReath, 9923.60
253,27-148-6740,Paris,Accomb, 8428.77
68545,92-104-5569,NY,Shipcott, 6657.80
458,32-412-5422,Tokyo,Mort, 6067.84
6963,48-333-0380,Paris,Clemmensen, 8163.36
464,08-514-6539,london,Carthy, 8256.17
3546,62-961-4704,Tokyo,Astle, 1856.94
458,85-378-8710,New York,Francescotti, 2426.83
1235,97-706-7360,NY,Goulstone, 8002.01
55,99-754-4412,toKyo,Gillespie,
46213,27-034-3441,london,Sunners, 8442.55
1235,09-522-5039,Tokyo,Sucre, 3632.64
2554,28-100-8938,London,Danielsohn, 8724.91
255,97-066-8333,toKyo,Sidary, 6164.64
963,20-467-0235,Tokyo,Mardell, 9514.80
255,67-600-7481,New York,Enders, 8353.05
6963,36-066-8511,New York,Pond-Jones, 7024.10
68545,57-482-9647,NY,Middup, 6271.26
55,78-016-4478,London,Antonioni, 2071.53
458,84-561-3354,New York,Drogan, 849.51
255,84-112-4653,Tokyo,Adamski, 7224.45
458,81-467-9070,New York,Penrice, 6299.06
253,24-664-2766,NY,Murrhardt, 4253.97
3542,72-596-6541,New York,Walesa, 2994.16
2554,22-749-2713,London,Luesley, 8247.24
963,65-733-3509,Tokyo,Brownell, 7438.96
255,80-226-8919,toKyo,Scarse, 4970.48
3542,32-582-8213,Tokyo,Caudrelier, 9546.92
2554,89-744-9625,Paris,Parkes, 8379.02
253,84-299-5500,london,Stileman, 8086.46
255,73-338-3413,Tokyo,Pither, 1846.92
46213,90-979-4413,toKyo,Panichelli, 9662.56
46213,22-251-6849,New York,Tressler, 5038.71
3542,88-486-6088,toKyo,Holyard, 1867.46
1336,00-552-0976,toKyo,Pledge, 4225.78
464,30-137-2115,london,Schimank, 2239.91
255,67-173-3231,London,Convery, 3106.12
464,58-947-6667,New York,Ormiston, 5612.61
513,17-816-2065,NY,Aizic, 5807.63
3566,11-489-3910,toKyo,Boatright, 1000.65
63468,69-362-6833,New York,Hughes,
1235,78-888-7719,Tokyo,Isac, 8026.93
68545,92-867-0968,London,Suerz, 2005.79
513,51-269-7535,toKyo,Jevons, 5386.07
3566,54-827-3634,Tokyo,Maddison, 2145.99
3566,04-102-1369,Tokyo,O'Crigane, 1011.54
55,89-926-0305,London,McLaughlin, 7687.00
3566,66-619-9431,toKyo,Forsey, 6107.55
1336,97-050-3874,london,Dubock, 7091.22
1235,05-819-5422,london,Northley, 1127.20
3641,05-945-0964,toKyo,Craigs, 8142.59
3566,63-043-5933,New York,Blyth, 4063.16
