Project-ID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
762459019-0,JAVA,0,0,1,1,300.20,USD
443527482-5,c++,2,1,0,0,188.97,USD
210815207-5,PYTHON,0,1,0,1,393.42,Euro
028471530-1,JAVA,1,0,2,0,271.60,JOD
643566740-3,JAVA,0,2,2,1,142.03,USD
802249816-5,JAVA,1,2,1,1,125.28,JOD
008601526-5,R,0,2,1,2,158.55,Euro
860132357-X,R,1,1,0,2,165.49,JOD
951162556-X,,0,0,0,1,104.37,JOD
999540311-0,PYTHON,2,0,1,0,329.41,USD
188554093-0,JAVA,0,0,0,1,430.58,Euro
932509126-7,PYTHON,1,0,1,2,487.05,USD
613860437-7,C++,1,0,2,2,366.12,USD
408890705-1,c++,0,1,1,0,101.86,USD
815805433-1,java,1,1,2,0,212.02,USD
137227885-0,R,0,2,0,1,221.30,JOD
469613783-X,C++,2,0,1,1,413.23,JOD
669572501-2,R,0,2,1,2,487.00,Euro
231368194-7,java,2,2,2,2,464.42,JOD
075165905-3,Python,2,1,1,2,307.51,Euro
984842702-3,JAVA,1,1,2,1,262.94,USD
823206342-4,Python,0,2,1,0,142.07,JOD
470406286-4,Python,0,2,2,0,345.25,Euro
789900824-7,R,0,1,0,1,304.53,JOD
545080672-8,R,2,0,1,2,109.52,Euro
008661488-6,JAVA,1,0,0,1,257.54,USD
478854518-7,Python,0,2,2,2,396.37,Euro
875732085-3,R,2,1,0,2,483.97,USD
618185163-1,c++,0,2,2,1,308.59,Euro
057844021-0,java,1,2,1,2,326.58,JOD
427426440-8,PYTHON,2,0,1,1,307.57,Euro
030839447-X,Python,2,2,0,0,352.65,JOD
331486142-7,java,1,0,2,1,454.42,Euro
787302769-4,C++,0,1,0,1,350.75,USD
614079047-6,R,0,2,1,2,239.48,JOD
357171268-4,java,1,0,0,2,199.41,JOD
976931183-9,Python,2,0,0,0,239.53,USD
688574260-0,java,0,0,1,0,324.96,JOD
075390638-4,C++,0,2,2,0,292.94,Euro
533992331-2,JAVA,1,2,0,0,206.14,JOD
890956322-2,JAVA,0,1,1,0,330.70,JOD
633609581-9,Python,1,1,0,0,479.48,USD
260564354-9,JAVA,0,1,0,0,240.38,USD
433074050-8,Python,0,2,0,2,337.44,Euro
639654866-6,PYTHON,2,2,0,1,388.41,Euro
014198953-X,java,1,1,1,1,409.64,Euro
305768395-9,R,0,1,1,2,285.87,USD
212643912-7,PYTHON,2,0,0,0,388.51,Euro
588755142-9,c++,2,1,1,0,495.75,Euro
386898604-9,R,2,0,1,0,354.45,USD
609655823-2,JAVA,2,0,1,0,286.11,JOD
208634849-5,Python,0,2,0,1,398.30,JOD
510992992-0,C++,0,1,0,2,299.09,USD
440704378-4,c++,0,1,1,0,338.76,Euro
493929320-3,PYTHON,1,2,2,2,150.20,JOD
142182053-6,R,0,1,2,1,488.85,Euro
278180562-9,R,0,1,2,0,383.42,Euro
131718655-9,C++,0,2,0,0,319.25,USD
091260973-7,C++,0,2,1,0,306.77,USD
778697989-1,c++,2,2,1,1,301.08,Euro
496455181-4,java,1,2,1,2,283.13,Euro
319701084-1,JAVA,0,2,1,0,494.05,Euro
222906484-3,,2,2,1,1,104.41,JOD
185628998-2,C++,2,0,0,2,328.42,JOD
335619888-2,C++,1,2,0,1,228.97,Euro
524987968-3,C++,2,1,0,0,372.11,JOD
163811838-8,C++,0,2,1,0,359.28,USD
095676162-3,R,2,0,2,2,427.81,JOD
960673583-4,Python,2,0,2,2,414.24,Euro
135044295-X,C++,2,2,2,2,356.00,USD
909708070-3,C++,2,1,0,1,118.81,Euro
542307202-6,,2,1,2,2,327.62,JOD
283036947-5,C++,1,2,2,1,188.00,Euro
258773109-7,java,2,1,1,1,346.09,Euro
092621049-1,Python,0,2,1,2,311.81,USD
004053078-7,Python,0,0,1,0,498.21,Euro
741097430-3,PYTHON,1,1,1,1,150.40,USD
916560489-X,PYTHON,0,2,2,0,304.00,JOD
843233838-9,c++,1,2,1,0,156.57,JOD
285035616-6,C++,2,2,2,1,422.28,Euro
956811291-X,c++,2,0,1,1,357.13,Euro
833136635-2,c++,2,1,0,2,332.53,Euro
745332549-8,JAVA,2,0,2,2,347.44,JOD
252834575-5,JAVA,1,0,0,0,253.22,USD
621779125-0,JAVA,1,,0,1,172.70,USD
630918607-8,R,0,2,0,2,231.02,USD
606281734-0,Python,1,2,1,0,139.29,Euro
661647101-2,JAVA,1,0,2,0,137.84,JOD
468538992-1,C++,0,1,1,2,413.86,USD
313909065-X,JAVA,1,0,1,2,471.74,USD
652151150-5,java,2,0,0,1,455.29,USD
240232075-3,R,2,0,0,2,391.07,JOD
755140130-X,java,1,1,2,2,269.72,JOD
329503104-5,C++,0,0,2,0,446.84,Euro
550921837-1,java,0,2,1,1,257.74,JOD
220685198-9,PYTHON,0,0,2,2,129.80,USD
690211044-1,C++,2,1,2,1,322.71,Euro
413864717-1,R,0,1,0,0,121.12,USD
096331655-9,Python,0,1,1,2,481.30,Euro
517935753-5,c++,2,0,0,1,358.30,Euro
910401507-X,Python,1,2,1,0,285.19,Euro
002603403-4,,0,0,2,0,494.20,USD
336811058-6,C++,1,1,0,1,161.60,Euro
867295818-7,R,0,1,2,2,211.07,JOD
813177650-6,Python,2,0,1,0,333.14,Euro
009597507-1,JAVA,0,0,1,2,212.93,JOD
529681228-X,c++,0,0,2,2,404.81,Euro
782598801-9,PYTHON,2,2,1,1,499.54,USD
327464343-2,java,1,2,1,2,323.46,Euro
430433495-6,C++,2,1,0,2,222.72,Euro
032271216-5,Python,2,2,0,0,281.41,Euro
533673328-8,Python,0,0,1,0,330.51,Euro
638898679-X,Python,1,2,1,0,402.20,Euro
711983956-X,R,0,0,2,2,454.36,JOD
593052177-8,PYTHON,0,2,1,1,219.16,USD
341344996-6,JAVA,2,1,0,1,280.50,Euro
956433525-6,JAVA,1,0,1,2,371.21,USD
069106902-6,PYTHON,2,1,1,1,480.63,JOD
062696683-3,PYTHON,1,2,1,2,477.07,Euro
609095649-X,R,2,2,1,1,356.70,Euro
027543870-8,C++,0,0,0,2,121.76,USD
442874367-X,java,1,1,0,1,242.12,USD
706886983-1,C++,1,2,2,2,291.15,USD
341959129-2,java,2,0,2,2,481.95,JOD
823063755-5,C++,1,2,2,2,445.01,USD
381934418-7,R,2,0,0,2,157.89,JOD
798983559-2,R,0,2,2,0,156.94,JOD
259668283-4,R,1,2,1,2,150.16,Euro
561229248-1,C++,1,2,2,2,185.49,JOD
822397425-8,java,0,2,2,2,466.91,JOD
379007106-4,java,0,0,1,1,108.86,USD
782886856-1,java,1,1,0,2,323.02,USD
858895740-X,C++,0,2,2,1,203.76,Euro
681409665-X,R,0,2,2,0,463.95,JOD
756595999-5,java,0,0,1,0,173.90,JOD
916839734-8,JAVA,0,0,1,1,105.71,USD
452079293-2,Python,1,1,1,2,293.49,Euro
905632378-4,PYTHON,1,2,2,0,406.07,USD
314321336-1,PYTHON,0,0,2,1,220.71,Euro
328431391-5,R,2,2,2,1,476.38,Euro
225310668-2,JAVA,0,2,1,0,336.76,JOD
754533252-0,JAVA,1,2,1,0,148.93,Euro
607563740-0,java,1,1,1,1,320.55,Euro
234971187-0,C++,1,2,2,1,385.23,USD
594846387-7,C++,2,0,0,0,221.93,JOD
933337383-7,Python,0,2,2,0,419.05,JOD
166554055-9,java,2,0,2,2,269.80,USD
234620868-X,PYTHON,2,0,0,0,421.62,USD
017309271-3,JAVA,0,1,0,0,222.72,Euro
871707902-0,PYTHON,0,,1,0,320.93,Euro
565508001-X,R,1,0,0,0,322.67,Euro
474538860-8,c++,2,0,1,0,384.31,USD
744833261-9,Python,0,2,1,1,329.80,Euro
211386872-5,PYTHON,0,1,2,0,193.74,JOD
298340083-2,Python,2,0,2,0,480.50,USD
118275911-4,c++,1,2,1,1,274.77,JOD
171659574-6,R,1,1,1,2,344.58,Euro
080876151-X,C++,0,1,2,2,486.90,JOD
167987644-9,c++,1,2,2,1,403.61,JOD
553476301-9,C++,2,1,1,0,220.98,USD
035683632-0,JAVA,0,1,2,2,121.35,JOD
373369089-3,java,1,2,0,2,222.02,Euro
974828163-9,java,0,2,0,1,308.03,JOD
633010688-6,R,2,1,0,2,492.27,Euro
737625753-5,C++,0,2,2,0,476.62,Euro
920778096-8,C++,0,0,2,2,454.51,Euro
139996883-1,c++,0,,0,2,206.63,JOD
883158676-9,java,1,,0,0,349.84,USD
654563180-2,PYTHON,2,0,2,2,270.53,USD
549020292-0,PYTHON,0,2,2,1,411.22,JOD
895902834-7,Python,2,2,0,2,403.92,Euro
339194394-7,R,2,1,2,2,253.69,Euro
338044575-4,R,0,2,1,1,143.86,Euro
165527608-5,c++,0,2,1,0,416.66,USD
646924898-5,c++,1,,0,2,109.27,USD
544247061-9,PYTHON,2,0,2,2,221.83,JOD
844846439-7,C++,1,1,2,1,222.92,Euro
112455833-0,java,0,0,1,2,460.65,Euro
423822276-8,PYTHON,0,,0,2,282.19,Euro
533893758-1,PYTHON,1,0,0,1,304.24,JOD
659428989-6,java,1,2,0,1,224.32,JOD
488926953-3,C++,0,0,1,1,185.36,JOD
740718445-3,c++,1,0,2,2,244.02,JOD
900017274-8,c++,0,1,2,2,125.51,JOD
370173018-0,JAVA,1,2,2,0,240.79,Euro
235395477-4,c++,1,1,2,2,161.57,Euro
835713978-7,Python,0,1,2,2,182.26,JOD
624195672-8,PYTHON,0,1,1,0,450.23,Euro
529100383-9,C++,2,0,1,2,196.80,USD
069148954-8,C++,2,0,1,1,282.54,USD
402097042-4,C++,2,0,0,0,101.71,JOD
415318483-7,java,2,1,1,1,216.05,Euro
573436332-4,Python,2,2,2,2,310.08,USD
594586696-2,PYTHON,1,0,2,2,458.61,USD
556494582-4,R,2,,1,1,409.57,USD
302145317-1,c++,2,1,2,1,183.68,Euro
359420668-8,java,2,1,2,0,458.31,Euro
688983931-5,JAVA,2,1,1,1,162.07,Euro
319054097-7,R,2,0,2,0,432.18,USD
808855026-2,R,1,2,0,1,194.80,USD
666382502-X,java,1,1,2,0,375.31,Euro
603231769-2,PYTHON,1,1,0,2,427.23,JOD
795926374-4,C++,0,2,1,1,188.84,JOD
434438996-4,Python,0,1,2,1,306.81,Euro
252801676-X,R,0,,1,1,393.95,Euro
935060738-7,C++,0,0,2,2,109.56,USD
855469824-X,PYTHON,0,0,1,2,365.74,USD
645187241-5,JAVA,0,0,2,1,441.09,USD
040538355-X,java,0,0,1,2,452.73,USD
259427431-3,java,2,2,2,1,499.82,Euro
666276418-3,C++,2,2,2,1,382.27,JOD
113338640-7,PYTHON,0,0,2,1,407.96,USD
491967649-2,java,2,1,0,0,299.60,Euro
030995634-X,R,2,2,1,1,411.39,Euro
884545696-X,PYTHON,2,1,0,0,339.75,Euro
556337112-3,java,2,0,0,2,309.13,JOD
665544843-3,R,0,2,0,1,294.22,JOD
829776895-3,,2,2,2,0,362.16,USD
889420522-3,PYTHON,0,1,1,2,365.06,Euro
354361305-7,PYTHON,2,2,0,2,382.41,Euro
718531336-8,C++,1,2,0,0,489.77,JOD
984509754-5,R,0,1,2,1,429.77,USD
645367061-5,R,2,1,2,0,292.11,JOD
343966966-1,Python,0,0,0,0,239.42,USD
553726073-5,PYTHON,0,0,1,1,226.06,JOD
610281252-2,JAVA,1,1,2,1,454.83,JOD
763600847-5,PYTHON,1,2,0,1,270.47,JOD
949254785-6,C++,2,1,2,1,452.65,USD
021965174-4,java,2,0,2,1,346.29,Euro
805849227-2,c++,1,0,0,1,101.82,JOD
095559943-1,R,2,0,2,1,480.11,JOD
027597057-4,R,0,1,1,1,155.06,JOD
047219551-4,JAVA,0,,2,1,485.93,USD
000002591-7,PYTHON,0,2,1,2,205.74,USD
025227916-6,java,0,0,2,0,286.17,JOD
011779612-3,JAVA,1,1,1,1,171.96,Euro
063077603-2,PYTHON,1,,0,2,297.25,Euro
322126954-4,Python,0,2,2,1,463.71,USD
417866193-0,PYTHON,1,1,1,1,238.71,USD
454712083-8,JAVA,1,1,0,0,271.71,JOD
272810230-9,PYTHON,1,2,2,0,439.03,USD
668553468-0,R,0,2,0,2,401.72,Euro
586785128-1,JAVA,1,0,1,2,482.73,USD
204458636-3,Python,0,1,0,1,228.89,USD
499700039-6,java,2,0,1,1,418.64,USD
016187261-1,JAVA,1,0,2,0,335.59,USD
658542515-4,R,0,1,2,1,277.55,JOD
631462961-6,R,0,2,2,0,323.06,USD
442596522-1,JAVA,2,2,2,1,272.68,JOD
909721752-0,R,1,0,0,1,181.91,JOD
791967475-1,c++,0,0,0,0,122.19,JOD
701643759-0,R,0,2,2,0,191.58,USD
196848272-5,PYTHON,1,2,2,0,330.96,JOD
567362449-2,Python,0,0,0,2,117.83,Euro
783322251-8,java,1,1,0,1,188.91,JOD
673434905-5,PYTHON,0,0,1,0,189.59,JOD
029576816-9,PYTHON,1,2,0,0,217.66,USD
309799749-0,JAVA,0,2,0,2,264.40,USD
262641045-4,R,1,0,0,1,434.99,USD
953481598-5,PYTHON,0,0,0,2,453.81,USD
804369387-0,JAVA,0,1,1,0,460.49,Euro
639066331-5,R,1,1,1,2,253.06,USD
075124214-4,PYTHON,1,,1,0,405.59,Euro
917033565-6,Python,2,1,1,1,246.97,USD
363960786-4,java,2,1,2,1,357.32,JOD
615631210-2,Python,2,2,0,2,494.33,USD
857809282-1,c++,0,2,1,1,314.90,Euro
925316407-7,PYTHON,2,0,0,1,439.55,Euro
515296035-4,R,0,2,2,2,282.05,Euro
636833049-X,Python,0,,0,1,242.70,JOD
486360553-6,R,0,0,0,1,163.69,Euro
854680392-7,PYTHON,2,1,2,2,436.38,USD
321987796-6,R,1,0,1,2,245.07,USD
308292774-2,C++,0,2,2,0,159.53,Euro
623633526-5,c++,2,2,2,1,367.71,JOD
619305496-0,JAVA,2,1,1,1,302.15,Euro
371863868-1,PYTHON,0,2,2,0,365.89,Euro
976219989-8,java,1,2,2,2,303.09,JOD
753516454-4,R,0,0,1,1,212.74,JOD
858459427-2,java,0,2,1,1,396.17,Euro
920152718-7,c++,2,0,0,2,301.00,USD
672694012-2,c++,2,2,0,1,306.60,JOD
296996170-9,PYTHON,1,1,1,1,108.78,Euro
969820239-0,C++,1,1,2,2,446.73,USD
439619556-7,JAVA,2,1,2,1,320.87,JOD
674372898-5,C++,1,0,2,0,325.46,USD
075071354-2,,1,2,1,1,141.14,USD
857385160-0,C++,0,1,2,0,325.52,JOD
116509306-5,PYTHON,0,0,2,2,433.30,Euro
229949796-X,C++,1,2,0,1,405.88,JOD
703941922-X,java,2,1,1,0,277.23,JOD
415799071-4,PYTHON,2,0,1,1,281.15,USD
187824706-9,PYTHON,2,0,0,0,454.36,JOD
516915755-X,PYTHON,0,0,2,0,351.71,USD
961515119-X,java,0,1,0,2,206.21,Euro
822783410-8,PYTHON,2,1,0,2,466.14,JOD
694586963-6,C++,1,0,2,1,330.32,USD
421271843-X,,0,0,0,0,469.49,USD
723374386-X,R,1,1,0,2,479.79,USD
378013121-8,c++,0,0,2,1,404.01,JOD
628380309-1,PYTHON,1,2,0,0,181.93,JOD
250553504-3,JAVA,0,0,0,2,265.07,USD
101260924-3,PYTHON,2,2,0,1,411.91,Euro
193203792-6,PYTHON,1,0,1,0,296.00,USD
419418732-6,java,0,0,2,0,486.95,JOD
993671095-9,Python,1,1,1,0,141.47,Euro
592666023-8,Python,2,1,0,0,201.45,Euro
122511404-7,JAVA,0,0,1,2,364.54,USD
301903501-5,JAVA,0,2,1,2,281.15,USD
500840399-0,C++,1,1,2,1,247.71,USD
575606384-6,java,2,0,0,0,205.81,JOD
480518318-7,JAVA,2,0,0,1,203.57,JOD
179979057-6,C++,2,2,0,0,465.12,Euro
814345565-3,java,2,2,2,0,145.57,USD
780615368-3,C++,1,0,2,2,405.52,Euro
120986825-3,java,2,1,2,1,192.20,Euro
608235363-3,JAVA,1,0,1,2,326.90,USD
784717538-X,C++,1,1,2,0,324.87,Euro
482611790-6,java,2,1,1,2,351.37,Euro
885525518-5,c++,0,1,1,2,494.23,USD
071241685-4,R,2,2,2,2,288.58,USD
971745769-7,Python,0,1,2,2,403.88,JOD
362073987-0,JAVA,1,2,1,0,445.74,JOD
847033690-8,PYTHON,2,0,0,0,474.50,USD
780030954-1,C++,1,,2,0,409.84,Euro
054480318-3,java,1,1,2,2,307.65,USD
048923370-8,R,0,2,0,2,189.31,JOD
786756962-6,Python,1,1,0,0,323.87,Euro
492492125-4,JAVA,1,0,2,1,279.86,JOD
100546497-9,java,1,0,0,0,148.95,USD
030485774-2,c++,2,0,2,0,452.70,JOD
980332250-8,R,2,2,0,0,354.30,Euro
040296587-6,JAVA,1,0,2,0,161.60,JOD
472364799-6,java,2,0,1,2,489.40,USD
532884077-1,c++,2,1,2,1,359.59,JOD
669559937-8,,0,2,0,0,190.33,Euro
837737255-X,R,0,2,0,2,327.51,USD
007991161-7,java,0,0,1,2,234.97,Euro
660709023-0,PYTHON,1,2,0,0,457.39,JOD
574054513-7,Python,0,0,1,0,408.35,USD
184442147-3,java,0,2,0,2,285.85,JOD
731064850-1,java,0,2,0,1,433.21,USD
127416622-5,java,1,1,1,2,268.69,USD
220379594-8,R,0,1,1,1,344.44,USD
027616534-9,R,2,1,0,2,141.00,USD
228893651-7,PYTHON,2,2,2,2,396.86,Euro
559092228-3,Python,2,0,1,0,443.25,JOD
958440987-5,,1,0,1,1,393.88,USD
174792783-X,c++,0,2,1,1,176.99,JOD
798272710-7,JAVA,2,1,1,1,140.28,JOD
255554407-0,JAVA,0,0,2,1,465.95,Euro
075801024-9,c++,2,0,1,0,342.22,JOD
058120679-7,R,0,2,1,2,261.21,Euro
798116732-9,JAVA,0,1,0,2,212.18,JOD
840211150-5,PYTHON,1,2,0,0,348.32,USD
737233299-0,JAVA,1,1,2,1,341.16,Euro
948786670-1,c++,2,1,0,2,408.86,JOD
249864691-4,java,1,0,0,0,475.20,JOD
160608678-2,JAVA,2,1,2,1,311.89,JOD
747889454-2,R,2,2,2,2,253.44,USD
828233778-1,java,1,1,2,0,315.00,USD
951724204-2,c++,1,2,2,2,477.43,USD
166726609-8,c++,1,2,1,2,489.02,JOD
607756560-1,java,1,1,0,0,430.93,JOD
982804842-6,,2,2,0,0,376.00,JOD
453105101-7,java,0,0,1,1,341.19,JOD
159020696-7,Python,0,2,1,1,447.82,USD
791635396-2,java,2,1,1,2,420.30,USD
021317054-X,java,2,0,1,0,408.09,JOD
667189360-8,R,2,0,1,0,162.21,USD
800232968-6,JAVA,2,1,0,2,257.48,Euro
996317979-7,c++,1,0,0,2,455.10,JOD
190585983-X,PYTHON,1,1,1,1,345.76,JOD
277324805-8,C++,1,1,0,1,466.95,Euro
610745687-2,,2,2,2,1,226.74,JOD
476450046-9,java,1,0,1,0,169.27,USD
505792809-0,R,0,0,0,2,478.68,JOD
497066066-2,R,0,2,2,1,119.13,Euro
504527460-0,java,2,2,1,1,224.05,JOD
120532787-8,Python,2,2,0,0,442.43,Euro
888271165-X,JAVA,1,0,1,0,172.00,JOD
689884239-0,C++,2,2,2,0,304.81,Euro
996484913-3,java,1,2,1,1,326.52,USD
286302176-1,Python,0,1,2,2,353.47,USD
830026832-4,c++,1,1,0,0,346.58,USD
400594335-7,Python,1,2,0,0,267.27,Euro
461753166-1,Python,2,1,1,2,432.72,USD
494277397-0,JAVA,0,0,1,0,375.05,JOD
083517073-X,java,0,1,1,2,200.06,USD
599478612-8,java,2,0,1,2,331.48,USD
678396481-7,JAVA,1,2,2,2,207.49,USD
958173240-3,java,0,0,1,0,454.23,USD
545520467-X,Python,1,1,2,0,366.60,USD
281074850-0,java,1,2,1,2,310.69,JOD
574230935-X,C++,1,0,2,1,408.06,JOD
539792173-4,JAVA,1,0,0,2,423.51,JOD
086610627-8,R,0,0,2,1,363.08,JOD
888826239-3,R,0,2,2,0,400.19,JOD
983977247-3,Python,2,2,2,1,365.63,Euro
876439285-6,JAVA,2,2,0,2,363.90,JOD
080694645-8,C++,2,,2,1,215.64,JOD
150318830-2,C++,2,2,1,1,269.79,USD
026520323-6,Python,2,2,0,2,126.06,Euro
033118696-9,JAVA,0,0,0,1,156.64,USD
509429794-5,C++,0,1,1,1,268.67,JOD
424528081-6,PYTHON,2,0,0,0,279.57,Euro
293702262-6,JAVA,1,1,0,2,345.58,JOD
590733867-9,JAVA,0,1,2,1,456.73,JOD
697145023-X,JAVA,0,0,2,1,493.06,JOD
593500129-2,PYTHON,2,2,0,1,217.25,JOD
752558453-2,PYTHON,1,2,0,0,451.94,Euro
031577641-2,Python,2,0,2,1,250.95,JOD
466627198-8,C++,2,2,1,1,237.74,USD
693458319-1,,1,1,0,0,389.81,USD
995647898-9,C++,1,2,0,2,409.31,USD
471003157-6,PYTHON,2,0,0,1,411.63,Euro
938572434-7,PYTHON,1,0,2,2,223.52,JOD
815467815-2,java,1,1,0,0,388.17,Euro
267732092-4,c++,1,0,2,1,134.99,USD
836508785-5,PYTHON,0,1,1,1,269.89,USD
796811461-6,java,1,0,2,2,449.74,JOD
105641426-X,JAVA,0,0,1,0,418.12,USD
784385219-0,R,0,2,1,2,277.02,Euro
207393576-1,c++,2,2,2,0,328.14,Euro
195262931-4,R,1,0,1,1,478.76,JOD
653447041-1,R,2,0,2,2,475.88,USD
968154185-5,c++,2,2,2,0,459.03,USD
547944011-X,PYTHON,0,1,1,2,395.78,JOD
820578297-0,C++,1,,0,1,345.60,Euro
579720274-3,JAVA,0,2,1,2,165.31,Euro
378403446-2,c++,2,1,2,1,461.21,USD
259950031-1,R,0,1,0,1,453.01,USD
577491308-2,PYTHON,2,2,1,1,220.98,JOD
807478097-X,PYTHON,0,2,2,0,392.28,JOD
380895799-9,java,2,1,1,0,278.49,JOD
964623300-7,R,2,1,1,0,444.73,Euro
990676085-0,JAVA,0,2,0,1,143.20,USD
764415813-8,PYTHON,0,,0,0,493.73,JOD
435853852-5,c++,0,2,0,1,359.43,USD
865088728-7,C++,1,0,0,2,114.45,Euro
900841209-8,C++,2,0,2,2,411.66,Euro
249536443-8,C++,0,2,0,1,266.55,USD
625416411-6,c++,2,1,2,2,470.57,Euro
996189873-7,C++,2,2,1,2,203.54,JOD
235207150-X,R,0,2,1,2,464.50,JOD
295506834-9,R,1,0,1,1,396.91,USD
365130024-2,PYTHON,2,2,2,2,288.21,USD
227407178-0,Python,1,0,0,1,212.54,USD
516875331-0,c++,0,0,2,2,213.44,JOD
524142294-3,R,2,2,2,0,413.04,Euro
112907674-1,C++,1,0,2,1,383.61,JOD
150065875-8,java,2,1,0,2,166.21,Euro
278955019-0,java,0,1,2,0,199.11,JOD
027608140-4,R,0,2,1,2,264.49,Euro
139474235-5,JAVA,0,2,0,2,317.15,JOD
046957113-6,R,2,2,1,2,328.36,USD
564350626-2,java,0,0,1,0,497.38,JOD
025190203-X,Python,0,1,0,2,140.96,USD
115753869-X,Python,1,1,0,2,358.90,USD
115025573-0,R,1,1,1,0,401.04,USD
119440293-3,c++,0,2,0,2,379.72,Euro
027243447-7,R,2,0,1,0,483.12,USD
836560587-2,Python,2,1,0,0,420.58,JOD
602926195-9,PYTHON,1,2,2,2,153.89,USD
647582575-1,java,2,2,1,0,470.75,Euro
030056175-X,c++,2,2,1,0,204.28,JOD
527691748-5,R,1,1,0,2,449.89,JOD
697489960-2,PYTHON,1,0,1,1,177.52,USD
914419115-4,C++,1,2,2,1,470.43,USD
859151381-9,java,2,1,1,1,121.83,USD
697707329-2,R,0,1,0,2,286.29,JOD
963906335-5,c++,0,2,1,1,345.87,USD
696554955-6,R,2,2,1,1,134.51,JOD
213391574-5,PYTHON,2,0,2,1,169.36,JOD
269833304-9,C++,0,2,2,0,326.74,USD
264792594-1,c++,0,0,2,1,271.09,Euro
161193771-X,java,1,1,2,2,402.32,USD
123766233-8,java,1,2,1,0,472.27,JOD
301280997-X,c++,1,2,0,0,272.18,JOD
861072935-4,PYTHON,0,2,0,2,342.04,USD
556082875-0,c++,2,1,0,0,203.54,Euro
525581790-2,Python,1,0,1,0,344.35,JOD
263643577-8,PYTHON,0,2,1,0,476.37,USD
758490648-6,java,1,2,1,0,316.47,USD
200893541-8,JAVA,0,0,0,0,211.58,Euro
555791190-1,JAVA,1,0,1,2,284.78,Euro
417382625-7,C++,2,1,1,2,316.09,USD
929917552-7,JAVA,2,1,0,1,129.80,USD
647644678-9,c++,0,0,1,0,216.86,JOD
131849490-7,R,2,1,2,0,274.12,JOD
878388501-3,java,1,0,2,2,247.56,USD
440997932-9,R,2,1,0,2,222.24,JOD
794725133-9,JAVA,1,1,0,1,482.39,Euro
743751760-4,Python,1,1,2,0,391.43,Euro
351828379-0,c++,1,0,2,2,103.48,JOD
862907632-1,C++,2,2,2,1,172.48,USD
520778613-X,c++,0,0,0,0,269.56,Euro
384160016-6,java,1,0,0,1,177.22,JOD
398548169-5,PYTHON,1,0,1,0,200.24,Euro
667334050-9,PYTHON,2,1,2,0,112.20,USD
955493851-9,JAVA,2,1,0,2,345.40,Euro
681936087-8,java,2,1,0,2,398.67,USD
713466578-X,Python,0,1,0,1,100.96,Euro
757369355-9,JAVA,2,2,2,0,254.84,Euro
679316582-8,java,2,2,2,0,140.96,USD
875656503-8,c++,0,2,1,0,497.42,USD
163628092-7,Python,1,0,1,1,205.30,Euro
669610169-1,java,2,2,1,0,107.48,Euro
685410869-1,C++,1,0,1,1,497.80,JOD
260565851-1,R,1,1,1,0,204.12,USD
017763552-5,R,0,2,1,1,346.95,Euro
046031572-2,c++,1,0,1,0,305.50,JOD
680054042-0,PYTHON,0,2,2,1,367.68,JOD
464014497-0,c++,2,0,1,2,421.89,USD
434091019-8,java,0,0,1,2,213.85,USD
308554141-1,java,0,2,0,2,285.22,USD
843266318-2,C++,2,2,0,1,445.21,Euro
100835598-4,PYTHON,0,1,0,1,390.78,Euro
