ItemId,Item Type ,Store1,Store-2,Store_3,Store-4,Sales,Currency
69-298-0239,,0,0,0,1,498.72,Euro
65-736-6812,F,0,1,1,0,336.29,Dollar
78-547-3223,F,1,1,0,1,460.56,Euro
98-844-4092,Drink,1,0,0,0,423.93,Dollar
56-327-6844,f,0,1,1,0,266.24,Dollar
09-544-2915,Drink,1,1,0,1,398.01,Euro
14-538-4847,DR,0,1,1,1,460.09,Dollar
73-451-3533,Food,0,0,1,1,414.45,Euro
80-492-4588,Drink,0,0,0,1,419.05,Euro
56-575-2698,Food,1,0,1,1,434.30,Euro
63-413-2261,Food,0,0,1,1,471.51,Dollar
58-686-3194,Food,1,0,0,0,383.04,Euro
31-083-1048,F,0,1,0,1,434.05,Dollar
49-856-9497,DR,0,1,1,1,344.99,Euro
44-816-4255,DR,1,1,0,1,453.84,Euro
76-083-5852,Food,0,1,1,0,433.86,Euro
54-327-4012,Drink,1,1,0,0,290.02,Euro
91-216-1698,Drink,0,0,0,1,483.65,Dollar
67-327-6042,DR,0,0,1,1,316.77,Dollar
79-706-3632,F,0,0,1,0,366.75,Dollar
45-704-3241,F,0,1,0,0,256.39,Euro
37-266-5549,DR,1,1,1,0,384.38,Dollar
82-573-7992,DR,1,0,1,0,427.80,Dollar
29-595-9179,F,0,1,0,1,450.26,Euro
11-069-7163,f,0,0,0,1,423.11,Dollar
41-407-2769,Drink,0,1,0,0,401.83,Dollar
87-388-1934,DR,0,0,0,0,382.87,Euro
28-510-6836,Drink,1,0,0,0,280.28,Dollar
91-150-3840,DR,1,0,1,1,302.56,Euro
95-806-6384,DR,1,0,0,0,401.75,Euro
74-439-2647,f,1,0,1,0,492.67,Euro
75-594-1266,Food,0,1,1,0,315.42,Dollar
14-545-4883,F,1,0,0,1,454.10,Euro
85-063-9733,DR,1,1,1,1,326.35,Dollar
09-358-4674,Food,0,0,0,0,270.98,Euro
18-359-4954,Food,1,1,0,1,366.16,Dollar
87-108-5183,Drink,0,0,0,1,342.27,Euro
21-869-7354,Drink,1,0,1,1,303.06,Dollar
90-307-0653,F,0,1,0,0,264.19,Dollar
03-396-8112,Drink,0,0,0,0,279.77,Dollar
25-010-4898,F,1,1,1,1,318.57,Euro
28-872-2233,Drink,0,0,0,1,473.87,Dollar
09-820-0692,Drink,0,0,0,1,339.24,Dollar
94-205-2572,DR,0,1,0,1,402.30,Euro
26-949-0084,F,1,0,0,1,372.29,Dollar
54-583-3586,f,1,0,1,1,485.77,Dollar
95-321-5027,Drink,1,0,1,0,413.92,Dollar
13-237-8076,f,0,1,0,1,430.87,Euro
61-351-5909,DR,1,1,0,1,367.23,Dollar
03-959-0336,F,0,1,0,0,434.73,Dollar
34-054-2665,Food,0,1,1,1,461.38,Euro
34-565-0015,Drink,0,0,0,0,495.87,Euro
24-335-4227,f,1,0,0,1,429.51,Euro
76-199-9067,DR,1,1,0,1,462.09,Dollar
46-558-0951,Drink,1,1,1,1,261.67,Euro
32-734-5151,F,1,1,0,1,337.10,Dollar
03-919-3039,DR,0,0,0,1,269.42,Dollar
01-389-0453,Food,1,1,1,1,466.21,Dollar
52-149-8216,Food,1,1,0,0,343.52,Euro
26-532-4630,f,0,0,1,0,379.57,Euro
85-561-4038,f,1,1,0,0,372.12,Euro
68-894-2757,F,1,0,0,1,443.75,Euro
71-525-5290,Drink,1,0,1,0,420.50,Dollar
08-793-5513,F,0,0,0,1,354.07,Dollar
97-855-2373,DR,0,1,0,0,413.99,Euro
98-795-7354,F,0,1,0,0,415.67,Euro
03-275-0648,F,1,0,1,0,471.53,Euro
77-504-1740,f,1,0,1,0,371.77,Dollar
30-235-4634,DR,0,1,0,1,332.44,Dollar
42-533-8556,Food,0,0,0,1,493.42,Dollar
45-263-5527,,1,1,0,1,290.45,Dollar
20-694-1654,Food,1,1,1,0,290.54,Dollar
52-571-9061,f,1,0,1,1,424.66,Euro
91-327-0067,F,0,0,1,0,468.34,Dollar
89-293-2285,F,0,1,0,0,327.84,Euro
93-874-7115,Drink,1,1,0,0,320.51,Dollar
13-247-7818,f,1,0,0,1,306.27,Dollar
42-631-9146,F,1,0,1,0,489.81,Dollar
88-066-1192,,1,0,1,0,291.49,Euro
27-420-6558,Food,0,1,1,1,480.28,Dollar
29-247-9186,DR,1,1,1,0,265.56,Dollar
21-074-7553,,0,1,1,1,448.71,Euro
51-997-7368,Drink,0,0,0,0,468.80,Euro
24-990-9321,Food,0,0,1,1,333.27,Euro
27-092-3409,Drink,0,0,1,1,327.74,Euro
89-141-9414,f,1,0,0,0,345.34,Euro
34-079-8161,F,1,1,1,1,310.97,Dollar
91-110-6766,f,0,1,1,1,360.57,Dollar
07-571-3806,f,0,1,1,1,437.35,Dollar
94-386-4519,DR,1,0,1,0,304.87,Dollar
29-980-2942,DR,1,1,0,0,319.77,Dollar
01-583-6622,DR,0,0,1,1,391.59,Euro
79-821-2654,Food,1,1,0,0,283.36,Dollar
79-900-7023,f,0,1,1,0,399.76,Dollar
93-266-9326,Food,1,1,0,1,333.93,Euro
84-461-6636,Drink,0,0,0,1,434.14,Dollar
09-058-9785,f,1,1,0,0,261.74,Dollar
36-058-8393,F,1,0,0,1,400.31,Euro
96-400-1264,f,0,1,1,1,492.80,Euro
63-531-6919,Food,1,1,0,1,485.79,Euro
59-710-3100,F,1,0,0,1,391.56,Euro
76-751-9618,Food,1,0,1,1,277.83,Euro
77-395-7037,F,1,1,0,0,259.89,Euro
61-712-4592,F,1,0,1,1,389.74,Euro
13-448-7975,f,1,0,0,1,449.45,Euro
58-373-7912,F,0,1,0,1,373.91,Euro
22-172-9070,Food,1,1,1,1,471.74,Euro
03-541-3353,F,1,1,0,1,288.02,Euro
48-593-4282,Drink,0,0,1,1,398.01,Dollar
24-092-3588,F,0,1,1,0,323.82,Dollar
09-520-0784,DR,0,0,0,1,275.41,Dollar
60-791-4146,F,0,0,0,0,474.26,Euro
05-666-5022,f,0,1,1,0,465.57,Euro
60-396-3598,Drink,1,0,0,1,327.23,Dollar
52-641-7775,F,1,0,0,0,344.15,Euro
16-726-8001,,0,0,1,0,337.10,Dollar
70-932-9154,Food,0,1,0,1,295.26,Dollar
54-667-4697,f,1,1,0,1,431.69,Dollar
92-504-6467,f,1,1,0,1,487.39,Dollar
99-698-6683,Food,1,1,0,0,451.29,Dollar
42-103-7424,Drink,0,0,0,0,441.99,Dollar
22-117-3274,DR,1,1,0,0,307.09,Dollar
80-281-3655,Food,0,0,1,1,401.91,Euro
06-601-6583,Food,1,0,1,1,273.28,Dollar
52-537-8634,DR,0,0,1,1,410.95,Euro
56-078-0403,f,1,0,0,1,413.55,Euro
17-563-7926,DR,1,1,0,0,374.63,Euro
03-926-5639,F,1,0,0,0,449.77,Euro
27-800-6686,f,1,0,0,1,430.22,Euro
97-750-5121,f,1,0,1,1,351.27,Dollar
12-046-8873,F,1,1,1,1,406.72,Euro
67-795-2476,DR,1,0,0,1,405.25,Euro
62-798-2173,F,0,0,1,1,325.88,Dollar
84-379-4646,f,0,1,1,1,290.71,Euro
90-359-0592,DR,0,0,1,0,318.62,Euro
91-058-2562,F,0,1,1,1,278.32,Dollar
33-625-0759,f,0,0,0,0,254.06,Dollar
02-148-4088,F,0,1,0,1,334.26,Euro
79-003-8069,DR,1,0,1,1,417.58,Euro
57-743-7457,Food,0,0,0,0,476.34,Euro
90-871-1441,Food,0,0,0,1,267.59,Euro
43-066-7654,F,0,1,1,0,387.58,Dollar
54-010-9461,F,0,0,1,0,278.34,Dollar
04-898-3408,F,0,1,1,0,376.00,Dollar
68-318-6068,DR,1,1,0,0,442.66,Euro
97-618-6034,F,0,1,1,1,458.75,Euro
71-516-9148,Drink,1,0,0,0,491.86,Dollar
58-223-3902,F,1,1,0,0,266.68,Dollar
61-797-1487,f,0,1,0,1,310.03,Dollar
08-238-3799,F,0,1,0,0,276.31,Dollar
22-787-2343,Drink,1,1,0,0,408.51,Dollar
01-292-6991,F,0,1,0,1,359.15,Euro
92-181-4730,DR,1,0,1,0,470.63,Euro
02-593-1592,F,1,0,1,0,319.18,Euro
42-645-6884,DR,0,1,1,1,463.09,Euro
29-619-9144,Drink,1,1,0,0,477.02,Dollar
23-065-0960,F,0,0,0,0,425.88,Euro
40-459-6493,DR,1,0,1,1,343.58,Dollar
88-195-2204,f,1,1,1,0,403.55,Euro
67-321-0702,DR,0,0,1,0,438.14,Euro
50-884-6345,f,1,0,0,0,399.62,Euro
49-806-1556,Drink,1,0,1,0,253.28,Euro
14-554-0947,F,0,1,1,1,287.14,Dollar
32-924-5810,F,0,0,0,0,379.51,Euro
19-794-6855,F,1,1,1,0,314.12,Dollar
57-057-1243,F,0,1,0,0,354.11,Dollar
17-874-7655,Drink,1,1,1,1,413.48,Euro
54-822-2402,Food,1,1,0,0,323.46,Dollar
86-167-5413,f,0,0,1,1,409.50,Euro
34-421-2909,Food,0,1,1,1,273.45,Dollar
21-616-5531,f,1,1,0,1,426.22,Dollar
18-786-7021,DR,1,0,1,1,347.36,Euro
96-300-7904,Food,0,1,0,0,335.85,Dollar
54-304-2132,Drink,0,1,0,0,389.48,Euro
63-980-7803,DR,0,1,1,0,412.98,Dollar
25-045-7597,Drink,0,1,1,1,470.71,Dollar
94-163-8889,,0,1,0,1,498.88,Dollar
45-120-9100,DR,1,1,0,0,369.37,Euro
34-228-9045,Food,0,1,1,0,,Dollar
71-514-6491,Drink,0,1,1,0,408.64,Euro
69-197-2646,DR,0,1,0,0,263.06,Euro
28-036-5655,f,0,0,1,1,362.84,Euro
53-967-5883,F,0,0,1,0,325.29,Dollar
14-103-9583,F,1,0,1,0,322.22,Euro
81-461-5258,Food,0,1,0,1,443.53,Dollar
73-468-4106,f,0,0,1,1,471.06,Euro
79-682-2896,Food,1,0,0,0,268.13,Euro
52-105-3793,f,1,0,1,1,,Dollar
55-500-7168,DR,0,0,1,1,403.55,Dollar
94-951-5267,Drink,1,1,1,1,403.95,Euro
35-684-5977,Drink,1,0,0,1,402.83,Dollar
90-591-2234,F,1,1,1,1,291.74,Euro
47-305-5213,Drink,0,1,1,1,371.30,Euro
01-190-0788,Drink,1,1,0,0,311.17,Dollar
22-336-0178,DR,0,0,0,0,364.12,Euro
93-075-2493,F,1,0,1,1,271.95,Euro
30-874-9157,f,0,0,1,0,350.99,Euro
24-824-1997,Drink,0,0,0,0,318.14,Dollar
21-500-0674,f,0,0,1,1,408.10,Euro
28-697-1824,DR,1,0,1,0,416.09,Euro
88-523-8999,Drink,1,0,0,0,392.41,Euro
84-927-9522,DR,1,0,0,0,264.51,Dollar
17-720-2109,,1,0,1,0,322.17,Euro
57-622-8065,F,0,1,0,1,335.74,Euro
18-733-9610,Drink,0,0,0,1,343.27,Dollar
22-899-1411,F,1,1,1,1,386.59,Dollar
29-176-7418,F,1,0,1,1,391.58,Dollar
62-972-6256,DR,0,0,1,0,462.83,Dollar
63-590-4236,Drink,1,1,1,1,442.14,Euro
86-631-3265,Food,0,1,0,0,426.07,Dollar
35-889-4871,F,1,1,0,1,254.20,Euro
61-316-5149,Food,0,0,0,0,483.23,Dollar
72-461-7767,,0,0,1,1,304.61,Euro
98-963-2759,f,0,0,0,1,466.75,Dollar
50-425-1396,DR,1,0,0,1,499.22,Dollar
00-431-4952,DR,1,0,0,1,362.15,Dollar
63-953-2343,DR,0,0,1,0,300.71,Dollar
89-561-7589,Food,0,1,0,0,424.26,Euro
83-183-1514,f,0,0,0,0,444.25,Euro
33-375-8524,Food,0,1,1,0,295.78,Dollar
35-437-5751,f,1,1,0,1,322.33,Dollar
17-057-3082,Drink,1,1,1,0,490.30,Euro
48-703-0562,F,0,0,0,1,438.05,Dollar
78-982-6866,DR,1,1,1,0,372.02,Euro
69-387-9135,f,1,1,0,0,269.85,Dollar
60-184-5175,Food,0,0,1,1,256.61,Dollar
16-526-6824,,0,0,1,1,446.47,Dollar
90-368-2761,DR,0,1,0,0,456.74,Euro
83-247-4433,Food,0,1,1,0,311.97,Euro
77-421-3278,Drink,1,0,0,0,379.45,Dollar
51-757-8625,F,0,1,1,0,328.14,Dollar
90-427-4503,DR,1,1,0,1,382.76,Dollar
24-895-4946,DR,1,0,0,0,282.64,Euro
58-153-3117,Drink,0,0,1,1,323.23,Dollar
87-761-1681,,0,0,0,0,391.38,Euro
09-468-1350,DR,0,0,1,0,422.99,Dollar
52-900-3650,Drink,1,1,0,0,370.12,Euro
00-153-3897,Drink,1,1,1,1,369.56,Dollar
45-221-4776,f,1,0,1,1,321.12,Euro
13-748-5914,Drink,1,1,1,0,454.22,Dollar
54-601-7399,Drink,1,0,1,0,327.56,Dollar
22-859-8995,Food,1,0,1,1,464.47,Dollar
25-876-3130,Drink,0,0,1,0,325.27,Dollar
40-980-8169,f,1,1,0,1,475.89,Euro
81-387-7461,DR,1,1,1,1,275.28,Dollar
44-342-3781,Food,0,1,1,1,426.14,Euro
88-945-3203,F,1,1,0,0,282.71,Euro
03-841-4499,Food,1,1,0,0,340.56,Dollar
38-557-8695,DR,0,0,1,1,263.15,Euro
75-301-7209,DR,1,1,0,1,392.02,Euro
13-060-7235,,1,1,0,1,368.10,Dollar
85-038-0388,f,0,1,0,0,358.21,Euro
40-809-0026,F,0,1,0,1,421.80,Dollar
53-454-7520,f,1,1,0,1,464.45,Euro
77-042-4296,DR,0,0,0,1,391.64,Euro
44-249-4278,Food,1,0,1,0,324.44,Dollar
14-313-4239,Food,1,0,1,1,281.79,Euro
60-349-1290,F,1,1,0,1,343.10,Dollar
66-947-3436,DR,0,1,1,1,493.04,Dollar
77-804-7140,Food,0,0,1,0,453.40,Euro
88-181-9760,f,0,0,1,0,470.63,Dollar
95-272-5087,F,0,0,0,0,497.99,Dollar
72-743-5359,Food,0,0,0,1,337.83,Euro
67-000-5971,Food,1,0,1,0,372.41,Euro
66-219-3580,DR,1,1,1,0,499.14,Dollar
40-350-9234,Drink,0,1,1,1,359.85,Euro
31-846-3113,DR,1,0,0,1,364.05,Euro
47-823-3892,F,0,1,1,0,274.25,Euro
35-483-8064,F,1,1,1,0,288.01,Euro
71-705-3365,DR,1,1,0,0,277.31,Euro
50-870-1808,Food,1,0,0,0,424.15,Euro
40-611-0016,Drink,0,1,1,0,450.65,Euro
24-869-7398,Food,1,1,1,1,428.99,Euro
83-171-1460,DR,1,0,0,0,255.30,Dollar
50-068-8163,F,0,0,0,0,,Euro
77-746-4264,Drink,1,0,0,0,334.72,Dollar
23-846-2200,Drink,1,1,0,0,287.60,Dollar
53-033-8873,Drink,0,1,0,1,360.67,Dollar
42-066-3846,Food,1,1,0,1,392.03,Dollar
56-316-0098,,0,0,0,1,486.95,Euro
33-730-2600,F,0,1,0,0,296.63,Dollar
17-219-8835,Food,1,1,1,1,409.14,Euro
99-466-3230,Food,1,0,0,1,375.89,Euro
72-570-0416,F,0,1,1,1,325.77,Dollar
88-853-1459,f,1,0,0,0,470.62,Euro
85-716-0032,F,1,0,0,0,484.33,Euro
55-734-2036,f,0,0,1,0,476.24,Dollar
58-930-3943,Drink,1,1,0,1,356.52,Euro
09-141-5994,Food,0,1,1,1,404.26,Dollar
83-129-2252,F,0,0,1,1,358.61,Euro
24-663-7874,Food,1,0,1,0,391.08,Dollar
64-114-6109,Drink,0,0,0,0,438.96,Euro
93-917-8431,Food,1,1,1,0,351.45,Euro
54-790-0245,F,1,1,0,1,298.91,Dollar
56-534-1350,f,1,0,0,1,435.43,Dollar
48-685-1542,F,0,1,0,1,358.67,Dollar
23-731-5770,f,0,0,1,1,357.43,Dollar
42-846-1506,DR,1,1,1,0,260.92,Euro
45-792-9198,F,0,1,1,1,318.55,Euro
32-300-0869,F,1,1,1,0,457.82,Dollar
11-818-5632,F,1,0,0,1,371.40,Euro
01-306-3240,f,1,1,0,0,390.77,Dollar
64-362-4719,Drink,1,0,0,1,411.98,Dollar
21-006-5254,F,1,1,0,1,484.28,Euro
18-193-9268,F,1,1,1,1,489.15,Euro
38-368-0213,Drink,0,0,1,0,296.68,Euro
97-596-6136,f,1,1,1,0,314.14,Dollar
35-949-6604,F,1,1,0,0,387.83,Euro
30-921-6461,Food,0,1,0,0,419.46,Dollar
83-550-3298,Food,1,1,0,0,334.24,Euro
00-833-6289,DR,0,0,0,0,426.72,Dollar
59-515-3935,F,0,1,1,1,301.46,Dollar
67-180-3200,F,1,0,1,0,294.67,Dollar
98-181-2109,Drink,1,1,1,1,260.22,Euro
83-885-8263,Food,1,1,1,0,256.00,Euro
78-736-7409,DR,1,1,1,1,340.82,Euro
31-790-1648,f,0,1,0,0,474.40,Euro
82-265-3953,F,1,0,1,0,325.51,Dollar
44-503-8508,DR,1,1,0,0,310.19,Euro
79-283-5097,Food,1,1,1,1,417.67,Dollar
10-431-6412,Drink,0,0,1,1,319.59,Euro
76-255-4003,Food,1,0,0,0,438.26,Dollar
56-774-0181,,1,1,0,0,263.78,Euro
69-481-8158,F,0,0,0,0,314.90,Dollar
16-795-4788,F,1,1,1,1,421.01,Euro
53-532-1755,DR,0,0,1,0,332.34,Euro
17-312-3159,f,1,1,0,1,,Dollar
30-704-7027,Food,1,1,0,1,350.21,Euro
44-117-3314,Food,0,1,1,1,252.15,Dollar
17-176-4569,Food,1,1,1,0,394.77,Dollar
07-086-3659,DR,0,1,0,1,394.10,Dollar
12-746-7877,DR,0,1,0,1,371.11,Euro
21-411-3708,Drink,0,0,0,1,408.00,Euro
82-890-3493,F,1,0,0,1,449.40,Dollar
00-891-2707,F,1,0,1,1,456.17,Euro
75-765-6086,Food,0,0,0,0,391.92,Dollar
87-284-2451,Drink,0,1,0,1,435.05,Dollar
58-950-4903,f,0,0,0,0,382.78,Dollar
56-326-4059,Food,1,0,0,0,340.81,Dollar
51-901-9491,DR,0,0,1,0,,Euro
42-602-1636,Food,1,0,0,0,252.21,Dollar
52-118-6092,f,1,0,1,1,482.01,Dollar
16-851-2098,F,0,1,1,1,267.90,Euro
83-666-1571,Drink,0,0,0,1,288.20,Euro
75-427-3353,Food,1,1,0,0,313.12,Dollar
10-661-1891,Food,1,1,0,0,404.28,Euro
87-304-9271,,1,1,1,0,442.31,Dollar
27-181-7625,DR,0,1,1,1,285.34,Dollar
53-351-8466,f,1,1,1,0,261.31,Dollar
83-137-7135,Food,1,1,0,0,448.25,Euro
56-285-2692,f,0,0,1,1,453.35,Euro
22-023-9943,Food,1,0,0,1,424.05,Dollar
53-043-6490,Food,0,0,0,0,460.44,Dollar
38-326-8231,Food,0,0,1,1,332.11,Euro
83-635-1891,Drink,0,1,0,0,381.14,Dollar
11-222-2598,F,0,1,0,1,262.01,Dollar
92-564-9561,F,1,1,1,0,258.73,Dollar
31-137-9441,,1,0,0,0,436.80,Dollar
51-770-0530,Drink,1,0,0,0,484.49,Dollar
15-464-7544,Drink,1,0,1,0,271.54,Euro
25-223-3236,Drink,1,0,1,0,296.76,Dollar
68-107-8023,f,0,0,0,1,318.22,Dollar
32-961-9657,DR,0,1,0,0,361.59,Euro
24-182-2067,F,0,1,1,1,461.59,Dollar
74-139-2903,,0,1,0,1,294.62,Dollar
14-988-5258,Drink,1,1,1,0,434.17,Euro
42-216-1053,DR,0,0,1,0,359.85,Dollar
33-903-8753,Food,0,1,0,1,384.60,Euro
85-335-1599,Drink,1,1,1,0,399.01,Euro
20-572-7357,F,0,1,1,1,308.39,Euro
29-324-2896,f,0,1,0,1,298.44,Euro
33-441-1201,Drink,0,1,0,0,363.80,Dollar
82-060-9372,Drink,1,1,1,0,495.30,Euro
10-719-5156,f,0,1,0,1,401.25,Euro
99-765-3541,Food,1,1,0,0,306.53,Euro
16-901-9846,Food,0,1,0,0,400.22,Dollar
76-875-8044,F,1,1,0,1,378.20,Euro
88-020-3113,Drink,0,1,0,1,269.69,Euro
06-276-8469,f,1,1,0,0,321.86,Euro
58-703-2528,DR,0,0,0,1,297.98,Dollar
58-411-9297,Drink,1,1,1,1,269.99,Euro
18-417-9372,Food,0,1,0,1,440.36,Dollar
61-091-8327,F,1,1,0,1,486.87,Dollar
45-035-7448,Drink,1,1,0,1,354.42,Dollar
59-794-9504,DR,0,0,0,1,264.51,Dollar
68-441-0868,F,0,0,0,1,288.11,Dollar
62-329-8516,Food,0,1,1,1,443.55,Dollar
47-591-0168,F,1,1,0,0,260.12,Dollar
54-237-8536,Food,1,1,0,0,262.72,Euro
48-849-8548,F,0,0,1,1,465.02,Euro
49-476-4911,Drink,0,1,1,1,256.62,Euro
85-153-4244,DR,1,0,0,0,344.04,Euro
33-390-2729,Food,0,1,1,1,261.03,Dollar
29-907-6591,Drink,0,1,0,1,393.41,Dollar
77-971-8929,f,0,0,0,1,306.57,Euro
35-693-8463,Food,0,1,1,1,414.17,Euro
64-325-2547,Food,0,1,1,1,251.28,Euro
01-127-2259,Drink,1,0,0,0,317.61,Euro
32-117-6664,F,1,1,1,0,384.44,Dollar
88-836-0357,Food,1,0,0,1,307.11,Dollar
01-807-6097,,0,1,1,1,437.10,Dollar
90-494-4089,F,0,0,0,0,350.93,Euro
11-075-5600,Food,0,0,0,0,280.16,Dollar
12-293-7139,f,1,1,1,0,352.60,Euro
04-240-9970,Drink,0,0,1,1,458.57,Euro
43-841-0377,Food,0,1,1,0,251.20,Dollar
14-567-3180,F,0,1,0,0,325.67,Euro
63-480-0904,Drink,0,1,0,0,460.54,Dollar
39-238-4977,,1,0,1,1,336.84,Dollar
72-539-7524,DR,1,1,0,0,314.04,Dollar
37-022-0104,f,0,0,0,0,495.59,Euro
30-681-5767,Food,1,0,1,1,489.99,Euro
05-852-3368,F,1,1,0,1,390.78,Dollar
41-634-2195,f,0,0,0,0,429.65,Euro
76-852-6555,DR,1,0,0,0,368.09,Dollar
64-504-9895,Drink,0,0,0,1,346.01,Dollar
25-170-1360,F,0,1,0,1,467.60,Dollar
86-140-9266,F,1,1,1,1,369.09,Euro
90-944-5959,Drink,0,1,1,1,399.73,Euro
47-311-6718,DR,0,0,1,0,344.60,Dollar
70-256-2250,DR,1,0,0,0,426.74,Dollar
44-662-8543,F,0,0,0,1,385.69,Euro
65-110-6429,Drink,0,0,1,0,,Dollar
28-940-2035,Food,1,1,0,0,394.87,Dollar
35-420-6108,f,0,0,0,1,371.50,Euro
70-386-0206,Drink,0,1,0,0,352.55,Euro
55-510-5587,Drink,0,1,1,1,418.44,Euro
64-099-4274,Food,0,0,0,0,293.77,Euro
50-371-7451,Drink,1,0,0,1,325.99,Euro
97-804-7373,Drink,1,1,1,1,,Euro
61-397-4915,Drink,0,0,0,1,252.90,Dollar
12-609-4522,Food,0,0,0,1,401.17,Euro
16-336-0519,Food,1,1,0,0,259.39,Euro
51-405-3788,,0,0,0,0,410.46,Dollar
