ProjectID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
385341116-9,JAVA,1,2,2,2,354.15,Dollar
861155180-X,java,1,1,2,2,463.65,Euro
150260011-0,Python,1,2,1,2,404.12,jod
609244500-X,R,2,0,0,2,493.01,USD
004772520-6,java,1,2,2,1,180.86,JOD
447365432-X,c++,1,1,0,2,125.28,USD
068879676-1,PYTHON,2,0,2,1,131.39,Euro
919976187-4,PYTHON,0,1,2,1,200.85,Dollar
978611222-9,R,2,1,1,2,469.92,Dollar
429355813-6,python,1,2,0,0,240.84,euro
494791427-0,C++,0,0,1,0,489.26,euro
433528565-5,c++,2,2,0,1,259.19,USD
320028775-6,r,1,2,2,0,129.18,Dollar
480334878-2,Python,2,1,0,2,323.99,jod
547430601-6,PYTHON,1,0,0,2,497.41,euro
556877520-6,java,0,1,2,0,185.47,Dollar
689898119-6,Python,0,0,2,1,387.52,JOD
197281769-8,PYTHON,2,0,1,0,474.39,euro
636145459-2,R,1,2,0,2,108.27,euro
629461024-9,R,1,1,1,0,152.10,Dollar
971538707-1,Python,1,2,2,0,238.07,USD
346699161-7,JAVA,2,2,0,2,171.94,JOD
040043175-0,R,2,1,1,1,412.59,Dollar
035993662-8,R,1,0,1,2,186.92,euro
322564242-8,r,0,1,2,0,199.82,jod
043421504-X,python,0,1,1,1,254.82,JOD
062194817-9,C++,2,2,1,1,117.03,jod
953325967-1,python,0,2,1,0,293.69,Dollar
220585573-5,PYTHON,0,1,0,0,216.67,USD
803171998-5,PYTHON,1,0,0,0,471.00,USD
210152507-0,c++,2,0,1,1,422.43,JOD
905030336-6,R,0,2,1,1,397.23,Euro
472679107-9,Python,0,2,1,2,252.66,Euro
313179995-1,PYTHON,2,0,1,0,178.09,Euro
436259512-0,JAVA,1,1,2,1,230.08,jod
015735261-7,r,0,1,2,0,169.35,euro
657718069-5,c++,0,0,1,2,119.61,jod
200912966-0,C++,0,2,0,0,121.08,euro
798122648-1,PYTHON,2,0,2,0,301.57,USD
201639030-1,JAVA,2,0,0,1,445.74,jod
051115868-8,PYTHON,1,1,0,0,379.10,Dollar
177842755-3,PYTHON,0,0,0,2,217.83,Euro
183663191-X,r,0,2,2,0,218.05,jod
227483637-X,PYTHON,2,2,0,1,199.58,Euro
483010981-5,r,0,2,0,0,268.84,jod
896411078-1,JAVA,0,1,2,0,153.78,USD
279642428-6,Python,2,2,0,1,495.61,euro
925338545-6,C++,0,1,2,0,405.73,jod
484863790-2,Python,1,1,2,1,453.00,jod
221357580-0,,2,0,1,1,185.35,Dollar
906089771-4,java,0,2,0,2,475.71,USD
565907363-8,PYTHON,2,2,0,1,134.60,jod
387508092-0,R,1,0,2,0,416.10,Euro
265554474-9,r,2,2,1,1,345.43,USD
713304353-X,java,2,0,0,0,265.65,Dollar
535802819-6,PYTHON,1,0,1,0,446.19,USD
807942837-9,Python,2,2,2,1,293.53,Euro
814815558-5,Python,0,1,2,0,288.42,euro
866441364-9,,1,1,0,0,287.12,Euro
277418272-7,PYTHON,2,2,2,0,305.45,Euro
035373943-X,Python,0,2,2,1,114.84,Euro
804710597-3,c++,1,0,0,1,488.83,JOD
575938352-3,r,1,1,1,0,403.27,jod
289801598-9,java,2,2,0,1,391.77,Euro
702307629-8,C++,0,1,1,0,358.82,euro
775408166-0,C++,2,1,2,0,223.36,Euro
027407461-3,C++,0,0,0,1,369.18,jod
073894585-4,JAVA,0,2,2,2,225.45,jod
192782479-6,r,0,1,2,2,304.10,jod
356640061-0,Python,1,1,0,1,217.82,USD
977636168-4,R,1,0,1,1,115.18,euro
984039952-7,Python,0,2,2,0,388.25,Dollar
133680597-8,C++,2,0,2,1,224.15,euro
018545834-3,Python,1,0,1,2,324.04,Euro
651160554-X,Python,0,0,1,0,170.90,Dollar
960919752-3,java,2,0,2,2,431.42,Euro
709309034-6,JAVA,1,0,1,1,403.71,Euro
887138968-9,java,2,0,1,0,126.24,Dollar
701271781-5,C++,0,1,0,0,188.00,jod
003269896-8,PYTHON,1,2,1,2,130.68,USD
268359064-4,C++,0,1,0,0,126.87,USD
391396144-5,java,1,1,2,1,454.43,euro
024104609-2,Python,1,1,0,1,457.65,JOD
917203544-7,c++,1,2,0,2,407.15,Euro
722928269-1,C++,1,0,2,1,294.18,USD
322886070-1,Python,1,2,1,1,305.43,JOD
376902317-X,JAVA,0,2,0,1,294.76,euro
484384123-4,r,0,2,2,2,347.05,USD
629437619-X,R,1,1,1,1,461.88,Dollar
770877874-3,PYTHON,2,1,1,1,163.09,euro
134151563-X,Python,0,0,2,0,120.89,Dollar
249360076-2,PYTHON,0,1,2,0,177.55,JOD
828799179-X,c++,1,2,2,1,494.57,Euro
992214908-7,JAVA,0,1,2,2,297.79,jod
678606594-5,c++,2,2,0,2,437.66,Dollar
051685749-5,Python,2,0,2,2,300.42,euro
213852390-X,PYTHON,0,2,1,2,217.43,jod
085627286-8,Python,1,1,1,2,170.26,JOD
646762943-4,JAVA,0,2,2,0,482.47,JOD
203616012-3,,1,2,1,1,354.90,USD
704270600-5,java,2,1,1,2,474.68,euro
322151925-7,PYTHON,0,1,0,1,491.64,euro
291125201-2,R,0,0,1,2,123.40,jod
605856343-7,python,2,1,0,0,346.91,jod
470840060-8,,1,0,0,2,340.08,JOD
638330094-6,R,1,1,0,2,225.63,jod
436529043-6,c++,1,2,1,0,491.43,jod
777312295-4,java,2,0,2,1,334.71,Dollar
054232589-6,c++,0,1,2,2,190.81,USD
004253275-2,java,1,2,0,2,319.95,jod
087777631-8,python,2,2,2,1,194.48,Dollar
565630696-8,PYTHON,0,1,1,0,382.69,jod
544111980-2,java,2,0,0,0,277.27,Dollar
945594912-1,java,2,0,2,0,139.23,Euro
092735043-2,R,0,0,1,2,339.95,JOD
738066026-8,Python,0,2,1,0,371.57,euro
765444439-7,R,1,1,1,1,312.38,euro
787095362-8,JAVA,0,0,1,2,164.97,Euro
796293844-7,python,1,1,1,0,259.52,USD
977631530-5,C++,1,0,1,0,357.35,Dollar
750516051-6,python,1,0,1,2,371.75,jod
966290721-1,java,0,2,2,2,290.14,euro
840449909-8,JAVA,1,0,1,2,260.52,euro
566939637-5,Python,0,2,0,0,139.54,Euro
639806665-0,python,1,1,1,1,490.95,euro
930417604-2,PYTHON,0,2,0,1,407.00,jod
589333379-9,C++,1,2,0,1,112.61,JOD
066425283-4,C++,0,1,2,1,498.76,JOD
288578201-3,JAVA,0,2,0,0,165.24,JOD
959874431-0,PYTHON,1,2,2,2,479.47,Euro
705602310-X,python,1,1,2,2,273.55,USD
154457803-2,JAVA,1,2,0,0,335.55,euro
822443431-1,C++,1,0,2,0,301.84,jod
183437972-5,R,1,2,2,0,381.70,euro
640877684-1,c++,2,2,2,2,397.41,USD
293108357-7,r,1,1,0,0,284.07,jod
574887474-1,R,1,0,1,2,301.00,USD
631022821-8,JAVA,1,1,2,0,453.25,Euro
862539505-8,JAVA,0,2,0,2,454.39,JOD
616072649-8,c++,1,2,0,2,489.38,jod
000353238-0,PYTHON,2,1,1,1,411.88,JOD
373067628-8,Python,2,1,0,0,403.53,USD
652703533-0,C++,0,1,0,2,352.80,jod
844622270-1,r,1,1,1,2,268.07,JOD
928999878-4,python,1,0,1,0,247.89,USD
870197254-5,Python,1,2,0,2,422.08,Dollar
789085144-8,java,1,2,0,2,373.01,euro
584816492-4,R,2,0,0,1,112.77,Dollar
994603792-0,,0,0,0,2,163.08,USD
612944780-9,java,0,2,0,2,161.58,USD
512210587-1,python,1,2,0,0,383.16,jod
857140009-1,PYTHON,0,2,2,1,263.86,euro
710430197-6,R,1,0,2,2,417.73,Dollar
419426360-X,C++,1,1,0,1,379.35,euro
401087592-5,Python,1,2,2,0,113.14,USD
398533385-8,java,2,0,0,0,370.91,JOD
355085525-7,R,1,2,0,0,356.82,jod
523575485-9,R,1,1,0,0,319.38,jod
872545950-3,C++,1,1,1,1,473.62,euro
099217265-9,java,2,0,1,1,286.72,Euro
335730432-5,python,1,1,1,0,341.02,JOD
192219718-1,R,0,1,2,0,490.46,Dollar
915418437-1,JAVA,1,1,1,2,242.67,jod
957948720-0,R,0,1,0,0,377.17,Dollar
425304212-0,Python,2,1,1,2,460.16,USD
842118160-2,r,2,1,1,0,455.04,euro
501226852-0,python,2,0,2,2,411.72,JOD
247846103-X,PYTHON,2,1,0,1,434.39,Dollar
612161197-9,java,1,1,1,2,391.90,JOD
842995526-7,Python,2,2,1,2,115.13,euro
639148845-2,r,1,0,1,0,212.29,Dollar
634191501-2,,0,0,0,0,262.33,USD
036323637-6,python,0,2,1,1,406.31,jod
864645791-5,PYTHON,0,2,0,2,495.17,Dollar
102041700-5,java,1,1,0,2,128.36,JOD
249061759-1,R,2,2,2,1,391.25,JOD
836457247-4,R,1,2,0,0,125.87,JOD
395776603-6,Python,0,2,2,1,176.90,euro
866227535-4,C++,0,1,0,1,327.60,euro
776591262-3,Python,0,0,1,1,407.01,USD
115782481-1,java,1,1,0,2,302.30,JOD
560376386-8,Python,2,0,1,2,242.97,JOD
231654907-1,JAVA,2,1,2,1,221.73,euro
890442507-7,java,0,0,1,1,131.54,jod
530228093-0,C++,0,0,2,2,343.98,Euro
646516450-7,r,1,0,0,0,327.59,Dollar
685137518-4,java,1,1,2,1,132.75,Dollar
625708898-4,c++,2,0,2,0,362.52,Euro
385233093-9,,2,1,2,1,261.97,JOD
308191705-0,R,1,0,1,0,449.12,USD
978482831-6,R,1,1,1,1,127.43,euro
085387742-4,c++,1,0,2,1,147.24,Euro
027538057-2,java,2,0,1,2,151.41,jod
710394957-3,java,1,0,2,0,312.60,Euro
154827304-X,python,2,2,0,2,365.05,JOD
076107147-4,Python,1,2,2,2,358.70,jod
044540420-5,PYTHON,2,1,2,1,215.49,euro
129665620-9,c++,1,2,2,1,150.85,Euro
502921269-8,JAVA,2,0,2,0,369.40,USD
713401164-X,Python,1,2,2,2,484.84,JOD
570039343-3,python,1,0,1,0,340.54,euro
233893490-3,r,2,2,2,2,322.38,Dollar
751216022-4,PYTHON,0,0,2,1,389.17,USD
185166593-5,Python,0,0,0,0,476.00,Euro
300762037-6,PYTHON,1,1,0,0,423.66,JOD
071112870-7,Python,2,1,1,2,297.70,euro
973243703-0,C++,0,1,1,1,301.38,euro
027850967-3,C++,0,0,0,1,469.70,Dollar
321174593-9,,0,2,1,0,476.60,Euro
301784942-2,,0,2,1,2,207.53,USD
762973373-9,r,0,0,1,0,198.87,USD
122318024-7,Python,2,1,2,1,236.11,euro
339159220-6,r,0,0,0,2,451.88,Dollar
573236634-2,JAVA,0,0,2,0,269.75,euro
723540050-1,r,2,1,2,2,234.60,jod
831734822-9,java,1,0,2,1,179.01,Dollar
314769313-9,PYTHON,1,2,2,2,494.86,JOD
912302047-4,c++,2,2,2,0,127.30,JOD
379316820-4,c++,1,2,2,2,119.54,jod
227490717-X,java,2,0,1,0,148.37,Dollar
130837774-6,Python,2,1,2,1,192.55,jod
237168591-7,Python,2,2,2,1,316.82,jod
946810265-3,r,1,1,2,1,315.78,USD
385830796-3,Python,2,0,2,1,442.05,JOD
929468707-4,C++,2,1,0,0,421.06,jod
208684121-3,R,2,2,1,2,212.23,Dollar
961482426-3,Python,2,0,1,2,376.89,euro
451694324-7,C++,2,0,2,2,292.80,USD
478737966-6,PYTHON,1,1,1,0,478.50,euro
932952020-0,c++,0,1,0,0,403.02,Dollar
891814881-X,R,1,2,2,2,487.34,Euro
625311012-8,r,2,0,1,2,393.44,Dollar
535627574-9,R,2,2,0,1,202.23,Dollar
384165536-X,c++,1,2,1,2,249.82,USD
275104334-8,r,2,0,0,2,365.19,jod
646653327-1,c++,1,1,2,2,364.58,Euro
794417638-7,Python,2,2,2,2,190.99,jod
500278826-2,java,0,2,2,1,187.19,USD
897786063-6,C++,0,1,0,2,283.53,USD
969824685-1,python,0,2,2,1,338.28,euro
605750753-3,Python,2,0,2,0,435.08,jod
203127330-2,java,2,2,1,2,343.17,euro
897581040-2,C++,2,2,1,0,208.87,Dollar
224967956-8,c++,1,1,1,1,198.04,Euro
416187087-6,JAVA,1,2,0,1,426.78,Dollar
976641921-3,python,1,1,0,2,212.40,jod
529846023-2,JAVA,0,2,2,2,479.80,euro
416834848-2,R,0,2,0,0,375.08,Dollar
427605420-6,JAVA,0,2,2,1,454.15,Euro
188656906-1,C++,0,2,0,2,442.80,Euro
746758191-2,PYTHON,0,1,0,1,349.41,Euro
490218260-2,C++,1,2,1,2,123.74,JOD
367149132-9,java,2,0,1,2,259.93,USD
374154893-6,C++,0,1,2,1,182.74,USD
712735023-X,R,0,1,1,2,378.72,JOD
676863486-0,python,0,2,0,1,165.98,Dollar
513049264-1,java,0,1,0,2,493.20,euro
879801316-5,c++,1,2,1,0,307.01,euro
214378739-1,PYTHON,2,1,2,0,417.94,euro
026056846-5,JAVA,2,1,0,0,380.86,euro
286298282-2,C++,0,1,2,1,225.86,JOD
394100769-6,c++,0,0,1,2,311.84,USD
818957172-9,r,0,1,2,1,176.20,jod
694525852-1,JAVA,2,0,2,2,187.83,Euro
113740879-0,R,1,2,2,1,181.29,Euro
225710103-0,R,1,0,2,1,467.17,euro
217617097-0,Python,2,1,0,2,103.80,USD
578870507-X,java,0,0,1,2,325.77,Dollar
331744546-7,R,2,1,1,1,454.49,Euro
379054984-3,C++,2,0,0,2,283.90,Dollar
939765860-3,JAVA,1,0,2,0,181.18,euro
034847813-5,java,0,1,0,0,285.63,euro
427643934-5,c++,2,2,1,1,182.60,jod
854194022-5,java,2,0,0,1,331.01,Euro
114166464-X,c++,1,1,2,1,208.02,jod
739829780-7,Python,2,1,2,1,375.33,jod
731591087-5,,2,2,2,2,156.45,Euro
608219782-8,,0,0,2,0,367.64,jod
820165046-8,C++,2,1,1,1,218.92,JOD
083898861-X,Python,1,1,0,2,436.98,Euro
797971315-X,R,0,0,0,2,300.18,Euro
134379773-X,R,1,1,0,0,183.97,Euro
517779365-6,r,2,0,1,1,391.60,jod
452197198-9,C++,2,1,1,2,394.31,Dollar
640809870-3,,2,1,0,0,434.72,Dollar
098335529-0,PYTHON,1,1,0,2,466.25,Dollar
615745611-6,PYTHON,1,0,2,0,237.47,jod
461253620-7,Python,1,2,2,0,448.59,jod
753928740-3,Python,0,0,2,0,127.14,Euro
451794627-4,JAVA,2,1,0,1,426.80,Dollar
055571925-1,R,0,0,0,0,401.37,Dollar
160858229-9,Python,2,2,1,2,277.48,USD
413846027-6,C++,0,1,2,2,195.20,Dollar
705003501-7,C++,1,2,2,1,288.83,Dollar
855015913-1,python,2,2,1,2,372.83,USD
265642527-1,python,2,2,2,1,391.95,jod
542936751-6,PYTHON,1,0,2,1,247.08,USD
849285126-0,,0,2,0,1,318.29,Dollar
357395384-0,c++,2,1,0,0,397.55,USD
470154984-3,C++,2,1,1,0,420.86,Dollar
098062225-5,PYTHON,1,2,0,0,312.25,USD
894438738-9,JAVA,1,0,1,0,259.09,JOD
782303748-3,,2,1,0,1,409.74,Dollar
663036707-3,c++,1,0,1,2,289.95,Euro
103925976-6,java,1,0,0,0,374.11,Euro
756114557-8,java,0,2,1,2,236.67,USD
732999169-4,C++,1,2,1,2,262.59,jod
137862264-2,,1,0,0,2,206.71,euro
955067450-9,c++,2,0,2,2,459.12,Dollar
167504160-1,r,2,2,1,2,444.90,Dollar
993331364-9,C++,1,1,1,1,274.57,Dollar
252732238-7,PYTHON,0,2,0,2,394.21,JOD
363969894-0,C++,1,2,2,0,395.47,Dollar
551948896-7,PYTHON,1,0,2,2,320.97,Dollar
279985703-5,java,1,2,1,2,416.82,euro
260150570-2,PYTHON,1,2,0,1,277.57,Dollar
783549524-4,C++,1,1,0,2,469.96,USD
306097047-5,java,0,2,1,2,327.90,euro
670047161-3,R,2,1,0,1,178.48,Dollar
436625132-9,JAVA,2,1,2,1,160.63,jod
276544139-1,Python,0,1,0,2,198.33,USD
337620454-3,JAVA,1,0,1,1,121.57,Euro
924701412-3,C++,0,1,0,2,494.23,Dollar
022176429-1,R,0,0,1,2,448.37,Dollar
069947977-0,PYTHON,1,1,2,2,360.34,Dollar
673090956-0,python,0,0,0,0,306.32,JOD
493090559-1,java,2,1,2,2,214.85,Dollar
427429232-0,JAVA,2,2,1,1,211.65,jod
658297876-4,JAVA,1,0,0,0,147.38,Dollar
308161822-3,JAVA,0,0,2,2,325.40,euro
217047792-6,python,2,1,2,2,278.79,Euro
968309498-8,java,1,0,2,0,167.13,JOD
337595943-5,c++,0,0,1,2,151.04,JOD
787167528-1,c++,2,2,1,1,159.37,JOD
088502302-1,PYTHON,2,1,1,2,406.34,Dollar
584427744-9,java,1,0,1,1,325.00,euro
316284219-0,c++,2,1,0,0,196.08,Euro
896227488-4,R,2,1,0,0,350.32,Dollar
649578012-5,c++,2,1,1,1,465.45,jod
993261283-9,PYTHON,0,0,2,0,317.54,Dollar
320000474-6,JAVA,1,0,1,1,487.92,JOD
619348579-1,Python,1,1,2,0,138.24,Dollar
913061199-7,c++,1,0,0,2,113.11,Euro
901582536-X,R,0,0,1,1,343.34,euro
274542968-X,JAVA,1,0,1,0,371.91,USD
395749834-1,java,1,1,2,0,286.89,jod
717864679-9,Python,2,0,2,1,375.23,Euro
892166510-2,C++,1,2,2,1,428.47,jod
657663615-6,PYTHON,2,2,2,1,285.34,jod
932914393-8,c++,0,0,1,0,475.82,Euro
319447310-7,r,1,2,0,0,322.37,jod
064154077-9,PYTHON,1,2,1,2,323.98,USD
746481030-9,Python,0,1,2,0,426.68,euro
430953931-9,Python,0,1,0,2,107.74,Euro
024192192-9,r,1,0,2,1,435.09,USD
561267755-3,c++,2,2,2,1,405.92,jod
030736179-9,,2,0,2,2,351.57,USD
040285473-X,C++,0,2,2,0,241.15,jod
973228081-6,python,1,2,1,1,175.39,Dollar
015142805-0,java,0,1,0,0,486.64,Dollar
713399441-0,python,0,0,2,0,185.49,euro
987992752-4,c++,1,1,2,0,109.26,Dollar
063031498-5,C++,2,0,1,2,261.26,euro
192596767-0,R,0,1,2,2,427.55,euro
375198046-6,R,0,2,2,2,461.38,euro
633421885-9,c++,2,1,1,2,242.07,Dollar
351154475-0,C++,0,0,0,2,118.90,JOD
667986905-6,C++,1,1,2,2,496.17,JOD
404185337-0,java,2,0,0,0,180.03,euro
712152978-5,Python,0,1,2,0,292.89,JOD
923232200-5,python,0,0,0,0,188.33,JOD
226459026-2,c++,0,1,1,1,174.82,jod
739142077-8,python,1,1,0,2,140.51,JOD
067641630-6,JAVA,1,0,0,1,427.12,Euro
283598626-X,,0,0,0,0,172.22,Euro
038042941-1,R,2,1,0,1,161.59,JOD
569797185-0,c++,1,1,2,0,370.15,JOD
620946521-8,JAVA,0,1,1,1,403.35,euro
850425037-7,c++,2,1,2,2,222.65,JOD
813480500-0,JAVA,2,0,0,2,414.91,USD
930701442-6,python,0,0,2,1,401.59,jod
214601214-5,,2,2,1,0,356.52,euro
426500934-4,R,0,0,1,2,213.65,Dollar
547748302-4,c++,1,1,0,0,121.23,Dollar
260566173-3,JAVA,2,1,1,2,329.63,euro
825162544-0,c++,1,1,1,0,319.25,Euro
145478709-0,C++,0,1,1,0,289.61,JOD
492862142-5,C++,0,2,1,1,153.48,USD
087598394-4,c++,2,1,0,0,385.65,jod
010815266-9,PYTHON,2,0,0,0,298.06,Euro
442919788-1,R,2,0,0,0,277.00,jod
388489006-9,PYTHON,2,1,0,0,410.51,Dollar
553558330-8,c++,2,2,2,1,111.52,JOD
667062068-3,R,0,2,2,1,321.69,JOD
906925173-6,R,1,0,1,0,341.09,Euro
199493573-1,python,2,0,2,2,360.32,jod
400966413-4,java,0,1,1,2,171.34,jod
567920555-6,c++,0,0,0,2,219.12,Dollar
071392856-5,c++,2,2,1,2,206.94,JOD
690036311-3,JAVA,0,0,1,2,327.20,Euro
633677139-3,r,0,0,1,0,325.79,Dollar
436292617-8,PYTHON,0,2,2,2,405.84,euro
633928360-8,Python,0,1,0,0,264.85,JOD
896492482-7,Python,2,1,2,1,116.68,JOD
105271157-X,r,0,2,2,2,175.01,jod
287242310-9,PYTHON,2,1,2,1,165.61,Dollar
780857575-5,C++,2,2,1,2,481.38,jod
533247181-5,java,1,0,1,0,132.32,euro
248619269-7,R,1,0,1,0,363.37,Dollar
053708373-1,c++,2,0,1,0,264.10,jod
568640755-X,C++,1,1,1,2,259.25,JOD
676610007-9,python,1,1,2,1,105.07,USD
354857196-4,C++,0,0,1,1,209.26,euro
085772909-8,java,1,1,0,0,129.28,Dollar
465976057-X,python,1,1,2,2,200.27,USD
773687890-0,c++,1,0,0,1,327.88,USD
101547612-0,R,2,0,1,2,149.66,USD
665776781-1,python,2,1,2,1,466.93,jod
088211349-6,C++,0,1,2,0,377.20,euro
110929253-8,,0,0,1,2,383.90,Dollar
687210129-6,java,2,2,2,0,352.89,USD
924642955-9,C++,2,1,0,0,476.96,euro
167244102-1,c++,2,0,1,1,321.28,Euro
203952201-8,python,0,1,2,2,495.47,jod
259933233-8,python,0,1,2,0,484.94,jod
807490452-0,java,2,0,0,1,394.60,Dollar
162223426-X,,0,0,1,0,203.99,jod
810206518-4,C++,1,0,0,2,318.70,USD
833252793-7,JAVA,2,1,1,1,184.20,jod
697968200-8,PYTHON,1,0,1,2,201.99,jod
426267214-X,Python,2,2,0,1,385.30,USD
995006982-3,r,1,1,2,2,288.19,Dollar
515938815-X,java,2,2,2,0,305.20,USD
844560630-1,PYTHON,0,1,0,0,104.12,Dollar
955025866-1,java,0,2,1,0,279.19,euro
296078269-0,JAVA,1,0,1,0,300.28,JOD
393384899-7,Python,0,0,0,1,194.15,euro
128140918-9,JAVA,2,2,2,0,139.02,Dollar
886669343-X,,2,1,2,1,401.81,Euro
288857728-3,c++,0,1,2,2,286.71,Euro
168011107-8,C++,0,2,2,0,126.71,USD
455803690-6,C++,1,0,1,2,260.91,euro
933709910-1,c++,2,1,2,2,476.93,JOD
640405454-X,PYTHON,0,2,1,0,283.62,jod
842992973-8,c++,0,0,1,2,390.08,jod
960663467-1,PYTHON,0,1,1,2,138.12,Dollar
017607447-3,C++,1,1,0,0,168.39,USD
233051179-5,c++,1,2,0,2,411.76,Dollar
363762253-X,JAVA,1,2,2,2,481.54,jod
997963492-8,python,0,0,2,1,435.43,USD
266991808-5,r,2,0,2,1,210.26,jod
379580052-8,java,2,0,2,2,396.05,JOD
030453761-6,python,1,0,0,1,325.14,jod
058999484-0,JAVA,1,1,0,1,437.29,euro
599474368-2,PYTHON,1,1,0,2,208.00,euro
