Project_ID,Programming Language,Employee-1,Employee_2,Employee-3,Employee_4,Award,Currency
180789317-0,r,1,1,0,1,383.54,jod
999054950-8,C++,0,1,0,2,171.31,JOD
599177139-1,java,1,0,2,0,254.24,JOD
538898454-0,r,1,0,2,1,381.74,euro
295401039-8,JAVA,0,1,2,1,295.57,JOD
228180067-9,r,1,1,2,1,287.04,Euro
561621739-5,R,2,2,1,0,190.99,USD
067440864-0,c++,1,0,1,0,240.82,JOD
359627273-4,Python,0,1,1,0,368.33,USD
140779969-X,,0,0,1,2,489.31,Dollar
213550809-8,R,1,2,2,0,182.42,USD
483350153-8,JAVA,0,2,0,2,219.26,Dollar
172523476-9,java,2,0,0,1,215.33,euro
902988378-2,c++,2,0,1,0,478.41,Dollar
667244765-2,r,2,0,2,0,408.32,euro
012439280-6,r,2,2,2,2,392.57,jod
099487768-4,c++,2,1,0,0,132.57,USD
688224100-7,python,0,2,1,0,162.83,jod
280134748-5,java,1,0,2,2,124.93,jod
532176431-X,,2,1,0,0,209.27,USD
121850273-8,r,2,2,1,1,133.50,USD
450221526-0,r,2,1,1,0,206.64,Dollar
714961573-2,JAVA,2,2,0,2,488.79,euro
607770317-6,JAVA,0,1,2,2,162.18,Dollar
288660490-9,,1,1,1,2,396.85,jod
106903240-9,R,1,1,1,1,303.76,Dollar
149044788-1,PYTHON,1,0,2,1,152.10,USD
151159429-2,c++,0,1,1,2,145.78,USD
158471408-5,R,1,0,2,0,395.65,euro
965533341-8,r,1,1,0,2,271.03,USD
486724149-0,PYTHON,0,2,1,0,474.42,jod
562397712-X,Python,0,0,0,2,407.13,euro
510599436-1,JAVA,1,2,1,0,316.33,JOD
668629680-5,python,1,2,1,2,444.39,JOD
035536193-0,python,0,2,0,1,388.59,jod
494830839-0,C++,0,1,0,2,172.29,Dollar
263765403-1,java,2,0,0,1,386.28,USD
832885508-9,JAVA,2,0,1,2,429.56,Dollar
990271260-6,JAVA,2,2,1,0,432.72,Euro
931022624-2,c++,2,2,1,0,424.27,Dollar
301248790-5,JAVA,2,0,1,0,257.32,euro
342135794-3,,0,0,0,0,407.12,Euro
905634472-2,java,1,0,1,0,309.16,jod
661363029-2,JAVA,1,2,0,1,248.33,Euro
961787515-2,PYTHON,0,0,2,1,272.34,Dollar
114426244-5,PYTHON,2,2,1,1,240.51,USD
436207100-8,python,1,2,0,0,249.05,Euro
482650502-7,java,1,1,2,2,320.28,Dollar
456310863-4,java,2,2,2,2,106.45,jod
150775920-7,Python,1,2,1,0,193.68,jod
362805004-9,JAVA,1,0,0,1,125.44,euro
607748300-1,java,0,1,0,1,366.40,Dollar
752984615-9,java,0,0,0,2,196.17,euro
483399406-2,JAVA,1,0,0,2,429.76,jod
548063995-1,C++,0,0,1,1,385.25,Euro
434107794-5,java,2,2,2,0,491.88,USD
905263434-3,c++,1,0,0,2,252.70,jod
740628935-9,r,1,1,2,1,199.07,jod
870307332-7,java,2,1,2,0,324.76,Dollar
512168558-0,PYTHON,1,2,2,0,292.77,jod
412253215-9,r,2,2,1,0,145.48,Dollar
798253572-0,C++,2,1,1,2,245.36,Dollar
969213392-3,,1,1,1,1,416.83,euro
247423741-0,R,2,0,0,2,166.49,USD
793607966-1,c++,0,2,1,2,152.63,jod
458555556-0,r,1,1,0,1,371.52,USD
054671003-4,JAVA,0,0,1,1,144.19,Euro
286216250-7,r,2,1,2,2,159.18,USD
286792019-1,C++,1,1,2,0,127.59,Dollar
136973919-2,python,2,2,2,0,196.85,jod
161935057-2,java,0,0,2,1,441.70,JOD
254582110-1,python,0,1,1,0,218.37,euro
549130347-X,c++,0,2,1,2,297.23,jod
316668047-0,C++,0,2,2,2,210.57,Euro
735640807-4,PYTHON,2,2,1,1,407.24,euro
167505642-0,PYTHON,0,1,1,1,363.91,Dollar
558507466-0,PYTHON,0,1,1,0,127.52,USD
208120970-5,R,1,0,0,0,483.36,jod
133358400-8,r,1,2,2,2,160.82,JOD
351378222-5,r,0,2,2,1,372.73,Euro
616073519-5,C++,1,0,2,2,428.39,JOD
629943942-4,JAVA,0,2,0,1,269.44,Euro
578599823-8,,1,0,1,2,145.64,euro
593161384-6,r,0,2,0,2,497.85,JOD
700432738-8,JAVA,2,0,0,0,381.41,USD
263406867-0,java,0,0,0,0,293.83,USD
547079869-0,java,2,2,2,1,126.64,Dollar
216005520-4,python,2,0,2,2,258.30,Euro
417995154-1,Python,2,2,0,0,194.51,JOD
839154647-0,PYTHON,1,1,1,0,399.50,Euro
118683692-X,PYTHON,1,1,0,2,186.64,euro
129597169-0,c++,2,2,1,2,349.10,USD
224896284-3,R,2,1,2,2,103.97,euro
323003427-9,C++,0,2,2,2,481.44,jod
943067360-2,C++,0,2,2,0,252.83,Euro
340672430-2,r,0,0,1,0,259.74,euro
427519352-0,r,1,2,1,2,499.00,Euro
120784694-5,python,2,1,1,1,116.31,JOD
208677074-X,java,0,1,1,0,345.87,Dollar
377628531-1,c++,1,0,1,0,123.91,euro
320818856-0,java,2,0,0,0,265.96,JOD
656803930-6,C++,2,2,2,0,178.57,USD
851316318-X,c++,1,1,2,1,321.30,jod
105090427-3,JAVA,0,2,1,0,314.64,Euro
278151369-5,PYTHON,2,1,2,2,406.82,USD
619596623-1,C++,0,1,1,2,143.83,Dollar
125596778-1,r,0,2,1,1,272.39,Euro
082218792-2,C++,0,0,1,2,172.95,jod
670432301-5,R,0,2,2,2,305.94,USD
761882711-7,Python,0,1,1,0,146.66,Dollar
822339782-X,python,2,2,0,1,238.54,euro
343530547-9,,1,1,0,1,204.44,USD
964322291-8,C++,2,0,1,1,215.93,USD
849705342-7,Python,2,0,0,0,447.51,euro
993596371-3,PYTHON,2,0,0,2,130.31,Dollar
687421067-X,JAVA,2,1,0,2,471.19,Dollar
663562569-0,python,0,2,2,2,376.94,euro
792398437-9,PYTHON,1,0,2,0,332.78,euro
288856772-5,R,2,2,2,0,166.01,jod
394545728-9,r,2,0,2,2,359.31,Euro
344999551-0,r,0,0,1,2,268.46,USD
351316373-8,JAVA,0,0,2,0,376.24,Euro
789162855-6,c++,0,2,0,1,371.76,Dollar
322636071-X,Python,2,2,2,0,426.40,Euro
926712532-X,java,0,1,1,0,211.29,Euro
247929453-6,c++,1,1,0,1,206.96,USD
875980474-2,java,0,1,0,1,198.08,USD
916899009-X,Python,1,0,2,2,333.67,Dollar
615978878-7,python,1,0,1,1,170.25,USD
656016594-9,R,2,2,0,1,358.59,Dollar
304284160-X,python,2,1,1,1,175.28,Euro
059052296-5,Python,0,1,1,2,444.26,Dollar
053362180-1,,2,2,2,0,199.02,Euro
833326297-X,C++,1,0,1,1,430.98,euro
299635425-7,PYTHON,2,2,1,2,455.21,JOD
372678943-X,PYTHON,1,0,1,2,102.74,JOD
639908228-5,c++,2,0,2,2,490.46,JOD
137936582-1,java,2,1,0,1,177.53,euro
725617525-6,java,0,2,0,2,445.93,euro
825429279-5,PYTHON,1,1,0,2,336.16,euro
745664430-6,PYTHON,1,1,2,2,427.69,Dollar
484106763-9,R,0,1,1,2,136.84,jod
068874385-4,r,2,0,0,0,275.39,JOD
212697404-9,,0,0,2,1,343.66,Dollar
942948240-8,R,2,0,1,2,126.73,Dollar
081637643-3,r,1,0,2,2,147.55,jod
487233165-6,R,1,2,1,0,241.89,Dollar
154198828-0,python,1,0,0,0,476.29,USD
180229771-5,JAVA,2,2,2,0,361.65,JOD
715613884-7,c++,0,2,0,0,177.50,JOD
179520231-9,python,0,1,1,0,360.00,euro
462376161-4,java,0,2,2,0,237.67,JOD
506199695-X,c++,0,0,0,1,347.36,Euro
403852042-0,,2,2,0,1,127.06,Dollar
265299118-3,java,0,2,1,0,287.62,Euro
380708167-4,Python,2,1,2,2,373.13,jod
164922780-9,python,2,0,1,1,307.01,Dollar
362640029-8,PYTHON,2,1,0,2,416.48,Dollar
158898855-4,r,2,0,0,2,126.89,euro
875634703-0,R,0,1,2,2,437.95,Dollar
817587104-0,r,2,0,2,0,308.53,Dollar
717359450-2,JAVA,0,0,2,2,396.38,euro
122615676-2,,0,1,2,0,308.67,Dollar
923459937-3,PYTHON,2,2,0,2,268.81,jod
525727521-X,c++,2,1,2,2,399.28,euro
177114926-4,JAVA,2,2,1,1,156.46,JOD
106907424-1,R,0,1,0,2,470.64,jod
883729181-7,python,1,2,0,1,210.36,jod
023529043-2,python,2,1,2,0,451.57,Euro
935949297-3,java,2,1,2,2,251.49,euro
307057023-2,c++,1,1,2,0,366.67,jod
086936406-5,r,0,1,2,0,392.27,USD
461676363-1,R,0,2,1,2,476.16,Euro
923273107-X,c++,2,2,2,1,360.82,Euro
530835745-5,R,0,2,1,0,457.06,Dollar
449574198-5,C++,1,0,0,0,251.80,jod
850530226-5,c++,2,1,1,0,435.99,jod
608324250-9,,0,0,2,1,375.96,JOD
155222513-5,java,1,2,1,2,210.35,Dollar
791453390-4,c++,0,0,0,2,152.89,euro
503824260-X,PYTHON,1,0,2,0,340.05,jod
041630744-2,r,2,2,1,1,327.76,Euro
685263243-1,C++,1,0,2,2,459.60,jod
690374960-8,Python,0,2,1,2,152.25,USD
912388722-2,c++,2,1,1,0,329.19,JOD
672730806-3,java,1,0,1,2,387.37,USD
318672737-5,c++,1,1,1,2,129.65,euro
883362402-1,r,0,1,0,2,289.59,Euro
724832056-0,R,0,2,0,0,206.96,USD
009416202-6,python,2,2,0,1,305.89,euro
014607378-9,PYTHON,0,0,1,1,301.46,jod
422755705-4,python,1,1,0,1,254.11,Euro
472829530-3,java,0,0,2,0,233.35,euro
555628487-3,r,2,0,2,0,430.19,Euro
824090703-2,PYTHON,1,2,0,0,270.57,Dollar
762025906-6,r,0,0,0,1,485.59,euro
885831196-5,C++,1,2,0,2,197.70,jod
499319151-0,C++,1,0,0,1,456.15,jod
443271384-4,python,0,1,0,2,287.83,Dollar
857068689-7,r,0,0,1,0,131.11,Euro
665725462-8,JAVA,2,0,2,2,235.53,Euro
965632172-3,JAVA,0,1,0,0,265.62,jod
156220484-X,R,1,2,0,2,200.25,Dollar
701700850-2,R,1,1,2,2,420.90,Dollar
887075405-7,c++,0,2,0,0,196.49,JOD
287077108-8,Python,1,0,0,0,264.11,Dollar
424220567-8,java,1,2,2,1,280.99,euro
527812150-5,C++,2,0,1,0,355.66,jod
766636899-2,r,1,0,2,0,314.33,jod
423601686-9,JAVA,0,0,0,0,347.32,jod
485615864-3,python,0,1,1,2,335.90,jod
513766788-9,C++,1,0,2,2,271.06,Euro
207018377-7,python,2,1,2,1,491.17,jod
904859058-2,JAVA,0,2,0,1,409.74,Euro
208370536-X,JAVA,0,0,2,1,463.02,Euro
444565921-5,,0,2,0,2,445.88,euro
837565570-8,Python,2,0,0,2,408.98,Euro
579036144-7,r,0,2,2,2,493.38,Euro
655707567-5,JAVA,0,2,1,1,424.85,USD
008755428-3,,2,2,0,2,286.43,Euro
418605518-1,PYTHON,1,0,2,0,203.11,Dollar
689695295-4,Python,0,2,2,0,411.11,JOD
425183228-0,python,0,2,1,2,401.72,euro
322424506-9,R,0,0,0,1,407.17,jod
115122912-1,PYTHON,2,2,1,2,164.82,Dollar
556705104-2,R,1,1,1,0,435.40,USD
991562664-9,C++,2,1,1,2,448.32,euro
829477181-3,JAVA,2,2,0,2,258.46,euro
518523345-1,c++,1,2,0,0,135.50,Euro
793721711-1,java,0,1,1,2,334.32,Euro
449927956-9,r,0,2,0,0,316.11,Dollar
680260556-2,C++,2,0,2,0,405.17,USD
907843413-9,PYTHON,0,2,1,1,312.00,Euro
217631385-2,PYTHON,0,1,2,1,153.46,JOD
414867289-6,python,1,2,0,1,178.50,euro
305049831-5,JAVA,1,1,0,2,342.82,JOD
521660792-7,PYTHON,2,1,1,0,444.77,JOD
815858509-4,Python,1,2,0,0,481.09,USD
015612022-4,java,2,2,2,1,298.21,Dollar
085479989-3,r,1,0,1,1,422.62,Dollar
645353421-5,java,0,2,2,0,332.58,USD
997209287-9,python,0,2,0,2,347.32,Dollar
011075592-8,r,2,0,2,0,465.96,Dollar
097223761-5,C++,0,2,2,2,434.47,Euro
822701146-2,,0,1,1,0,220.44,Dollar
698834777-1,PYTHON,0,0,2,1,324.54,jod
418497183-0,java,2,1,1,2,270.05,USD
799001240-5,,1,0,0,1,196.11,jod
318604018-3,R,1,1,1,2,184.14,euro
050821720-2,c++,2,0,2,2,116.41,JOD
692005550-3,java,2,2,1,2,170.28,JOD
121524136-4,R,0,2,1,0,422.41,jod
126814141-0,R,0,2,2,2,205.25,Dollar
739507318-5,PYTHON,1,0,0,1,105.97,Euro
319838205-X,java,1,2,0,1,286.07,USD
712964902-X,c++,0,0,1,2,368.43,Dollar
326708947-6,PYTHON,1,1,0,2,146.14,JOD
622821996-0,,2,0,1,2,181.12,JOD
995742633-8,c++,0,2,1,0,444.25,Dollar
319108211-5,R,0,1,0,0,398.66,jod
134139898-6,JAVA,1,0,0,0,109.11,Euro
368264385-0,C++,2,1,1,1,402.46,Dollar
351421122-1,python,2,0,0,2,201.28,USD
714762263-4,PYTHON,0,0,2,2,256.40,euro
257556174-4,c++,1,2,1,2,184.33,Dollar
563726222-5,c++,0,1,1,2,420.93,JOD
145721873-9,c++,2,2,2,1,326.82,JOD
555410158-5,python,0,2,1,1,249.41,Euro
562771937-0,r,2,0,2,0,273.96,Euro
540588716-1,JAVA,1,2,0,2,372.65,Euro
898950529-1,c++,0,1,1,0,462.33,Dollar
072012862-5,python,0,2,2,0,437.38,USD
860018493-2,r,1,0,2,2,224.03,Euro
405638137-2,JAVA,0,1,1,1,458.23,jod
602476243-7,python,0,2,0,2,320.56,Dollar
289775605-5,r,1,0,2,1,126.96,Dollar
665780839-9,PYTHON,0,0,0,0,267.10,JOD
197095224-5,r,1,2,1,1,225.51,euro
608529084-5,R,2,1,2,0,457.23,USD
657594021-8,java,2,1,1,2,479.19,Euro
791722482-1,JAVA,2,1,1,2,287.23,USD
649675512-4,python,1,2,2,0,332.69,Euro
799587395-6,java,0,1,1,1,120.60,Dollar
139955484-0,python,1,2,2,1,140.56,jod
714354560-0,R,0,1,1,2,438.71,Euro
022013711-0,JAVA,2,0,2,1,346.21,Euro
606428603-2,R,1,0,2,1,399.86,euro
551859431-3,Python,0,0,2,0,472.26,JOD
896834401-9,,1,0,0,0,164.99,USD
336993362-4,JAVA,1,0,1,0,323.23,Euro
379904546-5,,2,1,0,1,107.61,JOD
482440126-7,R,2,2,0,1,151.83,jod
414451100-6,,0,2,2,0,175.24,USD
899167483-6,PYTHON,2,0,2,2,193.83,jod
126174340-7,JAVA,2,1,2,1,313.44,Dollar
324346729-2,PYTHON,2,0,2,0,489.77,Euro
147722871-3,C++,0,1,1,2,470.08,JOD
203445525-8,C++,0,0,0,1,404.74,JOD
775927356-8,Python,0,2,2,1,144.09,Euro
600110420-4,java,0,0,0,0,421.86,euro
885104800-2,,0,2,2,2,391.57,USD
378473020-5,r,1,1,0,0,446.89,Euro
826547737-6,Python,0,2,1,1,479.18,Euro
541292932-X,python,1,1,2,2,118.46,USD
718244484-4,C++,1,2,2,0,250.61,Dollar
540574455-7,,2,0,2,2,210.14,USD
962311173-8,java,1,1,1,0,362.52,Euro
611584193-3,c++,2,1,2,1,370.31,jod
700327500-7,java,2,0,0,1,403.25,euro
202915039-8,PYTHON,0,0,0,0,128.26,Dollar
566296486-6,r,1,0,2,1,408.03,USD
103421306-7,R,1,2,0,2,198.41,Dollar
826547512-8,Python,1,1,1,1,333.28,jod
450316894-0,JAVA,0,2,0,1,466.06,USD
352590007-4,PYTHON,0,1,0,2,269.86,Dollar
670219138-3,JAVA,2,2,2,1,481.70,euro
135317096-9,PYTHON,2,0,2,1,493.94,USD
807720838-X,r,2,2,0,1,475.58,Euro
438432479-0,Python,2,0,0,0,287.34,jod
060681546-5,JAVA,1,1,0,0,104.04,euro
287807081-X,java,2,1,1,2,369.40,USD
712720824-7,java,2,2,2,2,342.50,JOD
781386084-5,c++,0,2,0,1,132.22,USD
141810336-5,java,0,1,2,1,376.50,Euro
445940336-6,r,1,1,0,0,114.15,euro
114107586-5,PYTHON,1,2,2,1,169.17,JOD
195768888-2,,1,0,2,1,106.48,Euro
433116428-4,JAVA,0,2,1,1,327.48,JOD
763319682-3,C++,1,2,1,2,399.33,JOD
145625964-4,C++,1,2,1,0,455.98,jod
939060780-9,R,1,2,0,1,475.21,JOD
328168029-1,JAVA,1,1,0,1,354.32,USD
764695617-1,python,0,2,1,2,325.51,Dollar
592948537-2,C++,2,1,0,1,295.25,euro
639773178-2,python,1,1,1,0,324.43,Dollar
251252359-4,c++,1,0,0,2,340.80,jod
467713140-6,c++,0,1,2,1,370.91,JOD
840418977-3,C++,2,0,1,1,123.65,jod
485743386-9,python,0,0,2,2,191.12,Euro
045506458-X,R,2,1,1,1,256.25,JOD
561992489-0,R,0,1,2,0,440.13,jod
853563381-2,R,1,2,2,2,314.90,Euro
488459295-6,PYTHON,0,0,1,2,482.93,JOD
002017010-6,python,1,0,0,2,330.37,JOD
636203653-0,Python,2,1,2,1,223.94,euro
041569869-3,JAVA,1,1,1,2,151.50,Dollar
557049971-7,JAVA,2,1,1,2,118.35,jod
145561229-4,JAVA,1,0,1,0,156.49,Dollar
633577378-3,PYTHON,2,0,1,2,138.99,USD
372149203-X,JAVA,1,2,0,2,343.86,Dollar
793548826-6,r,1,0,2,1,324.04,jod
611745231-4,r,0,0,1,0,368.70,USD
952565189-4,JAVA,1,0,2,0,273.04,euro
115951502-6,c++,0,0,2,0,360.77,JOD
343049582-2,python,2,2,0,1,451.54,euro
160415410-1,python,0,0,0,0,129.40,Euro
282042260-8,JAVA,1,1,0,0,470.48,Dollar
126460469-6,python,0,2,2,2,205.12,euro
988651936-3,C++,0,2,0,1,103.24,euro
356421405-4,Python,0,2,1,1,171.21,jod
957260214-4,python,1,0,1,1,150.73,euro
217585770-0,r,0,1,2,0,409.76,Dollar
055202720-0,python,1,0,0,1,341.95,USD
346177105-8,,0,0,0,0,332.54,euro
841810206-3,C++,2,2,1,0,469.54,jod
265440178-2,R,2,0,1,0,294.77,euro
116242195-9,python,0,0,2,1,452.70,Euro
889754986-1,JAVA,1,1,2,2,414.68,Euro
795450814-5,JAVA,2,2,0,0,265.78,euro
938914477-9,r,0,1,2,1,387.48,Dollar
428392665-5,c++,0,2,0,2,491.63,USD
342229356-6,,0,0,1,2,257.45,JOD
938777497-X,python,0,0,0,1,237.89,Dollar
674065912-5,java,1,0,2,2,483.68,euro
347600984-X,python,2,1,0,0,122.82,Euro
806754616-9,Python,0,1,1,1,301.46,USD
179961702-5,R,0,1,1,0,366.58,USD
774107795-3,Python,1,0,0,0,489.52,euro
506054058-8,c++,0,0,2,0,337.83,JOD
862651603-7,java,1,0,0,2,335.29,jod
929680944-4,R,0,2,2,2,170.38,JOD
115177703-X,java,0,2,1,1,426.92,Euro
160669177-5,Python,1,0,2,2,116.47,Dollar
350777452-6,c++,1,1,1,1,157.29,jod
323773026-2,c++,0,1,1,0,292.48,Euro
065449307-3,R,1,0,0,0,292.35,Dollar
326297875-2,JAVA,0,1,2,2,391.42,euro
214023441-3,R,1,0,2,2,112.79,Dollar
366162279-X,c++,0,1,1,1,319.61,jod
033136929-X,,1,2,0,0,287.83,Euro
700766343-5,PYTHON,2,2,1,0,319.82,jod
936317964-8,python,0,2,2,2,164.41,Euro
694835791-1,C++,0,2,0,0,476.18,Euro
097999029-7,PYTHON,2,0,1,0,212.62,JOD
873524216-7,r,1,1,0,1,358.96,JOD
609812438-8,R,2,2,2,2,209.36,jod
861489872-X,PYTHON,1,1,1,1,323.08,jod
718873842-4,R,0,0,0,1,471.75,JOD
004016349-0,JAVA,0,1,1,1,279.92,Euro
922335309-2,R,2,2,1,2,209.14,Dollar
516724851-5,C++,0,2,2,1,444.91,Dollar
390847893-6,C++,1,2,1,0,244.08,USD
626082715-6,java,2,0,0,0,474.02,Dollar
118308144-8,JAVA,2,0,1,2,223.88,euro
831258751-9,c++,2,0,0,2,238.33,Euro
960483929-2,C++,2,0,1,2,491.65,JOD
603880998-8,python,2,0,2,0,486.78,euro
014942986-X,C++,0,0,0,1,450.36,jod
809208259-6,R,2,2,2,2,117.11,Dollar
519961303-0,JAVA,1,0,2,0,264.76,Euro
710931522-3,c++,1,2,2,1,257.44,Euro
761077182-1,r,2,2,1,0,222.92,euro
156767802-5,python,2,0,1,0,250.91,Dollar
534649908-3,r,2,1,1,1,130.96,Euro
647092911-7,PYTHON,0,0,2,2,410.13,USD
922715322-5,JAVA,2,0,1,0,217.77,euro
975537905-3,PYTHON,2,0,2,0,368.49,USD
185992298-8,C++,0,0,2,2,407.13,jod
134678194-X,C++,2,2,1,2,248.30,jod
285839928-X,R,2,2,2,2,314.10,Dollar
174520611-6,c++,2,0,1,1,316.02,Dollar
669455701-9,JAVA,2,1,1,1,329.78,Euro
835060637-1,python,1,1,0,1,250.29,euro
804300291-6,PYTHON,1,0,0,1,472.72,JOD
327794192-2,Python,2,1,0,1,218.00,JOD
851066983-X,Python,2,0,2,1,184.04,Euro
107841659-1,java,1,0,0,0,265.05,USD
189797717-4,C++,0,2,2,0,162.46,Euro
652309160-0,,1,2,0,1,370.08,Dollar
314058110-6,JAVA,0,0,1,1,146.87,Euro
660356465-3,JAVA,1,2,0,2,469.97,USD
981687874-7,java,0,1,1,1,402.40,Dollar
125238364-9,Python,1,2,2,1,416.27,USD
453321143-7,java,0,0,0,0,202.81,euro
070169699-0,r,0,1,1,0,414.90,jod
905105874-8,PYTHON,1,0,0,1,104.74,Dollar
742811739-9,JAVA,2,2,1,2,407.25,Dollar
224388256-6,python,0,2,0,2,490.80,jod
996469512-8,R,0,1,2,0,229.90,Dollar
220737858-6,PYTHON,1,0,0,2,348.31,JOD
480871213-X,,0,2,2,1,427.41,jod
789772304-6,PYTHON,0,0,1,1,205.22,JOD
802081811-1,R,0,1,2,1,401.66,Dollar
207287320-7,c++,2,2,1,2,441.85,JOD
637825711-6,c++,2,0,2,2,450.26,JOD
335093835-3,R,2,2,1,1,457.30,jod
655514445-9,c++,2,2,2,0,127.35,USD
243240486-6,C++,2,2,2,2,397.66,Euro
928568210-3,Python,1,0,2,0,369.61,euro
651785102-X,java,2,1,1,1,339.23,USD
072708634-0,JAVA,0,2,0,1,393.49,euro
836497191-3,JAVA,2,1,1,0,152.54,USD
253627842-5,java,1,2,0,2,204.63,Euro
566862566-4,python,2,2,2,2,268.44,euro
932424228-8,r,1,1,2,1,328.51,Euro
703628124-3,python,0,1,1,1,458.56,USD
117010945-4,r,2,2,2,1,341.22,euro
380448116-7,java,1,1,2,0,414.50,euro
828905326-6,R,1,2,2,0,230.45,jod
180959989-X,,2,0,0,1,230.64,JOD
839298614-8,python,0,0,0,0,232.65,jod
057614498-3,C++,1,1,2,2,220.10,Euro
776835026-X,java,1,0,1,1,376.42,USD
186854170-3,Python,1,1,0,2,277.23,JOD
536216997-1,python,1,1,0,1,457.91,jod
127086020-8,,1,2,1,1,417.62,Dollar
659720259-7,R,1,1,1,0,356.37,JOD
152352038-8,C++,1,2,0,1,351.42,JOD
076999467-9,c++,2,1,1,0,378.71,jod
783312021-9,java,1,2,2,2,117.03,Dollar
984926235-4,R,1,1,2,2,295.78,Euro
310982611-9,r,2,0,0,0,440.78,euro
574391355-2,PYTHON,2,1,0,0,452.52,Dollar
729270363-1,python,0,2,1,1,236.36,JOD
691781417-2,c++,2,2,0,1,182.50,JOD
584939649-7,c++,0,0,1,2,191.96,euro
077306382-X,java,2,2,2,2,186.10,JOD
