ProjectID,Programming Language,Employee1,Employee2,Employee3,Employee4,Award,Currency
420900851-6,c++,1,0,2,1,394.72,Euro
297301439-5,Python,2,1,0,0,265.51,JOD
700548039-2,java,1,1,1,1,469.96,USD
775982548-X,java,2,2,1,1,174.80,USD
315669610-2,JAVA,1,0,1,2,328.94,Euro
142491296-2,JAVA,0,2,1,1,277.25,JOD
241632700-3,R,1,1,1,1,287.27,USD
172715933-0,c++,1,0,2,2,451.85,USD
232035111-6,R,2,1,0,0,172.32,JOD
250117863-7,JAVA,1,0,0,0,137.70,Euro
387728216-4,JAVA,2,1,1,0,270.41,JOD
342348697-X,java,0,2,1,1,105.52,JOD
565791743-X,c++,0,2,0,0,256.16,JOD
551028653-9,R,1,1,0,0,177.53,USD
744654550-X,R,1,1,0,2,367.70,USD
246936625-9,C++,0,0,2,1,426.61,Euro
812015704-4,R,2,0,0,2,282.21,JOD
041359008-9,JAVA,0,1,1,2,295.51,USD
512730507-0,,1,1,2,0,496.06,JOD
243736186-3,PYTHON,0,,1,1,489.46,USD
334981825-0,Python,2,0,0,2,127.79,Euro
028349436-0,R,1,0,0,1,454.24,USD
463250648-6,java,0,2,1,2,148.15,Euro
564068747-9,c++,1,2,1,2,257.37,Euro
516610218-5,,0,1,2,0,449.86,USD
917032169-8,java,1,0,1,1,382.83,JOD
154378854-8,PYTHON,2,1,2,1,319.49,JOD
446001443-2,C++,0,1,0,1,187.84,USD
589592992-3,PYTHON,1,0,0,1,125.98,USD
646390321-3,C++,1,0,1,1,268.39,JOD
664036958-3,R,2,2,1,0,181.58,Euro
073162818-7,java,2,1,1,0,396.08,JOD
436431852-3,JAVA,1,1,2,2,449.17,JOD
369331339-3,PYTHON,1,2,1,2,351.71,Euro
462256818-7,C++,0,2,1,1,370.40,USD
283442560-4,Python,2,0,1,0,385.99,Euro
184857083-X,R,1,1,0,2,257.19,USD
553330349-9,C++,2,0,0,1,369.10,JOD
765978817-5,Python,2,1,2,1,171.38,JOD
794641089-1,R,1,2,2,1,337.68,JOD
501455934-4,Python,2,0,1,2,470.25,USD
792781010-3,R,2,2,2,0,245.51,JOD
747328454-1,Python,2,2,0,2,448.63,USD
402336117-8,R,0,2,0,2,392.14,JOD
870409480-8,JAVA,0,1,1,2,484.38,USD
899193498-6,java,1,2,2,0,441.56,Euro
221444779-2,java,0,1,1,0,138.85,JOD
110409285-9,java,1,2,0,1,152.06,JOD
441426750-1,JAVA,0,1,1,2,421.58,Euro
008376677-4,java,2,0,1,0,433.03,Euro
008180143-2,c++,0,2,1,0,283.29,JOD
577371238-5,c++,2,2,1,1,289.14,USD
738256631-5,R,2,2,2,1,334.50,Euro
794567979-X,R,0,2,1,1,477.07,Euro
955165856-6,Python,1,2,1,1,317.28,JOD
866610487-2,R,2,2,0,2,370.74,Euro
004874572-3,PYTHON,0,2,0,1,445.11,JOD
851117887-2,JAVA,2,0,2,2,178.59,JOD
069128175-0,JAVA,2,2,0,2,374.12,USD
073610478-X,Python,1,1,2,2,488.31,USD
570371385-4,R,1,1,2,1,305.91,Euro
866510140-3,R,2,1,0,0,201.61,JOD
352093686-0,PYTHON,1,0,0,2,435.27,USD
375195176-8,JAVA,1,0,1,2,102.78,Euro
259914015-3,C++,2,0,0,2,316.09,USD
477639844-3,c++,2,1,1,2,447.80,JOD
403470792-5,java,1,0,0,2,383.50,Euro
136352444-5,java,1,1,1,0,474.48,Euro
064162799-8,c++,0,1,2,0,186.66,JOD
456957692-3,JAVA,0,2,2,2,169.69,USD
065561582-2,R,1,1,2,1,277.56,USD
338088527-4,C++,0,1,1,2,216.14,USD
290981088-7,R,1,0,1,1,182.35,USD
518472711-6,JAVA,1,1,0,0,370.29,Euro
540333980-9,JAVA,2,1,1,2,447.16,USD
368515608-X,c++,2,2,1,1,249.44,Euro
034119256-2,c++,0,2,2,2,379.40,Euro
699692804-4,,2,1,0,0,425.46,JOD
024617066-2,C++,2,0,2,0,255.40,USD
661564763-X,java,0,2,2,1,202.13,Euro
072366184-7,java,1,1,1,0,175.79,JOD
219364058-0,,0,1,1,1,303.80,USD
122695553-3,R,2,,1,2,414.48,Euro
111890707-8,C++,1,2,2,1,376.98,JOD
478578767-8,R,1,0,2,2,138.60,JOD
668696492-1,JAVA,0,0,1,2,137.51,USD
756603910-5,java,0,1,0,0,143.66,Euro
425215483-9,java,0,,1,0,309.24,JOD
395641418-7,c++,2,2,0,2,109.11,JOD
781496366-4,c++,1,2,0,2,234.31,JOD
515060036-9,c++,1,1,1,2,261.67,USD
826153267-4,c++,2,0,1,0,233.43,JOD
314696158-X,JAVA,2,2,1,0,109.18,Euro
636076298-6,java,0,0,2,2,338.66,Euro
436029168-X,JAVA,2,0,2,1,299.82,USD
787705605-2,PYTHON,0,2,1,0,358.02,JOD
210035536-8,c++,2,0,0,0,366.40,JOD
768610367-6,Python,1,2,2,2,346.50,JOD
998441142-7,java,1,1,1,1,319.83,USD
679043474-7,c++,1,0,0,1,318.76,JOD
542396031-2,java,1,1,0,0,186.29,Euro
216970949-5,Python,0,2,2,0,456.57,Euro
651360682-9,R,1,0,0,2,221.86,USD
742452478-X,Python,2,2,0,2,296.50,JOD
993679479-6,C++,1,1,0,2,209.99,USD
618912507-7,PYTHON,1,2,0,1,298.65,JOD
134370186-4,PYTHON,1,0,0,0,253.27,JOD
218148727-8,java,2,2,1,2,257.66,Euro
180866266-0,R,2,0,1,0,262.29,USD
396995632-3,Python,1,1,1,0,206.31,Euro
096615447-9,JAVA,1,1,1,2,461.15,JOD
984415300-X,c++,2,1,0,0,474.91,USD
542980517-3,JAVA,2,0,1,2,186.98,USD
595043649-0,PYTHON,2,1,0,1,154.68,USD
041697104-0,Python,1,0,1,0,290.05,Euro
712609448-5,,1,1,0,2,475.57,JOD
860479061-6,C++,0,1,0,1,448.60,Euro
453046753-8,PYTHON,1,,1,2,179.06,USD
260060341-7,PYTHON,1,0,0,1,338.59,JOD
150442309-7,R,1,2,2,2,171.02,Euro
264257496-2,R,2,1,2,1,495.98,JOD
399802187-6,java,1,1,1,2,402.54,JOD
230286294-5,JAVA,0,2,1,0,348.28,USD
350996039-4,java,0,2,0,0,361.28,JOD
788214268-9,java,1,2,0,2,499.80,JOD
831221174-8,C++,0,0,0,2,162.12,USD
386631375-6,java,0,1,0,0,146.06,JOD
195028700-9,c++,0,1,1,2,141.70,USD
380043928-X,c++,0,2,1,1,455.66,USD
582382421-1,Python,0,1,2,1,459.73,JOD
989886420-6,C++,0,2,0,1,291.07,JOD
683738555-0,R,1,1,2,2,106.58,JOD
521062970-8,JAVA,1,1,1,1,432.07,Euro
722658219-8,PYTHON,1,2,0,0,275.84,JOD
164569874-2,c++,2,1,2,1,456.91,USD
539681223-0,java,2,2,2,2,254.64,JOD
163080887-3,R,0,0,0,0,291.73,JOD
754280845-1,C++,0,1,0,2,326.63,JOD
922990471-6,java,0,2,0,2,248.69,JOD
056701472-X,java,2,1,1,0,480.61,Euro
566044115-7,c++,1,0,1,2,462.25,USD
492885844-1,R,0,0,2,0,218.29,Euro
697689222-2,JAVA,2,1,0,1,299.33,USD
705033530-4,java,0,0,2,1,120.36,JOD
498652677-4,JAVA,1,0,1,1,330.79,JOD
985270148-7,Python,1,0,1,2,225.00,USD
517660330-6,R,0,2,2,1,165.30,USD
745620078-5,PYTHON,0,1,0,1,469.31,JOD
137900429-2,JAVA,0,0,0,0,196.23,JOD
994867602-5,JAVA,0,0,2,1,449.54,Euro
004072327-5,java,0,1,2,0,100.24,JOD
074637290-6,JAVA,1,1,2,1,118.84,JOD
323317137-4,c++,0,2,0,0,371.29,USD
632839679-1,c++,1,1,0,2,126.16,USD
074358033-8,PYTHON,1,1,1,1,329.99,USD
413726744-8,PYTHON,0,1,1,2,469.15,USD
710477809-8,JAVA,1,2,0,0,431.84,Euro
572250468-8,JAVA,1,2,2,2,293.80,Euro
394948769-7,java,2,1,1,0,246.38,JOD
195622957-4,JAVA,1,0,0,0,468.05,Euro
773875446-X,JAVA,2,2,0,1,293.28,JOD
877746511-3,C++,1,0,0,2,440.30,USD
894685952-0,Python,2,2,2,2,469.23,Euro
936034430-3,Python,2,2,2,1,484.90,Euro
518446753-X,R,0,2,0,2,485.87,JOD
681905397-5,C++,2,,1,2,180.44,USD
247975206-2,Python,1,2,0,1,480.70,JOD
000784148-5,C++,2,2,1,1,113.87,USD
795529850-0,c++,2,0,1,2,221.44,Euro
554570768-9,C++,0,2,0,0,483.63,USD
606122656-X,PYTHON,1,0,0,1,254.40,USD
359082843-9,PYTHON,0,1,0,1,498.69,USD
955721337-X,R,1,2,2,2,408.96,USD
290403563-X,Python,1,0,2,0,114.42,USD
149242830-2,PYTHON,1,0,0,2,192.27,USD
446072242-9,C++,0,0,1,2,134.09,JOD
006874253-3,java,1,0,1,2,296.33,Euro
313793173-8,c++,0,1,1,1,178.45,USD
406387222-X,c++,1,1,0,0,194.37,Euro
384171611-3,PYTHON,1,0,2,1,323.46,USD
446964992-9,C++,1,1,0,0,160.10,USD
116894832-0,C++,2,,0,0,270.68,USD
197590003-0,C++,0,2,1,2,426.92,Euro
898122670-9,c++,0,2,2,1,145.00,Euro
963691167-3,C++,1,2,2,1,118.38,USD
636915374-5,java,0,0,2,0,232.96,USD
190023797-0,java,0,0,1,1,322.80,Euro
403616359-0,Python,1,1,2,0,241.83,USD
887157512-1,Python,1,0,0,0,146.17,USD
699396102-4,PYTHON,2,1,2,2,170.31,USD
933417153-7,c++,2,0,2,2,353.54,Euro
151651283-9,C++,1,0,1,1,448.62,USD
460434680-1,c++,1,0,2,0,372.07,JOD
793655834-9,c++,1,1,1,1,204.12,Euro
598413073-4,JAVA,0,0,0,2,104.81,Euro
401628417-1,PYTHON,2,1,1,0,271.41,Euro
236066954-0,,2,0,0,2,293.62,Euro
561548739-9,C++,0,2,1,1,169.37,USD
402583226-7,C++,1,0,0,1,169.77,Euro
149711548-5,R,2,2,0,2,148.94,Euro
662061493-0,JAVA,0,1,2,1,120.62,JOD
674283411-0,PYTHON,1,0,1,0,109.25,USD
667830437-3,c++,2,2,0,0,222.73,USD
566692005-7,R,1,1,0,2,295.46,JOD
741985169-7,PYTHON,0,1,1,2,201.26,USD
926578092-4,JAVA,0,0,1,0,278.04,USD
618030198-0,C++,1,0,1,2,370.72,JOD
029798085-8,Python,0,2,2,2,426.00,JOD
433155987-4,Python,2,2,2,2,116.31,USD
073953864-0,Python,2,1,2,0,411.58,USD
740624457-6,,0,1,1,1,408.42,Euro
215229720-2,c++,2,1,1,0,218.82,USD
911420468-1,java,0,1,1,1,458.64,JOD
864603136-5,PYTHON,0,1,1,0,119.87,Euro
825201581-6,c++,2,0,0,1,461.95,JOD
997770381-7,Python,0,2,2,0,389.72,Euro
542722529-3,JAVA,0,1,2,1,187.67,JOD
934458587-3,java,0,1,1,0,314.36,Euro
553410434-1,java,0,2,0,0,431.28,JOD
498283021-5,JAVA,2,1,0,1,154.12,USD
064036956-1,C++,1,2,1,2,259.31,USD
932239108-1,R,2,1,1,0,267.84,Euro
974262481-X,Python,2,1,1,1,467.36,Euro
494764672-1,java,0,1,0,2,403.84,USD
882140057-3,java,0,1,0,1,185.36,Euro
316039316-X,C++,2,1,1,0,325.40,JOD
656400444-3,c++,2,1,2,2,156.13,JOD
712537696-7,java,0,1,2,2,114.14,Euro
627965484-2,JAVA,1,1,1,0,376.66,USD
652353457-X,JAVA,0,0,0,2,266.01,USD
361605063-4,Python,2,0,2,1,344.34,JOD
456942022-2,Python,1,1,2,2,472.78,USD
304388611-9,c++,0,1,2,1,403.49,USD
675976525-7,PYTHON,1,1,1,0,379.48,Euro
538892825-X,C++,1,2,1,2,371.01,Euro
988171445-1,PYTHON,2,1,2,1,267.12,USD
538369368-8,PYTHON,2,0,1,0,114.83,Euro
866327401-7,JAVA,2,0,2,1,234.75,USD
941504230-3,C++,0,1,1,2,344.29,Euro
220921811-X,Python,1,1,1,1,425.40,JOD
101291856-4,java,1,1,1,0,371.90,USD
581013776-8,java,1,2,1,0,247.53,JOD
880879891-7,c++,2,0,0,1,430.03,JOD
573698078-9,,0,0,2,0,487.89,JOD
039397874-5,c++,1,0,2,2,467.39,USD
845297617-8,JAVA,0,2,0,1,341.91,JOD
779947860-8,java,2,0,0,0,384.99,USD
514280901-7,R,2,1,2,2,125.08,JOD
002419345-3,Python,2,2,2,0,262.20,Euro
209424160-2,C++,0,0,2,2,216.35,JOD
558554052-1,R,1,0,1,2,272.32,USD
684863234-1,c++,2,0,0,1,205.30,JOD
289714886-1,c++,0,2,0,0,416.84,USD
570455007-X,c++,0,1,2,2,464.54,JOD
471333857-5,C++,1,1,0,1,191.76,USD
270975567-X,R,2,1,1,2,119.39,USD
521030348-9,JAVA,0,1,0,0,209.76,Euro
084248948-7,c++,1,1,1,1,102.13,Euro
102257017-X,JAVA,0,,2,2,170.14,JOD
104188857-0,R,2,0,2,0,414.07,USD
089654328-5,R,0,1,2,1,493.57,Euro
538720593-9,,1,0,0,2,200.48,USD
838099293-8,PYTHON,2,2,1,1,146.41,USD
963440165-1,PYTHON,2,0,0,0,410.25,USD
075675858-0,JAVA,2,0,2,2,253.51,USD
445823562-1,JAVA,2,0,0,1,141.90,USD
094002840-9,C++,1,0,2,2,357.14,USD
371516787-4,C++,2,0,1,0,127.34,USD
199729347-1,java,1,1,0,1,426.62,Euro
602566377-7,java,0,2,1,1,240.54,USD
628445054-0,Python,2,1,1,0,446.21,Euro
134911418-9,c++,2,0,1,1,153.06,Euro
915654690-4,Python,1,0,2,0,221.59,USD
501409470-8,JAVA,1,1,2,0,494.92,JOD
029135432-7,c++,2,0,2,1,334.00,Euro
959898633-0,Python,2,1,2,1,136.66,Euro
880094017-X,R,2,2,1,0,421.26,USD
698073142-4,R,1,2,1,2,195.72,JOD
176122112-4,java,1,0,2,0,126.99,JOD
921538439-1,PYTHON,2,2,0,0,282.72,Euro
284665779-3,PYTHON,2,0,2,1,197.71,JOD
320737425-5,java,1,1,0,2,400.53,JOD
709270994-6,c++,2,2,0,0,349.51,USD
434345681-1,C++,0,0,0,1,476.81,Euro
728375082-7,JAVA,0,1,0,0,211.25,JOD
464507835-6,Python,1,2,0,1,206.82,JOD
150122010-1,R,2,2,1,1,419.16,USD
773327222-X,c++,1,2,2,0,146.41,Euro
318891752-X,Python,0,1,1,1,366.26,Euro
784756924-8,PYTHON,1,2,1,1,135.00,Euro
020229922-8,c++,2,0,1,1,324.19,JOD
441739336-2,R,1,0,0,0,135.39,JOD
459943486-8,java,2,0,2,0,135.39,USD
173363270-0,R,0,2,1,1,359.79,Euro
333489634-X,JAVA,0,0,2,2,310.97,USD
675103481-4,JAVA,0,1,0,2,318.90,USD
661066604-0,JAVA,0,2,2,1,440.08,USD
247951609-1,c++,2,1,2,2,387.42,USD
628616467-7,PYTHON,0,1,2,1,219.43,JOD
158814069-5,R,1,0,2,2,366.62,JOD
593976307-3,C++,0,2,1,0,439.13,USD
537123054-8,,1,2,0,2,360.76,JOD
825594176-2,Python,1,2,2,1,427.73,JOD
102844989-5,c++,1,2,2,2,233.38,Euro
795114383-9,Python,2,2,1,2,478.82,JOD
470601273-2,C++,1,2,1,2,459.35,JOD
498577255-0,JAVA,0,0,0,0,424.07,Euro
530227969-X,Python,0,2,2,1,171.62,Euro
697405748-2,PYTHON,1,0,1,1,464.36,Euro
411740593-4,Python,2,2,0,1,130.55,Euro
423934082-9,C++,1,2,2,1,404.10,JOD
817246086-4,PYTHON,1,0,0,1,160.12,Euro
362275627-6,c++,0,1,0,0,456.17,Euro
805272548-8,java,1,0,2,0,414.47,JOD
851292240-0,R,2,2,1,0,211.98,JOD
346603062-5,Python,2,0,1,0,128.04,USD
463412536-6,C++,2,,1,1,242.62,JOD
839712827-1,JAVA,2,0,2,0,256.00,USD
947618938-X,C++,1,2,0,2,260.34,Euro
502249630-5,JAVA,1,1,1,2,209.59,USD
039985946-2,R,0,0,0,2,375.74,Euro
789233802-0,R,0,2,1,0,455.48,JOD
400991030-5,C++,0,0,0,0,181.57,Euro
585963591-5,C++,1,1,0,2,396.94,USD
993342269-3,C++,1,1,0,2,176.42,Euro
981378680-9,,0,0,2,1,373.97,USD
608752729-X,c++,1,0,0,0,116.13,Euro
946778686-9,Python,2,0,2,1,163.28,USD
241594395-9,c++,2,0,2,0,228.21,USD
308418201-9,PYTHON,1,0,2,0,165.62,Euro
085025383-7,java,0,0,0,2,437.65,Euro
025581773-8,C++,0,2,2,2,435.17,Euro
521053732-3,Python,0,0,0,1,337.15,USD
239333787-3,Python,1,2,2,2,373.69,JOD
702440003-X,c++,0,0,0,0,199.77,JOD
676532100-4,Python,2,2,2,1,264.86,USD
609789047-8,JAVA,0,1,2,1,319.92,JOD
891806706-2,Python,2,1,0,2,433.32,USD
462222949-8,c++,0,0,0,2,403.95,Euro
913238266-9,R,0,0,1,2,459.05,Euro
307244237-1,,0,2,1,0,229.88,Euro
880449864-1,PYTHON,0,0,1,2,279.31,USD
908486635-5,JAVA,2,2,2,0,104.09,JOD
999150389-7,PYTHON,1,0,2,2,392.17,Euro
096132219-5,Python,0,0,2,2,100.47,USD
126788796-6,R,0,2,1,0,100.43,USD
002209427-X,R,0,2,1,0,389.60,JOD
409953285-2,R,2,2,1,0,257.48,USD
