Company,Country,Department-1,Department-2,Department-3,Department-4,Salary,Currency
707859490-8,Kuwait,1,1,2,2,758.86,USD
680416445-8,egypt,0,2,0,2,1481.26,$
568328838-X,JOD,0,2,2,1,888.16,$
998551908-6,Egypt,2,1,1,2,612.10,USD
568760058-2,Egypt,2,2,2,1,900.84,USD
022733058-7,Kuwait,1,2,2,2,1043.72,Euro
717770976-2,egypt,0,2,0,1,930.92,euro
256903193-3,Egypt,0,2,2,0,1026.32,$
738351826-8,Egypt,0,2,2,2,759.84,USD
745575005-6,Jordan,1,1,2,2,1163.98,USD
446126607-9,egypt,2,0,1,2,1293.69,Euro
724145246-1,jod,0,1,1,1,971.45,euro
203005994-3,jod,1,0,2,1,998.79,JOD
840321366-2,jod,0,0,2,0,841.18,USD
692796471-1,jod,0,2,0,1,1365.63,JOD
398473622-3,JOD,0,1,0,2,847.55,USD
882641522-6,JOD,1,2,1,0,1485.81,euro
315275823-5,JOD,2,2,0,2,891.07,usd
058149755-4,egypt,2,2,1,2,1070.36,euro
011527216-X,Jordan,1,1,0,0,1367.45,Euro
576121048-7,Kuwait,1,2,1,0,1103.45,USD
051768932-4,Egypt,2,2,2,0,1480.65,USD
009505292-5,JOD,2,1,1,2,842.69,usd
900349647-1,jod,0,2,2,1,907.58,USD
514835229-9,JOD,1,1,1,0,731.40,JOD
421278204-9,egypt,1,0,1,0,938.51,usd
810361112-3,Jordan,1,1,2,1,1165.14,JOD
194667225-4,Egypt,0,0,2,0,1178.58,$
459486059-1,Jordan,1,1,1,0,617.92,Euro
118953186-0,egypt,0,0,1,1,963.83,JOD
998892604-9,Jordan,2,1,0,2,630.49,euro
100042191-0,Jordan,1,2,0,2,834.00,JOD
032165908-2,Kuwait,1,2,0,2,909.17,usd
911097345-1,Kuwait,1,1,1,1,1493.66,Euro
853423881-2,Kuwait,1,2,1,2,1171.05,$
544400846-7,Jordan,2,1,0,1,1027.02,JOD
598837817-X,Kuwait,1,1,2,1,1313.42,$
651467071-7,jod,1,1,0,0,1313.05,$
714675121-X,JOD,0,1,0,0,831.96,USD
658672875-4,JOD,2,1,0,0,1399.91,Euro
752834858-9,jod,2,2,2,2,1000.88,Euro
985615882-6,jod,2,2,1,2,1371.95,euro
021386300-6,Kuwait,1,2,2,2,757.33,JOD
494029300-9,Egypt,0,2,1,1,865.20,JOD
919287300-6,Egypt,0,2,2,2,1208.20,euro
944321767-8,JOD,1,1,0,2,1283.37,$
308245328-7,jod,2,2,1,0,1424.63,euro
220235040-3,jod,0,0,0,2,1426.42,Euro
192628977-3,,2,2,,2,1168.87,euro
695048576-X,JOD,2,0,1,1,1295.39,$
885768732-5,egypt,1,1,1,0,1402.89,Euro
548936871-3,Jordan,2,1,0,2,1393.83,euro
937826185-X,Jordan,0,2,1,1,1006.15,usd
682717363-1,JOD,2,1,1,2,879.20,Euro
873153417-1,JOD,2,2,1,1,652.01,euro
032416016-X,jod,0,0,1,0,1241.25,USD
633972220-2,Egypt,0,0,1,0,1238.94,$
573352058-2,egypt,2,2,0,0,1100.87,$
070531565-7,,0,1,,2,1047.45,Euro
814425879-7,Egypt,1,2,1,1,686.57,euro
059810118-7,Jordan,2,0,2,0,884.47,euro
421626124-8,Kuwait,1,0,2,1,1125.61,usd
217670627-7,JOD,1,1,1,2,657.15,JOD
775589455-X,Egypt,2,0,2,1,727.40,JOD
682413687-5,jod,2,1,2,2,676.45,usd
099576676-2,Egypt,1,2,0,1,992.84,USD
061552487-7,Kuwait,0,0,2,1,1200.33,Euro
048912879-3,Egypt,1,1,0,2,1221.01,euro
493120910-6,JOD,2,2,0,0,836.55,Euro
887017278-3,jod,1,0,2,0,635.72,usd
601291207-2,,2,1,,1,1155.56,USD
050615734-2,Egypt,2,2,1,1,1397.66,Euro
773599213-0,Jordan,2,0,0,0,1206.79,Euro
960010760-2,jod,0,2,1,2,836.45,euro
954895292-0,JOD,1,0,2,2,1175.90,Euro
316201246-5,Egypt,2,0,2,1,829.35,$
279795053-4,Egypt,2,0,2,2,1426.78,$
884248243-9,Egypt,0,1,0,1,798.87,USD
500412162-1,jod,2,2,1,1,977.30,euro
122189710-1,egypt,0,1,2,0,745.89,usd
626948824-9,JOD,2,1,2,0,980.25,usd
560570473-7,JOD,2,0,0,0,1409.04,JOD
331266492-6,JOD,0,0,2,0,1152.55,Euro
869549897-2,,2,1,,0,1445.62,Euro
633547152-3,egypt,2,2,2,0,1325.46,JOD
873931457-X,Kuwait,1,1,1,2,873.50,euro
335081250-3,egypt,0,1,1,0,1407.89,usd
374538237-4,JOD,0,0,0,0,1013.51,JOD
583426066-7,JOD,0,0,0,2,803.78,USD
848574214-1,jod,2,1,2,1,760.06,$
258273196-X,jod,2,2,1,0,1329.30,usd
902903127-1,jod,0,0,1,2,917.94,Euro
684297247-7,Egypt,1,2,2,1,608.00,USD
081343798-9,Egypt,1,2,0,1,1237.76,usd
320477850-9,Kuwait,1,0,2,1,945.75,JOD
660834099-0,Egypt,2,1,1,0,684.00,JOD
962149129-0,JOD,1,1,0,2,989.18,JOD
465677916-4,,0,0,,2,622.46,usd
805897022-0,Jordan,2,0,1,0,1301.72,JOD
259972344-2,JOD,2,1,1,2,633.74,JOD
643504684-0,Kuwait,0,2,0,2,1423.88,Euro
987725415-8,egypt,2,2,2,2,616.44,euro
690988251-2,Kuwait,1,2,1,2,777.44,Euro
225068251-8,Kuwait,0,1,2,1,1396.01,USD
882836020-8,Kuwait,2,0,1,0,950.65,USD
739894854-9,Kuwait,1,0,1,1,1453.46,USD
979224794-7,jod,0,1,0,2,1436.60,$
833167873-7,Kuwait,0,0,2,2,833.88,JOD
273607756-3,egypt,2,1,0,0,1349.59,USD
031990525-X,Egypt,0,1,1,1,1295.64,euro
006899201-7,jod,0,1,1,0,742.69,USD
996571737-0,egypt,2,1,2,0,1076.23,Euro
057018667-6,JOD,1,2,1,0,671.35,USD
288883147-3,egypt,0,0,1,2,836.66,$
736812429-7,JOD,1,2,0,2,1204.57,usd
488540774-5,egypt,1,0,0,2,1375.97,euro
101666549-0,Jordan,2,0,0,2,1034.87,euro
275484659-X,JOD,0,1,1,1,1038.48,JOD
442043322-1,Egypt,0,1,0,0,1037.83,JOD
127511279-X,JOD,2,2,2,1,740.91,USD
194397059-9,JOD,0,2,0,0,1207.66,$
322033354-0,Kuwait,0,0,1,1,680.68,JOD
130861223-0,JOD,2,0,1,2,992.76,usd
290884552-0,JOD,2,2,0,0,1004.08,euro
083549484-5,Jordan,2,2,2,0,713.49,euro
153948036-4,Egypt,0,1,1,0,1479.27,USD
244176117-X,Kuwait,1,1,0,1,1121.35,Euro
655979933-6,Jordan,0,0,1,0,1463.45,JOD
264533243-9,egypt,0,1,1,2,722.85,JOD
992335042-8,Kuwait,2,2,2,2,797.38,USD
968967194-4,Kuwait,1,2,2,2,660.87,euro
419936869-8,Jordan,1,0,1,1,1099.12,euro
876585679-1,Kuwait,2,2,1,1,1465.00,usd
268703751-6,Jordan,1,0,1,0,605.79,$
388246318-X,Egypt,0,0,1,2,1065.16,$
998874750-0,JOD,1,1,1,0,823.74,euro
296483839-9,Egypt,0,1,1,1,1381.19,USD
300646404-4,Kuwait,2,2,2,0,912.34,USD
294899979-0,egypt,1,0,2,0,1156.23,euro
257121876-X,Egypt,1,0,2,1,773.42,$
343567628-0,jod,2,0,1,2,1084.54,Euro
067995273-X,Jordan,2,2,0,0,719.75,usd
530978956-1,Egypt,0,1,2,2,847.74,Euro
507112815-2,egypt,2,1,1,2,1298.46,$
119592920-X,Kuwait,0,0,1,0,1491.22,JOD
283392532-8,jod,1,1,2,2,1416.95,usd
524091783-3,JOD,0,0,0,0,1038.53,Euro
648844031-4,Egypt,0,1,2,1,1383.04,USD
802036982-1,Kuwait,1,0,2,1,638.50,euro
850635682-2,jod,2,1,2,1,959.61,$
515380624-3,Egypt,1,1,0,2,1397.08,euro
816542848-9,jod,1,0,0,1,702.76,JOD
381063357-7,Jordan,1,2,1,1,1355.13,euro
489996049-2,jod,0,2,0,0,1097.92,euro
939174394-3,JOD,0,1,1,1,1260.15,Euro
655479992-3,Kuwait,1,0,0,1,1499.46,$
370758631-6,jod,2,2,1,2,1009.94,USD
099939456-8,Egypt,2,0,0,2,1290.44,JOD
372491101-7,JOD,0,0,2,0,1055.58,Euro
930201261-1,Jordan,1,0,1,1,745.79,USD
580873684-6,JOD,0,0,0,1,823.95,euro
996776199-7,JOD,1,0,0,0,1052.89,euro
604048337-7,Jordan,1,0,2,1,894.65,$
395349669-7,JOD,0,2,2,0,1099.00,USD
275051099-6,Egypt,0,1,1,2,1008.10,JOD
093699287-5,jod,0,1,1,1,1271.44,JOD
555007989-5,Kuwait,1,0,0,1,1031.79,USD
751679251-9,egypt,1,0,0,0,1160.04,JOD
049104562-X,egypt,2,2,2,2,817.82,euro
361436906-4,Egypt,0,2,1,0,1406.59,euro
214752129-9,Egypt,1,2,0,2,918.53,$
510156337-4,JOD,0,1,1,2,1155.98,Euro
689492703-0,egypt,1,2,2,0,1478.18,usd
141276566-8,jod,0,2,2,2,1395.62,USD
816155184-7,Jordan,2,2,2,2,1180.38,Euro
734144710-9,JOD,2,1,2,0,679.17,$
308347372-9,Kuwait,0,2,2,1,966.27,JOD
579651185-8,jod,2,2,0,1,852.44,$
417680604-4,egypt,2,1,0,1,1171.84,euro
635091469-4,Egypt,1,0,1,1,1224.04,Euro
816686224-7,Jordan,2,2,0,1,1364.59,JOD
071943274-X,Kuwait,0,1,1,0,1104.94,JOD
829015299-X,jod,2,1,2,2,1005.06,USD
428465756-9,Jordan,2,1,2,0,1121.22,usd
244465394-7,jod,2,2,1,0,1065.82,JOD
439990295-7,Kuwait,2,2,1,0,804.84,euro
748905619-5,JOD,1,2,0,2,1475.24,JOD
965841573-3,JOD,0,2,2,2,673.52,Euro
071960825-2,Kuwait,1,1,0,0,1056.79,Euro
639763086-2,jod,2,2,2,2,879.99,JOD
274914107-9,Kuwait,1,1,2,2,1360.75,Euro
680594176-8,Jordan,0,2,0,1,1477.42,Euro
017740030-7,JOD,2,1,1,0,1332.30,Euro
744331873-1,Egypt,2,2,0,1,1038.02,euro
699498757-4,Egypt,1,0,1,0,965.63,$
169345674-5,Kuwait,2,2,0,1,1079.37,USD
204740660-9,Egypt,1,1,0,0,1052.70,JOD
131696376-4,jod,2,1,2,1,1157.77,USD
983287198-0,Jordan,2,0,2,0,1002.12,euro
314400144-9,Kuwait,2,0,0,1,737.91,Euro
536879310-3,Kuwait,2,1,1,1,1091.42,$
288905080-7,JOD,2,2,2,1,712.39,$
130282596-8,Egypt,2,0,2,1,840.20,$
173522196-1,JOD,0,1,0,2,871.03,usd
427652023-1,egypt,1,2,0,0,884.51,JOD
807724749-0,egypt,1,1,0,0,610.78,euro
132112313-2,Jordan,2,0,1,1,1322.74,JOD
319754427-7,Jordan,2,0,1,2,989.66,Euro
263721729-4,JOD,2,1,2,2,1454.51,usd
611938637-8,Kuwait,1,1,2,1,1097.94,$
881444365-3,egypt,2,0,0,0,734.44,$
442076117-2,Egypt,1,0,0,2,638.30,USD
683134415-1,Kuwait,0,2,0,1,882.79,euro
581309705-8,jod,2,0,2,1,979.31,euro
361856159-8,jod,1,0,0,0,745.29,$
566283405-9,JOD,1,2,2,1,634.07,Euro
068865983-7,Jordan,1,1,2,2,1280.35,euro
997031092-5,Jordan,2,1,0,0,882.12,Euro
754640733-8,jod,1,1,1,0,997.41,euro
849127875-3,Egypt,2,0,0,1,848.09,JOD
366384035-2,Egypt,1,2,0,1,1367.84,JOD
547045812-1,JOD,0,1,2,2,1164.80,usd
321786968-0,jod,0,0,2,0,1266.12,usd
035839058-3,,1,2,,0,1007.89,USD
364606502-8,jod,2,1,1,2,690.55,$
631049138-5,jod,1,1,1,2,1452.19,Euro
533396303-7,Kuwait,0,0,1,2,984.35,usd
627600505-3,jod,1,0,0,2,823.64,Euro
057091676-3,jod,1,1,0,0,1122.05,euro
920377817-9,JOD,1,2,1,0,687.90,usd
520784238-2,Egypt,2,0,1,1,1202.10,USD
607168987-2,Kuwait,0,2,1,2,696.70,euro
356331674-0,jod,2,0,0,0,1474.90,usd
697436508-X,jod,0,2,1,1,691.54,$
425523793-X,Jordan,0,0,2,1,1288.71,USD
153394417-2,Jordan,0,1,0,1,1084.97,$
659099147-2,Jordan,2,0,0,0,1338.40,JOD
645454007-3,Jordan,1,2,2,1,958.42,usd
433507039-X,Jordan,1,0,2,0,880.51,Euro
198001855-3,JOD,0,2,0,1,864.93,usd
634166327-7,Kuwait,0,1,2,1,832.94,$
923278183-2,Egypt,0,1,1,1,1288.52,$
908135889-8,JOD,2,0,0,1,635.26,USD
771974369-5,egypt,0,2,1,2,865.01,USD
329309936-X,jod,2,2,0,0,906.42,Euro
434557061-1,jod,2,0,1,0,1085.11,euro
250207386-3,Jordan,0,1,0,0,812.47,Euro
363053612-3,Kuwait,0,0,2,2,861.35,$
414857739-7,egypt,0,0,2,2,1386.92,JOD
428735882-1,Kuwait,2,0,1,1,1450.69,euro
951212154-9,jod,2,1,1,0,1011.44,JOD
243152062-5,Jordan,1,0,0,0,1482.07,JOD
751246006-6,jod,1,1,0,1,611.68,USD
822138968-4,Egypt,0,2,1,0,1028.48,JOD
971321913-9,Jordan,0,2,2,0,960.96,euro
221531507-5,jod,0,1,2,0,1128.58,euro
138459589-9,Jordan,1,1,1,1,840.93,euro
082627850-7,Jordan,1,1,1,2,753.47,USD
185712441-3,Jordan,0,2,1,1,1311.90,USD
533328520-9,JOD,0,0,2,1,1367.61,USD
125133907-7,Jordan,2,2,2,0,1211.14,USD
937847859-X,Egypt,0,0,1,0,1347.29,$
610465832-6,egypt,1,2,2,1,1239.81,USD
142638288-X,jod,1,2,2,0,1240.34,euro
827926014-5,egypt,1,0,2,0,1398.09,USD
633703223-3,Jordan,1,0,0,1,1142.04,$
762596790-5,egypt,1,1,2,1,695.51,Euro
630879958-0,Jordan,1,0,1,1,847.34,USD
306097981-2,Jordan,2,0,0,1,1067.05,JOD
161743966-5,Kuwait,2,1,1,2,784.25,JOD
766317958-7,,1,1,,0,960.95,usd
427631304-X,Jordan,0,1,1,2,1305.19,$
134282602-7,Jordan,2,0,2,1,723.56,USD
267306137-1,egypt,1,1,2,0,811.03,JOD
529274440-9,jod,2,1,0,1,812.18,Euro
368944255-9,jod,2,1,2,2,1123.27,usd
207581875-4,Egypt,0,2,0,1,1490.15,USD
339000625-7,Kuwait,1,2,2,2,1447.11,usd
701443707-0,JOD,0,1,2,1,672.20,Euro
708186607-7,Kuwait,1,0,1,2,762.70,USD
083155469-X,jod,2,0,0,1,733.45,JOD
847066759-9,Jordan,1,2,2,2,1436.21,Euro
225336682-X,egypt,1,0,0,0,1316.70,USD
692261195-0,jod,2,2,0,0,1158.06,JOD
593651711-X,JOD,2,2,0,2,1130.39,JOD
373382801-1,JOD,0,2,0,2,854.67,usd
433983594-3,JOD,2,1,1,2,713.48,euro
388729927-2,Egypt,2,0,2,1,1210.68,euro
621806765-3,egypt,0,0,1,1,714.72,euro
765333352-4,jod,1,0,1,0,1362.36,Euro
318714211-7,JOD,2,2,0,2,837.09,USD
070332233-8,Egypt,1,0,2,0,795.92,JOD
543766887-2,egypt,1,2,1,0,1156.22,USD
658391125-6,JOD,1,0,1,1,1208.49,USD
355546337-3,Kuwait,2,2,1,2,680.65,euro
104910490-0,Jordan,1,0,2,1,1416.83,euro
265298819-0,Egypt,1,2,1,0,892.13,JOD
298623820-3,egypt,0,1,0,1,1470.42,usd
878437764-X,Egypt,2,0,1,2,656.61,JOD
686652219-6,jod,1,2,1,0,1290.77,usd
087442511-5,egypt,0,1,2,0,616.66,$
249363891-3,jod,0,2,0,2,1337.35,USD
581203361-7,Egypt,2,1,2,0,805.40,USD
450315381-1,egypt,1,0,1,2,1400.11,Euro
591634610-7,Egypt,0,2,0,0,1110.57,JOD
797620353-3,jod,0,1,2,0,1285.99,USD
592474367-5,Egypt,2,2,2,1,1240.88,Euro
551509952-4,JOD,1,0,2,1,1357.69,USD
808958873-5,jod,1,0,1,0,990.58,$
416470490-X,JOD,0,1,2,2,1105.24,usd
442841139-1,JOD,1,1,1,2,1493.01,$
395109122-3,jod,1,0,2,0,824.88,Euro
503752192-0,Kuwait,0,1,0,2,1219.27,$
878961692-8,jod,2,1,1,1,1027.38,usd
986175620-5,Egypt,1,1,1,1,1364.44,JOD
623738100-7,JOD,1,0,0,2,654.90,Euro
257434034-5,Egypt,0,2,2,1,1081.51,USD
791137963-7,Egypt,2,0,1,0,699.01,Euro
107909031-2,Kuwait,0,0,2,0,1205.63,euro
100818620-1,Egypt,2,0,2,0,877.35,usd
296413668-8,Kuwait,2,2,1,0,953.61,USD
758810958-0,Egypt,2,2,2,1,1492.51,usd
603564612-3,Jordan,2,1,1,2,777.42,euro
612273356-3,egypt,1,2,1,1,686.31,JOD
060307818-4,egypt,0,0,2,2,624.92,USD
053424911-6,Egypt,0,1,0,2,873.85,USD
632476230-0,Kuwait,0,1,0,0,1101.74,JOD
618688067-2,Kuwait,2,0,1,0,655.60,Euro
224064470-2,jod,1,2,1,0,1094.33,Euro
544174601-7,jod,1,1,2,2,1369.78,USD
978588754-5,jod,1,2,1,0,1263.82,usd
590034276-X,JOD,0,2,0,1,926.10,USD
713175889-2,Egypt,0,1,2,1,1282.05,USD
295394388-9,Kuwait,2,1,0,0,1106.45,Euro
991767680-5,egypt,1,1,0,0,1056.55,euro
060704357-1,Kuwait,2,2,1,1,1372.64,Euro
989905785-1,Egypt,0,0,0,1,1379.01,USD
086810634-8,JOD,2,2,2,2,604.16,$
858282672-9,egypt,1,0,1,1,712.78,$
147891416-5,Egypt,0,2,1,1,1061.98,euro
760164660-2,Jordan,1,1,2,2,1148.60,Euro
868954431-3,jod,0,0,0,0,902.09,usd
349466743-8,egypt,1,1,1,1,1474.93,Euro
969563554-7,JOD,1,2,0,1,1340.37,euro
735367067-3,JOD,2,2,1,2,1348.29,euro
284085958-0,JOD,0,1,2,2,1313.89,Euro
212729663-X,jod,1,1,2,0,1401.43,euro
469531479-7,egypt,2,0,1,2,1405.89,usd
018256983-7,egypt,1,1,0,2,1323.71,Euro
019420556-8,Jordan,2,0,2,1,1174.68,JOD
346425337-6,Egypt,2,0,1,1,888.06,euro
205576822-0,Kuwait,1,1,1,1,820.42,euro
140964233-X,Kuwait,2,0,2,0,920.26,USD
522693141-7,Kuwait,0,2,1,1,1352.83,Euro
806359772-9,Egypt,1,0,0,1,621.57,euro
523139014-3,JOD,0,0,2,0,1018.60,usd
076837990-3,Jordan,2,2,0,2,1342.94,JOD
303131894-3,JOD,0,2,0,0,1180.85,USD
900025852-9,Jordan,2,0,0,0,651.20,JOD
262657376-0,JOD,2,0,0,1,726.96,euro
945109377-X,Jordan,2,0,2,2,1032.12,$
953709734-X,JOD,2,2,0,2,1430.09,USD
744426542-9,egypt,1,0,0,1,831.50,Euro
247117266-0,jod,0,0,2,0,1062.37,USD
309912240-8,Jordan,1,2,0,0,920.49,JOD
136281959-X,Kuwait,0,0,0,1,886.51,JOD
360815486-8,egypt,2,0,2,2,824.23,JOD
616184840-6,Kuwait,1,0,1,2,1237.11,$
562502988-1,jod,0,1,0,2,1315.21,USD
322016852-3,Kuwait,2,2,1,1,622.83,usd
347316114-4,jod,1,0,2,1,1384.66,JOD
172008308-8,jod,0,1,1,2,1090.24,$
095236479-4,egypt,1,0,1,0,830.68,Euro
857726437-8,egypt,0,1,2,1,1388.33,JOD
846301055-5,jod,2,0,1,0,924.85,usd
528992854-5,JOD,2,2,2,0,1001.29,JOD
074056727-6,JOD,1,1,0,0,1179.23,JOD
131525592-8,JOD,1,1,2,2,1473.99,$
868297131-3,Egypt,0,2,1,1,1382.37,Euro
445864537-4,jod,0,0,2,2,816.54,Euro
135957364-X,egypt,2,1,0,0,1026.73,usd
497393954-4,egypt,1,1,1,0,1059.10,$
153285672-5,JOD,0,1,1,1,688.08,$
415486145-X,jod,2,0,2,2,1270.88,Euro
646758316-7,JOD,0,2,1,0,735.99,USD
472821118-5,Egypt,2,2,1,0,1057.52,USD
745660822-9,JOD,0,1,2,0,844.31,$
990994023-X,egypt,1,2,1,2,1401.74,USD
450600988-6,Egypt,1,2,2,2,609.05,$
891820779-4,jod,2,0,2,2,1008.16,Euro
597010737-9,Jordan,1,2,2,0,1218.38,JOD
748015657-X,Jordan,1,1,0,1,1498.60,Euro
212941194-0,Kuwait,2,1,2,2,1476.47,$
178622698-7,JOD,0,1,0,2,1490.32,USD
971494226-8,Kuwait,2,0,0,1,627.46,usd
666380262-3,Egypt,1,2,1,2,760.17,usd
791769129-2,egypt,2,1,1,0,935.87,Euro
926722578-2,Kuwait,2,2,0,0,925.87,usd
111711002-8,Egypt,2,2,2,0,1330.33,euro
565071962-4,Jordan,2,1,0,0,617.36,euro
058345686-3,Kuwait,2,0,0,2,1465.98,$
168685483-8,Kuwait,2,1,1,0,600.92,JOD
785281921-4,Jordan,0,1,2,1,601.61,JOD
857289565-5,jod,2,2,0,1,1475.05,euro
288866812-2,Kuwait,1,2,0,2,712.69,Euro
258887764-8,Jordan,2,0,2,1,1399.29,euro
803779487-3,jod,2,2,1,1,1382.28,Euro
648322574-1,Egypt,2,2,1,0,1131.16,JOD
697130881-6,Kuwait,0,1,1,0,818.13,Euro
066321928-0,jod,2,0,0,1,1275.15,USD
076811754-2,Kuwait,2,0,2,0,1367.07,$
646626705-9,Jordan,0,0,1,2,1280.51,JOD
635133374-1,JOD,0,2,1,0,1377.96,Euro
430004707-3,Kuwait,1,1,0,1,711.63,JOD
176920177-7,Kuwait,2,0,1,2,813.85,JOD
038994536-6,Egypt,0,0,2,1,1467.51,usd
132498537-2,egypt,2,1,1,2,640.86,USD
657536544-2,egypt,1,0,2,2,1183.82,USD
428039157-2,Egypt,2,0,0,1,867.72,euro
637377073-7,Kuwait,1,0,1,1,1377.98,euro
614082849-X,Jordan,2,0,1,2,624.82,euro
280790657-5,egypt,2,2,1,1,700.08,usd
171906825-9,Jordan,2,2,0,2,1109.32,JOD
542732121-7,JOD,2,2,2,1,1041.84,euro
