Project_ID,ProgrammingLanguage,Employee1,Employee2,Employee-3,Employee-4,Award,Currency
614467445-4,Python,2,2,2,0,185.64,JOD
372652170-4,c++,0,0,0,1,472.96,Euro
009805621-2,,1,2,1,0,137.27,JOD
447875897-2,c++,0,2,1,0,289.76,euro
057186007-9,c++,1,2,0,1,472.35,USD
216495049-6,JAVA,2,0,0,2,246.08,jod
288467934-0,JAVA,1,0,0,1,284.57,euro
815591728-2,java,1,1,1,2,184.29,USD
564189229-7,java,1,2,2,2,448.44,Euro
245642213-9,r,1,1,0,1,331.89,euro
258233153-8,Python,0,0,1,1,491.37,Dollar
531514248-5,java,2,2,2,1,295.56,USD
261085463-3,PYTHON,0,1,1,2,475.16,JOD
584211518-2,c++,0,0,2,2,485.82,USD
697201607-X,PYTHON,0,0,2,1,240.96,euro
951239789-7,PYTHON,2,1,2,2,162.53,Euro
127195529-6,java,2,1,2,2,255.11,USD
352775758-9,java,0,0,1,2,434.89,Dollar
177015640-2,JAVA,0,2,2,2,279.42,jod
964757532-7,R,2,1,0,2,177.82,euro
407467405-X,c++,2,0,1,1,389.17,euro
668326582-8,java,2,1,1,2,273.95,Euro
970412914-9,R,2,1,2,2,234.02,JOD
379395286-X,PYTHON,0,2,0,1,300.70,Dollar
798779941-6,PYTHON,0,2,2,1,453.76,euro
232519147-8,Python,0,0,1,2,185.86,JOD
946390746-7,python,1,2,0,2,254.92,jod
021597479-4,python,1,1,1,0,450.09,USD
914908650-2,JAVA,2,2,2,0,414.07,euro
559332372-0,PYTHON,1,0,0,1,149.32,Dollar
793785069-8,r,1,0,0,0,435.40,Dollar
793568628-9,C++,2,0,1,1,239.53,JOD
306755256-3,JAVA,2,2,2,1,350.14,jod
487972297-9,JAVA,1,1,1,2,269.50,Euro
461339377-9,r,2,0,0,1,333.02,Dollar
798764321-1,Python,1,0,0,1,340.79,euro
360375548-0,C++,0,1,2,2,190.46,JOD
139222057-2,c++,0,2,1,1,487.47,Euro
037163258-7,python,0,0,1,2,388.71,JOD
824672929-2,python,1,0,1,1,295.96,euro
188579160-7,JAVA,2,0,0,0,300.50,JOD
728516689-8,Python,1,2,0,1,373.81,euro
125923005-8,PYTHON,1,1,0,2,402.32,euro
808693603-1,java,1,1,0,2,462.69,jod
388811115-3,,2,1,1,0,277.92,Euro
912934290-2,JAVA,0,2,0,2,400.37,Dollar
440250329-9,C++,2,0,0,2,487.59,Dollar
846607829-0,PYTHON,2,1,1,0,317.02,jod
331263853-4,r,2,0,2,0,427.87,Dollar
125659817-8,R,1,0,2,0,376.04,Dollar
171597975-3,PYTHON,0,0,0,1,129.57,Euro
929714251-6,python,1,0,2,0,205.11,Euro
015180558-X,JAVA,2,2,1,2,171.98,JOD
568888539-4,R,1,2,0,1,409.00,JOD
612487059-2,R,1,2,0,1,199.24,Dollar
281776347-5,C++,0,2,1,2,313.56,euro
500357746-X,r,0,2,1,2,386.52,Euro
342247168-5,r,2,1,1,1,374.73,Euro
525432509-7,JAVA,2,2,0,2,354.08,Euro
911302368-3,R,1,1,0,0,161.13,Dollar
330925798-3,R,0,0,1,2,391.39,Dollar
306627593-0,PYTHON,1,0,1,0,381.54,Dollar
151338760-X,python,1,0,1,1,392.46,euro
035015040-0,python,0,1,0,2,486.36,euro
058058047-4,C++,1,2,0,2,292.50,jod
087726264-0,r,0,1,0,2,190.13,euro
633275891-0,r,0,2,0,1,324.64,Dollar
904908285-8,PYTHON,1,1,1,2,361.86,jod
582558786-1,PYTHON,2,2,0,0,105.51,USD
415183596-2,Python,0,0,0,1,374.87,Euro
575343129-1,c++,0,2,2,2,475.04,Euro
856364812-8,java,0,2,1,1,289.49,USD
723857722-4,,1,0,0,0,438.04,Euro
237933905-8,C++,1,2,1,2,368.25,jod
703445347-0,python,2,0,0,1,432.85,USD
101124135-8,python,2,0,2,1,259.78,jod
008334903-0,JAVA,0,0,0,2,443.19,Euro
374878593-3,,0,0,1,0,338.27,euro
209709876-2,PYTHON,1,2,0,0,317.24,euro
898640279-3,JAVA,2,2,1,1,109.04,USD
262059153-8,,2,1,0,2,142.82,euro
538961642-1,,2,2,0,2,103.12,euro
356739834-2,PYTHON,1,0,2,1,423.43,JOD
633487369-5,r,2,2,0,0,439.72,euro
629277863-0,R,2,2,2,2,372.20,JOD
094804369-5,C++,2,0,1,2,149.59,Dollar
380410806-7,C++,2,1,0,1,401.35,Dollar
104418578-3,Python,0,2,1,0,200.52,JOD
056576790-9,python,0,0,2,2,373.63,euro
200617064-3,c++,0,2,0,1,350.08,USD
400428118-0,PYTHON,1,2,1,2,102.97,Euro
307630598-0,PYTHON,1,1,2,2,249.89,euro
329866687-4,,0,2,1,1,121.63,jod
292269303-1,R,2,2,0,1,167.91,euro
006917644-2,Python,0,0,1,1,322.69,euro
525844711-1,c++,0,1,1,0,287.80,jod
370211416-5,java,2,2,0,0,134.80,JOD
125424444-1,R,0,1,2,0,134.68,Dollar
762190854-8,JAVA,0,1,0,2,160.69,Euro
640386873-X,Python,0,0,1,0,394.82,USD
006335965-0,PYTHON,1,1,2,0,421.79,JOD
635538963-6,PYTHON,1,2,2,2,454.55,Dollar
477395611-9,JAVA,2,1,0,0,175.46,JOD
468376385-0,JAVA,2,0,1,2,393.47,JOD
250231685-5,Python,1,2,0,1,107.49,USD
941701832-9,R,1,2,0,2,329.97,euro
916388242-6,JAVA,2,1,2,1,182.78,jod
590467493-7,java,1,2,1,0,241.10,Euro
693503824-3,JAVA,1,2,1,2,338.59,jod
807665361-4,C++,2,0,0,0,303.37,USD
477556812-4,r,0,2,1,2,416.90,JOD
110495157-6,python,1,0,2,2,157.72,USD
947793949-8,Python,1,2,2,1,401.38,Euro
655338293-X,c++,2,1,0,1,476.47,Euro
234082337-4,PYTHON,0,2,0,1,454.59,Dollar
697094070-5,r,1,2,1,2,403.51,euro
341449394-2,java,2,1,2,2,205.55,Dollar
704929066-1,Python,1,1,2,2,423.38,euro
673548690-0,PYTHON,0,1,2,2,332.26,euro
366484204-9,R,1,1,2,1,445.30,Dollar
630353571-2,r,1,0,0,2,376.03,Euro
448171616-9,JAVA,0,1,1,2,436.34,Dollar
529248324-9,r,2,0,1,2,499.07,Dollar
906532780-0,R,2,0,2,0,303.43,JOD
030005536-6,JAVA,0,1,2,0,492.15,euro
688877718-9,PYTHON,1,0,1,2,273.63,USD
453336753-4,python,2,2,2,0,230.39,Dollar
485749018-8,R,2,2,2,0,454.38,euro
450002486-7,r,1,0,0,1,100.76,USD
749527699-1,PYTHON,1,1,1,0,152.82,Dollar
982329939-0,c++,2,2,2,2,298.55,USD
726875319-5,c++,0,1,2,1,330.78,JOD
125443006-7,c++,0,2,0,0,428.66,Euro
375436244-5,PYTHON,0,1,0,2,180.67,jod
642622234-8,c++,1,2,0,0,297.50,euro
005883576-8,PYTHON,1,1,0,1,217.38,euro
772421006-3,Python,0,2,1,1,157.02,euro
002005908-6,c++,2,2,1,1,466.52,USD
689703218-2,PYTHON,1,2,0,1,363.13,Euro
632408603-8,python,0,0,0,1,202.07,euro
845397561-2,C++,0,0,2,0,271.25,USD
485303972-4,c++,2,0,1,0,211.13,jod
591228150-7,JAVA,0,0,0,2,363.02,euro
775472001-9,r,1,1,0,0,235.68,euro
123188122-4,,1,1,1,2,215.82,JOD
135565843-8,,2,2,2,0,305.87,JOD
504325433-5,java,0,2,1,2,151.55,Euro
286151571-6,JAVA,1,2,2,1,186.06,Euro
402638335-0,R,2,0,2,2,123.58,JOD
403539365-7,java,1,0,0,2,353.32,JOD
592354165-3,Python,1,1,0,0,301.75,jod
810893175-4,c++,0,0,2,1,404.80,USD
929033919-5,python,1,1,2,0,383.28,USD
348778744-X,R,2,1,2,0,264.24,USD
867577270-X,C++,2,2,1,1,199.86,USD
731748887-9,R,2,1,2,1,136.91,Euro
201263810-4,PYTHON,0,1,1,0,481.59,jod
528709177-X,c++,0,2,1,0,444.87,euro
539504319-5,Python,2,1,1,1,159.50,Dollar
928955058-9,r,1,1,2,1,195.79,Euro
779013722-0,R,2,1,2,0,493.49,Dollar
783631948-2,Python,2,1,2,2,432.39,Euro
051602855-3,Python,2,1,0,0,435.00,Euro
426275472-3,c++,0,1,0,1,105.41,Euro
446403369-5,r,2,0,1,1,216.77,JOD
112841252-7,Python,2,0,2,0,152.73,jod
745232054-9,Python,1,0,2,1,111.68,euro
376900429-9,R,0,1,0,0,356.75,jod
889057770-3,JAVA,1,1,1,0,198.08,euro
773765412-7,R,0,0,1,2,103.10,JOD
867108598-8,JAVA,0,0,2,0,215.50,jod
160125237-4,r,0,0,0,1,266.69,JOD
761491404-X,R,1,2,1,1,172.38,euro
630163805-0,JAVA,1,0,2,1,466.17,Euro
026144759-9,c++,2,1,0,1,494.60,JOD
413250119-1,,1,1,2,0,278.38,USD
941766598-7,java,2,2,1,0,300.62,Dollar
068895158-9,C++,0,1,0,2,420.09,Dollar
530954474-7,JAVA,1,2,0,1,459.24,Dollar
015210891-2,java,1,0,0,1,381.68,jod
735057974-8,c++,1,0,0,0,478.47,JOD
541261140-0,Python,2,0,1,0,406.02,Euro
791028775-5,PYTHON,2,1,1,0,397.34,USD
553935083-9,Python,2,0,1,2,453.14,jod
276342777-4,c++,2,2,2,0,473.20,Dollar
297602866-4,c++,0,0,1,0,342.68,Euro
003947878-5,PYTHON,0,1,2,1,338.30,Dollar
117751585-7,java,1,0,2,1,345.80,euro
596096421-X,java,1,2,0,0,392.30,Dollar
241151075-6,JAVA,1,2,0,2,481.93,euro
849686896-6,python,1,1,1,1,277.76,Euro
871087660-X,PYTHON,0,0,0,1,199.82,jod
028552329-5,C++,2,1,1,1,451.84,USD
644416953-4,R,1,2,1,0,435.36,Dollar
783917543-0,Python,0,0,0,0,267.19,Euro
498583066-6,JAVA,2,2,0,2,443.83,JOD
810660094-7,JAVA,1,1,2,1,329.02,Euro
466368834-9,JAVA,1,0,0,1,277.78,Dollar
028343520-8,r,2,0,1,0,190.69,jod
729341986-4,JAVA,2,2,0,0,178.46,jod
077957815-5,PYTHON,1,2,0,0,100.08,Dollar
372815365-6,PYTHON,0,0,2,2,331.41,jod
922035232-X,R,2,1,1,2,413.24,Euro
085830119-9,R,0,0,2,2,238.03,USD
208914820-9,c++,0,0,0,0,320.50,Euro
583171733-X,R,1,2,1,0,454.26,Euro
308913931-6,C++,0,0,0,2,124.36,euro
849961613-5,PYTHON,2,1,1,2,453.41,jod
911205987-0,c++,2,2,0,1,168.36,euro
868252046-X,R,0,1,1,2,165.20,euro
159764337-8,r,1,1,2,1,408.26,Euro
230018894-5,R,0,1,1,2,106.35,Euro
381828697-3,C++,0,1,1,1,157.28,euro
388890413-7,java,1,2,2,2,363.46,USD
436885729-1,c++,2,0,1,2,237.20,euro
315294369-5,python,2,1,1,1,464.94,JOD
665735985-3,,0,2,0,1,334.23,Dollar
033569163-3,java,1,0,1,0,184.94,USD
201431112-9,C++,2,0,1,0,104.27,USD
083239788-1,java,1,1,1,0,314.18,USD
608367495-6,R,2,2,1,2,209.19,JOD
419400645-3,Python,0,0,1,2,128.10,USD
564344686-3,r,2,2,1,2,118.23,euro
433809944-5,r,2,1,1,0,274.09,JOD
485176699-8,Python,1,1,0,0,105.02,JOD
946153013-7,R,0,0,0,0,224.18,Dollar
423222188-3,python,0,0,0,0,155.12,USD
365320105-5,,2,1,2,2,149.98,JOD
169588306-3,C++,1,1,2,1,378.68,jod
482419828-3,java,2,0,2,2,465.07,euro
671213614-8,JAVA,2,0,1,1,177.55,Dollar
971431695-2,python,2,2,0,1,231.06,Dollar
571070048-7,C++,1,2,1,0,383.93,jod
010091359-8,,2,2,1,2,170.20,Euro
117455879-2,c++,1,0,2,0,377.66,jod
450338045-1,R,1,1,2,1,137.20,euro
333537306-5,R,2,1,0,1,318.48,jod
259123273-3,,0,1,1,2,406.18,euro
433842404-4,C++,2,1,0,0,256.19,jod
456780929-7,r,0,0,0,0,365.91,Euro
616164548-3,JAVA,2,1,2,2,334.92,Dollar
843114742-3,python,0,0,1,0,380.59,USD
262229344-5,c++,2,2,1,2,269.19,jod
892710392-0,r,0,0,2,0,121.86,euro
804729379-6,c++,1,2,2,0,234.34,jod
025208111-0,JAVA,1,0,0,1,473.57,JOD
808192774-3,r,0,2,1,0,404.87,Euro
270485853-5,R,0,1,2,2,121.42,JOD
365685865-9,java,2,0,1,2,295.52,Euro
542295313-4,C++,1,0,1,1,253.52,Dollar
589825838-8,PYTHON,1,2,0,0,415.67,Euro
797694638-2,C++,2,1,0,0,196.19,jod
163786307-1,R,2,2,1,2,476.16,Dollar
135814752-3,,2,2,2,1,452.07,jod
805362116-3,Python,1,2,0,1,243.65,euro
173333037-2,Python,2,1,2,1,208.21,JOD
744000943-6,JAVA,0,0,1,0,365.15,JOD
431756989-2,R,0,0,1,0,270.16,Dollar
647663388-0,R,2,1,1,2,252.92,Euro
379523790-4,C++,1,0,1,2,153.87,euro
905023099-7,PYTHON,0,0,0,1,193.48,Euro
628094282-1,python,0,1,1,0,235.32,USD
926589566-7,java,0,2,0,0,120.76,euro
894473775-4,,1,1,0,1,121.43,Euro
532552550-6,R,1,2,1,1,242.29,euro
827620796-0,r,1,0,0,0,310.52,USD
447878703-4,R,2,0,1,1,114.73,euro
474315445-6,Python,1,1,0,1,443.93,Euro
057425689-X,r,2,1,1,1,264.83,Euro
064769655-X,java,0,1,0,1,221.15,Euro
229221479-2,c++,2,1,1,2,457.63,Euro
895740238-1,python,0,0,1,1,449.90,USD
488899481-1,C++,2,0,0,2,375.76,euro
220706920-6,java,1,0,2,1,242.87,jod
113611221-9,java,1,0,1,2,114.96,USD
434277477-1,python,1,1,1,0,350.94,jod
083998713-7,R,1,2,1,2,463.42,euro
116890771-3,R,0,1,0,2,333.37,USD
857288156-5,Python,2,1,2,0,393.73,euro
799012398-3,c++,1,1,2,0,451.40,Euro
436094269-9,r,1,1,0,2,437.98,jod
182554426-3,java,1,0,1,0,300.20,JOD
116000688-1,java,2,0,0,1,242.74,Dollar
933658708-0,java,2,1,0,2,240.87,JOD
010749355-1,r,1,0,0,0,419.67,JOD
977451643-5,r,2,1,2,2,177.65,JOD
674097432-2,JAVA,1,1,0,2,123.55,USD
665848591-7,R,2,0,2,1,488.81,Dollar
563064015-1,JAVA,1,1,1,0,210.49,Dollar
609703999-9,Python,2,1,2,2,278.30,Dollar
357186293-7,R,2,0,0,1,172.24,jod
027881944-3,JAVA,0,2,0,1,147.47,jod
627141178-9,JAVA,2,0,0,2,453.63,JOD
880650540-8,r,1,1,1,2,390.39,euro
521602691-6,JAVA,0,1,0,2,102.41,USD
412888456-1,java,1,0,2,2,407.73,euro
797830534-1,,2,1,0,2,347.20,USD
622221777-X,JAVA,0,0,0,0,315.73,JOD
954195540-1,R,2,1,0,2,310.55,JOD
129630761-1,Python,1,0,2,0,281.03,Dollar
117854219-X,python,2,0,0,1,342.74,Dollar
794585616-0,c++,1,1,0,0,100.76,euro
879276541-6,C++,0,2,1,0,224.13,USD
323467150-8,R,2,1,1,0,132.96,JOD
461133093-1,Python,2,0,0,1,157.17,Euro
939082723-X,r,2,0,2,1,124.66,euro
574401204-4,r,2,2,2,0,348.71,euro
817531553-9,R,1,2,1,1,117.92,Euro
815349619-0,R,2,2,2,1,193.98,jod
571613779-2,python,2,1,1,1,447.65,JOD
234579141-1,Python,1,1,1,0,265.58,Dollar
318789985-4,java,0,2,1,2,101.64,jod
683483600-4,Python,2,2,1,0,495.86,Dollar
681100495-9,Python,1,2,1,0,374.88,USD
941927665-1,,0,1,1,0,107.78,USD
115436284-1,PYTHON,1,1,1,0,145.85,Euro
965288782-X,python,2,1,2,2,372.32,jod
557527518-3,JAVA,1,0,0,0,254.24,jod
239325779-9,JAVA,0,1,2,0,212.79,USD
200428709-8,c++,0,2,1,0,199.87,Euro
185539830-3,java,2,1,2,0,122.08,Dollar
182751301-2,r,0,1,2,0,334.05,jod
829932767-9,PYTHON,1,2,2,2,250.78,USD
832201337-X,c++,2,1,1,2,320.95,euro
447495066-6,java,2,1,1,2,431.53,JOD
405371328-5,C++,1,1,0,1,212.94,euro
066321031-3,Python,1,1,1,0,394.15,Dollar
050011742-X,Python,0,1,0,2,167.98,Dollar
700946977-6,R,2,1,0,0,497.28,USD
207369383-0,java,1,0,2,2,463.34,Euro
456361769-5,r,0,1,1,1,475.55,Euro
686760744-6,R,1,0,2,0,112.45,euro
903498898-8,JAVA,2,0,1,2,264.28,Dollar
203355881-9,R,1,2,0,0,167.68,USD
838285658-6,C++,1,2,2,1,355.32,euro
356038007-3,java,0,1,2,1,145.16,jod
742958600-7,python,2,2,1,2,497.32,USD
605009360-1,JAVA,0,0,1,0,201.06,USD
006964251-6,R,1,2,0,2,356.27,euro
179272166-8,PYTHON,0,2,0,1,265.11,USD
359671580-6,java,1,1,2,0,462.02,jod
109790832-1,r,1,0,2,0,334.50,jod
352537002-4,java,2,2,2,0,405.83,Euro
123356880-9,JAVA,0,2,1,0,206.81,USD
252206724-9,PYTHON,1,2,2,0,378.25,JOD
844088404-4,R,2,2,2,1,306.21,euro
398202137-5,r,0,0,2,2,404.94,jod
249110089-4,java,0,2,0,1,279.70,Euro
070134964-6,python,1,1,2,1,183.01,euro
090082961-3,c++,2,0,2,2,309.60,Euro
058681796-4,PYTHON,0,1,0,0,287.74,jod
756739118-X,,1,2,0,2,394.87,Dollar
674595395-1,PYTHON,1,0,0,2,153.80,jod
405816953-2,python,0,1,0,0,123.29,USD
619785211-X,PYTHON,1,1,1,0,202.42,jod
760607168-3,C++,1,2,1,0,105.16,Euro
578033966-X,java,0,2,1,2,445.79,Euro
992750769-0,Python,0,2,0,1,361.33,jod
572060106-6,R,1,2,2,2,272.17,Euro
508520643-6,JAVA,2,2,1,0,348.32,USD
007381719-8,r,2,2,1,1,227.04,Euro
220816473-3,Python,1,0,1,2,327.83,Dollar
096161072-7,c++,2,0,0,0,478.22,Euro
150975034-7,C++,0,1,2,2,215.73,Dollar
045952244-2,PYTHON,2,2,1,0,127.79,USD
338107743-0,JAVA,1,2,2,0,154.07,JOD
385088431-7,,1,0,0,0,249.17,Dollar
396385252-6,JAVA,1,0,2,2,187.81,euro
254736918-4,java,0,2,0,2,179.81,JOD
842763541-9,JAVA,1,2,2,1,425.59,euro
714512170-0,java,0,1,2,1,291.36,JOD
100074960-6,R,1,2,0,0,388.74,Dollar
615732386-8,c++,1,1,0,2,311.73,Dollar
458641703-X,,1,2,1,1,209.33,Dollar
624898865-X,JAVA,2,0,2,2,208.25,jod
893399359-2,python,0,2,1,0,254.52,euro
073822413-8,r,1,2,1,0,327.67,Dollar
004843541-4,PYTHON,0,0,1,1,328.31,USD
591249132-3,JAVA,0,1,2,1,269.13,jod
007314493-2,,1,0,0,1,238.99,euro
645116160-8,Python,0,2,0,1,294.05,JOD
578606004-7,python,1,1,0,2,129.46,Euro
819371192-0,C++,0,2,1,1,312.49,USD
900755606-1,,2,2,2,1,481.60,USD
143613812-4,java,0,2,2,2,121.69,jod
310770367-2,Python,0,2,0,0,228.18,USD
201924620-1,,0,0,0,1,373.40,Dollar
908305121-8,PYTHON,2,1,1,2,138.95,euro
788273876-X,r,1,0,0,1,297.58,USD
495929402-7,PYTHON,1,2,0,0,315.47,euro
226460083-7,JAVA,2,2,2,0,175.17,Dollar
347051069-5,R,0,1,0,0,439.50,USD
693829487-9,r,0,0,0,0,304.46,USD
593811382-2,PYTHON,1,0,1,2,182.65,euro
116164420-2,r,1,0,0,0,216.22,USD
635404713-8,R,0,2,1,1,319.21,Dollar
889509619-3,Python,0,1,2,0,220.29,Dollar
798402613-0,C++,1,0,0,0,493.98,USD
242563974-8,r,1,0,2,0,139.44,euro
328280086-X,Python,2,1,1,0,175.09,USD
247659143-2,java,2,2,0,0,484.25,jod
647472817-5,java,1,1,1,0,379.65,JOD
842353780-3,c++,2,1,2,0,369.31,Dollar
640443040-1,R,2,1,0,1,358.87,USD
632659360-3,PYTHON,1,2,2,2,262.77,JOD
766389814-1,JAVA,2,2,0,0,170.82,jod
413792818-5,python,0,0,1,1,270.81,Dollar
131899318-0,r,0,1,2,2,135.57,USD
979207794-4,python,1,2,0,1,490.00,Dollar
997454430-0,python,0,0,0,0,409.60,jod
614802844-1,PYTHON,2,1,1,1,286.51,jod
232434081-X,,0,1,0,0,429.03,euro
407563590-2,,1,1,0,0,387.97,Euro
470899640-3,Python,0,2,1,0,152.33,Euro
638181485-3,Python,2,1,2,2,139.26,euro
961378767-4,,1,1,0,2,184.93,euro
767662563-7,PYTHON,2,1,2,0,480.04,euro
417362584-7,c++,1,2,0,1,227.03,Dollar
768278331-1,,1,0,1,1,344.18,JOD
682145430-2,python,2,2,0,1,216.97,Euro
328256417-1,java,2,0,0,1,383.66,USD
846064884-2,Python,2,2,0,1,387.95,euro
780221628-1,python,2,0,2,1,463.43,jod
269622788-8,java,1,2,2,1,134.29,USD
203465706-3,python,1,1,1,0,450.57,USD
432431135-8,r,2,0,2,0,284.19,Dollar
180932170-0,PYTHON,2,0,2,0,498.62,Euro
470506067-9,c++,2,1,1,0,277.31,USD
114098663-5,Python,0,1,1,1,405.97,Dollar
455724335-5,c++,0,2,2,0,221.78,USD
105009243-0,PYTHON,1,2,0,0,102.86,JOD
388681743-1,Python,0,1,1,1,238.99,euro
446746639-8,Python,1,1,1,1,316.12,jod
845409546-2,JAVA,0,2,1,1,352.76,euro
275599913-6,,2,0,2,0,383.57,jod
218369310-X,python,1,1,0,0,122.32,USD
202607954-4,C++,0,1,2,0,385.97,USD
572459733-0,python,1,0,1,2,323.10,Dollar
358932511-9,C++,0,2,0,2,139.42,Euro
339922183-5,,1,1,1,1,212.05,USD
570333077-7,c++,1,1,1,2,263.62,USD
668073917-9,c++,1,0,2,0,246.45,euro
427103451-7,JAVA,0,0,2,2,448.04,euro
410774595-3,Python,2,2,2,2,406.08,jod
047018939-8,PYTHON,2,0,2,1,154.24,jod
759369476-3,C++,1,2,2,0,438.02,USD
631493378-1,c++,0,2,0,0,271.45,USD
257824917-2,R,2,0,0,2,455.75,JOD
791776991-7,JAVA,2,1,2,0,481.10,JOD
996579266-6,PYTHON,2,0,2,1,149.01,JOD
258191393-2,JAVA,2,2,1,2,115.48,JOD
422445451-3,C++,2,2,1,2,330.26,euro
376790853-0,Python,0,0,1,2,247.83,jod
472453205-X,python,2,0,2,2,415.74,Euro
708687956-8,R,2,0,1,0,128.97,JOD
890026375-7,C++,2,2,2,1,464.18,USD
355025022-3,Python,1,2,0,1,146.03,jod
572934198-9,Python,1,0,1,0,300.82,jod
907477600-0,Python,0,1,0,2,455.20,USD
640020036-3,c++,0,1,2,1,177.28,Euro
366700292-0,Python,0,1,0,2,101.03,euro
536441002-1,java,1,0,1,1,377.67,USD
187478536-8,C++,0,1,2,1,258.59,euro
112868170-6,PYTHON,2,0,1,2,366.03,USD
239048912-5,JAVA,1,0,1,0,235.73,euro
335122887-2,C++,0,2,0,1,407.60,JOD
102700595-0,R,0,1,0,2,216.44,euro
398572982-4,,1,1,1,2,278.23,Dollar
129529922-4,r,2,1,0,2,417.20,Euro
014877520-9,c++,0,2,1,0,254.30,Euro
213864103-1,,1,2,2,2,390.88,euro
082693375-0,c++,0,1,1,1,379.69,Dollar
922317272-1,C++,0,0,2,2,400.03,Euro
025681517-8,Python,2,2,1,0,321.63,Euro
502816743-5,R,0,0,1,2,261.49,JOD
906904890-6,C++,2,2,2,2,270.27,JOD
789094985-5,r,2,0,2,2,357.40,euro
118787299-7,JAVA,2,0,2,1,367.52,jod
007569443-3,C++,1,0,0,0,441.69,Euro
132080544-2,C++,2,2,0,0,271.74,JOD
373226125-5,R,0,2,2,0,394.92,USD
618769800-2,r,1,2,2,2,337.92,USD
967597683-7,R,2,0,1,1,113.00,JOD
993275124-3,java,0,2,0,0,261.13,JOD
208189155-7,Python,2,2,2,0,294.20,JOD
510466750-2,C++,0,1,1,2,455.47,jod
369890461-6,C++,2,2,1,2,152.59,Euro
438621698-7,r,1,1,1,2,385.02,Euro
264558388-1,,1,1,0,0,461.48,JOD
583641469-6,c++,2,2,1,1,126.15,Dollar
494434117-2,C++,0,0,1,0,267.14,euro
564839184-6,Python,1,2,1,1,211.24,jod
023091714-3,c++,1,1,1,1,410.33,Dollar
866029624-9,c++,2,1,2,1,397.52,jod
