Store_ID,City,Item_1,Item_2,Item_3,Item_4,Monthly_Sales,Currency
428324871-1,Amman,0,2,1,0,40341.94,USD
312658046-7,Zarqa,1,0,0,2,12704.79,JOD
552281125-0,zaqra,2,2,0,0,23576.90,JOD
668153275-6,Amman,2,0,2,1,35190.12,USD
263649621-1,zaqra,1,2,0,0,42011.23,USD
615078308-1,A'zarqa,1,1,0,2,25576.19,JOD
287660995-9,amman,0,1,0,1,39289.50,JOD
011754228-8,,0,0,1,0,14178.93,USD
822030625-4,A'zarqa,1,2,0,2,20631.83,USD
849639434-4,Capital City,1,1,1,2,51945.76,JOD
604941160-3,Zarqa,2,1,1,0,43280.52,USD
748595012-6,,0,0,1,2,32670.09,USD
259277825-X,A'zarqa,2,2,0,1,43358.18,USD
309581890-4,zaqra,1,1,1,1,32585.96,JOD
816292864-2,Capital City,2,0,1,1,39541.80,USD
153658183-6,zaqra,1,1,1,1,15280.56,JOD
138332341-0,Zarqa,2,2,0,1,37911.14,JOD
099841501-4,Capital City,1,2,2,1,34768.15,USD
636373424-X,Amman,2,0,0,2,16939.07,USD
953314105-0,amman,2,2,0,2,39266.48,JOD
734419374-4,Capital City,0,0,0,0,45286.88,USD
766966891-1,A'zarqa,0,2,2,2,19946.59,USD
083958443-1,A'zarqa,2,2,2,1,22791.78,USD
819769777-9,Zarqa,2,2,1,0,41382.24,JOD
468550624-3,,0,0,2,0,37504.28,JOD
953303088-7,amman,1,0,1,0,47483.05,JOD
751364449-7,Capital City,1,0,2,0,31206.19,USD
787797389-6,amman,1,2,2,0,16195.29,JOD
630961330-8,amman,0,2,0,0,19419.46,USD
112663855-2,Zarqa,1,1,0,1,20742.79,JOD
336563009-0,Capital City,1,0,1,1,29066.28,USD
801500794-1,Capital City,1,2,2,2,24084.58,USD
067453256-2,Amman,0,1,2,2,13341.85,USD
762846387-8,Capital City,0,1,2,1,49523.02,USD
068637231-X,A'zarqa,0,1,0,1,43590.80,USD
549933351-3,Zarqa,2,0,0,0,22081.54,USD
621102856-3,Amman,2,2,1,0,41933.48,JOD
876572270-1,amman,0,2,2,0,36861.98,JOD
948830919-9,Capital City,2,0,0,0,49804.85,USD
084622850-5,zaqra,1,1,2,0,29916.47,USD
053340790-7,Amman,1,0,2,2,39842.77,USD
643507578-6,Zarqa,2,1,2,1,29409.64,JOD
716826740-X,A'zarqa,1,0,1,2,12121.34,USD
745215910-1,A'zarqa,0,0,2,0,44527.15,USD
033493191-6,zaqra,0,1,0,1,13995.59,JOD
823068943-1,Capital City,1,2,1,1,12046.20,USD
537826394-8,A'zarqa,0,1,1,1,32099.27,JOD
319704999-3,Amman,2,0,2,2,12868.98,JOD
497846607-5,amman,0,1,0,2,14632.76,USD
846102639-X,,0,1,1,2,36072.37,USD
806935110-1,A'zarqa,2,2,1,0,17993.85,USD
978961292-3,Zarqa,0,2,1,0,48362.56,USD
098094263-2,Capital City,2,0,0,2,18394.70,USD
975824359-4,amman,2,0,0,1,33556.19,USD
530052368-2,Capital City,2,2,0,0,46687.61,USD
307560284-1,amman,2,1,2,0,23950.70,JOD
627617750-4,Zarqa,2,1,1,1,45626.04,JOD
574301290-3,Zarqa,0,0,0,0,24548.71,USD
940843208-8,amman,0,2,0,0,32149.18,USD
980054560-3,Zarqa,1,2,1,2,28526.21,JOD
547606993-3,Amman,2,0,1,1,44135.88,USD
691652363-8,Amman,1,0,2,1,44572.82,USD
820057566-7,Amman,0,1,0,0,17282.63,JOD
257541547-0,Zarqa,2,2,0,1,42366.41,USD
574727897-5,Amman,2,1,0,2,45497.16,USD
993242952-X,Amman,1,1,1,2,50383.33,USD
538863344-6,amman,1,0,2,1,12906.97,JOD
868204576-1,amman,1,1,2,2,39833.64,USD
683837631-8,Capital City,2,2,1,1,46654.85,USD
824945296-8,amman,1,0,2,1,32502.17,JOD
261561364-2,Zarqa,1,1,0,2,21541.24,JOD
371597705-1,zaqra,2,1,0,1,31882.78,USD
870068626-3,Capital City,0,1,0,2,33770.38,JOD
752587153-1,A'zarqa,1,1,1,0,46240.87,USD
108624738-8,Zarqa,0,0,2,1,52294.75,USD
839534084-2,amman,2,2,1,1,51975.10,JOD
234146010-0,A'zarqa,0,2,1,0,32869.78,USD
884835956-6,zaqra,2,1,0,2,24032.74,JOD
727269517-X,A'zarqa,2,1,2,2,38785.20,USD
755661838-2,A'zarqa,0,1,1,2,15824.45,USD
874639497-4,Capital City,1,1,0,2,27422.62,USD
551175480-3,Amman,1,1,2,1,24692.89,JOD
753475180-2,amman,2,0,0,2,44146.46,JOD
298842667-8,zaqra,0,0,0,0,46018.33,USD
850395827-9,Zarqa,0,1,2,1,30336.10,JOD
100149147-5,Amman,1,1,2,1,35861.95,USD
439618719-X,Capital City,1,0,2,1,44503.65,USD
197691555-4,Amman,0,2,1,1,42238.85,USD
981753743-9,zaqra,2,2,1,0,27899.44,USD
649214288-8,Zarqa,0,1,2,2,13078.47,JOD
515253908-X,Capital City,1,2,1,1,29622.69,JOD
956618088-8,Amman,2,2,1,1,15999.02,JOD
736906197-3,zaqra,0,1,1,1,26719.59,JOD
676223677-4,zaqra,0,1,0,2,36457.51,USD
350405624-X,A'zarqa,0,0,1,2,51222.58,JOD
242719026-8,Zarqa,0,0,2,1,20228.80,JOD
163798748-X,,1,0,0,0,30191.84,USD
121259268-9,A'zarqa,2,0,1,0,36163.99,JOD
841997946-5,amman,0,0,0,1,46759.90,USD
747895715-3,amman,1,2,2,2,39609.99,JOD
512608269-8,Amman,2,2,1,1,18426.35,USD
135455050-1,Zarqa,2,2,0,0,38123.47,JOD
745100374-4,Zarqa,1,1,1,2,25375.50,JOD
495506716-6,Zarqa,1,1,2,0,25484.74,JOD
954841979-3,amman,2,0,2,2,37188.91,JOD
437997778-1,Zarqa,0,2,0,1,28797.77,JOD
948424197-2,zaqra,2,2,1,0,26763.65,JOD
949836716-7,Amman,2,0,0,2,32177.10,USD
557091864-7,zaqra,1,2,0,0,31199.27,JOD
532187040-3,A'zarqa,0,1,0,1,22990.65,USD
022969258-3,Zarqa,2,0,1,1,43116.35,JOD
441889578-7,A'zarqa,1,1,1,2,29186.64,USD
120123419-0,Amman,2,2,2,1,39463.57,JOD
887869634-X,A'zarqa,1,1,0,2,51149.67,JOD
171125615-3,Zarqa,2,1,2,2,44799.93,JOD
178639414-6,Zarqa,0,1,1,1,48817.23,JOD
217637806-7,Capital City,1,0,1,2,19076.50,JOD
036456896-8,Amman,2,0,1,2,32710.25,USD
715420053-7,Amman,0,0,0,2,18933.00,JOD
908789606-9,Zarqa,0,0,2,1,15916.08,USD
498761309-3,Amman,0,1,2,2,36209.58,USD
740512998-6,Amman,0,0,0,1,44657.38,JOD
134449478-1,Capital City,0,2,2,0,28674.17,USD
968665897-1,amman,2,1,2,2,51337.59,JOD
760885956-3,amman,0,2,0,0,51730.05,JOD
670955443-0,Zarqa,2,1,2,2,51697.12,JOD
695090574-2,zaqra,1,0,1,1,45282.53,USD
507456761-0,A'zarqa,0,1,2,2,14373.63,JOD
452138658-X,Capital City,1,2,2,0,24219.60,JOD
400326282-4,amman,1,1,2,0,41833.01,USD
932768699-3,,2,2,1,0,15065.24,USD
956247863-7,amman,0,1,0,0,14833.41,JOD
749645762-0,Amman,1,0,0,0,22287.70,USD
646231772-8,amman,1,1,0,2,23886.84,USD
457708371-X,Capital City,1,1,0,2,28106.72,USD
674467251-7,Capital City,2,0,0,1,13210.86,JOD
416209440-3,zaqra,0,0,2,0,36398.49,JOD
150082292-2,amman,1,0,2,2,14009.05,USD
803844884-7,zaqra,1,2,2,2,21861.85,USD
462690866-7,Amman,1,0,2,0,36671.69,USD
204907407-7,Zarqa,1,1,2,2,32530.18,JOD
616635105-4,zaqra,1,1,2,0,23355.60,USD
366299469-0,zaqra,0,0,1,2,22239.47,JOD
056798971-2,Capital City,1,2,2,1,35277.31,JOD
672787138-8,Capital City,2,2,1,2,17066.54,JOD
003836824-2,A'zarqa,1,1,2,1,46163.72,JOD
127459509-6,Amman,2,0,1,2,35759.69,USD
767854620-3,Capital City,0,1,0,2,50801.04,USD
609532575-7,A'zarqa,1,1,0,2,40368.81,USD
707134027-7,Capital City,1,0,1,2,13986.93,JOD
668658170-4,Zarqa,0,2,1,2,28104.13,USD
524543899-2,Capital City,1,1,0,1,16275.25,JOD
213399554-4,zaqra,0,1,0,0,50592.37,JOD
820928954-3,Capital City,1,1,2,1,15032.42,JOD
648923886-1,amman,2,1,1,0,25664.81,USD
216025695-1,zaqra,2,0,1,0,38714.56,JOD
341361270-0,amman,2,0,1,0,22002.83,JOD
425986005-4,A'zarqa,2,1,0,1,51430.99,JOD
114839619-5,zaqra,0,1,0,0,26412.81,JOD
746769364-8,Amman,0,2,2,1,37775.22,USD
233770416-5,zaqra,2,1,1,1,42095.80,USD
881217826-X,zaqra,1,0,2,0,45071.23,USD
525885228-8,Amman,1,0,2,1,20355.95,USD
996297643-X,Zarqa,1,0,2,2,33248.69,JOD
539070750-8,,1,1,2,0,50796.62,JOD
722478393-5,amman,1,2,1,2,32764.14,USD
903223570-2,,1,1,0,0,13808.03,JOD
782892245-0,A'zarqa,0,1,0,1,18461.14,USD
109156926-6,amman,0,0,1,0,39305.76,JOD
820247832-4,zaqra,1,1,1,0,16291.24,USD
167355315-X,Amman,2,0,0,0,12005.04,USD
396743505-9,A'zarqa,1,0,0,0,23173.17,JOD
668538012-8,Zarqa,1,0,0,1,23991.28,JOD
853430682-6,amman,1,0,2,1,45089.45,USD
092329117-2,amman,2,2,0,2,32980.47,JOD
601654699-2,amman,1,0,1,0,29903.70,USD
564896133-2,Amman,1,0,0,0,46832.37,USD
647086982-3,Amman,0,1,0,1,29213.81,USD
506196074-2,amman,0,1,1,2,37641.30,JOD
274782433-0,amman,0,1,0,0,45977.75,JOD
488738019-4,Amman,2,1,2,1,49301.14,USD
346006776-4,Capital City,0,2,2,1,52708.00,USD
791632040-1,amman,0,0,1,2,33119.82,JOD
073136320-5,amman,1,0,1,2,29173.21,JOD
717569111-4,Amman,1,1,2,2,31054.02,USD
853889310-6,Zarqa,0,0,2,1,37653.75,USD
997087668-6,A'zarqa,2,0,2,2,22351.05,JOD
668308410-6,Amman,0,1,2,1,24336.70,JOD
774051490-X,A'zarqa,1,1,0,1,18149.13,USD
039738296-0,Capital City,2,0,0,2,52496.06,USD
207793069-1,Capital City,1,1,0,1,50168.08,JOD
576741444-0,Zarqa,2,0,1,2,14541.33,JOD
892882530-X,Amman,1,0,0,0,23493.23,USD
727749248-X,A'zarqa,1,0,1,0,23379.26,JOD
275584872-3,zaqra,0,0,0,1,50192.45,JOD
337278801-X,amman,1,0,0,1,49599.41,USD
068026031-5,amman,1,0,0,2,37583.19,JOD
687668335-4,Zarqa,2,1,0,2,42623.91,JOD
803777451-1,Zarqa,2,2,1,0,36035.95,USD
929420993-8,Amman,1,0,2,1,38805.27,USD
200192639-1,Amman,1,1,1,1,20681.45,USD
386582048-4,A'zarqa,1,2,0,1,39051.97,JOD
459020116-X,Capital City,1,1,2,0,38432.32,JOD
974178796-0,amman,1,0,1,2,25596.74,JOD
261521657-0,Capital City,2,0,0,2,43412.55,JOD
313526208-1,Capital City,2,2,2,1,23906.31,JOD
211826556-5,Zarqa,2,1,0,1,17446.10,JOD
322534190-8,Zarqa,2,1,1,2,22870.90,JOD
753893474-X,Capital City,1,2,2,0,48515.77,USD
603394646-4,Amman,1,0,1,0,52679.09,JOD
583396655-8,A'zarqa,1,2,0,2,27249.81,USD
000292530-3,amman,2,2,2,0,46097.06,JOD
781368940-2,Amman,0,0,1,2,37250.10,JOD
516179410-0,zaqra,1,1,1,2,46292.81,JOD
835976960-5,zaqra,0,0,1,0,48429.05,JOD
278595222-7,zaqra,1,0,0,2,50819.54,JOD
240121492-5,A'zarqa,2,1,1,0,20685.35,JOD
866518827-4,,1,0,0,1,51658.67,JOD
295257259-3,Capital City,2,0,2,0,21676.64,JOD
107004602-7,Capital City,0,2,1,2,48718.71,USD
878376233-7,A'zarqa,1,0,0,0,50983.54,JOD
531184549-X,Amman,2,2,2,1,17483.70,JOD
525657443-4,Zarqa,1,1,1,2,24012.35,USD
792876287-0,amman,0,1,1,2,38670.24,USD
193278670-8,Capital City,0,0,1,2,43723.53,JOD
020172306-9,Capital City,1,0,2,2,15870.83,JOD
611611533-0,Amman,2,1,1,1,32070.85,USD
308639476-5,Amman,0,0,0,1,29505.66,JOD
645124746-4,amman,1,2,0,1,20518.64,USD
452824676-7,Zarqa,1,1,1,2,13809.81,USD
801774186-3,zaqra,0,1,1,0,36236.83,USD
236142786-9,A'zarqa,1,0,1,2,52810.22,USD
970640439-2,Amman,2,2,1,2,48775.45,JOD
066386884-X,Capital City,0,0,0,0,20547.82,USD
348077543-8,A'zarqa,2,1,2,1,26553.54,JOD
090379362-8,,0,2,0,1,45165.73,USD
341742408-9,Zarqa,2,0,1,2,46219.43,JOD
411323574-0,A'zarqa,1,0,0,2,42755.99,USD
999128778-7,zaqra,1,2,2,2,34189.09,USD
435772861-4,amman,0,2,0,2,34494.98,JOD
553475316-1,amman,1,2,1,1,51883.91,USD
939962763-2,Amman,0,1,2,1,21408.05,JOD
683696536-7,amman,0,1,2,1,26884.57,JOD
577470657-5,Capital City,2,1,1,0,44536.82,USD
131282325-9,Capital City,2,2,1,0,46246.73,JOD
735143943-5,amman,0,1,1,0,30132.11,JOD
743151388-7,Zarqa,1,2,1,2,31927.26,USD
506466776-0,,0,2,1,0,15378.18,USD
105814116-3,Zarqa,0,1,1,0,33121.29,JOD
438416973-6,Zarqa,1,2,2,0,44841.11,JOD
770570647-4,Amman,0,1,0,1,21415.42,JOD
678302301-X,Zarqa,0,2,1,2,35023.24,JOD
946701741-5,amman,2,0,2,2,18119.23,USD
464497588-5,Zarqa,1,0,2,1,19941.32,JOD
614866000-8,Zarqa,0,0,0,2,29011.46,JOD
108433671-5,amman,0,0,1,1,41637.42,USD
323928654-8,zaqra,2,0,1,0,31836.61,USD
397113010-0,zaqra,1,0,0,1,50059.33,USD
810098575-8,A'zarqa,0,2,0,1,22646.19,JOD
650870864-3,amman,0,0,1,1,40992.12,JOD
277425869-3,A'zarqa,0,1,1,0,27247.04,JOD
745637074-5,Amman,1,0,1,2,23471.03,USD
189753559-7,zaqra,0,1,1,0,47800.52,JOD
884174984-9,Amman,2,0,1,0,47732.79,USD
853128021-4,amman,0,2,0,1,23348.48,USD
154677426-2,amman,2,0,1,1,22665.12,JOD
520076834-9,Zarqa,0,1,0,1,47976.72,USD
384220499-X,Capital City,2,2,0,1,23538.48,JOD
720986275-7,Zarqa,0,1,1,0,30810.56,JOD
359852871-X,Capital City,0,1,1,0,30712.57,USD
292442955-2,Capital City,1,2,1,2,49332.36,USD
964732738-2,amman,0,1,2,2,45444.54,JOD
596444020-7,Amman,0,2,1,1,34235.61,JOD
672340497-1,Capital City,2,0,0,0,27712.49,JOD
166515192-7,Zarqa,1,1,2,0,44094.36,JOD
256632390-9,Capital City,1,2,1,1,12713.51,JOD
650888517-0,A'zarqa,1,0,2,1,25360.19,JOD
522206663-0,zaqra,2,1,1,1,15511.34,JOD
179065221-9,Amman,0,0,1,1,21963.34,JOD
072398935-4,Zarqa,2,2,0,0,48499.48,USD
365329645-5,amman,1,2,2,1,13846.89,USD
814878359-4,A'zarqa,1,0,2,0,38542.51,USD
327884625-7,Zarqa,2,1,2,0,24443.12,JOD
284792950-9,A'zarqa,2,0,0,2,33614.43,JOD
375103997-X,amman,0,0,0,1,29700.16,USD
105740745-3,Capital City,2,2,1,0,14560.03,USD
633451043-6,Amman,0,2,0,2,15008.19,JOD
548259025-9,zaqra,1,2,2,2,51339.19,JOD
032242569-7,Capital City,2,1,2,0,43357.48,JOD
985587576-1,zaqra,2,1,0,1,31085.47,USD
245080848-5,amman,2,1,2,2,29347.95,USD
774848097-4,Capital City,2,1,1,1,20953.43,JOD
588691493-5,Zarqa,0,1,2,0,35016.98,JOD
322063104-5,amman,2,0,2,1,15285.30,JOD
672422180-3,Capital City,2,2,0,0,20998.97,JOD
537570069-7,amman,0,1,1,2,20301.87,JOD
577478809-1,Capital City,1,0,0,1,17903.01,USD
490513617-2,zaqra,2,1,2,1,15548.84,USD
003211262-9,A'zarqa,2,0,2,0,21182.23,JOD
535280234-5,,1,0,2,1,13014.23,USD
546593416-6,A'zarqa,1,1,1,2,28527.38,USD
367516949-9,zaqra,0,1,2,2,38933.87,JOD
541152410-5,zaqra,0,0,1,0,41740.46,USD
550919972-5,zaqra,2,1,1,0,43847.77,USD
553303380-7,zaqra,0,0,2,1,43144.51,USD
508443215-7,Capital City,1,2,2,1,34645.70,USD
010072617-8,zaqra,1,0,1,0,17128.42,USD
396606940-7,Amman,2,1,1,2,16336.12,USD
875196878-9,Capital City,0,0,2,0,24732.02,JOD
460129325-1,Capital City,1,0,1,2,15466.11,USD
951884748-7,amman,2,0,0,1,28721.74,USD
633021915-X,A'zarqa,0,0,2,1,38636.44,USD
945071907-1,amman,2,0,2,1,14630.24,USD
859342943-2,Capital City,2,1,2,2,25239.50,USD
951603788-7,Amman,2,2,0,1,50339.01,USD
589408766-X,,1,0,1,2,17926.95,USD
788761441-4,Zarqa,0,0,1,1,21100.31,JOD
424158085-8,Zarqa,1,2,1,0,41188.77,JOD
791040569-3,Zarqa,1,2,2,2,46348.31,JOD
696123034-2,A'zarqa,2,0,1,0,34835.14,USD
104157915-2,amman,0,0,0,1,26174.45,USD
874386047-8,Zarqa,1,0,0,1,35855.48,USD
433858261-8,amman,0,0,1,1,51181.73,JOD
528559917-2,Capital City,2,2,0,0,36443.72,JOD
593556852-7,Zarqa,2,2,1,0,34590.54,USD
495963883-4,Zarqa,1,1,2,1,36352.89,JOD
465604000-2,Amman,1,2,0,1,18432.18,USD
298759224-8,amman,0,1,0,0,27225.21,JOD
404472891-7,Zarqa,1,0,1,0,40131.40,USD
757684067-6,Zarqa,2,0,2,1,32634.96,USD
078557971-0,Zarqa,0,0,0,1,48126.50,USD
480834603-6,A'zarqa,2,0,1,0,28310.28,USD
337578319-1,,0,0,1,0,28262.04,USD
123700275-3,,1,0,1,2,27999.12,JOD
007238661-4,Capital City,2,2,2,2,19092.71,USD
975633855-5,Capital City,1,0,0,0,20413.43,USD
562450021-1,amman,1,0,0,0,41859.25,JOD
027799993-6,A'zarqa,2,2,0,0,28438.54,USD
343935843-7,A'zarqa,1,1,0,1,21943.62,USD
464493131-4,Amman,2,1,2,1,27196.08,USD
562383154-0,zaqra,2,2,1,0,12656.96,JOD
029381488-0,Amman,1,2,1,1,40130.25,USD
186555417-0,Capital City,0,0,2,2,27018.15,USD
379699563-2,zaqra,0,1,2,2,19849.71,USD
836704692-7,Zarqa,0,0,2,0,17756.02,JOD
448939959-6,amman,0,2,2,1,23512.25,USD
324684884-X,Amman,1,2,0,0,36753.12,JOD
082688813-5,zaqra,0,1,2,2,27016.33,USD
035009126-9,Capital City,0,1,0,1,17616.63,JOD
496577247-4,zaqra,2,1,2,0,22334.26,USD
520486524-1,Amman,0,2,2,2,20606.88,JOD
565684457-9,zaqra,2,2,1,2,25633.17,JOD
654679515-9,zaqra,1,1,0,1,22508.69,USD
523616766-3,Zarqa,0,1,2,2,32671.71,JOD
311871278-3,zaqra,2,2,2,1,37813.41,USD
865209689-9,zaqra,2,2,2,1,43135.33,USD
179020037-7,A'zarqa,2,2,1,1,45630.21,USD
580407601-9,Zarqa,0,1,1,0,40818.34,USD
762745743-2,Zarqa,1,0,0,2,22994.55,JOD
470206631-5,zaqra,0,1,1,1,27440.45,USD
549780056-4,amman,0,0,1,0,37488.57,JOD
669628085-5,Amman,1,0,0,1,25782.08,JOD
172322499-5,A'zarqa,2,0,2,2,20743.38,JOD
752270749-8,Amman,1,1,0,0,47371.03,JOD
322471277-5,A'zarqa,1,0,2,0,15507.02,JOD
727635030-4,Capital City,1,1,1,2,48675.71,JOD
734785462-8,Zarqa,1,1,1,2,31037.41,USD
678228788-9,amman,0,2,2,1,13065.02,JOD
290267879-7,,1,1,0,0,38667.66,JOD
811790895-6,Capital City,0,1,2,2,27348.84,USD
185501757-1,A'zarqa,1,0,1,2,27339.44,JOD
330085719-8,Zarqa,0,0,2,1,49376.58,JOD
781117432-4,A'zarqa,0,1,0,0,21620.25,JOD
054300129-6,Amman,1,2,0,1,20885.59,USD
749434865-4,A'zarqa,1,0,1,1,34131.90,JOD
975259339-9,A'zarqa,0,2,0,0,18250.67,USD
185613160-2,Amman,1,0,0,2,39600.00,USD
977631995-5,Zarqa,1,0,1,0,43999.55,USD
601369702-7,Amman,0,1,1,0,47908.45,JOD
129266159-3,Capital City,1,1,1,0,21200.47,USD
581746995-2,zaqra,0,1,2,1,37262.30,JOD
128365384-2,,2,1,1,2,22366.67,USD
075776548-3,A'zarqa,1,1,2,0,25360.14,JOD
168736553-9,zaqra,1,2,1,0,21762.77,USD
076397537-0,zaqra,2,1,1,2,18951.58,JOD
865895766-7,,1,1,2,1,41752.16,USD
430918829-X,zaqra,0,0,2,2,22495.75,USD
136617797-5,amman,2,1,2,1,43190.73,USD
392633376-6,Amman,2,1,0,2,17985.39,JOD
490330906-1,Zarqa,2,1,1,2,35747.22,USD
650170771-4,amman,0,1,1,1,34576.39,USD
454776343-7,A'zarqa,0,0,2,0,27533.59,JOD
753814573-7,Amman,2,1,2,2,34236.60,JOD
705099724-2,A'zarqa,2,2,0,2,32984.72,JOD
151663943-X,Capital City,1,1,1,1,36975.82,USD
791340848-0,Amman,0,2,0,1,33340.76,JOD
751770989-5,Zarqa,1,0,0,0,19534.40,USD
882988528-2,A'zarqa,2,1,1,0,20059.53,JOD
790055470-X,,0,0,1,2,14054.27,USD
804473019-2,Amman,0,0,0,2,45085.23,JOD
503554179-7,zaqra,1,1,0,1,22687.82,JOD
341510734-5,zaqra,1,0,0,2,14519.56,USD
073146687-X,zaqra,1,1,0,0,43026.01,USD
594406951-1,amman,1,2,2,2,22918.97,JOD
157962543-6,Amman,1,2,1,2,12397.89,JOD
804226590-5,A'zarqa,0,1,0,0,23038.37,JOD
453454594-0,Zarqa,1,0,2,0,24813.92,USD
656520390-3,amman,1,2,2,0,26286.73,USD
394192645-4,A'zarqa,2,2,1,2,29694.06,USD
794360231-5,Amman,2,1,2,0,14112.03,USD
582233440-7,amman,1,2,2,1,47862.23,USD
167289025-X,Amman,1,0,2,1,45919.47,JOD
236124706-2,zaqra,0,0,2,2,50367.00,JOD
846287537-4,Capital City,1,1,2,1,26413.10,JOD
285879173-2,Capital City,2,1,0,0,33087.51,USD
785040437-8,zaqra,0,2,1,1,25623.37,JOD
195288194-3,Amman,0,2,1,1,37136.31,JOD
601441057-0,Zarqa,1,0,1,2,49059.09,USD
057269775-9,Zarqa,2,1,2,0,41153.79,USD
597562043-0,Capital City,2,1,1,2,28934.88,JOD
206977036-2,zaqra,2,0,2,2,34842.88,JOD
436604135-9,Amman,0,0,0,1,52075.31,JOD
941189054-7,Zarqa,2,1,1,2,44230.94,USD
102633245-1,amman,1,1,1,0,23344.34,USD
